L/D,0.2 g/s,0.3 g/s,0.4 g/s
0.425817895,90.94738392,91.15746972,81.46702557
0.866132869,100.1174053,98.42530283,96.85060565
1.299815077,100.0498007,92.36877524,99.39434724
1.729272697,99.93817295,,92.73216689
