L/D,0.2 g/s,0.3 g/s,0.4 g/s
0.429432014,30.02528445,27.63590392,10.9102402
0.868330465,51.4159292,47.66118837,40.94816688
1.303786575,55.05689001,55.28445006,53.35018963
1.727194492,82.47787611,74.74083439,77.69911504
