L/D,0.2 g/s,0.3 g/s,0.4 g/s
0.429347826,70.75566751,53.07304786,33.23677582
0.871376812,77.89672544,73.92947103,77.67002519
1.307971014,84.35768262,84.58438287,83.11083123
1.730072464,85.37783375,90.93198992,75.9697733
