L/D,NO2_NO,H2,O2,N2,CH4,CO,CO2,N2O
0.427819549,7.24995883,,0.291617211,17.41536397,,,4.29263142,49.25213856
0.868421053,10.63168138,,,23.23561605,,,8.006959361,38.90763101
1.3,10.59233197,,,18.19978302,,,9.554664986,38.10371707
1.728571429,24.91877936,0.213479892,,21.71827221,,,15.00989005,32.24534762
