L/D,0.2 g/s,0.3 g/s,0.4 g/s
0.429042904,498.9028213,440.1253918,406.4263323
0.867986799,487.9310345,476.9592476,468.338558
1.301980198,472.2570533,455.015674,426.8025078
1.731023102,621.1598746,628.2131661,581.1912226
