L/D,NO2_NO,H2,O2,N2,CH4,CO,CO2,N2O
0.428353659,14.26875119,1.746245352,0.123375257,24.51735888,,1,10.66768481,29.28644565
0.868902439,12.3375257,2.679601273,,34.42247596,0.20359726,1.337567752,19.08542144,23.73769779
1.298780488,11.56532642,,,36.13222757,0.148569556,,20.69138081,23.54668774
1.728658537,2.335721469,0.442195211,,43.16062443,,,30.74109254,14.61881872
