Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216)
1.3001182292497343e-22,0.10504946994334764,0.0,0.26083783386933157,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,4.2729216369214045e-53,2.823426819249478e-17,4.535064366468335e-50,0.0,9.182919811521218e-89,1.7155637967833523e-35,9.778529857648571e-58,1.5709736651105396e-40,3.99914619249736e-62,4.626783011484261e-34,3.683054235473959e-24,4.4944869589943434e-101,2.0130701358972402e-20,8.659774495407224e-64,2.0996338954992455e-58,3.798426970033841e-96,2.8234271875548954e-17,3.527740019086617e-77,2.7334072121812547e-16,9.34294760385491e-17,5.943822309171547e-17,7.422400418564329e-17,6.147902720312325e-17,2.9897432332837875e-17,3.085770094718074e-20,5.399438187011371e-29,2.001713716774434e-20,1.5340554458549834e-40,5.399438187012751e-29,1.064729917044474e-30,1.1356420149646757e-22,2.9509933057810095e-17,8.391773605234907e-30,6.391004737918601e-36,8.113695838548146e-42,9.287997239136991e-61,8.40532306250121e-43,5.756158901630454e-52,1.4444183347714197e-50
2.601366013868061e-22,0.10504946994334764,0.0,0.26083783386933096,0.031075110263184432,0.31940968187635493,0.35048479213953937,0.20701222018021478,0.09201819554070544,0.0,3.4218028014713305e-52,5.64930665919335e-17,3.631729592217545e-49,0.0,2.9421641373420614e-87,6.866729372612113e-35,7.828769722482604e-57,6.28798873596901e-40,3.202560404276512e-61,1.8519189790448556e-33,7.369308344306277e-24,1.4403887244191358e-99,4.027889246717051e-20,6.934842982480713e-63,1.6809849490533382e-57,1.2169981031259838e-94,5.649307396124145e-17,5.650951882152508e-76,5.469189234879466e-16,1.8694012451373466e-16,1.1892808669096998e-16,1.4851249490788697e-16,1.2301146798198049e-16,5.982083984640505e-17,6.174221148809096e-20,2.161182409021289e-28,4.0051665419084325e-20,1.2281771280773542e-39,2.1611824090223936e-28,4.2616944416918705e-30,2.272270893673948e-22,5.904550463259522e-17,3.358893842788629e-29,5.116686129802274e-35,6.52313027043935e-41,2.988110215621141e-59,3.3643197119782145e-42,4.608427107956654e-51,1.1564707885523011e-49
5.203861583104713e-22,0.10504946994334764,0.0,0.26083783386932974,0.031075110263184432,0.3194096818763547,0.35048479213953915,0.2070122201802146,0.0920181955407049,0.0,2.7388291154088034e-51,1.130106633908109e-16,2.9068556324111185e-48,0.0,9.420746349938198e-86,2.747588820574336e-34,6.265395215503904e-56,2.51601454284961e-39,2.5633463375844947e-60,7.410088152353723e-33,1.4741816561970908e-23,4.61269150029315e-98,8.05752746835662e-20,5.550685113426086e-62,1.3453007101673324e-56,3.8968020433170946e-93,1.130106781326255e-16,9.04678073619928e-75,1.0940753279474936e-15,3.739614214602728e-16,2.3790781389230997e-16,2.970894763509177e-16,2.4607634953569685e-16,1.1966765487532971e-16,1.2351123293871306e-19,8.647544706656437e-28,8.012072192189685e-20,9.829149705769957e-39,8.647544706665278e-28,1.7052328939022337e-29,4.545529272096383e-22,1.181166477821144e-16,1.3439930057388283e-28,4.094898102968792e-34,5.264087396929823e-40,9.646503489628762e-58,1.346166104982289e-41,3.6881422744232957e-50,9.255517452600407e-49
1.040885272157802e-21,0.10504946994334764,0.0,0.26083783386932724,0.031075110263184432,0.3194096818763542,0.35048479213953876,0.20701222018021423,0.0920181955407038,0.0,2.1916181775170907e-50,2.2604585698856555e-16,2.326073433193785e-47,0.0,3.0155764159808566e-84,1.0992165516908749e-33,5.01326828835503e-55,1.0065696501679073e-38,2.0511964025486485e-59,2.964517776901629e-32,2.948683299730014e-23,1.4766131290195963e-96,1.6116803911635557e-19,4.441672656325014e-61,1.0764479513659447e-55,1.247364647208382e-91,2.2604588647539003e-16,1.4479056735576433e-73,2.1883881365462072e-15,7.48004015338017e-16,4.758672683063142e-16,5.942434392311532e-16,4.922061126271371e-16,2.393612849403403e-16,2.470492773151639e-19,3.459580977054159e-27,1.6025883492805214e-19,7.864813156326508e-38,3.459580977061233e-27,6.822042003136593e-29,9.092048512956802e-22,2.3625893408094866e-16,5.376830795562533e-28,3.276531252835557e-33,4.2818437445381226e-39,3.1381852401296837e-56,5.385540968690404e-41,2.9510741660668444e-49,7.40592275849279e-48
2.0818834998524633e-21,0.10504946994334764,0.0,0.26083783386932224,0.031075110263184432,0.3194096818763532,0.3504847921395379,0.2070122201802135,0.0920181955407016,0.0,1.7535165231897333e-49,4.521162441840744e-16,1.8610943462235652e-46,0.0,9.651382472092408e-83,4.397240948419983e-33,4.01099573781661e-54,4.026606290063403e-38,1.6411648803950194e-58,1.1859036208236702e-31,5.897686586795846e-23,4.726045159806959e-95,3.223535679819262e-19,3.553788006216327e-60,8.612449058218927e-55,3.9922041181185865e-90,4.521163031609047e-16,2.316985737425607e-72,4.377013752462111e-15,1.496089203032177e-15,9.517861771796185e-16,1.1885513649683189e-15,9.844656387460476e-16,4.787485450990061e-16,4.941253719688914e-19,1.3839450177785498e-26,3.205350609424836e-19,6.292447945814443e-37,1.3839450177842098e-26,2.729038930511031e-28,1.8185096930739846e-21,4.725435066778004e-16,2.150894253875061e-27,2.6214588697446663e-32,3.537448366065528e-38,1.0366041481609078e-54,2.1543916965334145e-40,2.3610834819281854e-48,5.925354603376992e-47
4.163879955241786e-21,0.10504946994334764,0.0,0.2608378338693123,0.031075110263184432,0.3194096818763512,0.35048479213953626,0.20701222018021206,0.09201819554069723,0.0,1.4029020164422704e-48,9.042570185750898e-16,1.48896972259878e-45,0.0,3.088712504670762e-81,1.7589814654503153e-32,3.208949393357515e-53,1.6107080562372708e-37,1.3130150127312376e-57,4.743807510279416e-31,1.179569316092747e-22,1.5124757697438447e-93,6.44724625713035e-19,2.843210368420215e-59,6.89036276618661e-54,1.2776177469051222e-88,9.042571365318767e-16,3.7074465297085985e-71,8.754264979167833e-15,2.992259578175184e-15,1.9036239951074125e-15,2.3771672163494306e-15,1.9689846907279895e-15,9.575230655309179e-16,9.882775848796515e-19,5.536005333513241e-26,6.410875129798298e-19,5.0341973381174274e-36,5.536005333558531e-26,1.091660021985333e-27,3.6371233510554765e-21,9.451126518682382e-16,8.603822250137225e-27,2.0972426207784907e-31,3.0087355368153167e-37,3.523673688612253e-53,8.617917311290662e-40,1.8889564283893448e-47,4.740550753006515e-46
8.32787286602043e-21,0.10504946994334764,0.0,0.26083783386929243,0.031075110263184432,0.3194096818763473,0.350484792139533,0.20701222018020915,0.09201819554068848,0.0,1.122357133394019e-47,1.8085385673571123e-15,1.1912134774774018e-44,0.0,9.88446594969195e-80,7.036177114968887e-32,2.5672212009392854e-52,6.4429633077063725e-37,1.0504452545656263e-56,1.8975616101847458e-30,2.359170630919052e-22,4.8401485850254265e-92,1.2894667411751228e-18,2.274640282311934e-58,5.512543341448607e-53,4.088623631290459e-87,1.8085388032735904e-15,5.932129936182875e-70,1.7508767412074914e-14,5.984600327479945e-15,3.807299631687744e-15,4.7543989187387766e-15,3.938022793668355e-15,1.9150721068530597e-15,1.9765821051143905e-18,2.2144471870590003e-25,1.2821924170884567e-18,4.027453466274494e-35,2.2144471870952105e-25,4.366729167869263e-27,7.274366564717998e-21,1.890250942236049e-15,3.4415150314309814e-26,1.6777954650704394e-30,2.6928708293910215e-36,1.2596419779178208e-51,3.447236946443294e-39,1.5112009662930472e-46,3.7925802294085755e-45
1.665585868757772e-20,0.10504946994334764,0.0,0.26083783386925263,0.031075110263184432,0.3194096818763394,0.35048479213952644,0.20701222018020332,0.09201819554067096,0.0,8.97899915028084e-47,3.617101664921124e-15,9.52985861971191e-44,0.0,3.163221245567552e-78,2.8145859545731343e-31,2.053802536993209e-51,2.5772115398672864e-36,8.403695016076438e-56,7.590323653482283e-30,4.718373260571587e-22,1.5488837276694073e-90,2.5789509720987798e-18,1.8197410213191772e-57,4.410282672714755e-52,1.3084419035076794e-85,3.6171021367560974e-15,9.491580292231616e-69,3.5017772195871666e-14,1.1969281822164459e-14,7.61465090774737e-15,9.508862322025953e-15,7.876098995455013e-15,3.830170191330617e-15,3.95319152323674e-18,8.85787885932017e-25,2.5644022254414478e-18,3.2220010128686755e-34,8.857878859609959e-25,1.7467096263190577e-26,1.4548916582841264e-20,3.780527522919411e-15,1.3765529095415948e-25,1.342190775029822e-29,2.611617654744524e-35,4.875839307135709e-50,1.3789087156078564e-38,1.2089750474373685e-45,3.034172504861096e-44
3.33118303306923e-20,0.10504946994334764,0.0,0.26083783386917303,0.031075110263184432,0.31940968187632357,0.35048479213951333,0.20701222018019166,0.09201819554063594,0.0,7.183256153909485e-46,7.23422786004901e-15,7.623947216183822e-43,0.0,1.0123245114123455e-76,1.1259092816245593e-30,1.6430537024204208e-50,1.0308898593271361e-35,6.723009205087144e-55,3.0361449039383526e-29,9.43677851987635e-22,4.9564858180525814e-89,5.157919433944016e-18,1.455804335330968e-56,3.5285601340656846e-51,4.1874200545558005e-84,7.23422880371743e-15,1.518666638410519e-67,7.003578143539546e-14,2.3938644795833446e-14,1.522935347146252e-14,1.9017789122634254e-14,1.575225138265204e-14,7.660366367618832e-15,7.906411870092927e-18,3.54316956840482e-24,5.1288218426903765e-18,2.5776161079790274e-33,3.543169568636664e-24,6.986875567997944e-26,2.9098270982281e-20,7.561080684077097e-15,5.505702860895138e-25,1.073660561244028e-28,2.8208861785592294e-34,2.1009581040176406e-48,5.515662196828763e-38,9.671856594062755e-45,2.427465271842289e-43
6.662377361692146e-20,0.10504946994334764,0.0,0.2608378338690138,0.031075110263184432,0.319409681876292,0.3504847921394871,0.20701222018016835,0.0920181955405659,0.0,5.746627656687809e-45,1.4468480250304246e-14,6.099181901200033e-42,0.0,3.2399913854717964e-75,4.504201820897434e-30,1.3144499387021814e-49,4.123569924091831e-35,5.378428641040632e-54,1.2144610500337438e-28,1.8873589038484662e-21,1.586084724160037e-87,1.0315856357626188e-17,1.1646480755924348e-55,2.8233573791288624e-50,1.3402148701727013e-82,1.4468482137625373e-14,2.429877654724691e-66,1.400717986021643e-13,4.7877370680371245e-14,3.0458758645276564e-14,3.803564269998662e-14,3.150455609154093e-14,1.532075874952764e-14,1.581285860625121e-17,1.4172714342095644e-23,1.0257661079360024e-17,2.0620990081041453e-32,1.4172714343940744e-23,2.794758555136022e-25,5.819799723393875e-20,1.5122187005556323e-14,2.201857434392543e-24,8.587735498690226e-28,3.4269350941277654e-33,1.018251823257526e-46,2.2062699138916093e-37,7.737506348143179e-44,1.9421573869801158e-42
