Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29)
0.0,0.05435919745378708,0.0,0.1349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6885211995944341e-25,0.05435919745378708,0.0,0.1349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.357430946483602e-79,1.002608086959868e-26,1.671486144465851e-78,0.0,-1.334534292543147e-167,2.622355033884713e-54,1.8137324578247708e-125,1.651360205403738e-65,2.651730747774878e-97,4.967588265630662e-86,6.349514796354314e-41,-1.7046083372772752e-144,5.270141354882306e-50,2.9300213887851287e-102,2.5097067109282117e-126,-3.8757512731209067e-159,1.0026080869598743e-26,2.0774201890017906e-126,2.553686563531116e-19,8.728651791219937e-20,2.793179958860875e-20,6.934379968233036e-20,5.743680085498188e-20,2.7931685731903804e-20,1.1385670494121554e-25
4.727859358864415e-25,0.05435919745378708,0.0,0.1349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2629749646325953e-77,2.8073026434876303e-26,2.5259498615170427e-77,0.0,2.6322664674829265e-166,3.9629029250876556e-53,5.115090376095908e-124,9.974215640638577e-65,4.028048194590811e-96,7.507019387021042e-85,1.777864142979208e-40,-1.7046083372758885e-144,3.1813424552042807e-49,4.4030124452903886e-101,7.41756002085021e-125,-3.8757512731150183e-159,2.807302643487648e-26,5.764130150185693e-125,7.150322377886901e-19,2.4440225015415826e-19,7.820903884810448e-20,1.94162639110525e-19,1.608230423939491e-19,7.820872004933065e-20,3.187987738354035e-25
1.0806535677404378e-24,0.05435919745378708,0.0,0.1349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3586508341079393e-76,6.416691756543155e-26,2.717301595336098e-76,0.0,2.8251131706032366e-164,4.2631101290597515e-52,1.1126503536343002e-122,4.80215547731407e-64,4.326310052563141e-95,8.075708891670436e-84,4.063689469666761e-40,-1.704608337207858e-144,1.531281059798532e-48,4.725760217219743e-100,1.642928514065743e-123,-3.875751272531258e-159,6.416691756543196e-26,1.2503773343217344e-123,1.6343594006597572e-18,5.586337146380761e-19,1.78763517367096e-19,4.4380031796691435e-19,3.675955254718829e-19,1.7876278868418435e-19,7.286829116237794e-25
2.2963888314484303e-24,0.05435919745378708,0.0,0.1349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2488341914711453e-75,1.3635469982654205e-25,2.4976683159542955e-75,0.0,2.304357999810424e-162,3.918532677791083e-51,2.0626884764364037e-121,2.097227460862747e-63,3.976046668903417e-94,7.42296779356657e-83,8.635340123041867e-40,-1.7046083345508093e-144,6.686699289694313e-48,4.342881156433264e-99,3.146938574580381e-122,-3.8757512265528764e-159,1.363546998265429e-25,2.3172398780343625e-122,3.473013726401533e-18,1.1870966436059117e-18,3.7987247440507897e-19,9.43075675679693e-19,7.811404916277475e-19,3.7987092595389185e-19,1.5484511872005314e-24
4.727859358864416e-24,0.05435919745378708,0.0,0.1349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0684039432813227e-74,2.8073026434876307e-25,2.136807829254852e-74,0.0,1.734170950864724e-160,3.352387205138458e-50,3.5453107552053455e-120,8.755511809050618e-63,3.4015383609856364e-93,6.350505227723036e-82,1.7778641429792078e-39,-1.7046082409521673e-144,2.7914034154844183e-47,3.715342641609645e-98,5.756013714681252e-121,-3.8757479727039977e-159,2.807302643487648e-25,3.98258974419351e-121,7.15032237788365e-18,2.444022501541582e-18,7.820903884810451e-19,1.94162639110525e-18,1.608230423939465e-18,7.820872004933067e-19,3.187987738354035e-24
9.590800413696386e-24,0.05435919745378708,0.0,0.13497388727775328,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.833770412114862e-74,5.694813933932051e-25,1.766754035042836e-73,0.0,1.3028321160041614e-158,2.7718185700205372e-49,5.87634541731699e-119,3.5769122593127117e-62,2.8124525711082586e-92,5.250720529011473e-81,3.60652440432925e-39,-1.7046051011713296e-144,1.1403469750657712e-46,3.071909099327693e-97,1.0691065794815618e-119,-3.8755291713730855e-159,5.6948139339320855e-25,6.60081941574616e-120,1.450493968084214e-17,4.957874217412923e-18,1.5865262166329776e-18,3.938727821956363e-18,3.2624102885628534e-18,1.5865197495721371e-18,6.467060840661039e-24
1.9316682523360326e-23,0.05435919745378708,0.0,0.13497388727775325,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.183475391585501e-73,1.146983651482089e-24,1.4366950397933293e-72,0.0,1.0330581375263516e-156,2.2539968279428357e-48,9.568928531796654e-118,1.4458451251208315e-61,2.2870392199044483e-91,4.269798732432382e-80,7.263844927029335e-39,-1.7045022532822614e-144,4.6093999869577596e-46,2.4980246732465735e-96,2.1155450898616743e-118,-3.861178374536298e-159,1.1469836514820958e-24,1.0747717036720184e-118,2.9214174286736163e-17,9.985577649155595e-18,3.1953978729368445e-18,7.932930683658587e-18,6.5707700178094445e-18,3.1953848477297998e-18,1.3025207045275048e-23
3.8768446742688207e-23,0.05435919745378708,0.0,0.1349738872777532,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.793733142581282e-72,2.301988167659857e-24,1.1587465974534552e-71,0.0,9.003762189768428e-155,1.8179300983786314e-47,1.5446947044710904e-116,5.813679657532073e-61,1.844579934718186e-90,3.44374736178848e-79,1.4578485972429505e-38,-1.7011726299980213e-144,1.8534064990171044e-45,2.01474731793246e-95,4.624295237381503e-117,-2.931449208420054e-159,2.3019881676598705e-24,1.7346857379920873e-117,5.863264349843236e-17,2.004098451264092e-17,6.413141185544583e-18,1.5921336407063018e-17,1.3187489476301882e-17,6.41311504404513e-18,2.6141499454503043e-23
7.767197518134396e-23,0.05435919745378708,0.0,0.13497388727775309,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,4.653841536845852e-71,4.611997200015393e-24,9.307682824307164e-71,0.0,8.772931323328855e-153,1.460260318297546e-46,2.483137128758706e-115,2.3315455658483033e-60,1.4816669111668483e-89,2.766205160004001e-78,2.9207768063229845e-38,-1.5940048720196872e-144,7.432963091431494e-45,1.6183546046391098e-94,1.1319338551602321e-115,5.6934657686306275e-158,4.611997200015417e-24,2.787593387055044e-116,1.1746958192145736e-16,4.0151798239611487e-17,1.2848627810760091e-17,3.1898147853871834e-17,2.6420928393283775e-17,1.284857543667582e-17,5.2374084272958997e-23
