Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511)
0.0,0.07659248437779444,0.0,0.19017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5062371025128592e-25,0.07659248437779444,0.0,0.19017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.0809452180819064e-68,1.1083803012577401e-22,5.158713172325922e-66,0.0,-2.9918138356045373e-143,5.807907067767335e-47,4.624889669344823e-105,4.150773730648548e-55,7.768997343128602e-81,1.2455316108545769e-73,1.7845008806323617e-32,-1.6154815735214547e-126,2.19212147640719e-28,5.250848418501024e-84,8.184748123264376e-106,-2.097194327408807e-141,1.10838030143619e-22,7.887000720395723e-105,2.704026697358897e-19,9.242523265178046e-20,2.957944001614352e-20,7.342619423820658e-20,6.081820891441149e-20,2.9576074448569794e-20,3.365567573689269e-24,1.6206127941569122e-35,2.1921214764083405e-28,2.77458706609848e-50,1.6206127941569114e-35
4.217463887036006e-25,0.07659248437779444,0.0,0.19017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.655924413794845e-67,3.1034648435216727e-22,7.795847346213343e-65,0.0,5.775751963049592e-142,3.507978049860387e-46,1.3042928992513417e-103,2.5070673333117234e-54,1.1740508785138892e-79,1.8822473703698216e-72,4.996602465770614e-32,-1.6151132053900166e-126,6.137940133940132e-28,7.935082130057156e-83,2.3082385003302324e-104,-2.0963019047946877e-141,3.103464844021332e-22,2.2242603951170324e-103,7.571274752604426e-19,2.587906514249852e-19,8.282243204520206e-20,2.0559334386697832e-19,1.7029098496035099e-19,8.281300845599549e-20,9.423589206382463e-24,9.788501276707752e-35,6.137940133947296e-28,3.2939897648721154e-49,9.78850127670774e-35
9.639917456082298e-25,0.07659248437779444,0.0,0.19017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.008631022394112e-66,7.093633928049537e-22,8.386416830209386e-64,0.0,6.098592142030327e-140,1.688942584387844e-45,2.837121961417699e-102,1.207045000872598e-53,1.2629903601009658e-78,2.024835829187174e-71,1.1420805636047116e-31,-1.596997839620771e-126,1.4029577449006017e-27,8.536199257009817e-82,5.02093035076793e-103,-2.007560688100205e-141,7.093633929191616e-22,4.838252198621082e-102,1.730577086309354e-18,5.915214889713937e-19,1.893084161033199e-19,4.699276431245213e-19,3.8923653705222516e-19,1.89286876470847e-19,2.1539632471978886e-23,4.7127420054083e-34,1.4029577449040966e-27,3.2340586842443845e-48,4.712742005408289e-34
2.0484824594174885e-24,0.07659248437779444,0.0,0.19017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.603794820718247e-65,1.5073972097105268e-21,7.708561919348902e-63,0.0,4.8204414196174145e-138,7.376074845778658e-45,5.2595460118629506e-101,5.271482637923658e-53,1.160905735010496e-77,1.86117297551686e-70,2.4269211976600124e-31,-8.893242984743505e-127,2.98128520791378e-27,7.846237774817191e-81,9.307984222405008e-102,4.984167861072284e-141,1.5073972099532184e-21,8.969304173941706e-101,3.677476308406398e-18,1.2569831640642066e-18,4.022803842195588e-19,9.985962416396056e-19,8.271276412359539e-19,4.022346125005506e-19,4.577171900401188e-23,2.058178248579277e-33,2.981285207929136e-27,2.86048828166488e-47,2.0581782485792668e-33
4.217463887036006e-24,0.07659248437779444,0.0,0.19017913871006356,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.938643395661149e-64,3.1034648435216727e-21,6.594837015119498e-62,0.0,3.4165759902527535e-136,3.079381785448434e-44,9.03981592000108e-100,2.2007402319898607e-52,9.931792975671317e-77,1.5922726649791764e-69,4.996602465770613e-31,2.404013037666188e-125,6.1379401339401406e-27,6.712621608047359e-80,1.5998134292007398e-100,4.9980160828278915e-139,3.103464844021332e-21,1.54159422078858e-99,7.571274752597371e-18,2.5879065142498164e-18,8.282243204520487e-19,2.0559334386697664e-18,1.7029098496033342e-18,8.281300845599602e-19,9.423589207143844e-23,8.592489034619929e-33,6.137940134004434e-27,2.4044127580878663e-46,8.592489034619843e-33
8.55542674227304e-24,0.07659248437779444,0.0,0.19017913871006353,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.256546525427957e-63,6.295600111143965e-21,5.4527387757443856e-61,0.0,2.2992230023747646e-134,1.2580407922019394e-43,1.498283242067164e-98,8.990741931533983e-52,8.21179849432978e-76,1.3165218309390574e-68,1.0135965001991816e-30,8.60304713336058e-124,1.2451249985992877e-26,5.55012535490782e-79,2.651602473779665e-99,3.3773388448694467e-137,6.295600112157559e-21,2.5550793657863327e-98,1.535887164096686e-17,5.249753214620973e-18,1.6801121929170783e-18,4.170607832730059e-18,3.4544742663377834e-18,1.6799210286787886e-18,1.9116423821973382e-22,3.5103121366556205e-32,1.2451249986255914e-26,1.9712828475805166e-45,3.5103121366555493e-32
1.723135245274711e-23,0.07659248437779444,0.0,0.1901791387100635,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.6481695511219987e-62,1.2679870646388548e-20,4.4340766156414645e-60,0.0,1.5086357874761145e-132,5.08530594581622e-43,2.439566012085359e-97,3.634201638321875e-51,6.677698157490875e-75,1.0705736886783874e-67,2.041469007443422e-30,2.8253323103774216e-122,2.5077869690098414e-26,4.513269764461779e-78,4.317541811346565e-98,2.216131053070274e-135,1.2679870648430012e-20,4.1602843860857603e-97,3.0934065417655996e-17,1.0573446615363035e-17,3.383887937847336e-18,8.399956620850528e-18,6.957603099805439e-18,3.383502916916482e-18,3.850209305700938e-22,1.4189242906984809e-31,2.5077869691162388e-26,1.596395958929872e-44,1.4189242906984235e-31
3.458320387369525e-23,0.07659248437779444,0.0,0.19017913871006345,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,2.135844679510169e-61,2.5448411716877716e-20,3.576243425971647e-59,0.0,9.7761433206597e-131,2.0448627257190406e-42,3.937469885764628e-96,1.4612964949697436e-50,5.3858054802453566e-74,8.634564641144342e-67,4.0972140219319025e-30,9.150817862340154e-121,5.0331109098309726e-26,3.640115569464047e-77,6.968835149200412e-97,1.436021279614218e-133,2.5448411720974912e-20,6.7147157721464525e-96,6.208445297083497e-17,2.1220833416846155e-17,6.791439427708646e-18,1.6858654197090992e-17,1.3963860766735777e-17,6.7906666933920194e-18,7.727343154858908e-22,5.705432166341049e-31,5.0331109102589427e-26,1.284918351056306e-43,5.705432166340587e-31
6.928690671559153e-23,0.07659248437779444,0.0,0.1901791387100633,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,1.715626598798978e-60,5.098549385785605e-20,2.8726332042010282e-58,0.0,6.296088027061601e-129,8.201484428808349e-42,6.327410030600203e-95,5.860452525660299e-50,4.326171854399662e-73,6.935751887536e-66,8.208704050908865e-30,2.9458676796511365e-119,1.0083758791473335e-25,2.9239387833702363e-76,1.1199712085771823e-95,9.247575181552408e-132,5.0985493866064677e-20,1.0790367984432775e-94,1.2438522807639555e-16,4.251560701980836e-17,1.3606542407434438e-17,3.3776049349570046e-17,2.7976376100576556e-17,1.3604994246343685e-17,1.548161086177792e-21,2.2881334803932754e-30,1.0083758793189985e-25,1.031066055391401e-42,2.2881334803929048e-30
