Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26)
0.0,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7207579842676956e-25,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.9775413388008643e-80,2.369209652095112e-27,3.955082629214307e-80,0.0,-2.4047000307042666e-171,2.9989588818116897e-78,1.3740903204282356e-128,4.946552055838583e-67,6.85792434769365e-100,6.257340903389335e-88,3.315149800362649e-42,-3.148046484429195e-147,1.219949186331286e-54,5.2321810514020156e-105,1.647947922374719e-129,-7.727420649807061e-162,2.3692096520951154e-27,9.016580681431383e-130,2.5478579879428655e-19,8.708729374947226e-20,1.618467784845266e-71
4.818122355949548e-25,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.9884604711958746e-79,6.633787025866313e-27,5.976920869268677e-79,0.0,5.0682141387852005e-170,1.8113711654014126e-77,3.8753213611249116e-127,2.987717441726504e-66,1.2009359262109219e-98,9.456093573201978e-87,9.282419441015417e-42,-3.148046484429062e-147,3.4158577217276015e-54,7.484112059578776e-104,5.677374516357776e-128,-7.727420649806448e-162,6.633787025866323e-27,2.9721388607525197e-128,7.134002366239827e-19,2.438444224985224e-19,9.775545420465407e-71
1.1012851099313252e-24,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.2148494036618e-78,1.5162941773408718e-26,6.429698728661136e-78,0.0,5.699651663138167e-168,8.720972439890763e-77,8.429814994803423e-126,1.43845733783786e-65,1.303290779477828e-97,1.0172433959821992e-85,2.121695872232095e-41,-3.1480464844225014e-147,7.80767479252023e-54,8.021835093044715e-103,1.3242080681167877e-126,-7.727420649745685e-162,1.5162941773408738e-26,6.475291498288858e-127,1.6306291122832953e-18,5.573586799966226e-19,4.706504318330034e-70
2.3402308586040663e-24,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.9550004717433658e-77,3.2221251268493525e-26,5.910000871182374e-77,0.0,5.048383564687496e-166,3.8086777917643403e-76,1.5627953228726675e-124,6.2821211109149985e-65,1.1989040373277724e-96,9.350219365116631e-85,4.5086037284932023e-41,-3.148046484166298e-147,1.6591308934105488e-53,7.370994457329771e-102,2.761676881541597e-125,-7.727420644959388e-162,3.2221251268493565e-26,1.2001184593597255e-125,3.4650868636016022e-18,1.1843871949928232e-18,2.0554540867534874e-69
4.818122355949548e-24,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.5280651170269684e-76,6.633787025866315e-26,5.0561301721960376e-76,0.0,4.346674940350018e-164,1.590048009768723e-75,2.6862163218612818e-123,2.622661900005616e-64,1.0257757499199656e-95,7.999309522802096e-84,9.282419441015417e-41,-3.148046475141251e-147,3.4158577217276e-53,6.305814609283838e-101,5.799080034636595e-124,-7.727420306240323e-162,6.633787025866323e-26,2.0626003739980417e-124,7.134002366236941e-18,2.4384442249852238e-18,8.581116195249598e-69
9.773905350640511e-24,0.052102880930398214,0.0,0.12937145335017874,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.0902531267438582e-75,1.3457110823900237e-25,4.180506202342409e-75,0.0,3.959376119654138e-162,6.495864986192469e-75,4.452771538085453e-122,1.07144296150286e-63,8.481397023600973e-95,6.613983804931654e-83,1.8830050866059845e-40,-3.1480461723951395e-147,6.929311378361699e-53,5.213747687778978e-100,1.3099939348623228e-122,-7.727397529509974e-162,1.3457110823900256e-25,3.418586144031047e-123,1.4471833371502523e-17,4.9465582849700255e-18,3.5056659606862375e-68
1.968547134002244e-23,0.052102880930398214,0.0,0.12937145335017872,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.6997591286226787e-74,2.7103758419968083e-25,3.399518215654843e-74,0.0,3.9551007892240885e-160,2.625732524871846e-74,7.252023975615429e-121,4.330943759385358e-63,6.896939520868446e-94,5.378381787907145e-82,3.792531371614871e-40,-3.148036255526969e-147,1.3956218691629895e-52,4.2397308954538675e-99,3.2689588137407513e-121,-7.725903644017877e-162,2.710375841996812e-25,5.566276463575738e-122,2.914749538201329e-17,9.962786404939623e-18,1.417046232085701e-67
3.950860331878629e-23,0.052102880930398214,0.0,0.1293714533501787,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.370917315237395e-73,5.439705361210377e-25,2.7418345969305332e-73,0.0,4.321742306517813e-158,1.0557955300225888e-73,1.1710734911168466e-119,1.7414534374661955e-62,5.56263240629697e-93,4.337859757208066e-81,7.611583941632642e-40,-3.1477152043639003e-147,2.8010033318166255e-52,3.419496350322665e-98,8.943034706197073e-120,-7.629120944506376e-162,5.439705361210384e-25,8.983991650503388e-121,5.84988194029533e-17,1.9995242644878815e-17,5.6978805752591375e-67
7.9154867276314e-23,0.052102880930398214,0.0,0.1293714533501786,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,1.1011953412805083e-72,1.0898364399637515e-24,2.2023906556164455e-72,0.0,5.048438367553565e-156,4.234212533414892e-73,1.8837924160395908e-118,6.984007168326152e-62,4.4682089396747796e-92,3.4844048599229624e-80,1.5249689081668185e-39,-3.1373818031629743e-147,5.611766257123886e-52,2.7467254077003526e-97,2.615650063555392e-118,-1.3971948974822302e-162,1.089836439963753e-24,1.4437033196896848e-119,1.1720146744450713e-16,4.0060155124757164e-17,2.2851049546163093e-66
1.5844739519136943e-22,0.052102880930398214,0.0,0.12937145335017844,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021495,0.09201819554070576,0.0,8.827443666781465e-72,2.1815682476491792e-24,1.7654887117568842e-71,0.0,6.149632552945882e-154,1.6958937606941148e-72,3.0267436095089004e-117,2.7972457061264596e-61,3.58182252665746e-91,2.7931817780360926e-79,3.0525899361739274e-39,-2.805753678495828e-147,1.1233292107738364e-51,2.2018403885773422e-96,7.973632454882923e-117,3.986609787013436e-160,2.181568247649182e-24,2.3149485145507634e-118,2.346067635263099e-16,8.018998008451373e-17,9.152338862619899e-66
3.170324510214803e-22,0.052102880930398214,0.0,0.12937145335017813,0.031075110263184432,0.31940968187635504,0.35048479213953954,0.20701222018021495,0.09201819554070552,0.0,7.069114305261664e-71,4.3650318630200346e-24,1.413822843755288e-70,0.0,7.670650385605588e-152,6.787996220860557e-72,4.8676593785556876e-116,1.1196272657201547e-60,2.8683630080359214e-90,2.2368107925304262e-78,6.107831992188145e-39,7.821719420747898e-147,2.2476343808967138e-51,1.763258081783581e-95,2.4879178456410277e-115,2.604132911993604e-158,4.3650318630200404e-24,3.707940775905909e-117,4.694173556846961e-16,1.6044963000402631e-16,3.663320713391801e-65
6.34202562681702e-22,0.052102880930398214,0.0,0.1293714533501775,0.031075110263184432,0.3194096818763549,0.35048479213953954,0.20701222018021495,0.09201819554070505,0.0,5.658156592506885e-70,8.731959093761745e-24,1.1316313046567304e-69,0.0,9.689560805389577e-150,2.7160839073154472e-71,7.855266787646463e-115,4.4799674449301163e-60,2.295852968754332e-89,1.790355224914999e-77,1.2218316104216578e-38,3.481470247155339e-145,4.496244721142397e-51,1.4113211229532085e-94,7.859335292496366e-114,1.6684194285095702e-156,8.731959093761757e-24,5.935925599368874e-116,9.390385399805915e-16,3.209689298430493e-16,1.465805454976758e-64
1.2685427860021453e-21,0.052102880930398214,0.0,0.12937145335017625,0.031075110263184432,0.31940968187635455,0.35048479213953954,0.20701222018021495,0.0920181955407041,0.0,4.5276716132489864e-69,1.7465813555245165e-23,9.055343115712751e-69,0.0,1.2320060981872204e-147,1.0866114170651647e-70,1.2772801111735638e-113,1.7922786959329718e-59,1.837147513491331e-88,1.4326469048620242e-76,2.4439284328273446e-38,1.1242497023417395e-143,8.99346540163348e-51,1.1293428312013056e-93,2.4986533502723066e-112,1.068205512474866e-154,1.746581355524519e-23,9.500057979601842e-115,1.878280908488873e-15,6.420075295210863e-16,5.864176295098205e-64
