Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205)
0.0,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5927536379101742e-25,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.4490882096669e-76,1.1253879084209067e-25,8.898175500980972e-76,0.0,-2.537228231769969e-161,4.8051087014279564e-73,3.322837550194474e-120,6.265641350504068e-63,4.7919298328452e-93,7.796287821352779e-83,9.504606742134946e-39,-6.987305947654502e-140,3.828254083485845e-50,1.4230907388583875e-97,4.977843008232335e-121,-1.345808002880291e-154,1.1253879084210015e-25,7.2445643426594e-121,2.503544033814852e-19,8.557261657413204e-20
4.459710186148488e-25,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.723462102449009e-75,3.151086143578539e-25,1.3446922817083222e-74,0.0,4.9072901195219776e-160,2.902285656786329e-72,9.370954480081964e-119,3.7844473757044576e-62,7.24097101085468e-92,1.1781750155627584e-81,2.661289887797785e-38,-6.987305946805858e-140,1.0719111433760365e-49,2.1503736044716542e-96,1.4094916710404152e-119,-1.3458080025752538e-154,3.151086143578804e-25,2.0428703238604377e-119,7.009923294681326e-19,2.3960332640756974e-19
1.0193623282625115e-24,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.232793720691729e-74,7.202482613893802e-25,1.4465585948435636e-73,0.0,5.189045351384717e-158,1.397325612028906e-71,2.0383891009388937e-117,1.822048504726583e-61,7.78935758157898e-91,1.2674269185415941e-80,6.082948314966366e-38,-6.987305905072604e-140,2.4500826134309408e-49,2.31322794173825e-95,3.0708576985729328e-118,-1.3458079722434941e-154,7.20248261389441e-25,4.443588908480396e-118,1.6022681816413234e-18,5.47664746074445e-19
2.166144947557837e-24,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.648183529941467e-73,1.5305275554524329e-24,1.3296365687606675e-72,0.0,4.1131572532555e-156,6.1024880677514394e-71,3.778836095148217e-116,7.95736451514017e-61,7.159749129603602e-90,1.1649836965690253e-79,1.2926265169303529e-37,-6.98730427477349e-140,5.206425553540749e-49,2.126251162902336e-94,5.7097153063971826e-117,-1.3458055824762918e-154,1.5305275554525622e-24,8.237642363955608e-117,3.404819885987289e-18,1.1637875854081957e-18
4.459710186148488e-24,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.687660978180001e-72,3.1510861435785382e-24,1.1375320782348771e-71,0.0,2.9317400357310518e-154,2.5476686486770243e-70,6.494875143973174e-115,3.322043044037258e-60,6.125314968338207e-89,9.966680795362873e-79,2.6612898877977854e-37,-6.987246843687565e-140,1.0719111433760365e-48,1.819052280091221e-93,9.871384934396657e-116,-1.3456364543285867e-154,3.1510861435788045e-24,1.4158397809790305e-115,7.009923294677556e-18,2.396033264075697e-18
9.04684066332979e-24,0.058717038926530046,0.0,0.1457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.702668085338308e-71,6.392203319830749e-24,9.405335199981427e-71,0.0,1.995103836199765e-152,1.0408057779898908e-69,1.0764850147330084e-113,1.3571629790845836e-59,5.064528757104795e-88,8.240644418315026e-78,5.39861662953265e-37,-6.985320304071876e-140,2.1744483194199593e-48,1.504027568045167e-92,1.655281778523636e-114,-1.3342635732980656e-154,6.3922033198312886e-24,2.346650509023621e-114,1.422013011205143e-17,4.860524621410697e-18
1.8221101617692392e-23,0.058717038926530046,0.0,0.14579440765457408,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.824131587062012e-70,1.2874437672335171e-23,7.648262384770817e-70,0.0,1.3381625678502055e-150,4.2071034187124207e-69,1.7527998766685682e-112,5.485869753151136e-59,4.118390664850776e-87,6.701155183814696e-77,1.087327011300238e-36,-6.922213799201013e-140,4.379522671507805e-48,1.2230502367250517e-91,2.7576301376055075e-113,-5.883357572906192e-155,1.2874437672336257e-23,3.82091200533611e-113,2.864054374677255e-17,9.789507336080693e-18
3.6569623526417596e-23,0.058717038926530046,0.0,0.14579440765457405,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.0843006636461746e-69,2.5838906377344012e-23,6.168600690650392e-69,0.0,9.048245614229537e-149,1.691657824215732e-68,2.8291006044954563e-111,2.205844100010359e-58,3.321631269073928e-86,5.404724421764654e-76,2.182257707994184e-36,-4.879187948174457e-140,8.789671375683494e-48,9.86434323624332e-91,4.652359461608985e-112,4.773726620199137e-153,2.5838906377346193e-23,6.166967377524117e-112,5.748137101610826e-17,1.9647472765420653e-17
7.3266667343868e-23,0.058717038926530046,0.0,0.14579440765457397,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,2.4774780245061003e-68,5.17678437873617e-23,4.9549555376267585e-68,0.0,6.312566223540242e-147,6.7843048329744284e-68,4.546528279296253e-110,8.846421428928584e-58,2.6681148732705605e-85,4.3413685770841745e-75,4.372119101382076e-36,6.087795101301959e-139,1.7609968784034865e-47,7.923576933017981e-90,8.12393361310925e-111,3.159466770645968e-151,5.1767843787366065e-23,9.910151018206566e-111,1.151630255543536e-16,3.936340362410047e-17
