Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93)
0.0,0.07540679193649383,0.0,0.18723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5585211963143504e-25,0.07540679193649383,0.0,0.18723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.366088603491407e-68,8.105244296859294e-23,2.093476375877652e-66,0.0,-4.432112017342346e-144,6.151978310229745e-47,9.004700258103226e-106,1.8702947344770513e-52,2.075813187334532e-81,4.700790153741209e-74,8.834667154087916e-33,-3.843039389639674e-127,1.1597991373473458e-28,1.178366462930722e-84,1.5783589415990533e-106,-5.236312240522278e-142,8.105244297742763e-23,1.3684023860930666e-105,2.776147271411434e-19,9.489035655099953e-20,3.0367954316487406e-20,7.538458439911916e-20,6.244032460729232e-20,3.0364914096319863e-20,3.0402201674962664e-24,1.5557654419680517e-35,1.157631135046624e-28,2.5848892302104806e-50,1.5557654419680506e-35,1.7499926421824095e-37,2.168002583892849e-31
4.363859349680181e-25,0.07540679193649383,0.0,0.18723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.064433097602734e-67,2.2694684031206024e-22,3.1636614992313743e-65,0.0,8.556281266478269e-143,3.715797100628198e-46,2.539469585571737e-104,1.1296580196241388e-51,3.1369688888532723e-80,7.103834080344934e-73,2.4737068031446164e-32,-3.842605546335293e-127,3.247437584572568e-28,1.780747398835444e-83,4.451249202028895e-105,-5.235209088305851e-142,2.2694684033679735e-22,3.859113673238831e-104,7.773212359951513e-19,2.6569299834279854e-19,8.503027208616491e-20,2.1107683631753356e-19,1.748329089004173e-19,8.502175946969567e-20,8.512616469039389e-24,9.396823269487033e-35,3.2413671781335025e-28,3.0687804941058812e-49,9.396823269487021e-35,1.0569955558833396e-36,6.070408149501354e-31
9.974535656411844e-25,0.07540679193649383,0.0,0.18723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.2208229209313751e-66,5.187356349989948e-22,3.403322674742582e-64,0.0,9.034547043234927e-141,1.7889985315961172e-45,5.523901070730625e-103,5.438817087859264e-51,3.374607982547708e-79,7.641980537146852e-72,5.654186978616266e-32,-3.82127028556053e-127,7.422714479023014e-28,1.9156467915118e-82,9.682460477599705e-104,-5.125513224108841e-142,5.187356350555368e-22,8.394415175152924e-103,1.776734253702966e-18,6.072982819263956e-19,1.9435490762552063e-19,4.82461340154362e-19,3.996180774866625e-19,1.9433545021644738e-19,1.9457409072324993e-23,4.524165905243093e-34,7.408839264319082e-28,3.012946886733331e-48,4.524165905243081e-34,5.0889786035439074e-36,1.3875222939123866e-30
2.1195888269875168e-24,0.07540679193649383,0.0,0.18723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0413188784320384e-65,1.1023132243728638e-21,3.1282398789518207e-63,0.0,7.141084095820767e-139,7.813045629965366e-45,1.0240381740727491e-101,2.375274312785854e-50,3.1018461297186084e-78,7.024296710944282e-71,1.2015147329559566e-31,-2.9878121188262577e-127,1.5773268267923913e-27,1.7608094382779483e-81,1.794972275427968e-102,3.517186684691751e-142,1.1023132244930157e-21,1.556183100371239e-101,3.775560289117792e-18,1.2905088490935863e-18,4.1300417870423496e-19,1.0252303478280171e-18,8.491884146591336e-19,4.1296283170995124e-19,4.1346994279693655e-23,1.9758221112994235e-33,1.5743783436737529e-27,2.6649174007777864e-47,1.9758221112994133e-33,2.222490655651703e-35,2.9484867151990908e-30
4.363859349680182e-24,0.07540679193649383,0.0,0.18723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.746391277646078e-64,2.2694684031206018e-21,2.6762750772100724e-62,0.0,5.061386576303049e-137,3.2618086326743605e-44,1.760060016748869e-100,9.91630268219732e-50,2.6536946690571204e-77,6.009433723071076e-70,2.4737068031446165e-31,2.637270001444389e-126,3.2474375845725735e-27,1.5064095458556778e-80,3.085123709035976e-101,6.151768953145922e-140,2.2694684033679728e-21,2.674681143037651e-100,7.77321235994423e-18,2.6569299834279526e-18,8.50302720861675e-19,2.1107683631753207e-18,1.7483290890039988e-18,8.502175946969606e-19,8.512616469762079e-23,8.248668373314585e-33,3.241367178176357e-27,2.2400236486726986e-46,8.248668373314499e-33,9.278460989571517e-35,6.070421411221306e-30
8.852400395065512e-24,0.07540679193649383,0.0,0.18723506437831414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.4439500802537982e-63,4.6037787606160785e-21,2.212795987922867e-61,0.0,3.406133708315304e-135,1.332568231510921e-43,2.9171705283505317e-99,4.051133206666672e-49,2.1941260697997205e-76,4.968716013289031e-69,5.018090943521937e-31,1.0112781764704473e-124,6.587659100132949e-27,1.2455285436178226e-79,5.113449108168498e-100,4.17457247889748e-138,4.603778761117887e-21,4.433087842751142e-99,1.5768516501584242e-17,5.3897722520966294e-18,1.724899805176601e-18,4.2818443938699e-18,3.5466104376934226e-18,1.7247271206709865e-18,1.7268450554623426e-22,3.369850177920456e-32,6.575344847257223e-27,1.8365067237103076e-45,3.369850177920385e-32,3.790554063282709e-34,1.2314314217060966e-29
1.782948248583617e-23,0.07540679193649383,0.0,0.1872350643783141,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1741962247463263e-62,9.272399475607032e-21,1.7994089481931187e-60,0.0,2.23495789917192e-133,5.386558739680212e-43,4.7498563928045793e-98,1.6375328141819127e-48,1.7842268808375228e-75,4.040477343659366e-68,1.0106859224276576e-30,3.3273237344855445e-123,1.326810213125374e-26,1.0128431264554372e-78,8.326195972143567e-99,2.7394280298673404e-136,9.272399476617713e-21,7.218134348898519e-98,3.175912478481284e-17,1.0855456789433754e-17,3.474093973806637e-18,8.623996455258952e-18,7.143173135071037e-18,3.4737461726190665e-18,3.47801187294498e-22,1.3621473211842234e-31,1.32433001857216e-26,1.487250759512793e-44,1.362147321184166e-31,1.5322025583792341e-33,2.4802193483921193e-29
3.578364666737749e-23,0.07540679193649383,0.0,0.18723506437831405,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,9.470317934373948e-62,1.8609640905588936e-20,1.4512885047835957e-59,0.0,1.4483088631789547e-131,2.1659959278353234e-42,7.666288705942574e-97,6.584447424515837e-48,1.4390436174531358e-74,3.2587913540052124e-67,2.0284395785785857e-30,1.0777300131215763e-121,2.662898819349548e-26,8.168946742483828e-78,1.343938437759473e-97,1.7751119355167971e-134,1.8609640907617358e-20,1.1650097940449266e-96,6.374034135106424e-17,2.1786825864107084e-17,6.972482311067436e-18,1.7308300578036622e-17,1.4336298529821347e-17,6.971784276515333e-18,6.980345509951729e-22,5.477134469066034e-31,2.65792108638609e-26,1.1970687991476892e-43,5.477134469065575e-31,6.1609191005782834e-33,4.9778326638365295e-29
7.169197503046013e-23,0.07540679193649383,0.0,0.18723506437831391,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.60707438287185e-61,3.728412376555275e-20,1.1657538514968212e-58,0.0,9.327855137794461e-130,8.687288992987821e-42,1.2319524443561286e-95,2.6406579138397414e-47,1.155918092087417e-73,2.617638436213289e-66,4.063946890880442e-30,3.469477372897282e-120,5.335076031797963e-26,6.561742269944183e-77,2.15995276752016e-96,1.1431224281377571e-132,3.7284123769616606e-20,1.8721394634987536e-95,1.27702774482744e-16,4.3649564013450086e-17,1.3969258985591966e-17,3.467690882359024e-17,2.872254931930227e-17,1.3967860484308305e-17,1.3985012792131115e-21,2.196575892921901e-30,5.325103222498172e-26,9.605723225562598e-43,2.1965758929215326e-30,2.4708041148194576e-32,9.973209143014806e-29
