Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648),CHOX(678),H2X(216),NO2X(213)
2.7027197663658275e-22,0.10054149576763871,0.0,0.24964453399104566,0.031075110263184432,0.31940968187635493,0.35048479213953937,0.20701222018021478,0.09201819554070542,0.0,6.662822190258064e-53,3.0613355503093946e-17,5.471663250645262e-50,0.0,1.941910583571666e-88,1.622506836014041e-35,9.038436047440861e-58,1.3596573406080592e-40,2.4704747374393335e-62,8.065078069578366e-34,1.7863242474308184e-24,1.8595415437728816e-101,1.0377368049893777e-20,3.320740058986509e-64,1.889592354408834e-58,4.316404207892389e-96,3.0613357289418006e-17,4.60734180274275e-77,5.559020101487576e-16,1.9001059669358247e-16,1.208668061495786e-16,1.509517972519219e-16,1.2503191860051636e-16,6.080339094343727e-17,4.809427632218656e-20,1.8489139807918572e-28,1.03259099064932e-20,9.323823151369438e-40,1.8489139807921726e-28,3.409136946976156e-30,5.145816447250509e-23,6.001532092942172e-17,2.0538835863133563e-29,3.970017993722395e-35,2.973271375819033e-41,1.6657739620487427e-59,1.0713870614158123e-42,1.524759737634603e-51,3.2736584174660077e-50,1.0289462158401637e-31
5.406613097545535e-22,0.10054149576763871,0.0,0.2496445339910444,0.031075110263184432,0.31940968187635466,0.3504847921395392,0.2070122201802146,0.09201819554070487,0.0,5.332958228225187e-52,6.124000382229842e-17,4.379548293705231e-49,0.0,6.217965404821627e-87,6.492152953929649e-35,7.233496041944957e-57,5.4404003981329045e-40,1.977381086037857e-61,3.227081752897495e-33,3.573424145859216e-24,5.954983767914605e-100,2.0759242121519977e-20,2.6579379601728914e-63,1.5122527146588827e-57,1.3821056497373597e-94,6.124000739572176e-17,7.376033962942811e-76,1.1120454018698765e-15,3.8010369907004923e-16,2.41786094632115e-16,3.0196914022408744e-16,2.501181280855875e-16,1.2163318370838116e-16,9.620943636469454e-20,7.398064245224825e-28,2.0656303490853594e-20,7.461892221361424e-39,7.398064245227348e-28,1.3640988443576568e-29,1.0293871503333313e-22,1.2005670148577909e-16,8.218193765591303e-29,3.1772151968029896e-34,2.4146700755721076e-40,5.411321348385142e-58,4.2869437834512665e-42,1.2202711934649966e-50,2.6200302790359952e-49,4.117125127872627e-31
1.0814399759904952e-21,0.10054149576763871,0.0,0.24964453399104186,0.031075110263184432,0.31940968187635416,0.3504847921395388,0.20701222018021423,0.09201819554070376,0.0,4.2674470368236053e-51,1.224933004607067e-16,3.5045259289079776e-48,0.0,1.9903738067175323e-85,2.5972936842021216e-34,5.787896236602682e-56,2.176514416852203e-39,1.582305485091281e-60,1.291042836102354e-32,7.147623942716005e-24,1.9063072425811392e-98,4.152299026477222e-20,2.126888864827231e-62,1.2100392098731088e-56,4.424128301728305e-93,1.224933076083273e-16,1.1805085127202688e-74,2.2243321849876827e-15,7.602899038112423e-16,4.836246716058555e-16,6.040038261638183e-16,5.002905470407844e-16,2.432927692434629e-16,1.924397576634929e-19,2.9597074311599315e-27,4.1317090659863197e-20,5.970647499519127e-38,2.9597074311619505e-27,5.45728366458839e-29,2.0589994253535082e-22,2.4013946259836784e-16,3.287799931337864e-28,2.5422456575092358e-33,1.9883522571906597e-39,1.7818076725629213e-56,1.7150566556059214e-41,9.764023530234672e-50,2.0964695026494167e-48,1.6471181422370572e-30
2.1629973084623786e-21,0.10054149576763871,0.0,0.2496445339910368,0.031075110263184432,0.31940968187635316,0.3504847921395381,0.20701222018021348,0.09201819554070154,0.0,3.414389863924514e-50,2.449998937375205e-16,2.80397570403841e-47,0.0,6.370249961339983e-84,1.0390098365107906e-33,4.630757256060899e-55,8.70676623306577e-39,1.266004654143121e-59,5.164591644222191e-32,1.4296023536429552e-23,6.101323318781069e-97,8.305048655127607e-20,1.7017265168369913e-61,9.681349235352321e-56,1.415956099325908e-91,2.4499990803353045e-16,1.8890881282243382e-73,4.44890574992557e-15,1.5206623132466656e-15,9.673018255880069e-16,1.2080731980248782e-15,1.0006353848913962e-15,4.866119403344024e-16,3.8490040511621926e-19,1.1839793259736222e-26,8.263866499903765e-20,4.77697153716495e-37,1.1839793259752375e-26,2.1830911595229e-28,4.118229030608327e-22,4.803049848230414e-16,1.3152168371227873e-27,2.0339748687046857e-32,1.6808393585101445e-38,6.020474362533581e-55,6.860784905891963e-41,7.81196045312211e-49,1.677359753141513e-47,6.589008789309033e-30
4.3261119734061455e-21,0.10054149576763871,0.0,0.2496445339910267,0.031075110263184432,0.31940968187635116,0.35048479213953665,0.207012220180212,0.09201819554069708,0.0,2.731684795479525e-49,4.900130802911373e-16,2.2433225562624647e-46,0.0,2.0386830361972088e-82,4.1562709268473285e-33,3.7047826547046765e-54,3.4828482114035645e-38,1.0128678336557099e-58,2.065920720640787e-31,2.8592822723856533e-23,1.9526059043004163e-95,1.6610547912428122e-19,1.3614673887196497e-60,7.745633319421117e-55,4.5315160474388545e-90,4.900131088839051e-16,3.0227606294343666e-72,8.89805287461045e-15,3.041407131929662e-15,1.9346561336909923e-15,2.4162119416733936e-15,2.0013250603534916e-15,9.73250282599385e-16,7.698217194421906e-19,4.736110018047811e-26,1.6528181368200745e-19,3.8217586546483066e-36,4.7361100180607323e-26,8.732720226951913e-28,8.2367084619758285e-22,9.60636029270373e-16,5.261000062390864e-27,1.6272335118682173e-31,1.488749548498576e-37,2.130110558745839e-53,2.744425590432451e-40,6.249864960637166e-48,1.3419710977198894e-46,2.6357107636135996e-29
8.652341303293679e-21,0.10054149576763871,0.0,0.24964453399100647,0.031075110263184432,0.31940968187634716,0.35048479213953376,0.20701222018020904,0.09201819554068819,0.0,2.1854170002301685e-48,9.800394533983271e-16,1.7947148439559505e-45,0.0,6.5243309529468075e-81,1.6625921649805584e-32,2.9638980395869525e-53,1.3931676287014456e-37,8.103199118436816e-58,8.263851011430319e-31,5.718642109871003e-23,6.248630817016382e-94,3.3221546427028147e-19,1.0892083821277265e-59,6.196951734248056e-54,1.4502096570820026e-88,9.800395105845275e-16,4.836592713692051e-71,1.7796347103216607e-14,6.082896768544251e-15,3.8693647504516924e-15,4.832489428676004e-15,4.002704410321171e-15,1.946526967461765e-15,1.5396644257762068e-18,1.894482550953898e-25,3.3056811106643087e-19,3.0574794959540553e-35,1.8944825509642417e-25,3.493159360884736e-27,1.6473748208142314e-21,1.921298118156975e-15,2.1043777526463743e-26,1.301779899587563e-30,1.4214464234532605e-36,8.118437806083185e-52,1.0977925361114713e-39,5.000010500091364e-47,1.0736256056548151e-45,1.0543057554046957e-28
1.7304799963068743e-20,0.10054149576763871,0.0,0.24964453399096603,0.031075110263184432,0.3194096818763391,0.35048479213952793,0.20701222018020313,0.0920181955406704,0.0,1.7483612661446165e-47,1.9600921996125323e-15,1.4357945950896347e-44,0.0,2.088014166431494e-79,6.65083603972498e-32,2.371149076778111e-52,5.5727272035902414e-37,6.482661875990997e-57,3.3055740306210916e-30,1.1437361784841517e-22,1.999608570413225e-92,6.644354345622417e-19,8.713804943733552e-59,4.958097023393203e-53,4.641199577187403e-87,1.960092313985266e-15,7.738688910008488e-70,3.5592935477374555e-14,1.2165876038767822e-14,7.73878198619201e-15,9.665044401503544e-15,8.005463106430482e-15,3.893080338516182e-15,3.079350149172533e-18,7.5780072937146e-25,6.611407059092128e-19,2.446012626574499e-34,7.578007293797693e-25,1.3972781193545878e-26,3.294815123420145e-21,3.842622295897932e-15,8.417075979364789e-26,1.0413757883180932e-29,1.505813548302664e-35,3.4310621486363894e-50,4.391214536143766e-39,4.000055636008047e-46,8.589446271215042e-45,4.217265921914363e-28
3.460971728261887e-20,0.10054149576763871,0.0,0.24964453399088513,0.031075110263184432,0.31940968187632307,0.35048479213951633,0.20701222018019128,0.0920181955406348,0.0,1.3987000793838489e-46,3.920197692040246e-15,1.1486447641106726e-43,0.0,6.682913096506304e-78,2.66066767791538e-31,1.8969345249867212e-51,2.2291022192433133e-36,5.186170533602162e-56,1.3222363374691382e-29,2.2874801134781814e-22,6.398822160668338e-91,1.328875375146e-18,6.971099110091867e-58,3.967264039229279e-52,1.4854792927422373e-85,3.9201979207847175e-15,1.2382014711472968e-68,7.118611189347293e-14,2.4331834567192524e-14,1.5477616466548332e-14,1.9330154342447897e-14,1.6010980483344906e-14,7.786187085943647e-15,6.158722838878361e-18,3.0312183369293384e-24,1.322285895890517e-18,1.9568217141087407e-33,3.0312183369953108e-24,5.5891421943733e-26,6.589825142122609e-21,7.685270651250857e-15,3.3664310588010167e-25,8.330088042527241e-29,1.794390695126916e-34,1.6310580791001017e-48,1.7564945260085054e-38,3.200063119649681e-45,6.872127936721254e-44,1.686914948859216e-27
6.921955192171913e-20,0.10054149576763871,0.0,0.2496445339907233,0.031075110263184432,0.31940968187629093,0.3504847921394931,0.20701222018016757,0.0920181955405636,0.0,1.1189644901104794e-45,7.840408676892885e-15,9.189194465174772e-43,0.0,2.1393126618440024e-76,1.0645254779012918e-30,1.5175585341431674e-50,8.91643155263707e-36,4.148952840067585e-55,5.28895880019571e-29,4.574967983465945e-22,2.0476350491486847e-89,2.65775525631287e-18,5.576901350198904e-57,3.175041265156116e-51,4.755355797479045e-84,7.840409134375515e-15,1.9811313502632348e-67,1.4237246339679963e-13,4.866375157595218e-14,3.095528546276525e-14,3.8660374205493695e-14,3.2022015175956986e-14,1.5572400602073095e-14,1.2317473189942632e-17,1.212490419783102e-23,2.6445762770360873e-18,1.5654620177975338e-32,1.2124904198358298e-23,2.235663594614592e-25,1.3180362833491565e-20,1.537056736144075e-14,1.3462427964565999e-24,6.662542400157038e-28,2.378773816938541e-33,8.630174877763276e-47,7.025994193225052e-38,2.560057486558761e-44,5.498561438733812e-43,6.747676955631347e-27
1.3843922119991967e-19,0.10054149576763871,0.0,0.24964453399039968,0.031075110263184432,0.3194096818762267,0.35048479213944655,0.20701222018012017,0.09201819554042122,0.0,8.951733627319222e-45,1.5680830646586993e-14,7.35137011307508e-42,0.0,6.850746095005489e-75,4.260151568997327e-30,1.2140588869199646e-49,3.5665771561917763e-35,3.319168837340135e-54,2.115586210023368e-28,9.14994372344029e-22,6.552451289712974e-88,5.315515018644022e-18,4.461529905024903e-56,2.541989770496806e-50,1.5228689853674455e-82,1.568083156152469e-14,3.169817357404902e-66,2.847451610879732e-13,9.73275854011125e-14,6.191062359720905e-14,7.732081385621365e-14,6.404408431631406e-14,3.114482771943008e-14,2.4634993778681152e-17,4.849967858086913e-23,5.289157044059075e-18,1.2523714750117838e-31,4.8499678585178435e-23,8.942673999894418e-25,2.6363508832097455e-20,3.074116077975672e-14,5.382315461521177e-24,5.327566992815156e-27,3.411218081155954e-32,4.943097035414161e-45,2.8103998295633227e-37,2.0480480616316806e-43,4.400201182967323e-42,2.6990742142707374e-26
