Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30)
0.0,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6601930438054141e-25,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.4815083047043434e-76,8.941297674576899e-26,4.9630161680607526e-76,0.0,-6.401262878756896e-162,2.2431812115779733e-73,1.0093300600802546e-120,3.4937881751154e-63,1.8132132521722884e-93,3.859143195512475e-83,5.672368031794111e-39,-2.4990003952486046e-140,1.931918109787482e-50,4.816263120015686e-98,1.5022651369827264e-121,-5.080114577090891e-155,8.941297674577468e-26,2.0438416923646274e-121,2.5980762113507666e-19
4.64854052265516e-25,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.750055350068721e-75,2.503563348881532e-25,7.500110033172444e-75,0.0,1.2389001907643706e-160,1.3548814523433926e-72,2.8464803624501135e-119,2.110248057769702e-62,2.739996743292429e-92,5.831937197058079e-82,1.5882630489023512e-38,-2.4990003950674723e-140,5.40937070740495e-50,7.278150279058381e-97,4.259823262174325e-120,-5.080114576403734e-155,2.503563348881691e-25,5.7634623524670086e-120,7.274613391781874e-19
1.062523548035465e-24,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.034138420791204e-74,5.722430511729215e-25,8.068276124091898e-74,0.0,1.3107036262577813e-158,6.523170971365972e-72,6.1917235573887355e-118,1.0159936013235587e-61,2.9476139666032947e-91,6.273731910080296e-81,3.630315540348231e-38,-2.4990003861597363e-140,1.2364275902639887e-49,7.82964728366567e-96,9.28614796736818e-119,-5.080114508073049e-155,5.7224305117295795e-25,1.2536973517773029e-118,1.6627687752642991e-18
2.2578625395753634e-24,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.7080682295530955e-73,1.2160164837424582e-24,7.416135799608801e-73,0.0,1.0399903542989916e-156,2.8488401469977867e-71,1.1478436100771762e-116,4.437110982396559e-61,2.7093693043703323e-90,5.7666404941899896e-80,7.714420523239991e-38,-2.4990000381800275e-140,2.6274086293109757e-49,7.196806984349665e-95,1.7284054506180513e-117,-5.0801091244339865e-155,1.2160164837425355e-24,2.3241488843653707e-117,3.533383647436084e-18
4.6485405226551594e-24,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.172330438633938e-72,2.5035633488815314e-24,6.344660313053974e-72,0.0,7.42750507084132e-155,1.1893346858115801e-70,1.9728581681054931e-115,1.8524064904461852e-60,2.3179228729593544e-89,4.933482351424466e-79,1.588263048902351e-37,-2.498987779779146e-140,5.40937070740495e-49,6.157021019251087e-94,2.994390788007572e-116,-5.07972811432096e-155,2.503563348881691e-24,3.994619284824881e-116,7.274613391777897e-18
9.429896488814753e-24,0.05820194281292722,0.0,0.14451542400449827,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.622944153518246e-71,5.078657079159678e-24,5.245887840533526e-71,0.0,5.07429808772421e-153,4.858820294328591e-70,3.2698951674793875e-114,7.56768493882696e-60,1.916503493215122e-88,4.0790986123521696e-78,3.221905042059055e-37,-2.498576568749773e-140,1.0973294863592896e-48,5.090744152085772e-93,5.041548157594927e-115,-5.0541074055151494e-155,5.0786570791600015e-24,6.620788758448373e-115,1.4757072880454495e-17
1.8992608421133937e-23,0.05820194281292722,0.0,0.14451542400449824,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.1329346248869193e-70,1.0228844539715971e-23,4.2658688704213745e-70,0.0,3.429068483213111e-151,1.9640128750417489e-69,5.324265960298976e-113,3.0589792491459376e-59,1.5584688158893138e-87,3.317055247609415e-77,6.489189028372463e-37,-2.485106775160028e-140,2.2101143175968788e-48,4.1397086101593956e-92,8.464696568651149e-114,-3.3736889172242214e-155,1.0228844539716624e-23,1.0780238215702195e-113,2.972199185777959e-17
3.811803228577231e-23,0.05820194281292722,0.0,0.1445154240044982,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.7202890458345404e-69,2.0529219460828558e-23,3.4405777857075747e-69,0.0,2.351110000416768e-149,7.897209600986466e-69,8.593675131616257e-112,1.2300021022020762e-58,1.2569615597905378e-86,2.675325225775722e-76,1.3023757000999278e-36,-2.0490322914583884e-140,4.4356839800720555e-48,3.338824966389346e-91,1.4487913484131095e-112,1.0549372874257267e-153,2.0529219460829866e-23,1.7399347952893807e-112,5.965182981231734e-17
7.636888001504906e-23,0.05820194281292722,0.0,0.14451542400449816,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,1.3818297149458991e-68,4.112996930305373e-23,2.7636591841268787e-68,0.0,1.680354198047639e-147,3.1671344304623576e-68,1.3810732153545136e-110,4.932858561716377e-58,1.009659881362162e-85,2.148966711770137e-75,2.609289294625291e-36,1.198652697966261e-139,8.886823305022405e-48,2.681925786199529e-90,2.5935953360435863e-111,7.1155658630233e-152,4.112996930305635e-23,2.7960285064236645e-111,1.1951150572094316e-16
1.5287057547360255e-22,0.05820194281292722,0.0,0.14451542400449804,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070574,0.0,1.1077075527385838e-67,8.233146898750408e-23,2.2154149084661643e-67,0.0,1.2922847327745494e-145,1.2685058762160787e-67,2.2148196966834357e-109,1.9757163900502306e-57,8.093673657400073e-85,1.7226628082062757e-74,5.223116483676017e-36,4.624273947730492e-138,1.7789101954923087e-47,2.1498954734725287e-89,5.009988506505593e-110,4.571267878649113e-150,8.233146898750932e-23,4.483374084443395e-110,2.3923085753639606e-16
3.058739663907095e-22,0.05820194281292722,0.0,0.1445154240044978,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.0920181955407055,0.0,8.87064432546615e-67,1.6473446835640477e-22,1.7741287073246444e-66,0.0,1.1020806285420458e-143,5.077330411161714e-67,3.5485129177738346e-108,7.908014425710335e-57,6.481503184096705e-84,1.3795273875787044e-73,1.045077086177747e-35,1.4897416015390896e-136,3.559365925472439e-47,1.7216600207308246e-88,1.075152492063386e-108,2.9301652801628172e-148,1.6473446835641526e-22,7.181190199509122e-109,4.786695611601068e-16
6.118807482249235e-22,0.05820194281292722,0.0,0.14451542400449732,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070502,0.0,7.100110778030805e-66,3.2954046709420617e-22,1.4200220293273485e-65,0.0,1.0565342589528585e-141,2.0315943853217172e-66,5.683751460822612e-107,3.164235836864213e-56,5.187829533773006e-83,1.1041810395911151e-72,2.0906079617980375e-35,4.771514121851421e-135,7.120277385432672e-47,1.378025814224518e-87,2.594239068154254e-107,1.8767543938058413e-146,3.2954046709422714e-22,1.1496141205216573e-107,9.575469683787482e-16
1.2238943118933512e-21,0.05820194281292722,0.0,0.14451542400449635,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070406,0.0,5.68152710074967e-65,6.59152464569809e-22,1.1363053191012995e-64,0.0,1.1254583634059607e-139,8.127707380790792e-66,9.10622899969335e-106,1.265900377409513e-55,4.151314678272646e-82,8.835685381110042e-72,4.181669713038618e-35,1.5274631188833452e-133,1.4242100305353032e-46,1.1026998386102265e-86,6.946463010854772e-106,1.2015864820053035e-144,6.5915246456985095e-22,1.8398816859032253e-106,1.91530178270091e-15
2.447921439230207e-21,0.05820194281292722,0.0,0.14451542400449444,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070215,0.0,4.545797142183606e-64,1.3183764595210146e-21,9.09159347587579e-64,0.0,1.2952830004140892e-137,3.251353106549935e-65,1.4603176254270036e-104,5.064013624313462e-55,3.321472214452109e-81,7.069443239896497e-71,8.36379321551978e-35,4.888796315060293e-132,2.8485746145193324e-46,8.82271559415652e-86,2.005963512392193e-104,7.691637599912857e-143,1.3183764595210985e-21,2.9442100287772254e-105,3.830811410884752e-15
4.895975693903918e-21,0.05820194281292722,0.0,0.1445154240044906,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554069832,0.0,3.636867912431355e-63,2.6368244494234258e-21,7.27373517802863e-63,0.0,1.564940920843115e-135,1.3005986093430589e-64,2.3466620383664964e-103,2.0256878755951945e-54,2.6573459705618534e-80,5.655912587772018e-70,1.6728040220482104e-34,1.564561013771515e-130,5.697303782487221e-46,7.058619256705842e-85,6.071965122238214e-103,4.9231230940789827e-141,2.6368244494235935e-21,4.7110555338605e-104,7.661830665410507e-15
9.792084203251342e-21,0.05820194281292722,0.0,0.14451542400448295,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554069066,0.0,2.9095864122290705e-62,5.273720429228248e-21,5.8191723069744995e-62,0.0,1.943582109377971e-133,5.202535844639392e-64,3.786772857839316e-102,8.102916357054744e-54,2.125944058102874e-79,4.5248732729298537e-69,3.3456534230406752e-34,5.006829153664171e-129,1.1394762118422319e-45,5.647074123371103e-84,1.8874842858046715e-101,3.1509508751057932e-139,5.273720429228583e-21,7.537944453531071e-103,1.53238691670943e-14
