Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204)
0.0,0.0945796191447709,0.0,0.2348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.26010101954598e-25,0.0945796191447709,0.0,0.2348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.635888301213378e-64,5.375576932254354e-21,1.7270670319092203e-63,0.0,-7.026370270607161e-133,4.126146387758486e-53,2.8841172743225998e-96,6.103859850736696e-51,7.908961764013e-74,2.401797272520604e-68,9.59781334667336e-29,-1.1261758059837641e-118,6.486592048288203e-37,5.455292288077646e-76,5.808813218014597e-97,-1.0318709317164463e-133,5.375577028232488e-21,2.0929292426989288e-95,2.5137882911171576e-19,8.592277135087338e-20,2.749528683227988e-20,6.82603864516506e-20,5.653942011929525e-20,2.749528683227988e-20
3.5282828547287444e-25,0.0945796191447709,0.0,0.2348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.305055434070835e-62,1.5051615410312194e-20,2.6099436866033948e-62,0.0,1.3564514859554584e-131,6.235330292753419e-52,8.133672193214621e-95,3.686731349844964e-50,1.19520230177764e-72,3.629596046560281e-67,2.687387737068541e-28,1.1509363725227949e-119,1.8162680733442864e-36,8.244037705742905e-75,1.6381783407288656e-95,1.090578155893295e-133,1.505161567905097e-20,5.902395333089778e-94,7.038607215127524e-19,2.405837597824444e-19,7.698680313038444e-20,1.9112908206462126e-19,1.5831037633402458e-19,7.698680313038444e-20
8.064646525094273e-25,0.0945796191447709,0.0,0.2348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.403919082472502e-61,3.440369236642787e-20,2.807658318675024e-61,0.0,1.4322695292516602e-129,6.707643402039692e-51,1.7692513642829922e-93,1.775002444594231e-49,1.2857440960520597e-71,3.904553799525025e-66,6.142600541870951e-28,6.1157426193554795e-117,4.151575009669578e-36,8.868559566882027e-74,3.563395774235232e-94,2.121438520495718e-131,3.440369298068793e-20,1.2838999093883757e-92,1.6088245063146186e-18,5.499057366455813e-19,1.7596983572659668e-19,4.368664732905605e-19,3.618522887634748e-19,1.7596983572659668e-19
1.713737386582533e-24,0.0945796191447709,0.0,0.2348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.290443510715706e-60,7.310784627865922e-20,2.580721711724549e-60,0.0,1.132089727837587e-127,6.165464125650083e-50,3.279893854112013e-92,7.751902010435604e-49,1.1818203384729294e-70,3.588957637193566e-65,1.305302615147577e-27,2.4457652883926647e-115,8.822545679497599e-36,8.151734160228626e-73,6.605935422309045e-93,1.6840574872537428e-129,7.310784758396184e-20,2.3801340532605342e-91,3.4187520759175228e-18,1.1685496903718353e-18,3.739359009190337e-19,9.28341255742431e-19,7.689361136223413e-19,3.739359009190337e-19
3.528282854728744e-24,0.0945796191447709,0.0,0.2348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1040015919185315e-59,1.5051615410312193e-19,2.2078617579025357e-59,0.0,8.023851537294576e-126,5.274678105296647e-49,5.637299521656712e-91,3.2362664928605966e-48,1.0110721811573004e-69,3.070428819165933e-64,2.687387737068541e-27,8.6449151259787e-114,1.8165914207863375e-35,6.973980197570973e-72,1.1353915868338986e-91,1.1936651065909745e-127,1.5051615679050968e-19,4.090842310676201e-90,7.038607215120018e-18,2.4058375978242636e-18,7.69868031303958e-19,1.9112908206461393e-18,1.5831037633399391e-18,7.69868031303958e-19
7.157373791021167e-24,0.0945796191447709,0.0,0.23484119433646608,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,9.1280986549545e-59,3.0533276975204734e-19,1.825502797293427e-58,0.0,5.399684877426013e-124,4.361203364361926e-48,9.343410546858068e-90,1.322120459108971e-47,8.359740315997709e-69,2.538689923958421e-63,5.451557980910469e-27,2.9043630387468347e-112,3.6858360019433897e-35,5.766221690905512e-71,1.8818285218964504e-90,8.032825102305473e-126,3.0533277520360535e-19,6.780271121766178e-89,1.427831749351175e-17,4.8804134127288005e-18,1.5617322920740075e-18,3.877189950453425e-18,3.2114390627745933e-18,1.5617322920740075e-18
1.4415555663606013e-23,0.0945796191447709,0.0,0.23484119433646605,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.422818230582637e-58,6.149660010498982e-19,1.4844685575758964e-57,0.0,3.5429315794443626e-122,3.54645715014159e-47,1.5213321986020997e-88,5.344222284592811e-47,6.79800198991564e-68,2.064420484667745e-62,1.0979898468594324e-26,9.520908156387861e-111,7.426608666193082e-35,4.688995716057975e-70,3.064070672491625e-89,5.27063042491793e-124,6.149660120297966e-19,1.1039913851220416e-87,2.87577380502422e-17,9.829565042536595e-18,3.145460813614908e-18,7.808988210067475e-18,6.468109661641735e-18,3.145460813614908e-18
2.8931919408775707e-23,0.0945796191447709,0.0,0.234841194336466,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.986771813022236e-57,1.2342324636455999e-18,1.1972776702518809e-56,0.0,2.2957680101260946e-120,2.8603457723927124e-46,2.4554363122840375e-87,2.1488882758912554e-46,5.4828348794015566e-67,1.6650299096525967e-61,2.2036579443962035e-26,3.0835052416498988e-109,1.4917288002434827e-34,3.7818449155361575e-69,4.9454248617214865e-88,3.4152900777743185e-122,1.2342324856821793e-18,1.781846546545188e-86,5.771657916349102e-17,1.972786830214707e-17,6.312917856699921e-18,1.567258472929348e-17,1.2981450859367356e-17,6.312917856699921e-18
5.796464689911509e-23,0.0945796191447709,0.0,0.23484119433646589,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,4.808900694837264e-56,2.4727653888370033e-18,9.617185354995981e-56,0.0,1.4784117139505184e-118,2.2975851173430678e-45,3.9458202686266436e-86,8.618003100096029e-46,4.404111144487046e-66,1.337442571643822e-60,4.414994139469746e-26,9.926525730584384e-108,2.993518270588784e-34,3.037783501707861e-68,7.947172840675023e-87,2.1993512042695016e-120,2.4727654329869444e-18,2.8633795653374846e-85,1.1563426138914034e-16,3.9524474821347565e-17,1.2647831942882788e-17,3.139977776773715e-17,2.600813325478393e-17,1.2647831942882788e-17
