Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),HNOH(93),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(680),CH2OX(648)
1.9497451864833674e-22,0.045450764422602166,0.0,0.11285424806132056,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,2.0864470983478296e-77,1.429588073440895e-26,2.1021140502635097e-76,0.0,2.8517988160349655e-124,1.4610471283102872e-45,1.2810080513491173e-87,1.0981710645610408e-61,-3.159538081304377e-100,1.763738320704688e-45,9.858270135260261e-44,-1.0664382144502226e-156,5.157927735021586e-38,-2.6467778494122083e-106,3.9771441203082447e-85,4.082823428277447e-141,1.4295880734408837e-26,1.5329179525906847e-111,2.696329780250212e-16,9.216214747129408e-17,5.86015440561714e-17,7.321718915367117e-17,6.064509201753148e-17,2.949188719081372e-17,1.2696937073311364e-23,1.6901327104269358e-31,5.158236997346283e-38,1.9554346403192587e-44,1.6901327104267613e-31,6.004353186166195e-34,3.399682230571059e-39,2.910964416842027e-17,1.2962665458377834e-36,7.23777359633919e-40,5.779084827005007e-48,1.0939693579435198e-65,1.0418554420308973e-57
3.9011843305570763e-22,0.045450764422602166,0.0,0.11285424806131995,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070545,0.0,1.6708498617335285e-76,2.860418186910843e-26,1.68339613003695e-75,0.0,1.827787735075072e-122,1.170022663054924e-44,1.2008546995563514e-86,4.395546174633703e-61,-4.868003749028663e-99,7.059549717536195e-45,1.9725105231541592e-43,-1.0665588280419275e-156,1.0320336730420936e-37,-4.077977274597507e-105,6.369742992855772e-84,2.616795368567716e-139,2.860418186910797e-26,2.455523030667835e-110,5.395002157990567e-16,1.8440436631310974e-16,1.1725400170405052e-16,1.4649799011373065e-16,1.213428730811027e-16,5.900939722019356e-17,2.5404905706222324e-23,6.7649354546686785e-31,1.0323213363057172e-37,1.5655367002302484e-43,6.764935454667281e-31,2.4033060814022243e-33,1.3591200976107002e-38,5.824457907894994e-17,5.185549744653878e-36,5.791602397453196e-39,9.249349241569756e-47,7.00674469574318e-64,4.1701378787043495e-57
7.804062618704495e-22,0.045450764422602166,0.0,0.11285424806131873,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070491,0.0,1.3373570934084424e-75,5.722078413850739e-26,1.3473991936203821e-74,0.0,1.1706285668142643e-120,9.364923462176695e-44,1.2415862147255606e-85,1.7587910162566608e-60,4.909284123636301e-99,2.824739435948356e-44,3.945877542410424e-43,-1.0660721768585408e-156,2.064515472893745e-37,4.112558272931873e-105,1.01966415957952e-82,1.6759623814090097e-137,5.722078413850555e-26,3.931121791119691e-109,1.0792346913291106e-15,3.688888039967384e-16,2.3455891699980747e-16,2.9305959203384774e-16,2.4273843520817774e-16,1.1804441727895007e-16,5.082084398384529e-23,2.7068553555163992e-30,2.0659942561657852e-37,1.2529051587470281e-42,2.7068553555152803e-30,9.616354995503996e-33,5.434973171163954e-38,1.1651444890000797e-16,2.072582522439517e-35,4.630219794704251e-38,1.4790033754109365e-45,4.482665615907898e-62,1.6685998826897706e-56
1.5609819194999331e-21,0.045450764422602166,0.0,0.11285424806131628,0.031075110263184432,0.3194096818763542,0.350484792139539,0.20701222018021426,0.09201819554070383,0.0,1.070156622498108e-74,1.1445398867730527e-25,1.078192337995201e-73,0.0,7.494726142469567e-119,7.493836095618762e-43,1.442402841873807e-84,7.036309320958264e-60,-1.9389186062201095e-97,1.1300797103651376e-43,7.892611580922948e-43,-1.1429615495105359e-156,4.129479075684174e-37,-1.6242522440615582e-103,1.6318669954166528e-81,1.0730043652711784e-135,1.144539886772979e-25,6.291623418373026e-108,2.1587036423171506e-15,7.378576793639856e-16,4.691687475913155e-16,5.861827958740742e-16,4.855295594620585e-16,2.3611445739645036e-16,1.016527245862954e-22,1.0829184020419482e-29,4.136050682757482e-37,1.0025144870966991e-41,1.0829184020410528e-29,3.847168352667612e-32,2.1736876616053777e-37,2.330541885421188e-16,8.273231712553768e-35,3.6971854319913717e-37,2.3621266802810935e-44,2.864089211874694e-60,6.675511277299878e-56
3.1221332347589005e-21,0.045450764422602166,0.0,0.11285424806131136,0.031075110263184432,0.3194096818763532,0.35048479213953837,0.20701222018021354,0.09201819554070166,0.0,8.56233690339848e-74,2.2892039775490074e-25,8.626630779327841e-73,0.0,4.797489981182395e-117,5.995827898675125e-42,1.872412411505967e-83,2.8147527958821464e-59,-1.5993550123808341e-96,4.520686739631006e-43,1.578607965794797e-42,-3.680047440860561e-156,8.259406293613534e-37,-1.339796296542305e-102,2.611310710949361e-80,6.868471222511196e-134,2.289203977548713e-25,1.0068060551079477e-106,4.317641544004956e-15,1.4757954300984389e-15,9.383884087743085e-16,1.172429203554497e-15,9.711118079687427e-16,4.722545376314005e-16,2.033165019800123e-22,4.332026152943609e-29,8.287005883427121e-37,8.020877418512399e-41,4.332026152936445e-29,1.5389927259166535e-31,8.694147269695914e-37,4.661336678263192e-16,3.2948940458811123e-34,2.9457917255644123e-36,3.764650946492972e-43,1.8260238049399867e-58,2.6704637638728965e-55
6.244435865276835e-21,0.045450764422602166,0.0,0.11285424806130155,0.031075110263184432,0.31940968187635127,0.3504847921395372,0.2070122201802121,0.09201819554069735,0.0,6.850303118550129e-73,4.57853215910091e-25,6.901741495711492e-72,0.0,3.0706704982404933e-115,4.796965945028674e-41,2.6474645221729416e-82,1.1259469334838714e-58,-1.2103276164429445e-95,1.8083482781062577e-42,3.157301581199789e-42,-8.048071767465345e-155,1.6519260778866282e-36,-1.0139040085285353e-101,4.1783559706304794e-79,4.396219477225968e-132,4.578532159099733e-25,1.6110067442927445e-105,8.635517346227474e-15,2.95167093156718e-15,1.8768277311402036e-15,2.3449220189152207e-15,1.9422763049778006e-15,9.44534698101098e-16,4.066441215227128e-22,1.7328809726426568e-28,1.6632285674711362e-36,6.417006559765779e-40,1.732880972636926e-28,6.15622252258389e-31,3.4775382162321196e-36,9.322926263946356e-16,1.3064209128512942e-33,2.3373977701208183e-35,5.975884055401408e-42,1.159533989652797e-56,1.068301069987269e-54
1.2489041126312704e-20,0.045450764422602166,0.0,0.11285424806128193,0.031075110263184432,0.3194096818763474,0.3504847921395349,0.2070122201802092,0.09201819554068871,0.0,5.480415938465816e-72,9.157188522204686e-25,5.521567975502756e-71,0.0,1.9653177350098723e-113,3.837694208116445e-40,3.9572071141121384e-81,4.5038793658287044e-58,-9.908647490260333e-95,7.233540279551524e-42,6.314688812009732e-42,-2.59550583947358e-153,3.3038969946947846e-36,-8.300576862814031e-101,6.685576626890771e-78,2.813707798756914e-130,9.157188522199971e-25,2.5777044395983962e-104,1.7271268946060144e-14,5.903421934504005e-15,3.7537063758716265e-15,4.689907649636182e-15,3.884605298978679e-15,1.889095019039682e-15,8.132996196291802e-22,6.931664916007481e-28,3.349632281705968e-36,5.133727101034019e-39,6.931664915961633e-28,2.4625400059481403e-30,1.3909911465330017e-35,1.8646105435309316e-15,5.135314454367827e-33,1.8397325908619964e-34,9.41203323024238e-41,7.306087660590954e-55,4.274601077777293e-54
2.4978251648384443e-20,0.045450764422602166,0.0,0.11285424806124267,0.031075110263184432,0.3194096818763396,0.3504847921395302,0.20701222018020346,0.09201819554067144,0.0,4.384402129281519e-71,1.8314501248412117e-24,4.417324332563681e-70,0.0,1.257831708344471e-111,3.070203944968433e-39,6.108534544287023e-80,1.8015700728732006e-57,-8.185813144278249e-94,2.893445545507002e-41,1.2629463273629438e-41,-8.570539683291482e-152,6.60783890734153e-36,-6.857340646693017e-100,1.0697088265082881e-76,1.8008137389883682e-128,1.831450124839326e-24,4.1244020238739394e-103,3.4542772127275995e-14,1.180692394037502e-14,7.507463665333001e-15,9.37987891107616e-15,7.769263286911478e-15,3.778215660913609e-15,1.6266116519263753e-21,2.772694171738107e-27,6.791830734087535e-36,4.107030422742769e-38,2.772694171701427e-27,9.850267396427405e-30,5.563916304577841e-35,3.729246377802175e-15,1.9851727451803708e-32,1.4256387631189738e-33,1.4602116039558032e-39,4.535088763097064e-53,1.7124290142439334e-53
4.995667269252792e-20,0.045450764422602166,0.0,0.11285424806116415,0.031075110263184432,0.319409681876324,0.35048479213952083,0.20701222018019197,0.0920181955406369,0.0,3.507549455040384e-70,3.662912670082648e-24,3.5338875103631864e-69,0.0,8.050213680038434e-110,2.4561825830459897e-38,9.595254623685271e-79,7.206316944738967e-57,-6.290755214621291e-93,1.1573841049655607e-40,2.525901219686815e-41,-2.6404949761409633e-150,1.321572304875674e-35,-5.269830946699696e-99,1.7115473754943142e-75,1.1525338324211216e-126,3.662912670075106e-24,6.599103175220916e-102,6.908577841590976e-14,2.3613927952106512e-14,1.501497824424988e-14,1.8759821433948337e-14,1.5538579262501257e-14,7.556456944648496e-15,3.2532398608577706e-21,1.1090833097847205e-26,1.3953791734498042e-35,3.2856438350525295e-37,1.1090833097553768e-26,3.940132735518107e-29,2.2255568653537547e-34,7.458518046339265e-15,7.437979122224322e-32,1.0730090345782007e-32,2.2024021364784483e-38,2.7373478684072496e-51,6.904678726423086e-53
9.991351478081487e-20,0.045450764422602166,0.0,0.11285424806100712,0.031075110263184432,0.3194096818762928,0.35048479213950207,0.20701222018016896,0.09201819554056781,0.0,2.806050664720553e-69,7.325837760565326e-24,2.827121327233043e-68,0.0,5.152165794334603e-108,1.9649538314384245e-37,1.5209685609498496e-77,2.8825341085608124e-56,-5.0824516219782836e-92,4.629548193408219e-40,5.051811004334274e-41,-8.520365957307846e-149,2.6431492596074054e-35,-4.257622483919462e-98,2.7384864032970658e-74,7.376258254064628e-125,7.325837760535157e-24,1.05586130302038e-100,1.381717906979856e-13,4.722793597552734e-14,3.003000740206015e-14,3.7519706479661575e-14,3.1077211212577525e-14,1.511293951206639e-14,6.506512856068279e-21,4.436344521321738e-26,2.938797011790658e-35,2.628522866750477e-36,4.4363445210869837e-26,1.5760616914703213e-28,8.90220814826889e-34,1.491706138339186e-14,2.6372859232482035e-31,7.671157177395416e-32,3.160536305888135e-37,1.5726259967575863e-49,2.8864545720089623e-52
