Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211)
0.0,0.05003979878925138,0.0,0.12424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.722088583104208e-25,0.05003979878925138,0.0,0.12424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.440864726812868e-82,5.4922512931389435e-28,8.881729403755368e-82,0.0,-3.5889875939686395e-175,3.494529506028918e-80,9.814884645096464e-132,1.4514378115436033e-68,-7.143671195514219e-102,7.515740777817544e-90,1.717599613075415e-43,-5.512656748590017e-150,2.6479483623654214e-56,-2.7250942976052165e-107,5.834912000559507e-133,-1.4304483739545796e-164,5.492251293138944e-28,0.0,2.4988363822734884e-19,8.541170625864538e-20,3.445358609813505e-73,6.785437649469766e-20,5.620312598558113e-20
4.821848032691783e-25,0.05003979878925138,0.0,0.12424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.711034775159614e-81,1.5378303620789042e-27,1.342206947495512e-80,0.0,9.794459006138547e-174,2.1106958225495062e-79,2.7682975418874746e-130,8.766684381723365e-68,3.8253359917877266e-101,1.1357787463437875e-88,4.809278916611163e-43,-5.512656748590004e-150,7.414255414623181e-56,1.3118965474828096e-106,4.514402198523888e-131,-1.4304483739545742e-164,1.5378303620789044e-27,1.5127281420927428e-131,6.996741870365602e-19,2.391527775242071e-19,2.0809966003273566e-72,1.8999225418515348e-19,1.5736875275962712e-19
1.1021366931866932e-24,0.05003979878925138,0.0,0.12424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.21942496908515e-80,3.515040827608924e-27,1.4438849857097028e-79,0.0,1.2684597499614865e-171,1.0162091816893253e-78,6.021949112409662e-129,4.220781155968799e-67,4.3128226007197596e-100,1.2218189467682425e-87,1.0992637523682657e-42,-5.512656748589325e-150,1.69468695191387e-55,1.5029034504767285e-105,1.2306084154342454e-129,-1.4304483739539126e-164,3.515040827608924e-27,3.6172234621420896e-130,1.5992552846549149e-18,5.466349200553305e-19,1.0019102837337674e-71,4.342680095660651e-19,3.597000063077187e-19
2.342040473021723e-24,0.05003979878925138,0.0,0.12424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.635895343981939e-79,7.469461758668964e-27,1.327179061344357e-78,0.0,1.3681817033333843e-169,4.438052486342186e-78,1.1164700697751122e-127,1.8433260206603763e-66,3.5252763956392667e-99,1.12306211294772e-86,2.3359354737825645e-42,-5.512656748565727e-150,3.601209772816973e-55,1.230128096927127e-104,3.1360078722904637e-128,-1.4304483739070138e-164,7.469461758668965e-27,6.03549104137891e-129,3.3984174798913515e-18,1.1615992051175774e-18,4.375605434463151e-71,9.228195203278885e-19,7.643625134039003e-19
4.821848032691783e-24,0.05003979878925138,0.0,0.12424882039371117,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.677148176380855e-78,1.5378303620789043e-26,1.135429628900802e-77,0.0,1.486874218813657e-167,1.852799556361558e-77,1.919277340402762e-126,7.695523276804186e-66,2.9754638444566126e-98,9.608032821472615e-86,4.8092789166111625e-42,-5.512656747745453e-150,7.414255414623179e-55,1.0384461979642223e-103,8.32171764133062e-127,-1.4304483706488848e-164,1.5378303620789043e-26,1.0182882418026497e-127,6.996741870363133e-18,2.3915277752420713e-18,1.82672913492312e-70,1.899922541851535e-18,1.573687527596257e-18
9.781463152031902e-24,0.05003979878925138,0.0,0.12424882039371116,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.693975897513122e-77,3.11959873450292e-26,9.38795174231346e-77,0.0,1.6965428565899133e-165,7.56929079486829e-77,3.1822233360641005e-125,3.143872357315907e-65,2.4562764103826453e-97,7.944107337930769e-85,9.755965802268358e-42,-5.512656720272173e-150,1.5040346698235587e-54,8.57264980657921e-103,2.350982876055125e-125,-1.4304481521182437e-164,3.11959873450292e-26,1.6834277561510142e-126,1.4193390651302338e-17,4.8513849154910575e-18,7.46278456320044e-70,3.854128584898828e-18,3.1923375559809454e-18
1.970069339071214e-23,0.05003979878925138,0.0,0.12424882039371113,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.81706324427877e-76,6.283135479350952e-26,7.63412644569238e-76,0.0,2.0264155184227163e-163,3.059628405100984e-76,5.1852094152775135e-124,1.2708034730213786e-64,1.9970210272864457e-96,6.460016154809423e-84,1.964933957358275e-41,-5.51265582051647e-150,3.029252926546038e-54,6.9698192196013014e-102,6.992311958471141e-124,-1.4304338238203982e-164,6.283135479350952e-26,2.740116703739518e-125,2.8586688213163284e-17,9.771099195989028e-18,3.0165768401049894e-69,7.762540670993412e-18,6.4296376127502216e-18
3.953915386807262e-23,0.05003979878925138,0.0,0.12424882039371107,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.07859978912319e-75,1.2610208969047015e-25,6.157199543674075e-75,0.0,2.496629407222867e-161,1.2302631597516438e-75,8.381162524632038e-123,5.1098448730517154e-64,1.6106319460645184e-95,5.210237059010653e-83,3.9436087116211534e-41,-5.512626692275296e-150,6.079689439990994e-54,5.621281204150236e-101,2.1500128590728406e-122,-1.4295055913191643e-164,1.2610208969047015e-25,4.422373051923925e-124,5.737328333681536e-17,1.9610527756984968e-17,1.21295228001928e-68,1.557936484318257e-17,1.2904237726288373e-17
7.921607482279358e-23,0.05003979878925138,0.0,0.12424882039371096,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,2.472898772062382e-74,2.5264355948439142e-25,4.945797516354409e-74,0.0,3.1320942773709286e-159,4.933905798338313e-75,1.3507557086251706e-121,2.049276337491542e-63,1.293743400637661e-94,4.1851457506436536e-82,7.90095822014691e-41,-5.511689168997369e-150,1.2180562466880876e-53,4.5153057726242373e-100,6.737899456318745e-121,-1.3697361726835063e-164,2.5264355948439142e-25,7.106597052651643e-123,1.1494647358384027e-16,3.9289384878976805e-17,4.864481149044e-68,3.1213013187560866e-17,2.5853437953363072e-17
