Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208)
1.270353741558411e-24,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070576,0.0,4.837912854297986e-65,1.662978059244921e-21,9.675753134214259e-65,0.0,8.017188790970766e-138,5.7547838755762724e-61,1.3614380184917666e-100,4.317015307293912e-53,2.8271996987471515e-77,2.5584336331168924e-70,5.134212398524973e-31,2.8463537441679973e-126,2.7621758832006684e-40,2.5693627027449645e-80,2.4490947563980203e-101,1.6007769218212101e-140,1.662978059758342e-21,2.822603606235523e-100,2.311101152035459e-16,7.89948049948496e-17,2.2169443618344487e-54,6.275654092442614e-17
2.5418111788088795e-24,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070552,0.0,3.8742540034125854e-64,3.3274009300096024e-21,7.748449888459385e-64,0.0,5.138939874707528e-136,2.3034132926694246e-60,2.1806668884135438e-99,1.727931169575642e-52,2.2640527188469594e-76,2.04882188747214e-69,1.0272885450741105e-30,9.12196674148282e-125,5.526751571686422e-40,2.0575740070400893e-79,3.9228148358138665e-100,1.0260806771822645e-138,3.327400931036891e-21,4.521071178179656e-99,4.624210211238844e-16,1.5805824144495062e-16,8.873554971084778e-54,1.255676053422701e-16
5.084726053309817e-24,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.3194096818763549,0.3504847921395393,0.20701222018021495,0.09201819554070506,0.0,3.100973457755355e-63,6.656246671538965e-21,6.201900397262411e-63,0.0,3.2914726235881793e-134,9.216653525265676e-60,3.4909609793465234e-98,6.913975412879719e-52,1.8121598072607316e-75,1.6398879080006313e-68,2.055023155517337e-30,2.9212127122776493e-123,1.1055902948657757e-39,1.6468931509339562e-78,6.279932931407099e-99,6.5719879345522435e-137,6.6562466735939874e-21,7.237640449452725e-98,9.250428329641042e-16,3.161851143451514e-16,3.550577822494116e-53,2.5118973417795664e-16
1.0170555802311692e-23,0.07865737607768974,0.0,19.530626480090362,0.031075110263184432,0.31940968187635455,0.35048479213953904,0.20701222018021495,0.09201819554070413,0.0,2.4814070216280222e-62,1.3313938154597686e-20,4.962776819232834e-62,0.0,2.1073698476660832e-132,3.6872615784102747e-59,5.587053265692392e-97,2.7660403761934025e-51,1.4500949883343454e-74,1.3122425667394054e-67,4.11049237640379e-30,9.351375533257854e-122,2.2114205702599735e-39,1.3178481803442204e-77,1.0050690172550017e-97,4.2076959217764785e-135,1.3313938158708178e-20,1.1583366865794613e-96,1.850286456642716e-15,6.32438860145548e-16,1.420462328740735e-52,5.024339918493244e-16
2.0342215300315443e-23,0.07865737607768974,0.0,19.53062648009036,0.031075110263184432,0.31940968187635393,0.35048479213953854,0.20701222018021495,0.09201819554070229,0.0,1.985376950155285e-61,2.6629321120715107e-20,3.970724117321715e-61,0.0,1.3489951498166394e-130,1.4750246830958654e-58,8.940498278910177e-96,1.1065061990982598e-50,1.1602228656086595e-73,1.0499269657533741e-66,8.221430818176695e-30,2.9929994666853334e-120,4.4230811210480895e-39,1.0544120244098042e-76,1.60835132935607e-96,2.693445072973325e-133,2.6629321128936535e-20,1.8535901060690172e-95,3.7007737039926275e-15,1.264946351746321e-15,5.682311747379895e-52,1.0049225071920383e-15
4.068553429632294e-23,0.07865737607768974,0.0,19.53062648009035,0.031075110263184432,0.31940968187635266,0.35048479213953754,0.20701222018021495,0.09201819554069858,0.0,1.588402099402111e-60,5.326008705294988e-20,3.17678037090493e-60,0.0,8.634634557514448e-129,5.900338920576438e-58,1.430576878909437e-94,4.426204900047334e-50,9.282370460496144e-73,8.399947407927304e-66,1.6443307701722507e-29,9.578493262647995e-119,8.846402222623208e-39,8.435830148407702e-76,2.573609491498345e-95,1.7239711640112419e-131,5.326008706939318e-20,2.965945310067462e-94,7.401748198663199e-15,2.5299613349477864e-15,2.2730171887282113e-51,2.00989953787738e-15
8.137217228833794e-23,0.07865737607768974,0.0,19.53062648009034,0.031075110263184432,0.3194096818763501,0.35048479213953554,0.20701222018021495,0.09201819554069118,0.0,1.2707618964601896e-59,1.0652161891741911e-19,2.5415047299976443e-59,0.0,5.526730449456613e-127,2.360183667668925e-57,2.2890010622725183e-93,1.770517981390962e-49,7.426131389820128e-72,6.7201706055925715e-65,3.2887061468814133e-29,3.0652610467759513e-117,1.7693044425768987e-38,6.748877706496215e-75,4.118147901238174e-94,1.103394769509594e-129,1.0652161895030615e-19,4.7456734141230275e-93,1.480369718788734e-14,5.059991301350395e-15,9.092253737756494e-51,4.019853599247719e-15
1.6274544827236792e-22,0.07865737607768974,0.0,19.530626480090316,0.031075110263184432,0.31940968187634505,0.35048479213953154,0.20701222018021495,0.09201819554067638,0.0,1.016625604189013e-58,2.1304468264635635e-19,2.0332359577985132e-58,0.0,3.537573933853273e-125,9.44083135796663e-57,3.662465201001322e-92,7.082143968948433e-49,5.9409991218598866e-71,5.376221557472447e-64,6.577456900299738e-29,9.809064480167241e-116,3.538632883204272e-38,5.399187601608667e-74,6.589894234231477e-93,7.061896848276367e-128,2.130446827121309e-19,7.593206199300713e-92,2.96075951658676e-14,1.0120051234154324e-14,3.6369384919990653e-50,8.039761721987016e-15
3.2549200024042793e-22,0.07865737607768974,0.0,19.53062648009027,0.031075110263184432,0.31940968187633495,0.3504847921395235,0.20701222018021495,0.09201819554064677,0.0,8.133069182086316e-58,4.2609081010422587e-19,1.626601635857123e-57,0.0,2.2645624782453784e-123,3.776352270777838e-56,5.859998500563546e-91,2.83287199631983e-48,4.75283690177632e-70,4.301011275436893e-63,1.3154958407136388e-28,3.13893729502047e-114,7.077289764451889e-38,4.3193842561123447e-73,1.0546306988211602e-91,4.519668487264032e-126,4.2609081023577545e-19,1.2149232909160972e-90,5.921539111995611e-14,2.0240171099757032e-14,1.4547827962105919e-49,1.6079577967460087e-14
6.5098510417654795e-22,0.07865737607768974,0.0,19.530626480090174,0.031075110263184432,0.3194096818763147,0.3504847921395074,0.20701222018021495,0.09201819554058756,0.0,6.506481085196649e-57,8.521830650199455e-19,1.301286456552605e-56,0.0,1.44995318620954e-121,1.5105451658759347e-55,9.37605175201419e-90,1.1331516802819672e-47,3.8022845631938023e-69,3.4408226321849402e-62,2.630996142080969e-28,1.0044658002644224e-112,1.4154603526918604e-37,3.455521074872189e-72,1.6881800596515337e-90,2.8926052735062693e-124,8.521830652830452e-19,1.9438855047248174e-89,1.1843098302064487e-13,4.048041083094185e-14,5.819145983687164e-49,3.215921045838414e-14
