Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201)
0.0,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.359560388589174e-27,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.982892510678424e-68,1.715519263954347e-22,1.6887580963788223e-65,0.0,5.140687735044857e-112,3.5437612290331114e-46,4.3934895454986854e-71,2.9584990264393355e-53,8.575767259347866e-78,3.55448187880427e-42,1.1428928024312835e-29,-2.2720824372126775e-124,6.534245280632205e-26,1.2452436446977386e-79,9.22484462662663e-72,1.2669930057266037e-119,1.715519378243629e-22,1.284891570084107e-95,2.8063070066443425e-19,9.59212341485935e-20,6.725533441265797e-20,7.620355359773544e-20,6.311866890026157e-20,3.029696107212555e-20,3.069479492754996e-20,1.537276361724789e-20,6.534245280614153e-26,7.289581976505021e-37,1.2996275540644865e-20,5.75420106204819e-53,8.235702446420722e-36,1.8465168396557466e-36,7.401821395072324e-64,2.1585609723284515e-20
3.806769088049687e-27,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.996547162037605e-67,4.803453939072171e-22,2.552051235205137e-64,0.0,3.1273311810736093e-110,2.140431782635149e-45,5.2159507884174355e-70,1.786933411969359e-52,1.2959699482325269e-76,2.146907054797779e-41,3.2000998468075947e-29,-1.944657653304887e-124,1.829588678577018e-25,1.8818121958670708e-78,1.0951735540990099e-70,7.707736663422306e-118,4.803454259082161e-22,4.039900631145842e-94,7.857659618604152e-19,2.6857945561606192e-19,1.883149363554424e-19,2.1336995007365924e-19,1.7673227292073235e-19,8.483149100195154e-20,8.59454257971399e-20,4.304373812829408e-20,1.829588678571963e-25,4.402907513809035e-36,3.638957151380562e-20,6.831387500863614e-52,4.974364277638115e-35,1.1152961711520715e-35,9.789914203127597e-63,6.043970722519664e-20
8.701186486970714e-27,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.223548696645635e-66,1.0979323289307821e-21,2.745380262072421e-63,0.0,1.4118267845040613e-108,1.030525765843005e-44,5.121051414237441e-69,8.60331516888559e-52,1.3941453318175085e-75,1.0336433303562818e-40,7.314513935560217e-29,1.4157223090950084e-123,4.181916979604612e-25,2.024367688312024e-77,1.0752478897569982e-69,3.479640766928667e-116,1.0979324020759226e-21,9.01279412793862e-93,1.7960364842523744e-18,6.138958985509985e-19,4.3043414024101156e-19,4.877027430255067e-19,4.039594809616738e-19,1.9390055086160356e-19,1.9644668753631984e-19,9.838568715038637e-20,4.181916979593059e-25,2.1198104387676617e-35,8.317616346012711e-20,6.707096757923375e-51,2.3949422714191436e-34,5.369670969718914e-35,1.0051072991934563e-61,1.381479022290209e-19
1.8490021284812767e-26,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.9629966207511306e-65,2.333106198977912e-21,2.523477448211933e-62,0.0,5.3307893063147694e-107,4.500576765380652e-44,4.5295119818359605e-68,3.757293763577957e-51,1.2814597500296878e-74,4.514191986081424e-40,1.554334211306546e-28,6.431743299245975e-122,8.886573581659801e-25,1.8607426733987536e-76,9.510445817869025e-69,1.3138461455639616e-114,2.3331063544113354e-21,1.6879964491097258e-91,3.8165775290362824e-18,1.3045287844208718e-18,9.146725480121506e-19,1.0363683289292017e-18,8.584138970435562e-19,4.1203867058090756e-19,4.1744921101468e-19,2.0906958519457054e-19,8.886573581635253e-25,9.257769110161387e-35,1.7674934735276993e-19,5.932351126929206e-50,1.0459342106954286e-33,2.3450763863627996e-34,9.06451646435735e-61,2.935642922366694e-19
3.806769088049688e-26,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.5349059908509226e-64,4.8034539390721716e-21,2.1588880852749968e-61,0.0,1.8494984507947657e-105,1.8789022076740006e-43,3.807327744312001e-67,1.5685961838181362e-50,1.0963157955141958e-73,1.8845862921420243e-39,3.200099846807595e-28,2.2801772246828e-120,1.829588678577018e-24,1.5919045324576963e-75,7.994102758808697e-68,4.558342622821762e-113,4.803454259082161e-21,2.915593971189164e-90,7.857659618604055e-18,2.6857945561606164e-18,1.883149363554432e-18,2.1336995007365915e-18,1.7673227292073193e-18,8.483149100195156e-19,8.594542579714008e-19,4.304373812829374e-19,1.829588678571964e-24,3.8649363639429685e-34,3.638957151380551e-19,4.986498573153975e-49,4.366569437092236e-33,9.790232283854776e-34,7.688441652214005e-60,6.043970722519663e-19
7.722303007186509e-26,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.0959092935110276e-63,9.744149419260691e-21,1.7850104177075206e-60,0.0,6.15960204011996e-104,7.675928606675018e-43,3.121477313854037e-66,6.40822723122866e-50,9.064551003999249e-73,7.699149928765203e-39,6.491631117809692e-28,7.661172954871253e-119,3.7114513193990935e-24,1.31621745185131e-74,6.554048427543977e-67,1.51811841245678e-111,9.744150068423813e-21,4.8443028907564794e-89,1.5939823797739428e-17,5.448326099640098e-18,3.820102994639008e-18,4.328361844351367e-18,3.585140393534836e-18,1.7208673888967316e-18,1.7434643518848454e-18,8.731729734596646e-19,3.711451319388844e-24,1.5789526144388985e-33,7.381884507086237e-19,4.0882328018257964e-48,1.7838860927044868e-32,3.999629335367939e-33,6.330974265539509e-59,1.2260626322825604e-18
1.5553370845460152e-25,0.10125681075141572,0.0,25.142066109576522,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.7043586295024995e-62,1.962554037963773e-20,1.4515408269769508e-59,0.0,2.010596697530518e-102,3.1027330846117785e-42,2.52785325854559e-65,2.590307905600908e-49,7.371142336198809e-72,3.1121195000233217e-38,1.3074693659813889e-27,2.511445897218859e-117,7.475176601043245e-24,1.0703261726592311e-73,5.307638345898814e-66,4.955391349599891e-110,1.9625541687107113e-20,7.897436270302731e-88,3.2104152156009485e-17,1.097338918659904e-17,7.694010256808214e-18,8.71768653158091e-18,7.22077572218984e-18,3.4659723466511637e-18,3.511484539711747e-18,1.758644157813095e-18,7.475176601022612e-24,6.382378920365059e-33,1.4867739218497534e-18,3.31075691751171e-47,7.210752805558547e-32,1.6167141259269126e-32,5.137967356952395e-58,2.4693937523437482e-18
3.121550652200744e-25,0.10125681075141572,0.0,25.142066109576522,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.3746269793253337e-61,3.938832230039181e-20,1.1707202626346055e-58,0.0,6.497901109757912e-101,1.2475953384695949e-41,2.0346362207762316e-64,1.0415514162540739e-48,5.9450933321138724e-71,1.2513695633605586e-37,2.6240818743822278e-27,8.133737928342921e-116,1.5002627164331547e-23,8.632568334781011e-73,4.272049101468681e-65,1.6014968587077514e-108,3.938832492447371e-20,1.2754380606551573e-86,6.443280887254684e-17,2.2023515360516817e-17,1.544182478114684e-17,1.749633590603995e-17,1.4492046379499718e-17,6.956182262160029e-18,7.047524915365598e-18,3.5295865265198555e-18,1.5002627164290172e-23,2.566326493156531e-32,2.983944864131982e-18,2.664785196555643e-46,2.8994119890720186e-31,6.500736394681663e-32,4.1398691530342157e-57,4.956055992466122e-18
6.253977787510201e-25,0.10125681075141572,0.0,25.142066109576522,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,1.104175145216128e-60,7.891388614189996e-20,9.40386181447185e-58,0.0,2.089627622801279e-99,5.003415399860136e-41,1.6326674303164945e-63,4.1770870244355376e-48,4.775422272398645e-70,5.018551637792476e-37,5.2573068911839056e-27,2.6184407904001217e-114,3.005752829090815e-23,6.93414834570118e-72,3.4280503702484535e-64,5.150173906548167e-107,7.891389139920689e-20,2.050229426666441e-85,1.290901223056105e-16,4.412376770835195e-17,3.093745382982495e-17,3.5053634654957876e-17,2.9034587694118966e-17,1.3936602093177756e-17,1.4119605666673487e-17,7.071471263932977e-18,3.0057528290825397e-23,1.0292117055135834e-31,5.9782867486963194e-18,2.138322297926184e-45,1.1627938869885264e-30,2.607086046808927e-31,3.3237374819184004e-56,9.929380472710865e-18
