Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206),SX(613)
1.3387947219823773e-24,0.10054149576763871,0.0,24.96445339910469,0.031075110263184415,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,8.100707260565044e-60,1.5164353803806434e-19,6.619580342213934e-57,0.0,5.796957665764826e-98,1.7882001213584722e-40,1.0991781598509197e-62,1.4215181152713663e-47,3.003620998903183e-69,1.9793787408729777e-36,8.84857358861606e-27,5.549632655620399e-113,5.1149489689926323e-23,4.037379707597924e-71,2.2979556360921176e-63,1.288525285486192e-105,1.5164354688663796e-19,2.7736524505315953e-84,2.7536657202136205e-16,9.412192382740096e-17,6.59926781732054e-17,7.477411160069682e-17,6.193467587285191e-17,2.97286444189718e-17,3.0119015624772015e-17,2.704718921239646e-17,5.1149489689799246e-23,4.537713083089304e-31,1.2752488719874898e-17,1.9582321046709936e-44,9.499058116812494e-30,1.1366558284693576e-30,2.693590323583818e-55,2.1180702397925485e-17,5.040771200403226e-32,4.828009044109825e-40,3.562696933181248e-46,4.900708835188458e-69,1.1963857856111788e-17,2.8417468786469625e-58
2.6787526018465814e-24,0.10054149576763871,0.0,24.96445339910469,0.031075110263184397,0.3194096818763549,0.35048479213953937,0.20701222018021478,0.09201819554070544,0.0,6.4871357711282235e-59,3.0341882545756915e-19,5.30103298965996e-56,0.0,1.8573166797632406e-96,7.157475632795344e-40,8.800108754025654e-62,5.689777044208625e-47,2.405332842942111e-68,7.922673373363022e-36,1.770483490406844e-26,1.7785407711221747e-111,1.0234341855421405e-22,3.2331782251021383e-70,1.8397617916819216e-62,4.128371543689609e-104,3.034188431624041e-19,4.443008483369367e-83,5.509723851997306e-16,1.883256216980828e-16,1.3204269142738928e-16,1.4961318767715067e-16,1.2392316119475572e-16,5.948311737349427e-17,6.026419894340134e-17,5.411787728594987e-17,1.0234341855396206e-22,1.8162677953941686e-30,2.5516056926037064e-17,1.5677763726899455e-43,3.802098772713179e-29,4.5495855244562744e-30,2.1568111873661094e-54,4.237980679619656e-17,2.017622123719777e-31,3.865342836704321e-39,2.852535733373224e-45,1.5702777519073254e-67,2.3938110028345306e-17,4.552086363169878e-57
5.358668361574989e-24,0.10054149576763871,0.0,24.96445339910469,0.03107511026318436,0.3194096818763546,0.3504847921395392,0.2070122201802146,0.09201819554070488,0.0,5.1923378863142795e-58,6.069694002965786e-19,4.242974927596785e-55,0.0,5.947080558579392e-95,2.8639345320727048e-39,7.042761538226302e-61,2.2766519454641867e-46,1.925241168096016e-67,3.1701013253416456e-35,3.54173575349732e-26,5.695587419423349e-110,2.0473127628278966e-22,2.5878530038048683e-69,1.4723686183755079e-61,1.3218940231619312e-102,6.069694357139357e-19,7.112947931763029e-82,1.1021840115556678e-15,3.767330174394175e-16,2.6414271793584303e-16,2.99291339830047e-16,2.4790013183852654e-16,1.1899206328253889e-16,1.2055456558067297e-16,1.0825925343300261e-16,2.047312762822947e-22,7.267436979938157e-30,5.104319333835295e-17,1.2546975773973228e-42,1.5213347553838158e-28,1.8204268207402103e-29,1.7262271698689658e-53,8.477801559273833e-17,8.073116414717246e-31,3.0934489703028963e-38,2.2832347226631473e-44,5.028724305691132e-66,4.788661437281232e-17,7.287574041792018e-56
1.0718499881031805e-23,0.10054149576763871,0.0,24.964453399104688,0.031075110263184283,0.31940968187635405,0.35048479213953887,0.20701222018021423,0.09201819554070378,0.0,4.1549222736952334e-57,1.2140705499745973e-18,3.3952395663365144e-54,0.0,1.903652823522685e-93,1.1457698822689503e-38,5.635279275985415e-60,9.108090248574287e-46,1.5405829872206785e-66,1.2682469547381614e-34,7.084240279678263e-26,1.8232693776431596e-108,4.0950699173994156e-22,2.0708067005613078e-68,1.1781186691673507e-60,4.231365746536117e-101,1.2140706208169967e-18,1.138402526123669e-80,2.204607264264342e-15,7.53547808921971e-16,5.283427709530949e-16,5.986476441357943e-16,4.958540731259209e-16,2.380099551006266e-16,2.411352988552684e-16,2.165420057268918e-16,4.0950699173898805e-22,2.907448019052392e-29,1.0209746616295098e-16,1.003948694348565e-41,6.086329655228732e-28,7.282892673718387e-29,1.3812967568558489e-52,1.6957443318582034e-16,3.229772131892694e-30,2.4752290902283977e-37,1.827477491753869e-43,1.6101587544070204e-64,9.57836230617463e-17,1.166350826577015e-54
2.1438162919945435e-23,0.10054149576763871,0.0,24.96445339910468,0.03107511026318413,0.31940968187635294,0.35048479213953815,0.2070122201802135,0.09201819554070158,0.0,3.32435865619062e-56,2.4282728493306317e-18,2.716535544756051e-53,0.0,6.092628989517586e-92,4.5835291912038773e-38,4.508651489102543e-59,3.643532613888798e-45,1.232622429923876e-65,5.07340069755782e-34,1.4169249332040124e-25,5.835552486896766e-107,8.190584226542478e-22,1.6568551050621802e-67,9.425845389299977e-60,1.3542459759822533e-99,2.4282729910231104e-18,1.8217087707873616e-79,4.409453769668891e-15,1.5071773918866138e-15,1.0567428769889753e-15,1.1973602527471065e-15,9.917619557001208e-16,4.760457387367963e-16,4.822967654046674e-16,4.331075103138048e-16,8.1905842265248675e-22,1.1630738597771634e-28,2.0420601181201212e-16,8.03235216597703e-41,2.434730002936202e-27,2.9133941645232462e-28,1.1051692856676128e-51,3.3916726837197824e-16,1.2920138991749034e-29,1.9803711509575635e-36,1.462989389811746e-42,5.156315253578272e-63,1.9157764043961404e-16,1.8664325508565732e-53
4.28774889977727e-23,0.10054149576763871,0.0,24.96445339910467,0.03107511026318383,0.3194096818763507,0.35048479213953676,0.20701222018021204,0.09201819554069716,0.0,2.65965527012175e-55,4.85667744804269e-18,2.1733660008763145e-52,0.0,1.9497920095127901e-90,1.8335476089012183e-37,3.607092434833756e-58,1.4574723505588685e-44,9.861603638080268e-65,2.029442857684343e-33,2.8339267436763754e-25,1.867551290995352e-105,1.6381612844828704e-21,1.3255679870162776e-66,7.541036092937255e-59,4.3339222156231565e-98,4.8566777314353036e-18,2.914945833795307e-78,8.819146780426786e-15,3.0144365578140435e-15,2.113543089066243e-15,2.3947854699690033e-15,1.983577720846164e-15,9.521173060091127e-16,9.646196985042978e-16,8.662385194841693e-16,1.6381612844799326e-21,4.652484750164225e-28,4.0842310310959446e-16,6.426186793551529e-40,9.739316307511262e-27,1.1654050865050486e-27,8.841975552920829e-51,6.783529387442695e-16,5.168265102854869e-29,1.5843719052455917e-35,1.1718368669454756e-41,1.6520764066279615e-61,3.831656751953485e-16,2.9865090818082876e-52
8.575614115342722e-23,0.10054149576763871,0.0,24.96445339910465,0.031075110263183225,0.3194096818763463,0.350484792139534,0.2070122201802091,0.09201819554068834,0.0,2.1277915562201945e-54,9.71348664546677e-18,1.7387478284090098e-51,0.0,6.239577702882644e-89,7.334830281627361e-37,2.8857424584458003e-57,5.830008014353505e-44,7.889532597559848e-64,8.117936590999685e-33,5.667930364621059e-25,5.97644333839776e-104,3.276367008140156e-21,1.060487951823885e-65,6.032974947561927e-58,1.386909214209721e-96,9.713487212259551e-18,4.664082781438598e-77,1.763853280173777e-14,6.02895488966148e-15,4.227143513242807e-15,4.789635904409886e-15,3.967209251128827e-15,1.9042604405536528e-15,1.9292655647068896e-15,1.7325005378110533e-15,3.276367008136617e-21,1.861031762953024e-27,8.168572857025998e-16,5.1410714624103255e-39,3.895805783542316e-26,4.661715189101342e-27,7.07397890387446e-50,1.3567242794887535e-15,2.067347467787534e-28,1.2675272451159785e-34,9.397154650842499e-41,5.299190021986884e-60,7.66341744706814e-16,4.778588138355765e-51
1.7151344546473628e-22,0.10054149576763871,0.0,24.964453399104602,0.031075110263182017,0.31940968187633734,0.35048479213952843,0.2070122201802032,0.0920181955406707,0.0,1.7022601814362691e-53,1.942710504031478e-17,1.3910202741462846e-50,0.0,1.9967051262316587e-87,2.9343544646616136e-36,2.3086213894804195e-56,2.3320269283759832e-43,6.311725954409979e-63,3.247207668746087e-32,1.133593760651027e-24,1.9125065426341704e-102,6.552778455454889e-21,8.484037865482838e-65,4.8264418389620853e-57,4.438199178699271e-95,1.9427106173907503e-17,7.46266801096917e-76,3.5277304843540504e-14,1.205799155332666e-14,8.454344361684051e-15,9.579336773280008e-15,7.934472311656455e-15,3.80854670964236e-15,3.858557297125398e-15,3.465024574409439e-15,6.552778455457158e-21,7.444202778278216e-27,1.633725650879973e-15,4.1129059816117085e-38,1.5583381656443948e-25,1.8647050444265883e-26,5.659582426625965e-49,2.713466960977328e-15,8.269468922520001e-28,1.0140332467405498e-33,7.553392844297285e-40,1.7036723546011022e-58,1.5326938837297296e-15,7.6458799101955425e-50
3.4302805408735436e-22,0.10054149576763871,0.0,24.964453399104514,0.0310751102631796,0.3194096818763195,0.3504847921395173,0.20701222018019147,0.09201819554063542,0.0,1.3618189198152222e-52,3.885434183001018e-17,1.1128250239518674e-49,0.0,6.389529378484027e-86,1.1740617618762025e-35,1.846908109749325e-55,9.328155158982792e-43,5.049420714377357e-62,1.2988896739968632e-31,2.2671952090288043e-24,6.120092416338274e-101,1.3105601350085001e-20,6.78728399315232e-64,3.8611837450683113e-56,1.4202400869305252e-93,3.88543440972012e-17,1.1940377267192494e-74,7.055484892386906e-14,2.4116064880538247e-14,1.6908746058918995e-14,1.9158738510973665e-14,1.5868998432560925e-14,7.617119247818293e-15,7.717140762015708e-15,6.930072647384684e-15,1.3105601350126931e-20,2.97769625668584e-26,3.2674623812001683e-15,3.290344310099652e-37,6.233384367004039e-25,7.458858115455157e-26,4.528209530644936e-48,5.426952323952905e-15,3.3078003372268864e-27,8.112304770758978e-33,6.099678219982516e-39,5.502357224427589e-57,3.0653981617755015e-15,1.2233518968552741e-48
6.860572713325905e-22,0.10054149576763871,0.0,24.964453399104332,0.031075110263174763,0.3194096818762838,0.350484792139495,0.207012220180168,0.09201819554056487,0.0,1.0894594457350314e-51,7.77088154093985e-17,8.902635410289198e-49,0.0,2.0446665527723726e-84,4.698771037024144e-35,1.4775309334837907e-54,3.731271552708839e-42,4.039552551902169e-61,5.1955719090119745e-31,4.5343981057841016e-24,1.9584410100897394e-99,2.6211247139347808e-20,5.429848674909641e-63,3.088967939853767e-55,4.5448072294057665e-92,7.770881994377982e-17,1.9104690387658404e-73,1.4110993707141846e-13,4.823221153448632e-14,3.381754945479872e-14,3.8317541986174665e-14,3.17380506737667e-14,1.523426432416422e-14,1.5434307692009503e-14,1.3860168792449063e-14,2.621124713958123e-20,1.191081531767128e-25,6.5349358417023575e-15,2.6322832580404163e-36,2.4933600875653935e-24,2.98355083375501e-25,3.623399246354976e-47,1.0853923049897763e-14,1.3231202548477947e-26,6.489848125724177e-32,4.970841959181834e-38,1.7931168646414134e-55,6.1308067178668055e-15,1.9573719240063972e-47
