Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35)
1.6360883358296407e-24,0.06210963536780779,0.0,15.421822461826673,0.031075110263184415,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,2.1292205538623775e-71,6.106245670932697e-24,1.0744014093731276e-69,0.0,1.0059766412515317e-116,2.1248652405286404e-48,3.264275442294576e-77,4.931291681149201e-59,2.4974926801906944e-87,5.019823071026989e-42,3.017931059945158e-36,1.7827544616569853e-142,1.101364462040049e-31,1.4879916254500845e-91,5.081467553551702e-78,7.516029675144058e-129,6.106245670935703e-24,4.854462538220993e-101,2.644909362119681e-16,9.040456715002144e-17,6.336390014290765e-17,7.182089908919027e-17,5.948855841631443e-17,2.8554508039831364e-17,2.892946148800687e-17,1.446522408829747e-17,1.101364462475809e-31,2.557340167532063e-32,1.2248827647424869e-17,1.386356150413251e-46,5.697407143614235e-30,3.3151109843962074e-32,7.672636180899619e-61,2.0344168014767393e-17,2.170235093415321e-35,5.051128857417812e-42
3.273598121125684e-24,0.06210963536780779,0.0,15.421822461826673,0.031075110263184397,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070545,0.0,1.7051033169440345e-70,1.2217796507522152e-23,8.603925053848371e-69,0.0,3.2255584913478666e-115,1.661661843373048e-47,2.6134068939209744e-76,1.9738018041608608e-58,2.0000198183029302e-86,2.00923743205804e-41,6.038484127761685e-36,5.765328035881062e-141,2.203685800245859e-31,1.1916001852476853e-90,4.07153092020932e-77,2.4100020651591623e-127,1.2217796507528146e-23,7.776179112502616e-100,5.29211664722855e-16,1.8088767866767957e-16,1.2678285145884409e-16,1.4370419687437456e-16,1.1902880107104257e-16,5.713382451410218e-17,5.788405717365745e-17,2.894301570402779e-17,2.203685801990035e-31,1.0236025290946688e-31,2.450829719549903e-17,1.1099278842210602e-45,2.280447644597859e-29,1.3269083366145192e-31,6.154249506670167e-60,4.0706011240668376e-17,8.686594147336156e-35,4.0439735098624014e-41
6.5486176917177706e-24,0.06210963536780779,0.0,15.421822461826672,0.031075110263184363,0.31940968187635466,0.35048479213953926,0.20701222018021462,0.09201819554070492,0.0,1.3647737406779893e-69,2.4440898180701062e-23,6.886627258070454e-68,0.0,1.0343902476633234e-113,1.3140220607505282e-46,2.0915225372819242e-75,7.897778212553064e-58,1.6008264469462956e-85,8.039566881184615e-41,1.2079590263394728e-35,1.846804219340214e-139,4.408328476669864e-31,9.537630943823761e-90,3.2636915473964403e-76,7.728952921549658e-126,2.444089818071296e-23,1.2449122561271688e-98,1.05865312174422e-15,3.618539017029954e-16,2.5362075409075155e-16,2.874707924447429e-16,2.381092863804934e-16,1.1429245746264374e-16,1.1579324854495845e-16,5.789859893545433e-17,4.40832848364884e-31,4.095743420416513e-31,4.902723629164711e-17,8.882796371196794e-45,9.124760999000163e-29,5.309361724605582e-31,4.941770601524828e-59,8.142969769247026e-17,3.4757675219293953e-34,3.2364064476067508e-40
1.3098656832901944e-23,0.06210963536780779,0.0,15.42182246182667,0.03107511026318429,0.3194096818763541,0.350484792139539,0.20701222018021426,0.09201819554070387,0.0,1.092095494910579e-68,4.888710152705886e-23,5.510697033181077e-67,0.0,3.3211507809724385e-112,1.0450916271216785e-45,1.673540213164009e-74,3.1596255574538606e-57,1.280985489050577e-84,3.216350257630131e-40,2.4161802534660805e-35,5.91203489789912e-138,8.81761382956742e-31,7.632037103250042e-89,2.619817719562596e-75,2.481830518664361e-124,4.88871015270823e-23,1.9924386779781163e-97,2.117536035785316e-15,7.23786347773625e-16,5.072965593547044e-16,5.750039835854786e-16,4.762702569993732e-16,2.2860972335972663e-16,2.3161163128755957e-16,1.1580976539817098e-16,8.817613857487871e-31,1.6385640669615796e-30,9.806511448394233e-17,7.107586704299744e-44,3.6504985683496423e-28,2.1240904147152524e-30,3.97982681369732e-58,1.6287707059607378e-16,1.3905320423193615e-33,2.589614630733562e-39
2.619873511527029e-23,0.06210963536780779,0.0,15.421822461826665,0.031075110263184144,0.31940968187635305,0.3504847921395384,0.20701222018021356,0.09201819554070174,0.0,8.7378701037984e-68,9.777950821977437e-23,4.4091157854206543e-66,0.0,1.0693850239970816e-110,8.336222818232188e-45,1.338966347976599e-73,1.2639530847931309e-56,1.0249181351598593e-83,1.2866448115398865e-39,4.832622707719287e-35,1.8922052747005326e-136,1.763618453556072e-30,6.106402689332141e-88,2.109444231896233e-74,7.99302774002371e-123,9.777950821981982e-23,3.1883652151871405e-96,4.235301863860974e-15,1.4476512399148763e-15,1.0146481698831618e-15,1.1500703658669464e-15,9.525921982370453e-16,4.572442551538914e-16,4.632483967727587e-16,2.316320983230586e-16,1.7636184647251608e-30,6.554789703423614e-30,1.96140870868529e-16,5.686609264050577e-43,1.4603182695504682e-27,8.497053157850365e-30,3.2249243382863054e-57,3.2577181640327995e-16,5.562570498324394e-33,2.0718848133787814e-38
5.239889168000699e-23,0.06210963536780779,0.0,15.421822461826654,0.031075110263183853,0.3194096818763509,0.35048479213953726,0.20701222018021215,0.09201819554069751,0.0,6.990738567852718e-67,1.9556432160520506e-22,3.527515905586339e-65,0.0,3.463597665664803e-109,6.659172952432312e-44,1.0712352169237906e-72,5.056018070120663e-56,8.199864084118522e-83,5.146788670591777e-39,9.665507616225665e-35,6.055622728888171e-135,3.527332594834004e-30,4.885431370341551e-87,1.709062200184702e-73,2.5899336580198214e-121,1.955643216052902e-22,5.101755038992729e-95,8.470833519986148e-15,2.8953810241973478e-15,2.0293513909422844e-15,2.3002031304298665e-15,1.9052360807120394e-15,9.145133187422172e-16,9.26521927743144e-16,4.632767641706512e-16,3.5273326395121805e-30,2.622022572283591e-29,3.922923836376871e-16,4.5495033830193397e-42,5.8415107710670944e-27,3.398959567862189e-29,2.6451625644858945e-56,6.515613080176885e-16,2.225110452172277e-32,1.6575807763989202e-37
1.0479920480948039e-22,0.06210963536780779,0.0,15.421822461826633,0.031075110263183273,0.3194096818763466,0.350484792139535,0.20701222018020932,0.09201819554068905,0.0,5.592767853609535e-66,3.911339483760652e-22,2.8221020382083907e-64,0.0,1.134828134035599e-107,5.3234159965615465e-43,8.570265732566822e-72,2.0224483749703155e-55,6.560098874314826e-82,2.0587573538688008e-38,1.933127743323829e-34,1.9378898061014723e-133,7.054760877706959e-30,3.908468787329318e-86,1.4015657475713604e-72,8.492707692929403e-120,3.911339483762124e-22,8.16310463028568e-94,1.694189683213194e-14,5.790840592762167e-15,4.058757833069361e-15,4.600468659555647e-15,3.810523845660626e-15,1.8290514459188543e-15,1.853068989683865e-15,9.265660958571058e-16,7.054761056423304e-30,1.0488303674760952e-28,7.845954091759426e-16,3.639689097433638e-41,2.3366518478309265e-26,1.359611488581574e-28,2.2202959778098257e-55,1.3031402912464918e-15,8.900556588678172e-32,1.326086877081809e-36
2.0959983106842716e-22,0.06210963536780779,0.0,15.42182246182659,0.03107511026318211,0.31940968187633806,0.3504847921395304,0.20701222018020368,0.0920181955406721,0.0,4.474285083699081e-65,7.822732019177803e-22,2.2577173567894863e-63,0.0,3.8007019033591746e-106,4.257163802219987e-42,6.856582886129743e-71,8.089875794457193e-55,5.248162149294826e-81,8.235113187484925e-38,3.866281706726302e-34,6.201392241771412e-132,1.4109617444721243e-29,3.1268245104772733e-85,1.1761202103340813e-71,2.848665707571907e-118,7.8227320191798255e-22,1.3061204667631827e-92,3.388402345600527e-14,1.158175972989131e-14,8.117570717358843e-15,9.200999717806966e-15,7.621099375552196e-15,3.658127700272068e-15,3.706163113565104e-15,1.8531447591950916e-15,1.4109618159593893e-29,4.195364147409216e-28,1.5692014602522113e-15,2.911785834815028e-40,9.346702470856075e-26,5.438501277690959e-28,1.9428258519033293e-54,2.60629825770404e-15,3.560205809623788e-31,1.0608673402292353e-35
4.1920108358632075e-22,0.06210963536780779,0.0,15.421822461826507,0.03107511026317979,0.3194096818763209,0.35048479213952116,0.2070122201801924,0.09201819554063821,0.0,3.5794563875006074e-64,1.56455170900119e-21,1.8061881763207741e-62,0.0,1.3245137816052355e-104,3.40510343403722e-41,5.4857611493424746e-70,3.235966776770771e-54,4.1985629378778376e-80,3.2940620294703877e-37,7.732589633531037e-34,1.984468694893137e-130,2.8219330583823285e-29,2.5014793997365104e-84,1.0286691606335485e-70,9.95388615753173e-117,1.5645517090012258e-21,2.0898117277492582e-91,6.776827670207895e-14,2.3163598004147608e-14,1.6235196486079103e-14,1.8402061834308637e-14,1.5242250435312915e-14,7.316280208978256e-15,7.412351361326774e-15,3.706302085731372e-15,2.821933344332843e-29,1.6781541945023556e-27,3.138413562403778e-15,2.329442490690683e-39,3.73870000423583e-25,2.1754115757976254e-27,1.8207726275152253e-53,5.2126141906189065e-15,1.424047134526999e-30,8.486753060932437e-35
8.384035886221078e-22,0.06210963536780779,0.0,15.42182246182634,0.031075110263175144,0.3194096818762866,0.35048479213950273,0.20701222018016985,0.09201819554057045,0.0,2.863576438262539e-63,3.1291087231679268e-21,1.4449562578997727e-61,0.0,4.931443561259958e-103,2.7238317022658718e-40,4.3893616079983333e-69,1.2943900025127772e-53,3.3588636378645915e-79,1.3176281626908207e-36,1.5465205487139662e-33,6.350336908120112e-129,5.643875688232126e-29,2.0011914364416234e-83,9.633660413347242e-70,3.7216250568034466e-115,3.129108723166524e-21,3.3437139492187267e-90,1.3553678318753438e-13,4.6327274552652254e-14,3.247044802408485e-14,3.680418606730811e-14,3.0484552554744704e-14,1.463258522638967e-14,1.4824727856846883e-14,7.412616738245167e-15,5.643876832037096e-29,6.712633849122472e-27,6.276837766703032e-15,1.863559521705085e-38,1.4954838048033396e-24,8.701668432674754e-27,1.88302498933222e-52,1.0425246056447719e-14,5.6958635907926456e-30,6.789044986341071e-34
1.6768085986936822e-21,0.06210963536780779,0.0,15.421822461826004,0.031075110263165853,0.31940968187621804,0.35048479213946593,0.20701222018012472,0.09201819554043492,0.0,2.290865681931135e-62,6.258222751501073e-21,1.1559672938065204e-60,0.0,2.0215733949751856e-101,2.1789649435766985e-39,3.5126779655057826e-68,5.177566593663898e-53,2.6870962254637252e-78,5.2705193525754807e-36,3.093043719435355e-33,2.032113744234094e-127,1.1287760956049284e-28,1.6009563159019198e-82,9.953795435993754e-69,1.5341980437761183e-113,6.2582227514923665e-21,5.3499544666359166e-89,2.710737961316775e-13,9.265462764962975e-14,6.494095110235721e-14,7.360843453329157e-14,6.09691567932496e-14,2.926519526120867e-14,2.9649480847874155e-14,1.4825246041037686e-14,1.1287765531274988e-28,2.6850569538735744e-26,1.255368617528601e-14,1.490849829026562e-37,5.981942824814445e-24,3.4806717989656945e-26,2.1886661207232212e-51,2.0850509788101652e-14,2.2780768315343674e-29,5.430639972495159e-33
