Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525)
1.3447978002221414e-24,0.08478463093452131,0.0,21.05202386104164,0.03107511026318442,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070573,0.0,3.22305949286985e-63,8.058047218953887e-21,9.744423683689633e-61,0.0,1.4942073657961587e-103,2.6450610782225797e-43,4.9993717671567373e-67,5.278468970225047e-51,1.726800310904035e-74,3.814877297173122e-38,1.4229777285201952e-29,1.0395422372224408e-121,1.218233150402078e-25,3.593073960825771e-77,9.41723023590795e-68,1.9048112183366955e-112,8.058047233183646e-21,2.4515001752839398e-89,2.540037408056254e-16,8.681998170106887e-17,5.521164343631978e-17,6.897316519784223e-17,5.712980788411431e-17,2.74223077843764e-17,2.778239414434272e-17,6.941507600313289e-21,1.2182331504023732e-25,1.6891253515264226e-31,1.1763155620713719e-17,2.2210231746582848e-45,2.351529073008595e-33,1.6891253515264182e-31
2.690763973858898e-24,0.08478463093452131,0.0,21.05202386104164,0.03107511026318441,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070548,0.0,2.581061610565099e-62,1.612309534774179e-20,7.80344202230618e-60,0.0,4.7873683792908554e-102,1.0587408124237966e-42,4.0025372531236646e-66,2.1127631968039109e-50,1.382840745399257e-73,1.5269451045852273e-37,2.847191753937453e-29,3.3315146613522834e-120,2.43752471361953e-25,2.877373279867967e-76,7.539513029844228e-67,6.102923425887483e-111,1.6123095376213633e-20,3.926964995023788e-88,5.082281625326893e-16,1.737153934470539e-16,1.1047125528570489e-16,1.3800625495276242e-16,1.1430925070122316e-16,5.4868440336593256e-17,5.558892590305995e-17,1.3889046050308662e-20,2.43752471362116e-25,6.760903393813764e-31,2.3536531185493545e-17,1.778169016900598e-44,9.412244553854777e-33,6.760903393813728e-31
5.382696321132411e-24,0.08478463093452131,0.0,21.05202386104164,0.031075110263184387,0.3194096818763547,0.3504847921395393,0.20701222018021462,0.09201819554070496,0.0,2.0658954059655402e-61,3.225319160531759e-20,6.245916392934229e-59,0.0,1.5329041396873725e-100,4.2365588605379085e-42,3.2032462670239374e-65,8.453804788721332e-50,1.1068330687684829e-72,6.10976935644496e-37,5.695619804771966e-29,1.066882092445938e-118,4.876107840054676e-25,2.303064838047698e-75,6.033906256641124e-66,1.954141843946472e-109,3.2253191662273503e-20,6.28679815748538e-87,1.0166770059862175e-15,3.475062169390172e-16,2.2099047898448008e-16,2.7607243446259987e-16,2.2866813633542157e-16,1.0976070544102693e-16,1.1120198942049637e-16,2.77841229513001e-20,4.876107840062096e-25,2.705242005974345e-30,4.708328231505156e-17,1.4230756353854748e-43,3.766123823324699e-32,2.7052420059743156e-30
1.0766561015679437e-23,0.08478463093452131,0.0,21.052023861041636,0.03107511026318434,0.31940968187635427,0.35048479213953904,0.20701222018021428,0.09201819554070395,0.0,1.6531348739833013e-60,6.451338412046915e-20,4.997998533386096e-58,0.0,4.906812897918366e-99,1.6950726702161647e-41,2.5630837175165934e-64,3.3820723941974484e-49,8.856906987524689e-72,2.4443055868660016e-36,1.1392475906440985e-28,3.4152990823782284e-117,9.75327409292594e-25,1.8429184700383883e-74,4.828048841325831e-65,6.255191533265718e-108,6.45133842343928e-20,1.0061801342183008e-85,2.0335746928908746e-15,6.950878639229167e-16,4.4202892638205014e-16,5.522047934822628e-16,4.573859076037413e-16,2.1954523564989404e-16,2.224281164553768e-16,5.557427675728577e-20,9.753274092957422e-25,1.0822729571702416e-29,9.417678457416103e-17,1.1386767232531102e-42,1.5066947647097033e-31,1.0822729571702179e-29
2.153429040477349e-23,0.08478463093452131,0.0,21.052023861041633,0.031075110263184245,0.3194096818763533,0.3504847921395385,0.20701222018021362,0.09201819554070191,0.0,1.3226753393125175e-59,1.290337691507722e-19,3.998905056126915e-57,0.0,1.570426568123638e-97,6.782228688500223e-41,2.0506616989258347e-63,1.3529390612615294e-48,7.086422674488897e-71,9.778018092707236e-36,2.278618810977898e-28,1.0930999718446605e-115,1.9507606598672354e-24,1.4745214386590645e-73,3.862817137878108e-64,2.0019756997363995e-106,1.2903376937862962e-19,1.6101221962863724e-84,4.067370066690595e-15,1.3902511578906083e-15,8.841058211772689e-16,1.1044695115215414e-15,9.14821450140072e-16,4.3911429606762755e-16,4.448803705251682e-16,1.1115458438526825e-19,1.950760659880187e-24,4.3294441633328125e-29,1.8836378909235385e-16,9.110278738201035e-42,6.027269565272886e-31,4.329444163332624e-29
4.30697491829616e-23,0.08478463093452131,0.0,21.052023861041622,0.031075110263184057,0.3194096818763515,0.35048479213953737,0.20701222018021226,0.09201819554069784,0.0,1.058207251588711e-58,2.580745392113779e-19,3.1993265490304172e-56,0.0,5.025780172581363e-96,2.714110853931441e-40,1.6406072893542772e-62,5.4119764600518967e-48,5.6694969952826563e-70,3.9113663917982486e-35,4.557361251645482e-28,3.4982467695892015e-114,3.9016271610180704e-24,1.179691820536286e-72,3.0904185300416546e-63,6.406853058398487e-105,2.580745396670962e-19,2.5763827146174158e-83,8.13496081425165e-15,2.780577745825559e-15,1.7682596107680211e-15,2.2089989475999096e-15,1.829692535211499e-15,8.782524169030911e-16,8.897848786648736e-16,2.223151997052776e-19,3.9016271610706e-24,1.7318481347726612e-28,3.7673779812863476e-16,7.28856898991091e-41,2.4110059314843387e-30,1.7318481347725105e-28
8.614066673933781e-23,0.08478463093452131,0.0,21.052023861041604,0.03107511026318368,0.31940968187634783,0.35048479213953515,0.20701222018020954,0.09201819554068971,0.0,8.465925941441157e-58,5.161560793325875e-19,2.559542243349882e-55,0.0,1.60832940358872e-94,1.0865536361319783e-39,1.3125170621431876e-61,2.1648346278059128e-47,4.535741142883493e-69,1.5645783882290328e-34,9.114846132980592e-28,1.1194912666114796e-112,7.803360163325954e-24,9.437833251841764e-72,2.4724224910590317e-62,2.0502956537557028e-103,5.16156080244001e-19,4.122362109967285e-82,1.6270142309220237e-14,5.561230921693735e-15,3.536567189950784e-15,4.418057819755888e-15,3.6594347053494144e-15,1.7565286585740055e-15,1.7795938949447725e-15,4.446364306014742e-19,7.803360163537512e-24,6.927533480479552e-28,7.534858162007781e-16,5.830993595365013e-40,9.644219944943516e-30,6.927533480478344e-28
1.7228250185209022e-22,0.08478463093452131,0.0,21.052023861041565,0.031075110263182926,0.3194096818763405,0.3504847921395307,0.20701222018020413,0.09201819554067345,0.0,6.772847926280778e-57,1.0323191595750004e-18,2.0476661968275592e-54,0.0,5.146866944139103e-93,4.353356481721525e-39,1.0500262345326878e-60,8.659426599577405e-47,3.6286503338458165e-68,6.258377216502188e-34,1.8229815895650575e-27,3.582455735939887e-111,1.5606826167966572e-23,7.550386078316915e-71,1.9780078400716815e-61,6.5612239133263e-102,1.0323191613976974e-18,6.595899191663927e-81,3.254050529854331e-14,1.1122537273423183e-14,7.073182348321345e-15,8.836175564064816e-15,7.318919045605489e-15,3.5130811419157815e-15,3.559211927506526e-15,8.89278893418579e-19,1.5606826168815678e-23,2.771041580721116e-27,1.5069818523433911e-15,4.664850238406303e-39,3.8577272259381546e-29,2.7710415807201503e-27
3.4456617207759506e-22,0.08478463093452131,0.0,21.05202386104149,0.03107511026318142,0.31940968187632585,0.3504847921395219,0.2070122201801933,0.0920181955406409,0.0,5.418321210602695e-56,2.0646453200598e-18,1.6381459184248121e-53,0.0,1.6470860406492172e-91,1.7470296583121792e-38,8.400261694072406e-60,3.463788257579612e-46,2.9029432350673528e-67,2.5033636193746902e-33,3.645975542098959e-27,1.1463992249247584e-109,3.121375817734722e-23,6.040356653755255e-70,1.5824898591710266e-60,2.0997087684143008e-100,2.064645323704637e-18,1.0553534560215973e-79,6.508123127473304e-14,2.224514997685446e-14,1.4146412665082605e-14,1.7672411052670564e-14,1.4637887726038623e-14,7.026186108599123e-15,7.118447992637855e-15,1.7785638231516348e-18,3.12137581807494e-23,1.1084222700198834e-26,3.0139739246219203e-15,3.731902335719565e-38,1.543098743050513e-28,1.1084222700191103e-26
6.891335125286047e-22,0.08478463093452131,0.0,21.05202386104134,0.031075110263178406,0.3194096818762965,0.35048479213950423,0.20701222018017162,0.09201819554057582,0.0,4.334674116378575e-55,4.129297641029297e-18,1.310521919152441e-52,0.0,5.271166316135341e-90,7.033562189700016e-38,6.720232447577772e-59,1.3855188265890084e-45,2.3223637752849818e-66,1.0013479943102546e-32,7.291963447166377e-27,3.668498942980136e-108,6.242762219650614e-23,4.832304439517344e-69,1.2661143592527773e-59,6.719720497804013e-99,4.129297648316703e-18,1.6885731979579409e-78,1.3016268321728683e-13,4.449037538360654e-14,2.8292873298685697e-14,3.534488202983359e-14,2.927582508658883e-14,1.4052396041964975e-14,1.4236920122931802e-14,3.55713369901313e-18,6.242762221012639e-23,4.4337003555713923e-26,6.027958069152195e-15,2.985530726604584e-37,6.172410701972854e-28,4.4337003555652106e-26
