Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210),H2NOX(204),HOX(29),H2NO(88),HNOX(526),H3NX(202),NX(608),OX(27),HNX(525),H2X(216),H2NX(201),CH2X(34),CHX(35),CX(33),SX(667),NO2X(206)
0.0,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4075038703986259e-27,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.482257098754236e-68,3.0566329172803066e-22,1.0007323861425749e-64,0.0,6.93219961070195e-111,1.3383459645098005e-45,3.2533554443563127e-70,1.4257815183330904e-52,8.874708123991981e-77,8.130461949186771e-42,3.9872628309420425e-29,-3.54149672000049e-123,2.16704891940905e-25,1.9217344744863169e-78,6.985559992392408e-71,2.867437982908383e-118,3.0566333160065996e-22,1.3587583016344353e-94,2.9591779763971504e-19,1.011464543577381e-19,7.092566483543556e-20,8.035467145815295e-20,6.65569998104022e-20,3.194735990899305e-20,3.236686539447621e-20,2.9073586579626356e-20,2.1670489193992705e-25,9.488218189009275e-37,1.370423558933846e-20,9.015857769899933e-53,1.6283353128507313e-35,2.5470559116738658e-36,2.447743707906877e-63,2.276146578012056e-20,1.474654155492105e-37,2.1263140209161068e-48,2.688140049445105e-54,6.982592284886692e-83,1.2856747433304471e-20
3.941010837116153e-27,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.43295869246741e-66,8.558572168384859e-22,1.512306781782052e-63,0.0,4.217195306606716e-109,8.083609641698211e-45,3.862383583540489e-69,8.611720370731867e-52,1.3411458916976365e-75,4.91079901730881e-41,1.116433592663772e-28,-1.81780606114968e-123,6.067736974345341e-25,2.9041251378436656e-77,8.2932568230781e-70,1.7444024527978196e-116,8.558573284818478e-22,4.272143729609297e-93,8.285698333912014e-19,2.8321007220166656e-19,1.9859186153921962e-19,2.249930800828282e-19,1.8635959946912614e-19,8.945260774518057e-20,9.062722310453338e-20,8.140604242295377e-20,6.067736974317957e-25,5.730883786161602e-36,3.8371859650147683e-20,1.0703626344425202e-51,9.835145289618413e-35,1.5384217706510153e-35,3.143205815224678e-62,6.373210418433756e-20,8.906911099048309e-37,2.5243600055991757e-47,3.191360107707811e-53,4.247851880211279e-81,3.599889281325252e-20
9.008024770551207e-27,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5415115716910113e-65,1.9562450670593965e-21,1.626870625324962e-62,0.0,1.9038435475376767e-107,3.8919100888721146e-44,3.792111105943735e-68,4.146172655312627e-51,1.4427435503010902e-74,2.3643383348235133e-40,2.5518482118029077e-28,8.294871984917563e-122,1.3869113084217921e-24,3.124125300482847e-76,8.142368727460854e-69,7.875066513691404e-115,1.9562453222442234e-21,9.530912913733238e-92,1.8938739048941712e-18,6.473373078895235e-19,4.539242549467881e-19,5.142698973321786e-19,4.2596479878657383e-19,2.0446310341755557e-19,2.0714793852464783e-19,1.8607095410960837e-19,1.3869113084155332e-24,2.759173849363898e-35,8.770710777176608e-20,1.0508883816595364e-50,4.735199089769919e-34,7.406838591147602e-35,3.189977242491292e-61,1.456733809927716e-19,4.288294283985031e-36,2.478431622679292e-46,3.1332967887536193e-52,1.9176836976011925e-79,8.228318357314861e-20
1.9142052637421316e-26,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.416914713439083e-64,4.1570207675012174e-21,1.4953743897994107e-61,0.0,7.188550985951042e-106,1.6996993998025588e-43,3.354079328917758e-67,1.810742528283025e-50,1.3261298855518392e-73,1.03256866754672e-39,5.422677450081178e-28,3.3943379750128225e-120,2.9471865303963083e-24,2.8716093905353514e-75,7.2018329304363334e-68,2.9734752745200646e-113,4.1570213097689746e-21,1.7850341557565185e-90,4.024482047900099e-18,1.3755917792652366e-18,9.645890417619266e-19,1.0928235318308797e-18,9.051751974214688e-19,4.344840947623056e-19,4.40189369364877e-19,3.9540077748291684e-19,2.9471865303830083e-24,1.205003710004179e-34,1.863776040150027e-19,9.294988726456038e-50,2.0679858473204217e-33,3.2347610078258105e-34,2.8627854875742496e-60,3.095559346096396e-19,1.8728107772827628e-35,2.1921447027925747e-45,2.771366434328776e-51,7.2408110942763795e-78,1.748517650929408e-19
3.9410108371161527e-26,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2122003685278031e-63,8.55857216838486e-21,1.2793242735141765e-60,0.0,2.4940422790992046e-104,7.095910527685153e-43,2.819305774399595e-66,7.559493610202046e-50,1.1345320369213559e-72,4.310770925458825e-39,1.116433592663772e-27,1.200457648668585e-118,6.0677369743453394e-24,2.4567222913695603e-74,6.053574521672278e-67,1.031636704676936e-111,8.558573284818477e-21,3.0832023058796716e-89,8.285698333911907e-18,2.832100722016661e-18,1.985918615392209e-18,2.2499308008282805e-18,1.8635959946912556e-18,8.945260774518056e-19,9.062722310453363e-19,8.140604242295304e-19,6.06773697431796e-24,5.030653283812728e-34,3.837185965014754e-19,7.812998089670971e-49,8.633433828734508e-33,1.3504490443694843e-33,2.422713314877583e-59,6.373210418433756e-19,7.818616330689246e-35,1.8426297091185776e-44,2.32950200313708e-50,2.5121753596033942e-76,3.5998892813252517e-19
7.994621983864196e-26,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.002270706355476e-62,1.7361674970152143e-20,1.0577700490472676e-59,0.0,8.306202095729966e-103,2.898911082487673e-42,2.3114372091397016e-65,3.0882997999702065e-49,9.380530278250128e-72,1.761090580041651e-38,2.26476528797508e-27,4.033146076628679e-117,1.2308837862243403e-23,2.0312654988553363e-73,4.963086135506291e-66,3.4357809530020325e-110,1.7361677234917485e-20,5.122786503590123e-88,1.6808130905935324e-17,5.745118607519499e-18,4.028577762652797e-18,4.564145338823078e-18,3.78043758923082e-18,1.8146100428308054e-18,1.8384379544062595e-18,1.6513797177227453e-18,1.2308837862187865e-23,2.0551860126121733e-33,7.78400581474418e-19,6.405567875374355e-48,3.5270394210471396e-32,5.5170249869220655e-33,1.9928009071579295e-58,1.2928512563108477e-18,3.1941598854974748e-34,1.5106991621962364e-43,1.9098689900973177e-49,8.366603624115935e-75,7.302632542116939e-19
1.6101844277360283e-25,0.10504946994334764,0.0,26.083783386933217,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.150298931176199e-62,3.496788057368671e-20,8.601610368848273e-59,0.0,2.711282707649838e-101,1.1717862884271564e-41,1.8718617800285677e-64,1.2483401568135006e-48,7.628091434368638e-71,7.118609698686577e-38,4.561428678597697e-27,1.3221223076820818e-115,2.4791039638039525e-23,1.6517913692654647e-72,4.019235830966579e-65,1.1214961275905414e-108,3.4967885135115494e-20,8.351434729011133e-87,3.3852996049981385e-17,1.1571154378525142e-17,8.113896057174065e-18,9.19257441481266e-18,7.614120778309912e-18,3.654777973588804e-18,3.702769401128124e-18,3.326018304709124e-18,2.4791039637927688e-23,8.307390458950765e-33,1.567764551420293e-18,5.187394941040375e-47,1.425685726495784e-31,2.230069709354235e-32,1.6164204832987688e-57,2.6039116852457915e-18,1.2911304953280132e-33,1.2234033485212983e-42,1.5466654827586276e-48,2.7310058228677898e-73,1.4708119063700314e-18
3.231628886435245e-25,0.10504946994334764,0.0,26.083783386933217,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.573511352849224e-61,7.018029178075584e-20,6.937510377211384e-58,0.0,8.762397215380209e-100,4.711701766342181e-41,1.5066372088785638e-63,5.019520866552378e-48,6.152332088408177e-70,2.8623616510589978e-37,9.154755459842929e-27,4.2819141388337046e-114,4.975544318963176e-23,1.3322295795643824e-71,3.2350306651711474e-64,3.6244816957490886e-107,7.018030093551151e-20,1.3487589236417482e-85,6.794272633807038e-17,2.3223225920536273e-17,1.628453264621697e-17,1.8449432566791768e-17,1.528148715646794e-17,7.3351138351048e-18,7.431432294571925e-18,6.675295478681681e-18,4.975544318940739e-23,3.340365166313531e-32,3.1464924913120017e-18,4.175266741709722e-46,5.732619602303125e-31,8.967012219284352e-32,1.3020739227131863e-56,5.226032543115677e-18,5.191578930804003e-33,9.847014476969179e-42,1.2448974696860398e-47,8.826184486812554e-72,2.9519092106867063e-18
6.474517803833679e-25,0.10504946994334764,0.0,26.083783386933217,0.031075110263184425,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,5.280201801491292e-60,1.406051141948941e-19,5.572585612975095e-57,0.0,2.817855632246432e-98,1.8896036557365345e-40,1.208981475455456e-62,2.0130523710453794e-47,4.941887711581267e-69,1.1479350443285094e-36,1.8341409022333397e-26,1.3784484722187158e-112,9.968425029281618e-23,1.0701192480586238e-70,2.595908378169854e-63,1.1655789974100203e-105,1.4060513253630355e-19,2.1680905649679873e-84,1.3612218691423588e-16,4.652736900455794e-17,3.2625805824304244e-17,3.6963148870749756e-17,3.061621991278337e-17,1.469578555813679e-17,1.4888758081459813e-17,1.3373849826625987e-17,9.968425029236697e-23,1.3396358331753543e-31,6.3039483710952534e-18,3.350388611107366e-45,2.2990368582017572e-30,3.5961729593568936e-31,1.0452473887815737e-55,1.0470274258855441e-17,2.0820553463427705e-32,7.90160896035224e-41,9.989623020607615e-47,2.8383979728201817e-70,5.914103819320056e-18
