Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),CH3OX(210)
0.0,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2608634998809554e-27,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.651574335072391e-70,5.37882966488167e-23,1.7302040377371084e-69,0.0,2.891697191911139e-114,4.02718632711236e-57,8.298647522088552e-73,6.1112489109924916e-55,7.923327463522793e-80,6.906659415064831e-43,9.603620931797162e-31,-1.0156913906324646e-126,6.490516198707109e-39,5.465201185362963e-82,1.6714055053113532e-73,2.511877053490282e-122,5.37882976091788e-23,1.2051521273012784e-97,2.5153093708629367e-19,8.5974762756694e-20,2.7155343272477896e-20,6.830169044356882e-20,5.657363181766228e-20,2.7155343272477896e-20
3.530417799666675e-27,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3074259134610082e-68,1.5060723061668678e-22,2.6146843417180703e-68,0.0,1.7591605308433486e-112,6.085781839220334e-56,9.852154338229573e-72,3.691194342239465e-54,1.1973732462866844e-78,4.171622286699157e-42,2.689013860903205e-30,-1.0032410964523376e-126,1.8173665730798586e-38,8.259012031313638e-81,1.9842926160506552e-72,1.528097403590963e-120,1.5060723330570064e-22,3.7891904620569064e-96,7.042866238416219e-19,2.407293357187432e-19,7.603496116293811e-20,1.9124473324199269e-19,1.5840616908945434e-19,7.603496116293811e-20
8.069526399238114e-27,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.406469136440929e-67,3.442450985524269e-22,2.8127580999422596e-67,0.0,7.941691534676234e-111,6.546765958983633e-55,9.672903551764493e-71,1.7771511833166165e-53,1.288079499089048e-77,2.0084565579008526e-41,6.146317396350184e-30,-3.9096871521510725e-127,4.1540846292656244e-38,8.884668263013559e-80,1.9481902574243325e-71,6.898562127543756e-119,3.442451046987443e-22,8.453475150102122e-95,1.6097979973522761e-18,5.502384816428415e-19,1.7379419694385855e-19,4.371308188388404e-19,3.6207124363303845e-19,1.7379419694385855e-19
1.7147743598380994e-26,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2927874496828598e-66,7.315208344239072e-22,2.585409289393201e-66,0.0,2.998631615441856e-109,6.017590020289396e-54,8.555573649409834e-70,7.761286116960463e-53,1.1839669762184053e-76,8.771457457132334e-41,1.306092446724414e-29,2.3527342937750848e-125,8.827873340707038e-38,8.166540827257256e-79,1.7231522206529113e-70,2.6047657991626294e-117,7.315208474848317e-22,1.5832423146814757e-93,3.4208207443735765e-18,1.1692567734910384e-18,3.693126685056994e-19,9.289029900325356e-19,7.694013927202061e-19,3.693126685056994e-19
3.5304177996666755e-26,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1060068810565137e-65,1.5060723061668679e-21,2.2118720792949108e-65,0.0,1.0403646084448101e-107,5.148168687358473e-53,7.191475164349048e-69,3.2401841726082187e-52,1.0129086749430547e-75,3.661910821867373e-40,2.6890138609032054e-29,8.661057800126389e-124,1.81768611598694e-37,6.986647612947937e-78,1.448413270032024e-69,9.037142598160082e-116,1.5060723330570065e-21,2.7346573537601703e-92,7.042866238416143e-18,2.4072933571874313e-18,7.603496116293812e-19,1.9124473324199262e-18,1.5840616908945403e-18,7.603496116293812e-19
7.161704679323828e-26,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,9.1446787733353e-65,3.0551752496527892e-21,1.8288186085732662e-64,0.0,3.4648485197411877e-106,4.256602928142159e-52,5.896005830420975e-68,1.3237209591166173e-51,8.374924801761362e-75,1.4960100559407028e-39,5.454856689260788e-29,2.91306031175244e-122,3.6880478383312237e-37,5.776695354902955e-77,1.1874967096313602e-68,3.0097458046399814e-114,3.055175304201356e-21,4.5436740767677667e-91,1.4286957226501144e-17,4.883366524580216e-18,1.5424234978767447e-18,3.879536017194705e-18,3.2133822872432034e-18,1.5424234978767447e-18
1.4424278438638132e-25,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.436300907494564e-64,6.153381136624631e-21,1.4871649202411193e-63,0.0,1.130984267557311e-104,3.461397811359539e-51,4.774738385844562e-67,5.350691761521652e-51,6.8103497615611e-74,6.047111837541183e-39,1.0986542345975953e-28,9.549738244375215e-121,7.431027917067043e-37,4.6975127256784945e-76,9.616656256829229e-68,9.824311612383874e-113,6.153381246490055e-21,7.407335495583693e-90,2.877513920267062e-17,9.83551285936578e-18,3.1065712703714715e-18,7.813713386744257e-18,6.472023479940508e-18,3.1065712703714715e-18
2.894942595726674e-25,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.997646080395251e-63,1.2349792910568315e-20,1.199452384423832e-62,0.0,3.6551457378666576e-103,2.791742333692961e-50,3.843124845933097e-66,2.151489624110549e-50,5.492793804562363e-73,2.431517073711234e-38,2.2049913659406284e-28,3.092845499982218e-119,1.4926014610727683e-36,3.788714192344966e-75,7.740321622580416e-67,3.175047766388632e-111,1.2349793131067453e-20,1.1962866600312892e-88,5.775150315500742e-17,1.973980552893689e-17,6.234866815360925e-18,1.5682068125843348e-17,1.298930586533503e-17,6.234866815360925e-18
5.799972099452395e-25,0.0945796191447709,0.0,23.48411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,4.817635497759301e-62,2.4742616458455682e-20,9.634653841885352e-62,0.0,1.1754401023474018e-101,2.242479104365729e-49,3.0838656575595734e-65,8.628435669936824e-50,4.412110694765791e-72,9.751470988173545e-38,4.417665628626694e-28,9.956594523547316e-118,2.995209414280498e-36,3.0433012784079955e-74,6.211120692908867e-66,1.0210477887217263e-109,2.474261690022225e-20,1.9229958662168848e-87,1.157042310596725e-16,3.954839086807905e-17,1.2491457905339832e-17,3.1418777604041434e-17,2.6023870636123726e-17,1.2491457905339832e-17
