Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26)
0.0,0.052102880930398214,0.0,0.012937145335017875,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7207579841856415e-24,0.052102880930398214,0.0,0.012937145335017875,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.9775419264789905e-77,2.3692100041878838e-26,3.955083804570547e-77,0.0,-1.5912107908314628e-165,2.998958886333279e-76,1.3736963214147679e-124,4.9465517564310194e-65,8.046631234627216e-97,6.257341850232946e-85,3.315149809489342e-41,-3.1480465014623825e-143,1.2199491862731128e-53,4.911273946916025e-102,-7.860163916181287e-126,-7.727420571483087e-157,2.369210004187887e-26,1.0525595624275739e-125,2.547857987820818e-19,8.708729374531952e-20,1.6184677846909133e-70
4.818122355719796e-24,0.052102880930398214,0.0,0.012937145335017875,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.988461359295074e-76,6.633788011726076e-26,5.976922645467054e-76,0.0,7.33090030875487e-164,1.8113711752168156e-75,3.8757114489613877e-123,2.987717260884337e-64,1.2090847908306297e-95,9.456095004072068e-84,9.282419466570159e-41,-3.1480465014610537e-143,3.4158577215647163e-53,7.429041625728126e-101,8.082288137421699e-124,-7.727420571476997e-157,6.633788011726084e-26,2.96602209065584e-124,7.134002365896303e-19,2.4384442248689467e-19,9.775545419533116e-70
1.1012851098788106e-23,0.052102880930398214,0.0,0.012937145335017873,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.214850359038391e-75,1.5162944026802455e-25,6.429700639414294e-75,0.0,1.122218615080131e-161,8.720972557280893e-75,8.431964546052189e-122,1.438457250770141e-63,1.3048533144842128e-94,1.0172435499086744e-82,2.1216958780731792e-40,-3.1480465013954546e-143,7.807674792147923e-53,8.020924041640103e-100,2.650625491176021e-122,-7.727420570869482e-157,1.5162944026802478e-25,6.473977171014263e-123,1.6306291122039308e-18,5.573586799700449e-19,4.706504317881175e-69
2.3402308584924727e-23,0.052102880930398214,0.0,0.012937145335017872,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.9550013498990494e-74,3.222125605695522e-25,5.9100026274937216e-74,0.0,1.430304476252624e-159,3.808677904278236e-74,1.5636410464521084e-120,6.282120730667397e-63,1.1990602966610853e-93,9.350220779966129e-82,4.5086037409055055e-40,-3.14804649883345e-143,1.6591308933314335e-52,7.370903388044293e-99,7.981996816727533e-121,-7.727420523007606e-157,3.2221256056955265e-25,1.200091105293824e-121,3.465086863429347e-18,1.1843871949363449e-18,2.055454086557459e-68
4.8181223557197965e-23,0.052102880930398214,0.0,0.012937145335017866,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.5280658683076444e-73,6.633788011726075e-25,5.056131674757371e-73,0.0,1.7823089591300888e-157,1.590048107855577e-73,2.689204025085845e-119,2.622661741259728e-62,1.0257913807979515e-92,7.999310733235631e-81,9.282419466570158e-40,-3.148046408583112e-143,3.415857721564716e-52,6.305805532751381e-98,2.4243647142688224e-119,-7.727417135826029e-157,6.633788011726084e-25,2.0625945289032355e-120,7.134002365867437e-18,2.438444224868944e-18,8.581116194431215e-68
9.773905350174445e-23,0.052102880930398214,0.0,0.012937145335017856,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,2.09025374791725e-72,1.345711282378718e-24,4.180507444689177e-72,0.0,2.233675836552567e-155,6.495865804484316e-73,4.462808280223641e-118,1.0714428966499849e-61,8.481412695174477e-92,6.6139848057415054e-80,1.8830050917899467e-39,-3.1480433811225e-143,6.929311378031278e-52,5.213746805142336e-97,7.506597241128264e-118,-7.727189368597939e-157,1.3457112823787199e-24,3.4185844972193084e-119,1.4471833370692655e-17,4.946558284734135e-18,3.5056659603519e-67
1.968547133908374e-22,0.052102880930398214,0.0,0.012937145335017837,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.6997596337505642e-71,2.7103762447909393e-24,3.399519225910602e-71,0.0,2.822806321449119e-153,2.6257331932053424e-72,7.284924697618967e-117,4.3309434972396666e-61,6.896941121042364e-91,5.3783826017490944e-79,3.792531382055808e-39,-3.147944212442118e-143,1.3956218690964396e-51,4.2397308274863555e-96,2.3582283901235684e-116,-7.712250514322928e-157,2.710376244790943e-24,5.5662753718920745e-118,2.914749538013923e-17,9.9627864044645e-18,1.4170462319505547e-66
3.950860331690233e-22,0.052102880930398214,0.0,0.012937145335017797,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.3709177226413348e-70,5.4397061696153816e-24,2.7418354117384038e-70,0.0,3.5880331311134704e-151,1.0557960702218761e-71,1.1817287616026623e-115,1.7414533320585663e-60,5.562632592912649e-90,4.337860413601083e-78,7.611583962587531e-39,-3.144733700793775e-143,2.80100333168306e-51,3.419496359876582e-95,7.47311323033234e-115,-6.744423522790976e-157,5.439706169615389e-24,8.983990204658419e-117,5.849881939821695e-17,1.9995242643925144e-17,5.697880574715706e-66
7.915486727253951e-22,0.052102880930398214,0.0,0.012937145335017719,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,1.1011956685295084e-69,1.0898366019264266e-23,2.2023913101144378e-69,0.0,4.575951213549707e-149,4.2342168772443604e-71,1.91809394256096e-114,6.984006745594415e-60,4.468208979689186e-89,3.4844053871735294e-77,1.5249689123650978e-38,-3.041399687975202e-143,5.611766256856291e-51,2.746725421781894e-94,2.3794379819134183e-113,5.557483753093497e-156,1.0898366019264281e-23,1.4437030936511425e-115,1.172014674311107e-16,4.0060155122846105e-17,2.2851049543983584e-65
1.5844739518381388e-21,0.052102880930398214,0.0,0.012937145335017561,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021495,0.09201819554070576,0.0,8.827446290087256e-69,2.1815685718562037e-23,1.765489236418036e-68,0.0,5.84630613132244e-147,1.69589724467282e-70,3.136837073823101e-113,2.7972455368132685e-59,3.58182254777089e-88,2.793182200692682e-76,3.0525899445777866e-38,2.7488158563219004e-144,1.1233292107202706e-50,2.201840400504685e-93,7.594872383658362e-112,4.056156682744976e-154,2.1815685718562066e-23,2.314948153361818e-114,2.3460676348385127e-16,8.01899800806867e-17,9.152338861746876e-65
