Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675)
0.0,0.09466578726852673,0.0,0.023505514978775184,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3691337344016791e-24,0.09466578726852673,0.0,0.023505514978775184,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.153528658356464e-60,5.929934963707821e-20,6.633569514122165e-58,0.0,1.8021382406084905e-97,3.169848075298702e-41,1.1191642506914537e-66,1.6188039650802407e-48,1.07970239003562e-70,8.31304246431247e-40,1.078202205625479e-27,-3.4313364882996025e-114,6.957822152384615e-24,7.521882082709063e-73,9.136019130619009e-63,1.6664823233678024e-105,5.929935071529908e-20,1.7832292436187542e-88,2.7325426699632937e-19,9.33999254700784e-20,5.940466401454961e-20,7.420052806616382e-20,6.145958216010897e-20,2.9887976150428446e-20,1.6088427264146772e-23,5.09163489138994e-34,3.5283004845920195e-22,1.8215779657391362e-47,5.091634891389931e-34,8.532896241094742e-36,3.458722263254852e-22,2.950059943685601e-20,7.080104647978325e-49,8.929685784179099e-60
3.8335744563247015e-24,0.09466578726852673,0.0,0.023505514978775184,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.743212638461123e-59,1.66038178983819e-19,1.0024650624727313e-56,0.0,1.0963286623540672e-95,1.9145882393846698e-40,1.3286717992959712e-65,9.777575949084655e-48,1.6316462518218298e-69,5.021077648444733e-39,3.0189661757513412e-27,1.7429360491606675e-113,1.9481902026676928e-23,1.1367068203389932e-71,1.084628191189179e-61,1.0138025260099524e-103,1.6603818200283743e-19,5.605729454214566e-87,7.651119475891103e-19,2.6151979131620473e-19,1.6633305924074998e-19,2.0776147858525266e-19,1.7208683004828004e-19,8.368633322120567e-20,4.5047596341233674e-23,3.0753474743996575e-33,9.879241356857677e-22,2.1625773609255874e-46,3.075347474399647e-33,5.153869329776142e-35,9.684422337113586e-22,8.260167842319684e-20,4.276383207326877e-48,1.0601322962859306e-58
8.762455900170746e-24,0.09466578726852673,0.0,0.02350551497877518,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.8752686180996706e-58,3.795158376773005e-19,1.078406171703871e-55,0.0,4.949351639867753e-94,9.217918230988354e-40,1.3044978532213394e-64,4.707481930453341e-47,1.7552505814331082e-68,2.4174327486220667e-38,6.900494116003066e-27,1.0433030008544305e-111,4.453006177526154e-23,1.222817326421847e-70,1.0648943898711982e-60,4.576789210477789e-102,3.795158445779141e-19,1.250557510205066e-85,1.748827308772224e-18,5.977595230083981e-19,3.8018984969319462e-19,4.74883379623406e-19,3.933413258245219e-19,1.9128304736278422e-19,1.029659345018983e-22,1.4806474264163955e-32,2.258112310138908e-21,2.1232312768657998e-45,1.4806474264163854e-32,2.4813662271427257e-34,2.2135822484831055e-21,1.8880383639587845e-19,2.058894431554048e-47,1.040844174967297e-57
1.8620218787862837e-23,0.09466578726852673,0.0,0.023505514978775177,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.7236949411202122e-57,8.0647115506426365e-19,9.91241065035877e-55,0.0,1.868781006475786e-92,4.0257070843291695e-39,1.1538135813063457e-63,2.0558810356519064e-46,1.6133776873824276e-67,1.0557563929676835e-37,1.4663549996506515e-26,4.1118874264053715e-110,9.462638127243078e-23,1.12397979585505e-69,9.418870283032262e-60,1.728108521978486e-100,8.064711697280676e-19,2.342118698493098e-84,3.716258031128655e-18,1.2702389863925471e-18,8.0790343059826e-19,1.0091271816996157e-18,8.358503173766047e-19,4.0647647564603767e-19,2.1880261084919097e-22,6.4663763120673e-32,4.798488659045224e-21,1.8779740195589697e-44,6.466376312067209e-32,1.083677822859152e-33,4.7038622780266e-21,4.0120815234124154e-19,8.991732902125957e-47,9.206148855288274e-57
3.8335744563247013e-23,0.09466578726852673,0.0,0.023505514978775167,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4746573122124022e-56,1.66038178983819e-18,8.480276003687955e-54,0.0,6.483669447764568e-91,1.680653475244393e-38,9.698498427804209e-63,8.582898622855439e-46,1.3802785789928576e-66,4.407575114578468e-37,3.0189661757513413e-26,1.4528745487345902e-108,1.948190202667693e-22,9.615883791950275e-69,7.917128002521417e-59,5.995611250084967e-99,1.6603818200283742e-18,4.045396894495821e-83,7.651119475802343e-18,2.6151979131598943e-18,1.6633305924090947e-18,2.0776147858516467e-18,1.7208683004791665e-18,8.368633322129307e-19,4.504759636476297e-22,2.699584819416817e-31,9.879241356857997e-21,1.5785503198630825e-43,2.6995848194167417e-31,4.52414158918951e-33,9.684422337113587e-21,8.260167842319675e-19,3.7538714836322425e-46,7.738322824201855e-56
7.776679611401538e-23,0.09466578726852673,0.0,0.02350551497877515,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.2192751828202638e-55,3.3682030593860425e-18,7.011656192327184e-53,0.0,2.159332630290748e-89,6.866017942341541e-38,7.951415055108534e-62,3.506394140522406e-45,1.1412410210818998e-65,1.8006382499399357e-36,6.124188527952721e-26,4.881055989470224e-107,3.9520429825544625e-22,7.950598672144583e-68,6.490939869397445e-58,1.9967888732067022e-97,3.3682031206289866e-18,6.721462074636566e-82,1.5520842364993007e-17,5.305115766690787e-18,3.3741849160335803e-18,4.2145899941541564e-18,3.490904266677874e-18,1.69763704534826e-18,9.138226696599208e-22,1.1028684840162107e-30,2.0040746752484108e-20,1.2941909242178713e-42,1.1028684840161492e-30,1.848259459235797e-32,1.964554245528756e-20,1.675634048013418e-18,1.5335789865561295e-45,6.344344579825277e-55
1.5662889921555208e-22,0.09466578726852673,0.0,0.023505514978775115,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,9.914943294603024e-55,6.783845598481748e-18,5.701762368963211e-52,0.0,7.048421349607436e-88,2.7753543212133116e-37,6.439262204298865e-61,1.4173405740180757e-44,9.280382450925692e-65,7.278467703543831e-36,1.2334633232355481e-25,1.6000779124111288e-105,7.959748542328002e-22,6.465294799986743e-67,5.256531395549005e-57,6.5178514542584796e-96,6.783845721830208e-18,1.095765890150418e-80,3.1260288142747496e-17,1.0684951473737362e-17,6.795893563293817e-18,8.48854041075297e-18,7.030976199049628e-18,3.419184471625093e-18,1.840516083346159e-21,4.457970745899713e-30,4.036375754373857e-20,1.0480693645986714e-41,4.457970745899213e-30,7.470960253148869e-32,3.9567782691635515e-20,3.3748685755763144e-18,6.198971459272815e-45,5.1378147269946425e-54
3.1435310541862554e-22,0.09466578726852673,0.0,0.023505514978775042,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,7.996760960585875e-54,1.3615130676673158e-17,4.598677911096048e-51,0.0,2.277927985530163e-86,1.1159578390770939e-36,5.182878647825318e-60,5.699064111223597e-44,7.484964651614194e-64,2.926639851731042e-35,2.4755522641161e-25,5.1821197123445803e-104,1.5975159661875086e-21,5.214494477578218e-66,4.230913775565604e-56,2.106456963446151e-94,1.3615130924232638e-17,1.7696631671587836e-79,6.273917969574909e-17,2.144462288776967e-17,1.363931085785935e-17,1.7036441243925754e-17,1.411112006369049e-17,6.862279324203454e-18,3.6939029173652545e-21,1.7925304300639667e-29,8.10097791262565e-20,8.435774046053093e-41,1.7925304300635648e-29,3.0040402654702786e-31,7.941226316433141e-20,6.773337630702085e-18,2.4925791576389487e-44,4.1353602688627956e-53
6.2980151782477245e-22,0.09466578726852673,0.0,0.0235055149787749,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021492,0.09201819554070585,0.0,6.423433286059415e-53,2.7277700833055975e-17,3.6939081850254847e-50,0.0,7.325475023927268e-85,4.475490644316659e-36,4.158934065916005e-59,2.2855796054730066e-43,6.012330658016042e-63,1.173713477710783e-34,4.959730145877204e-25,1.668245733907986e-102,3.2005981900969267e-21,4.188565540765473e-65,3.3950418521022915e-55,6.7740499140974924e-93,2.7277701329037454e-17,2.844680511141317e-78,1.256969627917228e-16,4.2963965715590926e-17,2.732614544717065e-17,3.413224291017198e-17,2.827140779256162e-17,1.3748469029458955e-17,7.400676611989927e-21,7.188848753429275e-29,1.6230182229132832e-19,6.76917740550186e-40,7.18884875342605e-29,1.2047545103760379e-30,1.591012241097232e-19,1.3570275740953545e-17,9.996357238823568e-44,3.318366174731158e-52
