Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539)
0.0,0.04692242069448014,0.0,0.011650837058439417,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.898222538610208e-24,0.04692242069448014,0.0,0.011650837058439415,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.679792806011213e-82,5.090387883489066e-28,1.1283421833455782e-80,0.0,4.856459195085844e-174,8.511551790035747e-53,7.028534498277824e-133,7.441882352985511e-69,7.143671195514219e-102,5.741099276931973e-90,1.2925336118258062e-44,-1.831177781846442e-150,4.821905137646419e-39,6.812735744013041e-108,-5.788234950621961e-132,-5.725135023560393e-164,5.090387883489066e-28,7.044203657368268e-133,2.6672387119439627e-19,9.116779754063502e-20,2.917371452494479e-20,7.24272389522538e-20,5.999078388023197e-20,2.9173695213003196e-20,1.931194158503589e-26,3.430303367954975e-36,4.8219110201467784e-39,4.033421584166859e-52
5.315023108108583e-24,0.04692242069448014,0.0,0.011650837058439415,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.462810288844417e-80,1.4253086073769384e-27,1.7051507074725466e-79,0.0,1.4998839825637243e-172,1.286245833056854e-51,1.998233325862753e-131,4.4948969412032485e-68,9.43665438533328e-102,8.675949227299603e-89,3.619094113112257e-44,-1.831177781846441e-150,1.3501334385411605e-38,9.935035169609131e-108,6.071731223849286e-131,-5.7251350235603856e-164,1.4253086073769384e-27,2.3467334761762016e-132,7.468268393441513e-19,2.552698331137781e-19,8.168640066984545e-20,2.0279626906631062e-19,1.6797419486464886e-19,8.168634659640895e-20,5.407343643810049e-26,2.0719032342448045e-35,1.3501369915713782e-38,4.788478104722894e-51
1.2148624247105332e-23,0.04692242069448014,0.0,0.011650837058439414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5736245568876335e-79,3.257848245433002e-27,1.8343233206223947e-78,0.0,3.576182248981719e-170,1.3836767197341428e-50,4.360524453200518e-130,2.1640993882481866e-67,3.339598894017735e-101,9.333190272522776e-88,8.272215115685159e-44,-1.8311777818464232e-150,3.08601928809485e-38,4.2559878147266254e-107,3.261617053462597e-129,-5.725135023560154e-164,3.257848245433002e-27,1.6417472968627846e-131,1.7070327756430262e-18,5.83473904260064e-19,1.8671177295964672e-19,4.635343292944242e-19,3.8394101683347984e-19,1.867116493632204e-19,1.2359642614422964e-25,9.97532219401306e-35,3.086036394405897e-38,4.701356198504886e-50
2.581582652509883e-23,0.04692242069448014,0.0,0.01165083705843941,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4464320794166455e-78,6.92292752154513e-27,1.6860591577313478e-77,0.0,5.935864060669928e-168,1.2718342234588883e-49,8.131564148872252e-129,9.451190588291599e-67,2.497787291386129e-100,8.578809827533914e-87,1.7578457120830964e-43,-1.8311777818458306e-150,6.557790987204836e-38,3.372029912892322e-106,1.2718357719915073e-127,-5.725135023545832e-164,6.922927521545128e-27,2.3938312292131658e-130,3.6274446482382365e-18,1.2398820465526358e-18,3.9676251753924948e-19,9.85010449750651e-19,8.158746607711309e-19,3.967622548968431e-19,2.626424055564879e-25,4.35648527730281e-34,6.557865694959407e-38,4.1582963164126565e-49
5.315023108108583e-23,0.04692242069448014,0.0,0.011650837058439402,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2374530965691082e-77,1.4253086073769383e-26,1.4424591070853736e-76,0.0,8.605562068843207e-166,1.0880797381956326e-48,1.4140344451148889e-127,3.945686023552918e-66,2.084165280993863e-99,7.339352422438515e-86,3.619094113112257e-43,-1.8311777818253149e-150,1.3501334385435243e-37,2.835042531766107e-105,4.474577928887396e-126,-5.725135022563215e-164,1.425308607376938e-26,3.988561612245895e-129,7.4682683934185e-18,2.5526983311377776e-18,8.168640066984551e-19,2.027962690663104e-18,1.679741948646389e-18,8.168634659640872e-19,5.40734364381004e-25,1.8187468456897188e-33,1.3501646275604325e-37,3.495298610093634e-48
1.0781904019305982e-22,0.04692242069448014,0.0,0.011650837058439386,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0231501502399217e-76,2.891340317821789e-26,1.1926530841641538e-75,0.0,1.1710191121428982e-163,8.996448839087615e-48,2.3981034730975415e-126,1.6119414851860737e-65,1.7181540967364997e-98,6.068318512032046e-85,7.341590915170579e-43,-1.831177781138517e-150,2.7388421181937784e-37,2.3392771713062315e-104,1.500190770031095e-124,-5.725134956735599e-164,2.891340317821787e-26,6.585971559289407e-128,1.514991588373839e-17,5.178330900308057e-18,1.6570669850168678e-18,4.113867172488006e-18,3.4074765243967296e-18,1.657065888098571e-18,1.0969182820300346e-24,7.43017430712511e-33,2.7389695355045736e-37,2.865656977601938e-47
2.171566584170078e-22,0.04692242069448014,0.0,0.011650837058439355,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.320087101274235e-76,5.82340373871149e-26,9.698456809641265e-75,0.0,1.5450733609314022e-161,7.31576084934969e-47,4.0819870052122854e-125,6.515725210391758e-65,1.3966764904536681e-97,4.934655833901032e-84,1.478658451928722e-42,-1.8311777586470584e-150,5.51625947751098e-37,1.9017912522559016e-103,4.9128847605415585e-123,-5.725130641194857e-164,5.823403738711484e-26,1.0718629447157682e-126,3.051321086421564e-17,1.0429596038648595e-17,3.3374729416536976e-18,8.285676136137797e-18,6.8629456758967095e-18,3.3374707323675203e-18,2.2092861173280896e-24,3.0033952532061705e-32,5.516774518653491e-37,2.320683317636431e-46
4.358318948649038e-22,0.04692242069448014,0.0,0.011650837058439292,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.710451663032165e-75,1.1687530580490894e-25,7.822156767750527e-74,0.0,2.0077928783156537e-159,5.9004253821966205e-46,7.16065877616612e-124,2.6199444498979605e-64,1.1264208630193456e-96,3.979978700225518e-83,2.967657172752051e-42,-1.8311770305250274e-150,1.1071094196212155e-36,1.5338169708389142e-102,1.590326386364929e-121,-5.724851070852056e-164,1.168753058049087e-25,1.729893122802058e-125,6.123980082452003e-17,2.0932126315329594e-17,6.6982848549273775e-18,1.6629294063437317e-17,1.3773883978893859e-17,6.6982804209053485e-18,4.434021787924175e-24,1.2076520219019626e-31,1.1073165153993854e-36,1.8678878289194526e-45
8.731823677606958e-22,0.04692242069448014,0.0,0.011650837058439166,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,5.390199705763769e-74,2.34157842640497e-25,6.283181703068521e-73,0.0,2.5894163937692794e-157,4.739542236196186e-45,1.3346376029468271e-122,1.0507149042886118e-63,9.04797585021472e-96,3.1969353325477886e-82,5.945654614398707e-42,-1.831153595167408e-150,2.2180763633881586e-36,1.2320405680326868e-101,5.1183623506641314e-120,-5.7068494079768745e-164,2.3415784264049594e-25,2.7798722462111446e-124,1.2269298074252828e-16,4.193718686869127e-17,1.3419908681474817e-17,3.331652991803613e-17,2.759576058487692e-17,1.341989979798072e-17,8.883493129116248e-24,4.843224743394951e-31,2.218906910084471e-36,1.4988623472412593e-44
