Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204)
0.0,0.0945796191447709,0.0,0.02348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2173214669731965e-24,0.0945796191447709,0.0,0.02348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.785870149240275e-61,5.193082069403774e-20,1.557074290502483e-60,0.0,-5.711246488977063e-127,3.7200144205709154e-51,2.5119604618629866e-92,5.696449003754724e-49,7.130488197884697e-71,2.1653909339723993e-65,9.2719746504422e-28,-1.841364972572703e-114,6.26637450566918e-36,4.9183316896466826e-73,5.059262110213143e-93,-1.6298930248886784e-128,5.193082162123521e-20,1.8228632806677278e-91,2.4284469282499756e-19,8.300575306647243e-20,2.6561840981274585e-20,6.594299384141319e-20,5.461994615814692e-20,2.6561840981274585e-20
3.40850010752495e-24,0.0945796191447709,0.0,0.02348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.176600657800995e-59,1.454062979433057e-19,2.3530505895079865e-59,0.0,1.1025650122873745e-125,5.621590591932661e-50,7.084130326524043e-91,3.440655198267853e-48,1.0775593764643386e-69,3.272338724974436e-64,2.596152902123816e-27,8.602607233318518e-114,1.754605672981714e-35,7.432582849394089e-72,1.4267934176762561e-91,1.5622003880412153e-127,1.4540630053945862e-19,5.140766109607919e-90,6.7996513990951e-19,2.324161085861112e-19,7.437315474757616e-20,1.8464038275595215e-19,1.5293584924279166e-19,7.437315474757616e-20
7.790857388628457e-24,0.0945796191447709,0.0,0.023484119433646606,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2657332935964242e-58,3.3235725244184154e-19,2.5313044429393082e-58,0.0,1.1641923709988682e-123,6.0474129421846365e-49,1.5409530824290692e-89,1.6565273702918737e-47,1.1591892053537233e-68,3.5202326712066775e-63,5.934063776283008e-27,5.222094055596662e-112,4.010625363388679e-35,7.995633461224841e-71,3.1035878295107682e-90,1.7311257320950507e-125,3.3235725837590537e-19,1.1182289172178118e-88,1.5542060340766024e-18,5.31236819625342e-19,1.6999578228020857e-19,4.2203516058501102e-19,3.4956765541200217e-19,1.6999578228020857e-19
1.6555571950835472e-23,0.0945796191447709,0.0,0.023484119433646602,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1634269632312606e-57,7.062591614389133e-19,2.3267048879585842e-57,0.0,9.20197303238748e-122,5.55859963965769e-48,2.856667320991424e-88,7.2344902347685e-47,1.0654945904335179e-67,3.235700307204944e-62,1.2609885524601392e-26,2.0586167614205614e-110,8.522997726512099e-35,7.349364677205266e-70,5.7535304996713946e-89,1.3689195448276321e-123,7.06259174048799e-19,2.073007954707834e-87,3.3026878224030563e-18,1.1288782417036171e-18,3.6124103734559037e-19,8.968247162430526e-19,7.428312677501072e-19,3.6124103734559037e-19
3.40850010752495e-23,0.0945796191447709,0.0,0.023484119433646596,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.953362613699997e-57,1.4540629794330567e-18,1.9905450171621381e-56,0.0,6.522036284664792e-120,4.755493178702316e-47,4.90988126764688e-87,3.0202572617907544e-46,9.11553054631745e-67,2.768209735982251e-61,2.5961529021238156e-26,7.273859950543784e-109,1.7549074381996908e-34,6.28753621206406e-69,9.888854794836219e-88,9.702471461367833e-122,1.4540630053945862e-18,3.562971018321406e-86,6.7996513990250406e-18,2.3241610858594226e-18,7.437315474768224e-19,1.8464038275588314e-18,1.5293584924250538e-18,7.437315474768224e-19
6.914385932407756e-23,0.0945796191447709,0.0,0.02348411943364658,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.229632688147616e-56,2.949670615421344e-18,1.645821113552122e-55,0.0,4.389036383634059e-118,3.931931393574492e-46,8.137768209019852e-86,1.2338736400092882e-45,7.536896932772302e-66,2.2888093416348811e-60,5.266481601451171e-26,2.443715705232278e-107,3.5606555409918405e-34,5.198656529163265e-68,1.6390071161944957e-86,6.529319019555513e-120,2.9496706680861602e-18,5.905363166936948e-85,1.3793578552145312e-17,4.71472677416805e-18,1.508712567741159e-18,3.74556205018917e-18,3.102412941769893e-18,1.508712567741159e-18
1.3926157582173368e-22,0.0945796191447709,0.0,0.023484119433646554,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.69220062771877e-55,5.9408858873979185e-18,1.3383543964349966e-54,0.0,2.8798138097017997e-116,3.1973803792112383e-45,1.3250246215277782e-84,4.9875145323394405e-45,6.128879416113819e-65,1.8612217450336162e-59,1.0607139000105877e-25,8.010839358820877e-106,7.174282833356903e-34,4.2274611524128466e-67,2.668704571447329e-85,4.284125035648755e-118,5.940885993469308e-18,9.615353051866118e-84,2.778143285789108e-17,9.495858150773374e-18,3.0386746082773226e-18,7.543878495444976e-18,6.248521840439353e-18,3.0386746082773226e-18
2.794970088170459e-22,0.0945796191447709,0.0,0.023484119433646495,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.39750224787202e-54,1.1923316431351066e-17,1.079431305942677e-53,0.0,1.8660849164163174e-114,2.5788027370846753e-44,2.138595166985474e-83,2.0054576575678645e-44,4.943163283000469e-64,1.501142764757766e-58,2.1288453797415295e-25,2.5944441978713524e-104,1.441006176521016e-33,3.4096005697185604e-66,4.307320492306332e-84,2.776049266286323e-116,1.1923316644235606e-17,1.551921859189728e-82,5.575714146740347e-17,1.9058120903936296e-17,6.0985986893796165e-18,1.5140511385937095e-17,1.2540739637697404e-17,6.0985986893796165e-18
5.599678748076704e-22,0.0945796191447709,0.0,0.02348411943364638,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,4.335567334254926e-53,2.3888177519257364e-17,8.670579269261696e-53,0.0,1.2017172995016464e-112,2.071434451095578e-43,3.436665296781873e-82,8.042782169707265e-44,3.970617569657273e-63,1.205799504299017e-57,4.265108339203412e-25,8.352123658337764e-103,2.891571701740989e-33,2.738776599631228e-65,6.921814459290727e-83,1.7876980162437003e-114,2.38881779457682e-17,2.49389676525197e-81,1.1170855867851176e-16,3.8182646410071245e-17,1.2218446851704066e-17,3.033377716684336e-17,2.512517523189002e-17,1.2218446851704066e-17
