Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208)
0.0,0.07865737607768974,0.0,0.019530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3795596204329353e-24,0.07865737607768974,0.0,0.019530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0836584150076164e-64,1.8059367128434916e-21,2.1673005738647893e-64,0.0,-5.933641433147921e-136,1.0175674566519767e-60,6.20489972700096e-100,7.6333927598952725e-53,6.332722725600106e-77,5.730708682535383e-70,5.575574834940276e-31,-1.5571687017838098e-121,2.9996261579256747e-40,5.755186513775135e-80,1.1161837817804496e-100,-1.810541719642309e-135,1.805936713401049e-21,1.286430835884118e-99,2.509774816085672e-19,8.578558839932182e-20,3.920026376109888e-57,6.815140298731064e-20
3.862766937212219e-24,0.07865737607768974,0.0,0.019530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6376245945691182e-63,5.056622795961776e-21,3.275224622843641e-63,0.0,1.1455083779689469e-134,6.14610745075063e-60,1.7498811142747785e-98,4.610569226976745e-52,9.570010582934794e-76,8.660246968874724e-69,1.5611609537832773e-30,-1.5460817180499458e-121,8.398953242191889e-40,8.697237859625983e-79,3.1478758700251827e-99,-1.7864849036954868e-135,5.056622797522937e-21,3.627940786131691e-98,7.027369485035545e-19,2.401996475181e-19,2.3676959311703724e-56,1.9082392836446854e-19
8.829181570770786e-24,0.07865737607768974,0.0,0.019530626480090362,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.7616818096018073e-62,1.1557994962198346e-20,3.52333719190491e-62,0.0,1.2095439410389842e-132,2.9590861824437675e-59,3.806373742214033e-97,2.2197906145775452e-51,1.029498068056339e-74,9.316298499985526e-68,3.5683678943617766e-30,-1.0008533215750077e-121,1.9197607410724315e-39,9.356091611724945e-78,6.8473687432681e-98,6.0569015231893885e-136,1.1557994965766714e-20,7.891563651232748e-97,1.6062558822917948e-18,5.490277657556519e-19,1.1399436701727553e-55,4.361689791187795e-19
1.8762010837887922e-23,0.07865737607768974,0.0,0.01953062648009036,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.619289094059789e-61,2.4560739294671486e-20,3.238553896879046e-61,0.0,9.56056282874185e-131,1.2923106888968553e-58,7.056375752481758e-96,9.694408805066997e-51,9.462860914418848e-74,8.563283378421482e-67,7.582781775518775e-30,2.0298396993428382e-120,4.079491574778917e-39,8.599860103814112e-77,1.2694043453808915e-96,1.8907998943271766e-133,2.4560739302254264e-20,1.4629629025147543e-95,3.4132937498613378e-18,1.1666840022307377e-18,4.9784334976595575e-55,9.268590806273814e-19
3.862766937212219e-23,0.07865737607768974,0.0,0.019530626480090352,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3853359118606642e-60,5.0566227959617764e-20,2.770651042053635e-60,0.0,6.776366644682992e-129,5.395142824989944e-58,1.2128108144521078e-94,4.0472248412964746e-50,8.095676739742286e-73,7.326069218339097e-66,1.5611609537832774e-29,7.706142763777005e-119,8.398953242191887e-39,7.357361376980708e-76,2.181842041754164e-95,1.3527751492425975e-131,5.056622797522937e-20,2.514459440785931e-94,7.027369484972672e-18,2.401996475180837e-18,2.078397984613461e-54,1.9082392836445048e-18
7.835898644059073e-23,0.07865737607768974,0.0,0.01953062648009034,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.1454225216961187e-59,1.0257720528951031e-19,2.29082786070751e-59,0.0,4.560424034164803e-127,2.2040919572914118e-57,2.0101453587381277e-93,1.6534234053643556e-49,6.693662083457055e-72,6.05733570201107e-65,3.166926506246077e-29,2.594014181469606e-117,1.703787657701782e-38,6.083208663906568e-75,3.616443060595733e-94,9.104756121321829e-130,1.0257720532117958e-19,4.167532121372602e-93,1.4255520955084334e-17,4.872621421080749e-18,8.490933931709051e-54,3.8709996896784345e-18
1.578216205775278e-22,0.07865737607768974,0.0,0.019530626480090317,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,9.31438571947436e-59,2.0659915994929542e-19,1.8628631712210143e-58,0.0,2.992575864706317e-125,8.909292694439813e-57,3.273001848598898e-92,6.683401764140785e-49,5.44317484074064e-71,4.925724795189909e-64,6.378457611171675e-29,8.504032899440617e-116,3.4315723246669676e-38,4.9467642581160125e-74,5.889090936480354e-93,5.973975205435651e-128,2.0659916001308e-19,6.785745697461524e-92,2.871182389486364e-17,9.813871312879419e-18,3.43217125355025e-53,7.796520501745022e-18
3.1674688885140193e-22,0.07865737607768974,0.0,0.019530626480090272,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,7.512389519551681e-58,4.1464306926886564e-19,1.502466634442675e-57,0.0,1.93955265903162e-123,3.5823878897137835e-56,5.282642143596621e-91,2.6873664546921693e-48,4.390117701607816e-70,3.972775493955909e-63,1.2801519821022874e-28,2.754178049203816e-114,6.887141658597331e-38,3.9897445830126943e-73,9.507117664966128e-92,3.871047143248048e-126,4.1464306939688086e-19,1.0952220913770154e-90,5.762442977264615e-17,1.9696371096472157e-17,1.3800609658149825e-52,1.564756212587311e-17
6.345974253991502e-22,0.07865737607768974,0.0,0.019530626480090178,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,6.034359803371728e-57,8.307308879080061e-19,1.2068629084250604e-56,0.0,1.249543142817369e-121,1.4366981564131444e-55,8.489076849150903e-90,1.0777541437339565e-47,3.5263812827737704e-69,3.191149325544885e-62,2.5647644240725268e-28,8.866344830807247e-113,1.3798280326458034e-37,3.204779820693945e-72,1.5284435843190403e-90,2.4928459975060654e-124,8.307308881644826e-19,1.759992498812865e-89,1.1544964152110681e-16,3.9461370663639194e-17,5.5346617202712265e-52,3.1349645374108924e-17
1.270298498494647e-21,0.07865737607768974,0.0,0.01953062648008999,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070576,0.0,4.837286286319786e-56,1.6629065251862866e-18,9.674500007657115e-56,0.0,8.028575792661652e-120,5.754289498861952e-55,1.3612100628293485e-88,4.3166381106999186e-47,2.8268310765899364e-68,2.5581011694781094e-61,5.133989308013006e-28,2.8457353610985198e-111,2.7620557662179325e-37,2.56902769845695e-71,2.452993439408226e-89,1.600359504698317e-122,1.6629065256996856e-18,2.8221116987157087e-88,2.311000649896107e-16,7.899136979789957e-17,2.216751552332885e-51,6.27538118704991e-17
2.54170064468564e-21,0.07865737607768974,0.0,0.019530626480089616,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070552,0.0,3.873752240861035e-55,3.3272577997428476e-18,7.747446370883313e-55,0.0,5.154880368234835e-118,2.3032178886133083e-54,2.18031483919012e-87,1.7277801926377753e-46,2.2637575221554635e-67,2.048555646921238e-60,1.0272439075893964e-27,9.11998447080022e-110,5.526511233362148e-37,2.0573057319092453e-70,3.935990181487672e-88,1.025813117464234e-120,3.3272578007700912e-18,4.520283271261008e-87,4.624009118129483e-16,1.580513680661254e-16,8.872783230602315e-51,1.255621448629537e-16
5.0845049370676265e-21,0.07865737607768974,0.0,0.01953062648008887,0.031075110263184432,0.3194096818763549,0.3504847921395393,0.20701222018021495,0.09201819554070506,0.0,3.1005718443471785e-54,6.65596034885597e-18,6.201097176470732e-54,0.0,3.3127521430518647e-116,9.215891464706877e-54,3.490439260749248e-86,6.913371308471686e-46,1.811923530262802e-66,1.6396748076512487e-59,2.054933861165588e-27,2.920577906377315e-108,1.1055422167650404e-36,1.6466784220959947e-69,6.3232151332195005e-87,6.570274233120035e-119,6.655960350910903e-18,7.23637911408352e-86,9.25002605004944e-16,3.1617136460139763e-16,3.5502690257771615e-50,2.5117881084655996e-16
1.0170113521831599e-20,0.07865737607768974,0.0,0.01953062648008738,0.031075110263184432,0.31940968187635455,0.35048479213953904,0.20701222018021495,0.09201819554070413,0.0,2.481085649534837e-53,1.3313365447082207e-17,4.962134079867424e-53,0.0,2.135168714587016e-114,3.686972555297086e-53,5.586352296720416e-85,2.7657986950932727e-45,1.4499059188664189e-65,1.3120720432858917e-58,4.1103137683179714e-27,9.349343394431364e-107,2.211324403622622e-36,1.3176763537699128e-68,1.0190988412023937e-85,4.206598733629503e-117,1.331336545119252e-17,1.1581348181608946e-84,1.8502059895702164e-15,6.324113576672241e-16,1.4203387899462251e-49,5.024121428085604e-16
2.0341330691359544e-20,0.07865737607768974,0.0,0.019530626480084395,0.031075110263184432,0.31940968187635393,0.35048479213953854,0.20701222018021495,0.09201819554070229,0.0,1.9851198199301053e-52,2.6628175643534662e-17,3.970209860728611e-52,0.0,1.384936997459146e-112,1.4749217460596206e-52,8.939805457889241e-84,1.1064095187902644e-44,1.160071590884147e-64,1.0497905297188516e-57,8.221073582622737e-27,2.992349060715928e-105,4.4228887773375066e-36,1.0542745457466583e-67,1.6535341122636261e-84,2.6927427423592154e-115,2.6628175651755733e-17,1.8532670727856555e-83,3.700612751425888e-15,1.264891343780006e-15,5.681817551982979e-49,1.004878806711713e-15
4.068376503041543e-20,0.07865737607768974,0.0,0.019530626480078424,0.031075110263184432,0.31940968187635266,0.3504847921395375,0.20701222018021495,0.09201819554069858,0.0,1.58819638220092e-51,5.32577960364395e-17,3.176368939588548e-51,0.0,9.096990372203063e-111,5.90002861275044e-52,1.4306032714075456e-82,4.425818163078903e-44,9.281160186094686e-64,8.398855850560063e-57,1.644259321123227e-26,9.576411769060464e-104,8.84601752476616e-36,8.434730249483482e-67,2.718654243089621e-83,1.7235216358490368e-113,5.325779605288209e-17,2.965428421761242e-82,7.401426246037726e-15,2.5298513159300832e-15,2.2728195025249363e-48,2.0098121344346256e-15
8.136863370852721e-20,0.07865737607768974,0.0,0.019530626480066482,0.031075110263184432,0.3194096818763501,0.35048479213953543,0.20701222018021495,0.09201819554069118,0.0,1.2705973174906586e-50,1.0651703682224884e-16,2.5411755745274605e-50,0.0,6.120018208284878e-109,2.360140709323579e-51,2.2894825110091183e-81,1.7703632834562436e-43,7.425163139655881e-63,6.719297332061509e-56,3.288563246845134e-26,3.0645949377086804e-102,1.7692275019619002e-35,6.747997759508364e-66,4.5830269341922196e-82,1.1031070663105137e-111,1.0651703685513448e-16,4.744846364791654e-81,1.48030531188634e-14,5.059771259928291e-15,9.091462976850519e-48,4.019678789546879e-15
1.6273837106475077e-19,0.07865737607768974,0.0,0.0195306264800426,0.031075110263184432,0.31940968187634505,0.3504847921395313,0.20701222018021495,0.09201819554067638,0.0,1.0164939389299248e-49,2.130355183938663e-16,2.032972629255471e-49,0.0,4.2979246147793536e-107,9.44130886792592e-51,3.664641057654396e-80,7.081525170914812e-43,5.940224509471069e-62,5.3755229275925184e-55,6.577171098288948e-26,9.806932881359835e-101,3.538479000930684e-35,5.398483632878826e-65,8.078684523308073e-81,7.060055614794032e-110,2.1303551845963803e-16,7.591882897942908e-80,2.960630639892274e-14,1.0119611146716929e-14,3.636622184415213e-47,8.039412098437099e-15
3.254778457771979e-19,0.07865737607768974,0.0,0.01953062647999483,0.031075110263184432,0.31940968187633495,0.35048479213952305,0.20701222018021495,0.09201819554064677,0.0,8.132015851679692e-49,4.260724815370962e-16,1.6263909713559176e-48,0.0,3.2384144751500044e-105,3.7770627544461985e-50,5.867977620813618e-79,2.8326244758474275e-42,4.752217206962262e-61,4.3004523671108834e-54,1.3154386801176575e-25,3.1382551754352477e-99,7.076981998861115e-35,4.31882107667261e-64,1.5312319774291e-79,4.518490226221486e-108,4.2607248166864004e-16,1.2147115609065205e-78,5.921281109667355e-14,2.0239290915463077e-14,1.4546562725304704e-46,1.6078878710880392e-14
6.509567952020921e-19,0.07865737607768974,0.0,0.0195306264798993,0.031075110263184432,0.3194096818763147,0.35048479213950656,0.20701222018021495,0.09201819554058756,0.0,6.505638417537762e-48,8.521464078235359e-16,1.3011179242849282e-47,0.0,2.6968697493505154e-103,1.5112449440934194e-49,9.403211163828402e-78,1.1330526718412148e-41,3.8017888053813455e-60,3.4403755037552975e-53,2.630881820695183e-25,1.004247520722444e-97,1.4153987994693419e-34,3.455070529538041e-63,3.2136055727412886e-78,2.8918513644172184e-106,8.521464080866241e-16,1.9435467352816943e-77,1.1842581304270456e-13,4.047865043363089e-14,5.818639887655219e-46,3.2157811914418407e-14
