Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511)
0.0,0.07659248437779444,0.0,0.019017913871006358,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5062172982922628e-24,0.07659248437779444,0.0,0.019017913871006358,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.080826559469714e-65,1.1083662436525558e-21,5.158512941094914e-63,0.0,-2.991561838391571e-137,5.807755277337761e-45,4.624648405674005e-101,4.150663844608921e-53,7.768691413105156e-78,1.245483102356094e-70,1.7844774762707292e-31,-1.6157013967180554e-122,2.1920930070057667e-27,5.250641648857277e-81,8.184119144137346e-102,-2.0974521703845357e-136,1.1083662438310036e-21,7.886583225009006e-101,2.7039911444282455e-19,9.242401743161756e-20,2.957905110144117e-20,7.342522882011517e-20,6.081740926790918e-20,2.957568557811797e-20,3.3655233228729655e-24,1.6205701783400127e-34,2.1920930070178643e-27,2.774477625536097e-48,1.6205701783400026e-34
4.217408435218335e-24,0.07659248437779444,0.0,0.019017913871006358,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.655745097001675e-64,3.1034254822271555e-21,7.795544756863113e-62,0.0,5.77535437030969e-136,3.5078863683538507e-44,1.3042249871139744e-99,2.5070009621437882e-52,1.1740046463457862e-76,1.882174064347444e-69,4.996536933558041e-31,-1.6120179572028188e-122,6.137860419616147e-27,7.934769659731357e-80,2.3081382745269813e-100,-2.0885286471530923e-136,3.103425482726809e-21,2.224142654781072e-99,7.571175204394225e-19,2.5878724880852675e-19,8.282134308403721e-20,2.0559064069632133e-19,1.702887459501336e-19,8.28119196187307e-20,9.423465304569383e-24,9.78824387717366e-34,6.137860419689425e-27,3.293859837036438e-47,9.788243877173544e-34
9.639790709070481e-24,0.07659248437779444,0.0,0.019017913871006355,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.008438121577734e-63,7.093543959376356e-21,8.386091318400299e-61,0.0,6.098244990105414e-134,1.688898443602886e-43,2.8369743486737044e-98,1.207013046012274e-51,1.262940625643609e-75,2.024756969914865e-68,1.1420655848132666e-30,-1.430876190549798e-122,1.402939524483691e-26,8.535863115696015e-79,5.020779204573241e-99,-1.2011863765372138e-136,7.09354396051842e-21,4.8379960876780295e-98,1.7305543324306716e-18,5.915137115623353e-19,1.893059270492371e-19,4.699214644487289e-19,3.892314193145338e-19,1.8928438769995763e-19,2.153934927006252e-23,4.7126180786127337e-33,1.4029395245190167e-26,3.2339311203248225e-46,4.712618078612617e-33
2.0484555256774773e-23,0.07659248437779444,0.0,0.01901791387100635,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.6036175116347025e-62,1.5073780913674758e-20,7.708262717916104e-60,0.0,4.8202804153628366e-132,7.375882070621952e-43,5.259272744231862e-97,5.271343082653329e-51,1.1608600204756416e-74,1.8611004902594706e-67,2.4268893677281914e-30,5.64539469957456e-122,2.981246489527844e-26,7.845928803038079e-78,9.307933880417777e-98,6.871059213478135e-135,1.5073780916101643e-20,8.968829387417082e-97,3.677427956405384e-18,1.256966637069913e-18,4.0227509497966784e-19,9.985831119535262e-19,8.271167660431399e-19,4.0222932386241728e-19,4.5771117209450024e-23,2.0581241264917918e-32,2.9812464896822134e-26,2.860375452822584e-45,2.0581241264916888e-32
4.2174084352183356e-23,0.07659248437779444,0.0,0.019017913871006344,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.9384917040072336e-61,3.103425482227156e-20,6.594581041994514e-59,0.0,3.416622284470281e-130,3.079301304987728e-42,9.039347551465807e-96,2.2006819704116493e-50,9.93140187820103e-74,1.592210652315414e-66,4.996536933558041e-30,2.5492357760092252e-120,6.137860419616155e-26,6.712357276185388e-77,1.5998836235692898e-96,5.01649525728432e-133,3.1034254827268077e-20,1.5415126171158606e-95,7.571175204323666e-18,2.587872488084911e-18,8.282134308406533e-19,2.055906406963047e-18,1.702887459499575e-18,8.281191961873598e-19,9.423465312182992e-23,8.592263085558523e-32,6.137860420260801e-26,2.40431791864737e-44,8.592263085557658e-32
8.555314254300053e-23,0.07659248437779444,0.0,0.019017913871006327,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.256421103835076e-60,6.295520263946516e-20,5.452527132214616e-58,0.0,2.299470020401078e-128,1.2580079127950438e-41,1.4982060471867374e-94,8.990503913976706e-50,8.211475127378257e-73,1.3164705576694515e-65,1.013583206521774e-29,8.617020477890727e-119,1.2451088279792793e-25,5.549906800212668e-76,2.6519801537910286e-95,3.3772615598577846e-131,6.295520264960096e-20,2.5549441136833337e-94,1.535866970003566e-17,5.249684190114278e-18,1.6800901025631205e-18,4.170552996981794e-18,3.454428846409338e-18,1.6798989408373375e-18,1.9116172508100927e-22,3.5102198290914082e-31,1.2451088282426752e-25,1.9712050924770766e-43,3.510219829090699e-31
1.7231125892463486e-22,0.07659248437779444,0.0,0.019017913871006296,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.6480675603656176e-59,1.2679709827385237e-19,4.433904510637944e-57,0.0,1.5090811322297617e-126,5.085173037852052e-41,2.4394417327784363e-93,3.6341054278196506e-49,6.677435200856243e-72,1.0705319941070689e-64,2.0414422328537141e-29,2.8252922343362275e-117,2.5077544000146127e-25,4.513092039413348e-75,4.319007796969308e-94,2.215958388603285e-129,1.2679709829426665e-19,4.160064163097853e-93,3.093365869096135e-17,1.0573307594170496e-17,3.383843446010039e-18,8.399846177018116e-18,6.957511620216432e-18,3.3834584301376647e-18,3.850158695370463e-22,1.4188869785050826e-30,2.507754401079377e-25,1.5963329908309056e-42,1.4188869785045077e-30
3.458274916879035e-22,0.07659248437779444,0.0,0.019017913871006233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,2.135762420270279e-58,2.544808895426268e-19,3.5761046170513757e-56,0.0,9.782700132274934e-125,2.0448092806782414e-40,3.937273858155767e-92,1.4612578091499483e-48,5.385593396193268e-71,8.634228359321756e-64,4.0971602855175944e-29,9.150231734984595e-116,5.033045544085303e-25,3.639972227773955e-74,6.973948386190909e-93,1.4359081915050346e-127,2.5448088958359776e-19,6.714360331356108e-92,6.208363667081958e-17,2.1220554402272867e-17,6.791350132911815e-18,1.6858432537086055e-17,1.396367716778089e-17,6.790577408739804e-18,7.727241605998338e-22,5.7052821356518555e-30,5.0330455483668215e-25,1.2848676688517318e-41,5.705282135647231e-30
6.928599572144408e-22,0.07659248437779444,0.0,0.019017913871006105,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,1.715560523704049e-57,5.098484720801756e-19,2.872521705327512e-55,0.0,6.305038524842363e-123,8.20127006355763e-40,6.32710967409752e-91,5.860297378220264e-48,4.326001496955431e-70,6.9354817676883e-63,8.208596390845355e-29,2.9456744564341907e-114,1.0083627832226779e-24,2.923823643529521e-73,1.1216758044727103e-91,9.246846806903662e-126,5.098484721622593e-19,1.0789796800624876e-90,1.2438359262256335e-16,4.2515048018437344e-17,1.3606363506747122e-17,3.377560525720314e-17,2.797600826271089e-17,1.3604815365950034e-17,1.5481407513282618e-21,2.288073311376153e-29,1.0083627849397886e-24,1.0310253861134033e-40,2.2880733113724426e-29
