Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202)
0.0,0.11302162890393913,0.0,0.028063270456848085,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.975411834498382e-25,0.11302162890393913,0.0,0.028063270456848085,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.176172429809468e-59,2.342877802563766e-19,5.169579785209328e-56,0.0,9.172175776658275e-95,2.6267850523489557e-39,2.5302736983007437e-64,2.694677972792633e-44,1.2170841765992456e-67,2.689046810149589e-39,1.0797610895519673e-25,-3.2944930012787647e-109,5.510714148126151e-22,5.808331214072836e-69,4.8392051337505696e-60,1.0311956321808183e-101,2.342878882685581e-19,6.034591686701844e-86,8.669368490535554e-20,2.9632414519593713e-20,2.0783855732349232e-20,2.3541140896667098e-20,1.9498900085877893e-20,9.482372646271242e-21,4.7560610756364646e-21,1.0934531091048848e-34,3.694683640298168e-20,3.916106631020141e-48,3.2926086192402875e-34,7.678014341438085e-34,3.649769392012389e-20,9.359472041221917e-21,8.077769660410265e-48,2.9581774382096653e-59,2.879806688891545e-35,8.583020804340471e-44,2.512606135380404e-49,4.2115080353591683e-73,1.0192889588227535e-22,6.6683226154878424e-21,4.014867275734216e-21
1.113115313659547e-24,0.11302162890393913,0.0,0.028063270456848085,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.7998314565029934e-58,6.560057847178547e-19,7.812268712855369e-55,0.0,5.57988202245325e-93,1.5865781717664129e-38,3.003940934685283e-63,1.6275854955667508e-43,1.839257607676856e-66,1.6241842733303473e-38,3.023331050745509e-25,3.2271229578076177e-108,1.5429999614753223e-21,8.777550130707236e-68,5.745104334788743e-59,6.273266246380942e-100,6.560060871519629e-19,1.8798323959414965e-84,2.4274231773492884e-19,8.297076065485743e-20,5.81947960505854e-20,6.59151945106661e-20,5.459692024045434e-20,2.6550643409561956e-20,1.3316971011780061e-20,6.6044567789939454e-34,1.0345114192834873e-19,4.649201792347253e-47,1.988735606021168e-33,4.637520662228013e-33,1.0219354297634689e-19,2.620652171542127e-20,4.878972874859719e-47,3.5119482546240025e-58,1.7394032350848563e-34,1.0189762271784208e-42,2.982993478010106e-48,2.5620890776018153e-71,2.854009084705299e-22,1.8671303323365925e-20,1.1241628372054523e-20
2.5442635740789645e-24,0.11302162890393913,0.0,0.028063270456848085,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.163439629983539e-57,1.4994417936408106e-18,8.404082169202333e-54,0.0,2.5190254680947386e-91,7.638690934445097e-38,2.949287022926562e-62,7.83612354488098e-43,1.9785894042139493e-65,7.819748123914935e-38,6.910470973132592e-25,1.7812989504524898e-106,3.526857054800736e-21,9.442487888094348e-67,5.640577503899858e-58,2.8320522519496754e-98,1.4994424849187725e-18,4.1852949067525675e-83,5.548395833938089e-19,1.8964745292536497e-19,1.3301667668708805e-19,1.5066330173865691e-19,1.2479296054959217e-19,6.068718493615327e-20,3.0438790884059096e-20,3.179761641277666e-33,2.364597529790828e-19,4.564613889117515e-46,9.574905864751269e-33,2.2327665704893085e-32,2.335852410887929e-19,5.990062106381961e-20,2.34901541720515e-46,3.448051621919753e-57,8.374477776212054e-34,1.0004368965439966e-41,2.928778881067038e-47,1.1566721255668789e-69,6.523449336476742e-22,4.2677264739121954e-20,2.5695150564690014e-20
5.4065600949177994e-24,0.11302162890393913,0.0,0.028063270456848085,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.746090600411813e-56,3.186313811486723e-18,7.724799407851343e-53,0.0,9.511360865079565e-90,3.3360170187711724e-37,2.6086109723876443e-61,3.4222410254466454e-42,1.818664543408802e-64,3.415089448889904e-37,1.4684750817906758e-24,7.010675572349473e-105,7.494571241451565e-21,8.679273166565146e-66,4.989026924691881e-57,1.0693290440448934e-96,3.1863152804523914e-18,7.832265239974503e-82,1.1790341147105027e-18,4.0300083746630036e-19,2.8266043796021435e-19,3.2015951619460985e-19,2.651850411678076e-19,1.2896026798937552e-19,6.468243062858454e-20,1.3886854485638858e-32,5.02476975080551e-19,4.0373492923174403e-45,4.1816129464356907e-32,9.751078213617204e-32,4.963686373136849e-19,1.2728881976061483e-19,1.025876746828528e-45,3.0497626115759836e-56,3.657354417304883e-33,8.848750951834346e-41,2.590575277631822e-46,4.36754566213393e-68,1.386232984004504e-21,9.068918757063344e-20,5.460219494994049e-20
1.113115313659547e-23,0.11302162890393913,0.0,0.02806327045684808,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.060380430858819e-55,6.560057847178547e-18,6.60872852825268e-52,0.0,3.2999329313017227e-88,1.3927214368145503e-36,2.1926947032668385e-60,1.428718261174655e-41,1.5559058063544262e-63,1.4257326187412452e-36,3.023331050745509e-24,2.477030681439565e-103,1.5429999614753218e-20,7.425300924096479e-65,4.193577741626809e-56,3.7099992071557316e-95,6.560060871519629e-18,1.3523053326841001e-80,2.427423177339624e-18,8.297076065478525e-19,5.819479605069512e-19,6.591519451064008e-19,5.459692024039975e-19,2.6550643409597832e-19,1.3316971011750486e-19,5.79748838448024e-32,1.0345114192834877e-18,3.3936353487376173e-44,1.7457410899216727e-31,4.070883203822223e-31,1.021935429763469e-18,2.620652171541992e-19,4.2828334735572716e-45,2.5635092368945444e-55,1.5268734366216565e-32,7.437908180290292e-40,2.1777087716453016e-45,1.5154237574030962e-66,2.8540090847283283e-21,1.8671303323365419e-19,1.1241628372035945e-19
2.2580339219950813e-23,0.11302162890393913,0.0,0.028063270456848075,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.357201060276365e-54,1.3307545918562194e-17,5.464224547425088e-51,0.0,1.0990154438808269e-86,5.6897215122236695e-36,1.7977035953834783e-59,5.836780276187758e-41,1.28645300896202e-62,5.824582952655846e-36,6.1330429886551756e-24,8.321787556488033e-102,3.130085636135653e-20,6.13938239528391e-64,3.438148397881616e-55,1.2355846346978337e-93,1.33075520536541e-17,2.246442942819108e-79,4.924201302580804e-18,1.6831211447096818e-18,1.1805230056023612e-18,1.3371368029295232e-18,1.1075375248754131e-18,5.385987663098169e-19,2.701442690948233e-19,2.368463172450741e-31,2.0985803076893616e-18,2.7823072937082157e-43,7.131921973623224e-31,1.6630886184058693e-30,2.073069014663037e-18,5.316180119413439e-19,1.7496772191913703e-44,2.101719752917899e-54,6.237775889190842e-32,6.098046223673476e-39,1.7857028247383932e-44,5.0477883591584415e-65,5.789561286216635e-21,3.7876072455968663e-19,2.280444612608694e-19
4.547871138666149e-23,0.11302162890393913,0.0,0.02806327045684806,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.730020147230898e-53,2.680252206132949e-17,4.443416654420023e-50,0.0,3.5873694534400435e-85,2.2998764133545713e-35,1.4558269811448093e-58,2.359319909722646e-40,1.0461222220170182e-61,2.3543895565323825e-35,1.2352466864474509e-23,2.727997403264902e-100,6.304256985456313e-20,4.992443803562343e-63,2.784301712622344e-54,4.0331540383116985e-92,2.6802534417923036e-17,3.661916178598634e-78,9.917757552994911e-18,3.389948221028241e-18,2.3776730958009282e-18,2.693106518573929e-18,2.2306741698143885e-18,1.0847834307400266e-18,5.440933870473712e-19,9.573706827748366e-31,4.226718084501113e-18,2.2531845826352013e-42,2.882836891361875e-30,6.722470100559963e-30,4.175336184462173e-18,1.0707236015155375e-18,7.072475067900698e-44,1.702027146365091e-53,2.5214085005229832e-31,4.938355477682274e-38,1.4465710320132029e-43,1.6482008980893976e-63,1.166066568935588e-20,7.628561072117153e-19,4.593008163405771e-19
9.127545572008285e-23,0.11302162890393913,0.0,0.028063270456848036,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070596,0.0,2.2018601505133134e-52,5.3792474346864086e-17,3.583776505612541e-49,0.0,1.1593758185124436e-83,9.247701964513916e-35,1.1717762101040651e-57,9.486721590335383e-40,8.437354704368282e-61,9.466896857000218e-35,2.4791314616113175e-23,8.835075464885726e-99,1.2652599684097625e-19,4.0265867912703375e-62,2.241048247094562e-53,1.303445693297767e-90,5.379249914646085e-17,5.91371924306759e-77,1.9904870053550108e-17,6.8036023736449634e-18,4.771973276229047e-18,5.405045949855388e-18,4.4769474596769145e-18,2.1771527596105755e-18,1.0919916229441109e-18,3.849545408762765e-30,8.482993638124626e-18,1.8135589747370848e-41,1.159176034840679e-29,2.703075660914027e-29,8.379870524060445e-18,2.1489347806635405e-18,2.8438111178099287e-43,1.3699395199073187e-52,1.0138470695894064e-30,3.974817380349576e-37,1.1650708798921761e-42,5.330053238668112e-62,2.340287449628489e-20,1.5310468725156276e-18,9.218135264947449e-19
1.8286894438692557e-22,0.11302162890393913,0.0,0.028063270456847988,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070595,0.0,1.7686538151840092e-51,1.0777237891793325e-16,2.8786841834349884e-48,0.0,3.7283788836685347e-82,3.7087421483959473e-34,9.402766152783147e-57,3.804599661718086e-39,6.777342141581037e-60,3.7966490569662664e-34,4.96690101193905e-23,2.844217766240899e-97,2.5349285081380227e-19,3.234373485931719e-61,1.798300082007166e-52,4.191686010094163e-89,1.0777242860353632e-16,9.505901610548597e-76,3.9879095053568453e-17,1.3630910678796824e-17,9.560573637209229e-18,1.0828924812388893e-17,8.969494039340271e-18,4.3618914173921964e-18,2.1877880947041673e-18,1.5438398840544466e-29,1.69955447453717e-17,1.4552668632778156e-40,4.6488143538750623e-29,1.0840542380214872e-28,1.678893920325699e-17,4.305357138958009e-18,1.1404954499063916e-42,1.0992901881417777e-51,4.065978607772079e-30,3.189539442401429e-36,9.360911011373272e-42,1.7162216263371718e-60,4.688729211274502e-20,3.067428403122875e-18,1.8468389467820878e-18
