Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95),HNO(87),H3NO3(626),H2NOX(203),H2N2X(602),N2O2(378),OCX(32),S(567),HNO(549)
0.0,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5932521793690012e-26,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.1807671946068136e-128,6.376650059904938e-61,7.624510705032253e-20,1.1578916576701469e-56,-8.174626986599046e-97,3.67653578378716e-97,9.208598596732859e-40,3.7203108254656407e-65,1.0323459417925235e-44,4.393158253385117e-68,1.0084627726939034e-40,5.799283191832539e-25,-1.3891824659871637e-109,2.9485374712606283e-21,1.5294190055508519e-68,1.7914085052183066e-60,2.8488085584952257e-103,7.62456903233254e-20,3.57678138932459e-87,3.813284731106522e-21,1.303403286603001e-21,1.123752590494475e-21,1.0354741897529375e-21,8.576732901826833e-22,4.1708905171296723e-22,2.1021386921934152e-22,4.044973604236031e-37,2.6624984399521206e-19,1.1285196984351276e-51,1.6141453345032258e-36,1.4395398429615803e-36,2.6448887928981044e-19,4.11683179287689e-22,9.871112560923679e-49,1.4487760388168682e-61,3.4508082619968005e-37,2.073703292772802e-47,3.810306460119363e-52,5.887647012598501e-79,1.1741522147651337e-21,2.933110161309515e-22,1.7659685473847734e-22,3.9177049785268155e-38,1.930466787073192e-39,1.5335990364066248e-59,1.341720641032387e-23,6.5216858670935536e-40,5.598644073889076e-38,2.085445258564817e-22,1.0260801129704791e-87,6.2082940087150985e-102,1.1795241347393184e-83,-2.1599082650936593e-94,8.832652450225851e-41
4.4611061022332037e-26,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.4230716459375133e-127,9.636394274263829e-60,2.134862997409031e-19,1.4739166454464463e-55,2.302373481388439e-88,2.2366161759740733e-95,5.5619935524288715e-39,4.4167530119934525e-64,6.235369488426844e-44,6.638940752514313e-67,6.091115147071173e-40,1.623799293713111e-24,1.3703851099369302e-108,8.25590491952976e-21,2.311258001188003e-67,2.126760177395172e-59,1.7330692685008068e-101,2.1348793290531112e-19,1.0506948118161874e-85,1.0677197247098131e-20,3.6495292024883764e-21,3.1465072533845637e-21,2.8993277313082167e-21,2.4014852125115046e-21,1.1678493447963212e-21,5.885988338141541e-22,2.443164056958583e-36,7.454995631865938e-19,1.3397785859821891e-50,9.749437820399504e-36,8.694820651487921e-36,7.405688620114695e-19,1.1527129020055283e-21,5.962151986795788e-48,1.7199869132828274e-60,2.084288190125126e-36,2.461900549046389e-46,4.523596095320369e-51,3.581743202263597e-77,3.2876262013423777e-21,8.212708451666644e-22,4.944711932677306e-22,2.3662938070301966e-37,1.1660019393922085e-38,1.8247518690276374e-58,3.756817794890698e-23,3.9390982637245526e-39,3.3815810206290037e-37,5.839246723981494e-22,6.242146052435597e-86,1.1104399604658422e-100,2.638548308445786e-82,1.2191557819711617e-92,5.334922079936476e-40
1.0196813947961609e-25,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.352857204679927e-125,1.0366393275091585e-58,4.879686851220643e-19,1.4905986022824755e-54,2.0721361398250602e-87,1.0097154546436657e-93,2.6778604719332516e-38,4.336394298164671e-63,3.002061998732659e-43,7.141869509361656e-66,2.932609742993864e-39,3.711541242772825e-24,7.559391322467159e-107,1.8870639816068023e-20,2.486345888943401e-66,2.0880657536824533e-58,7.823903102463162e-100,4.879724180692826e-19,2.3081955556395063e-84,2.4405022279080833e-20,8.341781034259019e-21,7.192016579164874e-21,6.627034814418742e-21,5.4891090571691075e-21,2.6693699309630803e-21,1.3453687630037702e-21,1.176278324111868e-35,1.7039990015693572e-18,1.3154025604960006e-49,4.693934632735409e-35,4.186181863332236e-35,1.6927288274547872e-18,2.6347723474412024e-21,2.870519532713435e-47,1.6886933508432094e-59,1.003495042407256e-35,2.4171085576421837e-45,4.441294034101778e-50,1.6169702944229758e-75,7.51457417449688e-21,1.8771905032380896e-21,1.1302198703262133e-21,1.1392686077555981e-36,5.613797416808851e-38,1.793332628908903e-57,8.587012102607374e-23,1.8965062501508727e-38,1.628085696686944e-36,1.3346849654814864e-21,2.818003108869037e-84,2.065280937611044e-99,5.213326824068091e-81,5.85813441155898e-91,2.5685353325257677e-39
2.166822963941842e-25,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.680884255414869e-124,9.528501396181793e-58,1.0369334558843866e-18,1.3356927445949157e-53,1.680732647465099e-86,3.812493435233012e-92,1.1694920217885204e-37,3.835491648626031e-62,1.3110793460765053e-42,6.56460851486696e-65,1.2807477213212497e-38,7.887025140892253e-24,2.9751228350479303e-105,4.010010960914455e-20,2.285380231614057e-65,1.846870512539855e-57,2.9541569437856684e-98,1.0369413883972254e-18,4.296328397802362e-83,5.186067234304417e-20,1.772628469779987e-20,1.5283035230726018e-20,1.4082448980639655e-20,1.1664356746484161e-20,5.6724111032968046e-21,2.858908621382967e-21,5.137116477380071e-35,3.620997878334884e-18,1.1634586682987123e-48,2.049964574819126e-34,1.8282156005611651e-34,3.597048758341423e-18,5.598891238312533e-21,1.2536312952340301e-46,1.493630144975e-58,4.3825264908613314e-35,2.1379051458480813e-44,3.9282752789166215e-49,6.1053736986566646e-74,1.5968470120805942e-20,3.989029819380942e-21,2.401717224443082e-21,4.975485322729057e-36,2.4516928195829624e-37,1.5868894855808797e-56,1.8247400718040943e-22,8.282541051209505e-38,7.110277973839132e-36,2.8362055516481676e-21,1.0640243549351421e-82,3.554799769853339e-98,9.276836536435144e-80,2.2431238445195844e-89,1.1217468611787749e-38
4.461106102233204e-25,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.5467464741357685e-122,8.151833554236847e-57,2.1348629974090315e-18,1.1295795861391678e-52,1.34688849199145e-85,1.3227310808373177e-90,4.882398976018787e-37,3.223961836382482e-61,5.473498183383961e-42,5.616160793227336e-64,5.346869620823008e-38,1.623799293713111e-23,1.0511780676066288e-103,8.25590491952976e-20,1.9551909036677395e-64,1.5524059480860826e-56,1.0249342782087031e-96,2.1348793290531112e-18,7.398772658731805e-82,1.0677197247096252e-19,3.649529202487985e-20,3.146507253385043e-20,2.899327731308094e-20,2.4014852125113658e-20,1.167849344796508e-20,5.885988338141217e-21,2.144645004966225e-34,7.454995631865937e-18,9.779571143487663e-48,8.55819856353636e-34,7.632440247381916e-34,7.405688620114696e-18,1.1527129020055123e-20,5.23366387977224e-46,1.2554861348154756e-57,1.8296185388235594e-34,1.7970380926876733e-43,3.3019537535872084e-48,2.118238823268532e-72,3.2876262013424275e-20,8.212708451666643e-21,4.944711932676435e-21,2.0771671796149172e-35,1.0235334905062135e-36,1.3341565785881111e-55,3.7568177948908957e-22,3.4577978467336236e-37,2.9684010879759916e-35,5.839246723981559e-21,3.6915947763575593e-81,5.889908714308111e-97,1.5646740749595716e-78,7.831425694323925e-88,4.683072329110568e-38
9.049672378815928e-25,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,5.024083902805054e-121,6.740093623683722e-56,4.330722080458321e-18,9.288232237354188e-52,1.0777410325137773e-84,4.4052467616900686e-89,1.994619290472992e-36,2.643198697042457e-60,2.2361026037602788e-41,4.643550349741439e-63,2.1843707041658443e-37,3.293992852960883e-23,3.53151882870524e-102,1.674769283676037e-19,1.6165896488373752e-63,1.2727561886577808e-55,3.4134590737566e-95,4.330755210364883e-18,1.227494447135257e-80,2.1659457272676603e-19,7.403330667903285e-20,6.38291471401077e-20,5.881493397796136e-20,4.8715842882370206e-20,2.3690658137304915e-20,1.1940147771657145e-20,8.761574625721794e-34,1.5122991138928043e-17,8.017883280233177e-47,3.4963033603475834e-33,3.118100881448177e-33,1.502296834366124e-17,2.3383604583540016e-20,2.1381224651213395e-45,1.029323386593225e-56,7.474588713531059e-34,1.4733203994662313e-42,2.7071439466050836e-47,7.054626769817668e-71,6.669184579866184e-20,1.6660065716238047e-20,1.00307013491416e-20,8.485905691688222e-35,4.1814682794720755e-36,1.0939337314871794e-54,7.620973241064847e-22,1.412623245556457e-36,1.2126887009806713e-34,1.184532906864846e-20,1.2294551908259075e-79,9.585832095300017e-96,2.5699818665314715e-77,2.616108546214819e-86,1.913187851329414e-37
1.8226804931981376e-24,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.6194670296822262e-119,5.480932198141018e-55,8.7224402465569e-18,7.53272423602602e-51,8.62215854843469e-84,1.4379459138392538e-87,8.062570084388332e-36,2.1405308344291416e-59,9.038684246445617e-41,3.7760580262771447e-62,8.82957563706554e-37,6.634379971456426e-23,1.1576808620190607e-100,3.373126867122159e-19,1.314583854793094e-62,1.0307109600076119e-54,1.1142098939498983e-93,8.722506972988427e-18,1.9996392949033297e-79,4.362397732382403e-19,1.4910933598731116e-19,1.2855729635265612e-19,1.1845824730771352e-19,9.811782439687354e-20,4.7714987515997784e-20,2.404846663868671e-20,3.54156854924361e-33,3.045898215305226e-17,6.493089757995639e-46,1.413261719333807e-32,1.2603862304250587e-32,3.025752779075433e-17,4.709655571050865e-20,8.64263286028618e-45,8.335727654647468e-56,3.021348260424628e-33,1.193133055651178e-41,2.1923198318623018e-46,2.3027523021057298e-69,1.343230133691405e-19,3.355478024538085e-20,2.0202680182065774e-20,3.430138758539193e-34,1.690216334488407e-35,8.859404016707172e-54,1.5349284133414143e-21,5.710049017566347e-36,4.901881621605445e-34,2.3857493757982723e-20,4.0131465126338193e-78,1.5466933362059288e-94,4.1660513536462954e-76,8.552156278522579e-85,7.73341118749604e-37
3.658107003831227e-24,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,5.201045228594353e-118,4.420570378205782e-54,1.7505876578754054e-17,6.067334955605772e-50,6.897750026962596e-83,4.64719272009773e-86,3.241923970549447e-35,1.7228854375388032e-58,3.634415181918259e-40,3.0455275952888403e-61,3.550333529779406e-36,1.3315154208447513e-22,3.749342931146085e-99,6.769842034014402e-19,1.0602595029612768e-61,8.296058504410204e-54,3.600933844583859e-92,1.750601049823551e-17,3.2282212746003093e-78,8.755301742606573e-19,2.99261394603757e-19,2.5801359477788846e-19,2.377448739671833e-19,1.9692178742584115e-19,9.576364627343625e-20,4.826510437273668e-20,1.4240491372673026e-32,6.113096418130068e-17,5.226203523278477e-45,5.682663215933417e-32,5.067957598737794e-32,6.072664668494048e-17,9.452245796444135e-20,3.475164661356802e-44,6.709318808225021e-55,1.2148708423383466e-32,9.603372798000457e-41,1.7645769343176268e-45,7.442127440136792e-68,2.695853485101119e-19,6.734420930366642e-20,4.054663784788949e-20,1.3792437085102767e-33,6.796285542563039e-35,7.130996871990071e-53,3.080590591811831e-21,2.2959855962572577e-35,1.9710250407889526e-33,4.7881823136653113e-20,1.2969796067230222e-76,2.4850776932575904e-93,6.709297272717655e-75,2.7659539738936476e-83,3.10957062571643e-36
7.328960025097406e-24,0.13613829752637924,0.0,0.03380313927579996,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,1.6673320627006448e-116,3.5508425287048937e-53,3.507274924314836e-17,4.870390243162832e-49,5.518202852479549e-82,1.4944675341043006e-84,1.300156510854725e-34,1.3825070601162434e-57,1.4575630411412189e-39,2.4463333874315777e-60,1.4238425379895732e-35,2.6676702682429686e-22,1.2070013231778207e-97,1.3563272367798886e-18,8.516580921637614e-61,6.657064482273437e-53,1.1580063593908335e-90,3.507301754872968e-17,5.188305042238349e-77,1.7541109763033666e-18,5.995655118362052e-19,5.169261916288947e-19,4.763181272859845e-19,3.9452971348362e-19,1.9186096378852407e-19,9.669837984079998e-20,5.711073961992039e-32,1.2247492823779747e-16,4.1936991926317726e-44,2.2790021129142495e-31,2.0324776670366507e-31,1.2166488447331277e-16,1.893742624722884e-19,1.3936964596750612e-43,5.383805805217941e-54,4.872175403492997e-32,7.706101813038668e-40,1.4159734255461156e-44,2.393295890991177e-66,5.40110018792111e-19,1.3492306742023747e-19,8.123455317943838e-20,5.531384152952115e-33,2.7256144738682253e-34,5.722246953222669e-52,6.171914948754896e-21,9.207929145662403e-35,7.904691976059597e-33,9.593048189400134e-20,4.1708920446990194e-75,3.9844190119235366e-92,1.0769908007528168e-73,8.898170056931732e-82,1.2470768998596356e-35
