Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35)
1.9279596400009472e-21,0.045450764422602166,0.0,0.011285424806131513,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,2.0172868748678465e-74,1.4136145880006061e-25,2.0321759074319867e-73,0.0,2.9980424230744987e-119,1.4126169631235773e-43,3.118352084071417e-85,2.282690484354048e-64,5.312773945790742e-97,1.7245442452363968e-44,9.74811837559412e-43,-1.0195328313769016e-152,5.099486015187926e-37,4.4505658855195785e-103,4.26865828892493e-82,4.2922374923909375e-136,1.4136145880005917e-25,1.4655452043911134e-108,2.6662022442621185e-16,9.113237047192945e-17,5.794675764057636e-17,7.239909431303117e-17,5.996747194675018e-17,2.916235855101361e-17,1.2555068880113619e-23,1.652574205244603e-30,7.962377481781745e-36,1.8906169547762015e-42,1.6525742052429144e-30,5.87092653667796e-33,7.451326004528245e-36,2.878438653449055e-17,1.0187090931776884e-56,1.0345305308003106e-64,1.261202711215056e-35,6.96560441754891e-38
3.8575943100974645e-21,0.045450764422602166,0.0,0.011285424806130906,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070545,0.0,1.6154655915401958e-73,2.8284573381106816e-25,1.627388893428239e-72,0.0,1.8150487398821975e-117,1.1312392527339818e-42,4.172239490182493e-84,9.1367108005034e-64,3.655123027730161e-96,6.902671272954127e-44,1.950470601128866e-42,-1.0186473335352657e-152,1.0203402515961595e-36,3.061934503628063e-102,6.463122417464533e-81,2.5985699195751943e-134,2.828457338110625e-25,2.3476011849069225e-107,5.334720910391107e-16,1.8234391763409586e-16,1.1594385998804717e-16,1.4486108966368708e-16,1.1998704421643225e-16,5.835005364289541e-17,2.5121049022530347e-23,6.614603553648554e-30,1.593388042230771e-35,1.5136431398664807e-41,6.614603553635036e-30,2.3499008865787304e-32,1.4909125793595606e-35,5.759378122408946e-17,4.0775906801355607e-56,8.28271688449718e-64,5.020495647968286e-35,5.5482556573200396e-37
7.716863650290498e-21,0.045450764422602166,0.0,0.011285424806129693,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070492,0.0,1.293027229724906e-72,5.658142838330832e-25,1.3025707042909805e-71,0.0,1.1283854175864307e-115,9.054498990468296e-42,6.021136867124314e-83,3.6558744318957525e-63,2.9788512207337045e-95,2.7619676237515267e-43,3.901788128267773e-42,-9.897745542937904e-153,2.041123552505522e-36,2.4954145906282386e-101,1.0047273755679548e-79,1.6154877134547413e-132,5.6581428383306055e-25,3.7583464132018636e-106,1.0671758240887695e-15,3.6476701195840474e-16,2.319380646829756e-16,2.8978508036498096e-16,2.4002618875513886e-16,1.1672544382662848e-16,5.0253019200530855e-23,2.6467030134702816e-29,3.1883512182692075e-35,1.2113745389410443e-40,2.646703013459463e-29,9.402666549021192e-32,2.982472537173031e-35,1.1521257060327485e-16,1.6317410256453468e-55,6.629326263380946e-63,1.9870984489505016e-34,4.395400964509819e-36
1.5435402330676567e-20,0.045450764422602166,0.0,0.011285424806127266,0.031075110263184432,0.3194096818763542,0.350484792139539,0.20701222018021426,0.09201819554070385,0.0,1.034683750346611e-71,1.131751383877113e-24,1.0423204642704134e-70,0.0,7.115180448493643e-114,7.245433627762043e-41,9.10996288772055e-82,1.4625878290048673e-62,2.479414522151776e-94,1.1049668980312239e-42,7.80442318254558e-42,-2.8392433771676377e-154,4.0826901573427604e-36,2.0770312836467063e-100,1.5840525277135903e-78,1.0186668057419222e-130,1.131751383877022e-24,6.015102447619409e-105,2.1345832894835303e-15,7.29613200606927e-16,4.639264740727798e-16,5.796330617674966e-16,4.801044778299222e-16,2.334762241939723e-16,1.0051699912919992e-22,1.0588535483372885e-28,6.380927922079056e-35,9.692836812945728e-40,1.0588535483286319e-28,3.761680576804526e-31,5.965592452799964e-35,2.3045014936159587e-16,6.531250898174407e-55,5.306824311035497e-62,7.780810293390602e-34,3.4472208292430076e-35
3.0872479691448705e-20,0.045450764422602166,0.0,0.011285424806122414,0.031075110263184432,0.31940968187635327,0.3504847921395384,0.20701222018021354,0.09201819554070172,0.0,8.278517996981507e-71,2.2636255839651705e-24,8.33961945562471e-70,0.0,4.519623929889289e-112,5.797080765954105e-40,1.4156736092375571e-80,5.850827462420229e-62,1.9392018739304567e-93,4.4202273148013274e-42,1.560969329110117e-41,3.004992080521332e-151,8.165823379091297e-36,1.6244895403630763e-99,2.515669622747679e-77,6.470659640686495e-129,2.263625583964806e-24,9.625562694471187e-104,4.2693982174548285e-15,1.4593055779035888e-15,9.279032928521776e-16,1.1593290245722392e-15,9.602610559689685e-16,4.669777849281711e-16,2.010451172772092e-22,4.235758903789079e-28,1.2776682736630658e-34,7.755005729519903e-39,4.235758903719819e-28,1.5047960464390352e-30,1.193183228405381e-34,4.609253068780388e-16,2.6192120693414405e-54,4.255340184695105e-61,2.985217454735964e-33,2.652600230121075e-34
6.174663441299297e-20,0.045450764422602166,0.0,0.01128542480611271,0.031075110263184432,0.3194096818763513,0.35048479213953726,0.20701222018021212,0.09201819554069744,0.0,6.623233620857278e-70,4.527373984141278e-24,6.672117901621354e-69,0.0,2.8816474618183157e-110,4.637958176175706e-39,2.2315366260139294e-79,2.340426217638958e-61,1.554241344254556e-92,1.7681628730161933e-41,3.1220233508212234e-41,9.943688366521e-150,1.6332089870884597e-35,1.3020041084345188e-98,4.0100176976327086e-76,4.125599978943972e-127,4.527373984139821e-24,1.5402019425409457e-102,8.539028062124521e-15,2.9186903324953813e-15,1.8558569304101295e-15,2.318720950180571e-15,1.920574212204981e-15,9.339809063946129e-16,4.0210198673590565e-22,1.6943725060534282e-27,2.5610597993461457e-34,6.204299110922877e-38,1.694372505998018e-27,6.019439950368816e-30,2.3864311946561395e-34,9.21875621910129e-16,1.061929832740046e-53,3.4457745187177406e-60,1.1031485798720932e-32,1.9709531855364797e-33
1.2349494385608152e-19,0.045450764422602166,0.0,0.0112854248060933,0.031075110263184432,0.3194096818763475,0.35048479213953493,0.2070122201802093,0.09201819554068891,0.0,5.298754591112369e-69,9.054870784493465e-24,5.337863284916471e-68,0.0,1.840762173653796e-108,3.71048396988295e-38,3.543623767873783e-78,9.361895339287902e-61,1.2466061884338513e-91,7.072795388807314e-41,6.244131394243394e-41,3.1932735979724994e-148,3.266462304765613e-35,1.044294944887876e-97,6.403984492542934e-75,2.6353843000339486e-125,9.054870784487633e-24,2.464412640868274e-101,1.7078287706372305e-14,5.8374598416728435e-15,3.71176420552266e-15,4.637504801392618e-15,3.841200524508685e-15,1.8679871493196725e-15,8.042182583039529e-22,6.777627915704355e-27,5.144805101803334e-34,4.963557102665209e-37,6.777627915261062e-27,2.4078336335079238e-29,4.772927127157616e-34,1.843776251971126e-15,4.572568517208637e-53,2.9455509248885045e-59,3.8220515306271783e-32,1.379029879599135e-32
2.469915627422586e-19,0.045450764422602166,0.0,0.011285424806054482,0.031075110263184432,0.3194096818763398,0.35048479213953027,0.2070122201802036,0.09201819554067182,0.0,4.239070751684005e-68,1.8109864385197716e-23,4.2703582521963955e-67,0.0,1.1769702211043129e-106,2.9684341481899504e-37,5.648329395665218e-77,3.7447962298003035e-60,9.953085469813706e-91,2.8291469351192276e-40,1.2488347481087566e-40,1.0200051638428827e-146,6.532969017393887e-35,8.337803019590064e-97,1.0236739783229672e-73,1.6850459586806806e-123,1.8109864385174395e-23,3.9431318530864813e-100,3.415680681450145e-14,1.1674998860003272e-14,7.423578755734229e-15,9.275072503798248e-15,7.682453148442811e-15,3.735999635138498e-15,1.6084609320422088e-21,2.7110787447935644e-26,1.038014471108176e-33,3.970892808105044e-36,2.711078744438925e-26,9.631501838148624e-29,9.545918992160407e-34,3.687577512080384e-15,2.5606504977203345e-52,3.207659179677263e-58,1.2002302396823971e-31,8.802234878904161e-32
4.939848005146127e-19,0.045450764422602166,0.0,0.011285424805976845,0.031075110263184432,0.31940968187632435,0.350484792139521,0.20701222018019222,0.09201819554063767,0.0,3.391283433069459e-67,3.621985158660574e-23,3.4163137121235924e-66,0.0,7.529033086236096e-105,2.374766107592567e-36,9.020151820288742e-76,1.4979261107707784e-59,7.96054848989513e-90,1.1316645299858685e-39,2.4976779654775217e-40,3.263080633126308e-145,1.3065982751746308e-34,6.668634107276793e-96,1.6371075190838999e-72,1.0779174006936897e-121,3.6219851586512454e-23,6.3090682676464316e-99,6.83138443092941e-14,2.335007689656616e-14,1.4847207856103392e-14,1.8550207908535656e-14,1.5364958393617923e-14,7.472024606650972e-15,3.2169868019237328e-21,1.08443701361891e-25,2.112221994709426e-33,3.1767330966356933e-35,1.0844370133351984e-25,3.8526757933857884e-28,1.9091902722165346e-33,7.375180032247961e-15,2.5598546474808746e-51,6.145163306656521e-57,3.326667486782414e-31,4.9951897505757205e-31
9.879712760593211e-19,0.045450764422602166,0.0,0.011285424805821571,0.031075110263184432,0.31940968187629354,0.35048479213950245,0.2070122201801695,0.09201819554056935,0.0,2.71303747918525e-66,7.243982598941986e-23,2.733061910614658e-65,0.0,4.817436733154425e-103,1.8998204016930812e-35,1.4418502619505781e-74,5.991719680816104e-59,6.373817837303488e-89,4.5266696317918467e-39,4.995364400214779e-40,1.0450325531968535e-143,2.6132011456834655e-34,5.33941336798153e-95,2.618755347979648e-71,6.897032899213999e-120,7.243982598904673e-23,1.009455507051923e-97,1.3662791641301694e-13,4.6700232969300034e-14,2.969446605662584e-14,3.710047871771505e-14,3.072996887319561e-14,1.4944074549175212e-14,6.434200631277753e-21,4.337759085699754e-25,4.369195448893744e-33,2.5413940168130207e-34,4.337759083430028e-25,1.5411186067553242e-27,3.8183870182172616e-33,1.4750385072379355e-14,3.9601284834767254e-50,1.8635353584386266e-55,8.144190660535451e-31,2.5143322942530653e-30
