Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),NO3(95)
0.0,0.11934636377542086,0.0,0.029633702125436995,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0390137040959507e-25,0.11934636377542086,0.0,0.029633702125436995,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.698886884202319e-59,2.363104907462878e-19,6.222231797515861e-56,0.0,9.135015487593363e-95,3.747502272694157e-39,3.934312479580474e-64,4.012704830936055e-44,2.6630406109173654e-67,1.900602745279774e-39,2.621471221182607e-25,-1.471954587136596e-108,1.3042752670875766e-21,2.2785980082003738e-68,9.837556892986552e-60,1.9382784089039952e-101,2.3631075310021435e-19,8.48363612708976e-86,4.5692960357832005e-20,1.5618124243175025e-20,1.0957045750152956e-20,1.2407644443118904e-20,1.0277132291907335e-20,4.997799757816497e-21,2.5094017646419174e-21,3.725324789364905e-35,9.544253807445304e-20,8.398098182780868e-49,1.2205213825936233e-34,2.1110168358617554e-34,9.444400256943298e-20,4.933023500115676e-21,8.180778818916852e-48,1.5366162611298874e-59,1.4169998640351145e-35,1.7448869292338893e-44,9.124558384253676e-50,3.4269260873244113e-74,3.041994586223672e-22,3.514620485394368e-21,2.1160845968462563e-21,1.0237209244359194e-36,4.1828417380158373e-38,7.659422230860218e-58,1.5400966407549793e-24
5.709238371468663e-25,0.11934636377542086,0.0,0.029633702125436995,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.078557942282894e-58,6.616693740896057e-19,9.346316667023294e-55,0.0,5.557275729559475e-93,2.2634913727606625e-38,4.6708157757856386e-63,2.4236737178853772e-43,4.024386971218094e-66,1.1479640581489803e-38,7.340119419311301e-25,1.4491999946318154e-107,3.651970747845214e-21,3.4434173099922095e-67,1.167914754335363e-58,1.1791493419895806e-99,6.616701086806002e-19,2.6106034566651762e-84,1.2794028900191091e-19,4.3730747880888147e-20,3.0679728100430923e-20,3.474140444073227e-20,2.877597041733939e-20,1.3993839321887166e-20,7.026324940996851e-21,2.2500961727765176e-34,2.672391066084685e-19,9.970222162597678e-48,7.37194915086558e-34,1.2750541688604218e-33,2.6444320719441235e-19,1.381246580032385e-20,4.941190406609213e-47,1.8242708252078e-58,8.558679168595833e-35,2.0715297601022376e-43,1.0832704357798463e-48,2.0847717971339215e-72,8.517584841427226e-22,9.840937359104224e-21,5.925036871169049e-21,6.18327438359295e-36,2.5264364097615686e-37,9.171721794400409e-57,4.312270594113949e-24
1.3049687706214085e-24,0.11934636377542086,0.0,0.029633702125436995,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.3875265247949893e-57,1.5123871407762417e-18,1.0034815326750054e-53,0.0,2.5088199077966094e-91,1.0897736609795434e-37,4.585834626281791e-62,1.1668945648362047e-42,4.329251860355879e-65,5.526952783273534e-38,1.6777415815568687e-24,7.995568598403395e-106,8.347361709360489e-21,3.704271209970959e-66,1.1466656314465118e-57,5.3232437747413914e-98,1.5123888198413718e-18,5.796567652676818e-83,2.92434946289994e-19,9.995599515630674e-20,7.012509280099746e-20,7.940892443595633e-20,6.57736466681989e-20,3.19859184500324e-20,1.6060171293704647e-20,1.0833244487474863e-33,6.108322436764994e-19,9.788823241850097e-47,3.549276180582398e-33,6.138836958684811e-33,6.044416164443711e-19,3.1571350400740004e-20,2.378970480516163e-46,1.7910799139556238e-57,4.120635589349726e-34,2.0338401976338924e-42,1.0635674049124628e-47,9.411709336075325e-71,1.9468765351838104e-21,2.2493571106523894e-20,1.3542941419812759e-20,2.9769804482596523e-35,1.2163703774150112e-36,9.039229678194995e-56,9.856618500831918e-24
2.773058637570493e-24,0.11934636377542086,0.0,0.029633702125436995,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.0328927810225514e-56,3.213822674149514e-18,9.216646859233303e-53,0.0,9.47282661131177e-90,4.759327887149076e-37,4.056118794119654e-61,5.09613513528879e-42,3.979328324081358e-64,2.4137654865052635e-37,3.565200860808345e-24,3.146797595265296e-104,1.773814363239104e-20,3.404863431693448e-65,1.0142127654393402e-56,2.0099555624165885e-96,3.213826242162915e-18,1.0835838923042858e-81,6.214242608658612e-19,2.124064897071133e-19,1.4901582220217297e-19,1.687439644263939e-19,1.3976899916989955e-19,6.797007670633843e-20,3.412786399911197e-20,4.731162482495204e-33,1.2980185178125614e-18,8.658103302521267e-46,1.5500621558940472e-32,2.680991381543217e-32,1.2844384349442885e-18,6.708911960157159e-20,1.03895890997675e-45,1.584189900537981e-56,1.7995898115513958e-33,1.7989086136926002e-41,9.40724118435025e-47,3.553722499891896e-69,4.137112637267495e-21,4.7798838601363075e-20,2.877875051709268e-20,1.3001255740336165e-34,5.3122090072801744e-36,8.008749627057646e-55,2.094531431426797e-23
5.709238371468662e-24,0.11934636377542086,0.0,0.029633702125436995,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.4502246811923834e-55,6.616693740896057e-18,7.882335276663611e-52,0.0,3.2865636085737316e-88,1.9869257057271783e-36,3.409412246113704e-60,2.1275361013622965e-41,3.4043991605092226e-63,1.0076995755472915e-36,7.340119419311301e-24,1.1118347259851607e-102,3.6519707478452136e-20,2.9129323505070826e-64,8.525069402551833e-56,6.973469564406617e-95,6.616701086806001e-18,1.8699261127146093e-80,1.2794028900164001e-18,4.3730747880860395e-19,3.0679728100469354e-19,3.4741404440722664e-19,2.8775970417322736e-19,1.399383932190128e-19,7.02632494098935e-20,1.9751672033228685e-32,2.6723910660846856e-18,7.277657515629705e-45,6.471204370512697e-32,1.119261126372812e-31,2.6444320719441236e-18,1.3812465800323182e-19,4.3374489295584845e-45,1.3316070659687784e-55,7.512933137155385e-33,1.5120910677041214e-40,7.907534617286244e-46,1.2329792858377909e-67,8.5175848414409e-21,9.840937359104085e-20,5.925036871162251e-20,5.427768341359236e-34,2.2177426894960515e-35,6.737249979679791e-54,4.3122705941140545e-23
1.1581597839265e-23,0.11934636377542086,0.0,0.029633702125436992,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.8527124872175795e-54,1.3422435874389143e-17,6.516211526073163e-51,0.0,1.0945629012204776e-86,8.117239829051847e-36,2.7952421476460107e-59,8.691679172000733e-41,2.8148230605337913e-62,4.116781570385425e-36,1.4889956536317208e-23,3.735299849922344e-101,7.408283517057432e-20,2.4084687979877756e-63,6.989366959210706e-55,2.3224565190454486e-93,1.342245077609217e-17,3.1055096239630325e-79,2.5953601483126945e-18,8.871094570110953e-19,6.22360198610413e-19,7.047542043687224e-19,5.83741114179589e-19,2.8387502624461067e-19,1.4253402023132414e-19,8.069202506769472e-32,5.4211361626289355e-18,5.96666332886257e-44,2.6436981355541974e-31,4.572546907140759e-31,5.364419345943794e-18,2.801957348065405e-19,1.7719894150968837e-44,1.0917319249331881e-54,3.0692782653028446e-32,1.2397035902528124e-39,6.483372396276916e-45,4.1065214216067135e-66,1.7278529249811856e-20,1.9963044357039387e-19,1.2019360510056215e-19,2.2174204711651733e-33,9.060202518212288e-35,5.525758773725418e-53,8.747748919488759e-23
2.3326316774857677e-23,0.11934636377542086,0.0,0.029633702125436985,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.3197784179557173e-53,2.7033920141375308e-17,5.298457400462015e-50,0.0,3.572835612609858e-85,3.281118125039502e-35,2.2636595631482576e-58,3.513315689316402e-40,2.2889673654277167e-61,1.6640689324239057e-35,2.9989630770329026e-23,1.2244831077500649e-99,1.492090905548187e-19,1.9585268276861044e-62,5.660170575144383e-54,7.580884890883111e-92,2.7033950154664503e-17,5.061622267037718e-78,5.227274664886151e-18,1.7867134134141185e-18,1.253486033824565e-18,1.4194345242910355e-18,1.175703934191136e-18,5.717482922968033e-19,2.870755618736557e-19,3.2617006686899775e-31,1.0918626355717439e-17,4.831958659910196e-43,1.068625055487991e-30,1.8482965685974896e-30,1.0804393893943134e-17,5.643378884131107e-19,7.162664531734513e-44,8.841128177780986e-54,1.2406512980887925e-31,1.0039440704126523e-38,5.250885344721352e-44,1.340558161858209e-64,3.480041806665034e-20,4.020725835290902e-19,2.4208007787796137e-19,8.96316807948016e-33,3.6622787180366733e-34,4.475762062113694e-52,1.7618705570238913e-22
4.681575464604303e-23,0.11934636377542086,0.0,0.02963370212543697,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021495,0.09201819554070598,0.0,1.870985333825811e-52,5.425688867534762e-17,4.273231725742351e-49,0.0,1.1546787322964055e-83,1.3193231693180343e-34,1.821990151057745e-57,1.4126887865503625e-39,1.8461351037549072e-60,6.691147988864739e-35,6.018897923835265e-23,3.9656931672456004e-98,2.994616013233073e-19,1.5796228390357258e-61,4.555797702587146e-53,2.450011000952743e-90,5.4256948911809146e-17,8.17361021434008e-77,1.0491103697956532e-17,3.585921326212324e-18,2.5157377042637222e-18,2.848795164132948e-18,2.359629574209525e-18,1.1474948244051748e-18,5.761586451561999e-19,1.311515493404086e-30,2.1913606741894463e-17,3.889180700404797e-42,4.2968943482835304e-30,7.431919211263111e-30,2.168434298994181e-17,1.1326221956260624e-18,2.8800759050086473e-43,7.116109116726782e-53,4.988603899405584e-31,8.08061467115778e-38,4.227145716831602e-43,4.333235566015526e-63,6.984419570071362e-20,8.069568634464436e-19,4.858530234308395e-19,3.604050463313598e-32,1.472586165235738e-33,3.6028259547030775e-51,3.5360618871742222e-22
9.379463038841374e-23,0.11934636377542086,0.0,0.029633702125436943,0.031075110263184432,0.31940968187635516,0.3504847921395394,0.20701222018021495,0.09201819554070596,0.0,1.5028771686761924e-51,1.0870282574329221e-16,3.432425845648254e-48,0.0,3.713273758316451e-82,5.2910760076908145e-34,1.4620323524232914e-56,5.665513874569636e-39,1.4829161124697552e-59,2.683449612442014e-34,1.2058767617439992e-22,1.276649532487506e-96,5.999666228602841e-19,1.268838967888603e-60,3.6557407422085454e-52,7.87886821066789e-89,1.0870294642609834e-16,1.3138097128643775e-75,2.1018761763791174e-17,7.184337151777374e-18,5.04024104518545e-18,5.707516443805915e-18,4.7274808542274854e-18,2.2989878886378653e-18,1.1543248117128133e-18,5.25976371822818e-30,4.390356751424859e-17,3.1208225800397387e-41,1.723246816961583e-29,2.9805320044025524e-29,4.344424118193916e-17,2.2691908100512115e-18,1.1550392519233309e-42,5.710229406836551e-52,2.000652960072356e-30,6.484183380649098e-37,3.393264206362383e-42,1.394007370048066e-61,1.3993175097038544e-19,1.6167254232809939e-18,9.733989145289143e-19,1.4453854308855012e-31,5.9057291528566375e-33,2.891178146659204e-50,7.084444547476082e-22
