Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659)
0.0,0.06662394546715897,0.0,0.01654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6693729434019367e-24,0.06662394546715897,0.0,0.01654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.103582940106646e-69,4.269454755060508e-23,4.579621607528153e-67,0.0,1.8549924677009066e-111,7.282323010493502e-48,4.315302473397382e-77,9.617764165887983e-57,1.1556591303979248e-83,8.409450828188455e-44,1.6775761559706575e-34,-6.736849296252161e-129,4.0233571890141086e-30,1.5917424735371338e-87,7.539063042654789e-74,1.015096153409786e-122,4.2694547550772834e-23,1.7583954734978355e-100,2.795072645836642e-19,9.553723704817996e-20,6.074861971812804e-20,7.589849138828336e-20,6.28659888127398e-20,3.057191585541761e-20,1.0292325941576482e-24,7.082141069309544e-35,1.1706140588664256e-28,7.478859168628936e-49,7.082141069309501e-35,6.238912244893137e-37,1.1303804869714887e-28,3.017567463011612e-20,3.591954617514667e-54
4.6742442415254224e-24,0.06662394546715897,0.0,0.01654272565949557,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.22373453942454e-68,1.1954473314169422e-22,6.92072417342575e-66,0.0,1.1284825178279933e-109,4.403261277973939e-47,5.123128524945326e-76,5.809129556196341e-56,1.746432073739137e-82,5.079308300225828e-43,4.697213236717841e-34,-6.736834854783288e-129,1.1265400129239518e-29,2.40544123004377e-86,8.950375823673442e-73,6.175325684436234e-121,1.1954473314216392e-22,5.5286767058718605e-99,7.826203408338409e-19,2.6750426373490327e-19,1.7009613521075912e-19,2.1251577588719313e-19,1.7602476867566445e-19,8.560136439516918e-20,2.881851263868856e-24,4.277613205862949e-34,3.277719364841638e-28,8.878901604996205e-48,4.277613205862899e-34,3.7683029961636175e-36,3.165065363520168e-28,8.449188896432516e-20,2.1695405889792336e-53
1.0683986837772395e-23,0.06662394546715897,0.0,0.016542725659495567,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.922472714456541e-67,2.7324510432387247e-22,7.4449992550743116e-65,0.0,5.0945097211565766e-108,2.1246714242127426e-46,5.029920832493085e-75,2.7968458194402252e-55,1.8787319308373418e-81,2.4454683008372032e-42,1.073648739821221e-33,-6.736124661721888e-129,2.5749486009690394e-29,2.5876639096145183e-85,8.787532418799336e-72,2.7878373154735934e-119,2.7324510432494616e-22,1.2334173596107177e-97,1.7888464933325184e-18,6.114383171083473e-19,3.8879116619602347e-19,4.857503448850113e-19,4.0234232840148586e-19,1.9566026147467188e-19,6.587088604201033e-24,2.0594866229551927e-33,7.4919299768546465e-28,8.717358246953685e-47,2.059486622955144e-33,1.8142756811871674e-35,7.234435116617528e-28,1.931243176327432e-19,1.044540402773821e-52
2.270347203026634e-23,0.06662394546715897,0.0,0.016542725659495564,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.120461916097444e-66,5.806458466882291e-22,6.843236975833934e-64,0.0,1.923590090887779e-106,9.319961357458602e-46,4.4489130752639454e-74,1.2214560490677742e-54,1.726878321461643e-80,1.0680002551799337e-41,2.2815035721200946e-33,-6.708381096117067e-129,5.471765777059235e-29,2.3785089482437356e-84,7.772473544484385e-71,1.0526344100910209e-117,5.8064584669051065e-22,2.3100542094165272e-96,3.8012987983231694e-18,1.2993064238552248e-18,8.261812281665612e-19,1.0322194828806422e-18,8.549774478530169e-19,4.1577805563367534e-19,1.399756328850443e-23,8.994319158022889e-33,1.5920351201131e-27,7.710404648489265e-46,8.994319158022459e-33,7.923418554860793e-35,1.5373174622812247e-27,4.103891749695792e-19,4.5617823642493964e-52
4.674244241525423e-23,0.06662394546715897,0.0,0.016542725659495553,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.802747187940843e-65,1.195447331416942e-21,5.854533307721829e-63,0.0,6.673828696727979e-105,3.9250869275958524e-45,3.7395880101274194e-73,5.09933856075381e-54,1.477380761047852e-79,4.458690829105515e-41,4.697213236717842e-33,-5.731049147046346e-129,1.1265400129239718e-28,2.0348644814477633e-83,6.533233408872792e-70,3.652078354144248e-116,1.1954473314216392e-21,3.9900441766992455e-95,7.826203408277659e-18,2.6750426373489382e-18,1.7009613521076726e-18,2.1251577588718832e-18,1.760247686755632e-18,8.560136439516747e-19,2.8818512671667386e-23,3.7549511949477123e-32,3.277719365068505e-27,6.481059693786369e-45,3.75495119494735e-32,3.307871275704197e-34,3.1650653635201684e-27,8.449188896432506e-19,1.9044543382115874e-51
9.482038318523e-23,0.06662394546715897,0.0,0.016542725659495536,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,6.451462265325525e-64,2.4250503008743685e-21,4.840641354398039e-62,0.0,2.2226643147521267e-103,1.6314544284377194e-44,3.065954128346633e-72,2.0832461893880007e-53,1.221526982977178e-78,1.8215206871889285e-40,9.528632565913336e-33,2.70537873226418e-128,2.285266883360103e-28,1.6824653036824914e-82,5.356341221055216e-69,1.2162949636835357e-114,2.425050300883896e-21,6.629518075614074e-94,1.5876012628079387e-17,5.4265150643362005e-18,3.45052159999004e-18,4.311034310854281e-18,3.570788164559076e-18,1.7364848205876433e-18,5.846041149621799e-23,1.5340200841765503e-31,6.649087855379851e-27,5.313564306099114e-44,1.5340200841762525e-31,1.3513733508238709e-33,6.420561165998056e-27,1.7139783189905917e-18,7.780317379768736e-51
1.9097626472518157e-22,0.06662394546715897,0.0,0.016542725659495498,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,5.246221970988869e-63,4.884256239789221e-21,3.9363291580594655e-61,0.0,7.25515118394157e-102,6.82037185084905e-44,2.4829117227356655e-71,8.420814179914892e-53,9.933254559503088e-78,7.362877853718712e-40,1.9191471224304326e-32,1.1009670519064212e-126,4.602720624232507e-28,1.3681528432780187e-81,4.337706829470777e-68,3.9701918940098163e-113,4.884256239808407e-21,1.0807787667112491e-92,3.1975631067253834e-17,1.092945991831006e-17,6.949642095755351e-18,8.682787414818741e-18,7.19186912015881e-18,3.497427173859458e-18,1.1774420937821798e-22,6.200754448950399e-31,1.3391824837604687e-26,4.3030621385357376e-43,6.200754448947985e-31,5.462467162301847e-33,1.293155277095383e-26,3.4520971776852657e-18,3.1449286814985065e-50
3.832880278050847e-22,0.06662394546715897,0.0,0.016542725659495425,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,4.231268077045313e-62,9.802668117618927e-21,3.174792069291999e-60,0.0,2.3447425130537353e-100,2.9240035634473047e-43,1.9984997103563637e-70,3.385972345657528e-52,8.011529659098264e-77,2.960580801867029e-39,3.8517148541086304e-32,3.586810502814552e-125,9.23762810597788e-28,1.1034648328442556e-80,3.4913683938333074e-67,1.2830990674499636e-111,9.802668117657421e-21,1.7454605951366284e-91,6.417486794388667e-17,2.1935349626255127e-17,1.3947883087288285e-17,1.7426293622746317e-17,1.4434031031329676e-17,7.019311880402597e-18,2.36311806073813e-22,2.493296092013538e-30,2.6877298808462956e-26,3.4634787670371704e-42,2.4932960920115946e-30,2.1964340310196185e-32,2.595353598086538e-26,6.9283348950745834e-18,1.2645619909555666e-49
7.679115539648909e-22,0.06662394546715897,0.0,0.01654272565949528,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,3.3987846257120015e-61,1.9639491873278335e-20,2.5501656426549486e-59,0.0,7.540359937720036e-99,1.3182848003358972e-42,1.6037284894554125e-69,1.3579263519232244e-51,6.435296307860789e-76,1.1873253167614075e-38,7.716850317465026e-32,1.1548884650168271e-123,1.850744306947088e-27,8.863629627324037e-80,2.8016105844074666e-66,4.1262649307271156e-110,1.9639491873355417e-20,2.805776928539535e-90,1.285733416902882e-16,4.3947129042134635e-17,2.794436507036338e-17,3.491330603859608e-17,2.891835485355701e-17,1.4063081293486926e-17,4.73447003191383e-22,9.999232482902352e-30,5.384824677581383e-26,2.779223588270658e-41,9.99923248288676e-30,8.808682922617115e-32,5.199750240068847e-26,1.3880810329853096e-17,5.0714591731746655e-49
1.5371586062845034e-21,0.06662394546715897,0.0,0.016542725659494988,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070573,0.0,2.724546562656866e-60,3.931313938459716e-20,2.044273409777384e-58,0.0,2.418891506594113e-97,6.446562447728408e-42,1.2850278335590083e-68,5.438788313935219e-51,5.158686520646617e-75,4.755494323013444e-38,1.5447121244177815e-31,3.7067422642824026e-122,3.704707299646589e-27,7.105296243566484e-79,2.244709471173163e-65,1.3236751660406189e-108,3.931313938475126e-20,4.499702470887659e-89,2.5737028915563447e-16,8.79706878738512e-17,5.593732903655052e-17,6.988733087027407e-17,5.788700249755403e-17,2.815062011964777e-17,9.477174123320438e-22,4.0049085651262455e-29,1.0779014281305297e-25,2.2267608905424327e-40,4.0049085651137527e-29,3.528067817023285e-31,1.0408543524033467e-25,2.7785761199409626e-17,2.031228928667873e-48
3.0756527109237282e-21,0.06662394546715897,0.0,0.0165427256594944,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070546,0.0,2.1818469546180046e-59,7.866043440723478e-20,1.6370767065116645e-57,0.0,7.750088912934145e-96,3.514150546927533e-41,1.0289532920465521e-67,2.1769327147147386e-50,4.13113309538171e-74,1.903437046792752e-37,3.090766309760338e-31,1.1879332948567014e-120,7.4126332850492e-27,5.689999643670843e-78,1.7971512564635604e-64,4.241033628797235e-107,7.866043440754243e-20,7.207902438442353e-88,5.149641839765002e-16,1.7601780553711448e-16,1.1192325696907258e-16,1.398353805335439e-16,1.158242977837175e-16,5.63256977719382e-17,1.8962582902354466e-21,1.6030071353411417e-28,2.156739352976808e-25,1.7827626783775584e-39,1.60300713533114e-28,1.4121466185391699e-30,2.0826130091962697e-25,5.55956629385207e-17,8.130209254732489e-48
6.152640920202178e-21,0.06662394546715897,0.0,0.01654272565949323,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070495,0.0,1.7463618774595514e-58,1.5735502445251e-19,1.3103248807994037e-56,0.0,2.4816096986346783e-94,2.1534376393299038e-40,8.237149217422077e-67,8.710566445032426e-50,3.3065808457449954e-73,7.61622752873916e-37,6.182874680445449e-31,3.8042298924658156e-119,1.4828485255868847e-26,4.554305900986577e-77,1.438297287662745e-63,1.357996055772587e-105,1.573550244531225e-19,1.1539351083304047e-86,1.0301519731789243e-15,3.5211204086296156e-16,2.238951128347076e-16,2.797314798597389e-16,2.3169888834872224e-16,1.1267585307639399e-16,3.793340284530579e-21,6.414116554827569e-28,4.3144152190753455e-25,1.4267519606629363e-38,6.4141165547475245e-28,5.6504262862125355e-30,4.1661303227821135e-25,1.1121546641673494e-16,3.253142717628558e-47
