Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),CH2X(34),CHX(35),CX(33),SX(708),HNOH(93),H2NX(201),H3NX(202),HNO2(94)
0.0,0.10172235144988963,0.0,0.02525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1552347161781065e-24,0.10172235144988963,0.0,0.02525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4654471108773995e-59,1.562272138997907e-19,1.2885145203539888e-56,0.0,1.6070152040098154e-95,6.704696250597261e-40,3.4308191556462554e-65,5.761731145135307e-45,6.995405401326936e-69,2.82553156013659e-39,1.1334022420399866e-26,-2.321105285790811e-111,6.468616767755657e-23,1.0677676512124576e-70,3.938049834571179e-61,4.452281978091727e-103,1.5622722523448605e-19,8.97471443720752e-87,2.3900279653239353e-19,8.169257017883587e-20,5.727950017810605e-20,6.489975035680033e-20,5.3755837635921604e-20,2.6141622457232013e-20,1.309303204740421e-20,5.394189415555464e-34,3.663013003306407e-21,3.687567516663281e-47,1.3763254872614215e-33,5.9673811907525234e-33,3.605830746623482e-21,2.5802802065245702e-20,4.083217111028036e-48,4.345335696997193e-59,6.562315923854506e-35,8.984729857292829e-43,7.672420213542218e-49,1.4717883671066334e-71,7.503910321753397e-24,1.8383666065438735e-20,1.1068447576715218e-20,2.2844477153308178e-36
3.2346572052986982e-24,0.10172235144988963,0.0,0.02525765986500759,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.2145836974069153e-58,4.37436198919414e-19,1.947203153429748e-55,0.0,9.776257737036218e-94,4.04963654002168e-39,4.0730685024567324e-64,3.4800856116617253e-44,1.0571456642485084e-67,1.7066210623224962e-38,3.1735262777119625e-26,2.1169238732593198e-110,1.8112126949715837e-22,1.6136104745122383e-69,4.6752527636044863e-60,2.7085403987458448e-101,4.374362306565611e-19,2.818712295208207e-85,6.692078302902138e-19,2.2873919650072143e-19,1.6038260049873548e-19,1.8171930099903357e-19,1.5051634538055753e-19,7.31965428802582e-20,3.666048973271441e-20,3.258090406995754e-33,1.0256436409257951e-20,4.3778801557827914e-46,8.313005943059135e-33,3.604298239213105e-32,1.009632609054575e-20,7.224784578268774e-20,2.4662631350309114e-47,5.158782539417557e-58,3.963638765609123e-34,1.0666671156607234e-41,9.109533156064562e-48,8.954414905372615e-70,2.1010948901150764e-23,5.147426498322825e-20,3.099165321479713e-20,1.3798064200598145e-35
7.393502183539882e-24,0.10172235144988963,0.0,0.025257659865007588,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.3823480860578706e-57,9.998541689586606e-19,2.094712297208091e-54,0.0,4.4134700575851444e-92,1.949725676659747e-38,3.9989628104319403e-63,1.6755114170053478e-43,1.1372290652828969e-66,8.216645776877141e-38,7.253774349055916e-26,1.1763619321851083e-108,4.13991473136362e-22,1.7358485152230373e-68,4.5901908871808955e-59,1.222764606930727e-99,9.99854241500711e-19,6.286897367051467e-84,1.5296178978039017e-18,5.228324491444164e-19,3.665888011401487e-19,4.1535840228347035e-19,3.440373608697375e-19,1.6730638372634482e-19,8.379540510326531e-20,1.5686302820439088e-32,2.344328322116109e-20,4.298228697423167e-45,4.0023545169564383e-32,1.735314450268704e-31,2.307731677839029e-20,1.6513793321757096e-19,1.1873995358417526e-46,5.064923288241006e-57,1.9083213920583955e-33,1.0472600718751008e-40,8.94556422433491e-47,4.043239415827276e-68,4.80250260609105e-23,1.1765546281880641e-19,7.083806449093907e-20,6.643173956182022e-35
1.571119214002225e-23,0.10172235144988963,0.0,0.025257659865007585,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1897883336547394e-56,2.1246901090371534e-18,1.9254014883427413e-53,0.0,1.6664423173556738e-90,8.514964310422929e-38,3.5370373221087916e-62,7.317398554321841e-43,1.0453094383094628e-65,3.5884250813734034e-37,1.5414270491743821e-25,4.630375899914755e-107,8.797318804147692e-22,1.5955438458537228e-67,4.059971857459292e-58,4.616926496759821e-98,2.1246902631890106e-18,1.1773551071467018e-82,3.2504380328234676e-18,1.1110189544315015e-18,7.790012024235924e-19,8.826366048522254e-19,7.310793918477295e-19,3.5552606541865505e-19,1.7806523584408912e-19,6.850620557759363e-32,4.9816976844967566e-20,3.801734606980115e-44,1.7479333688222377e-31,7.578574112233695e-31,4.9039298154079366e-20,3.5091810808733397e-19,5.185685730537756e-46,4.479867289799847e-56,8.334140411110817e-33,9.262896247564682e-40,7.915399912278042e-46,1.5272484644219106e-66,1.0205318038428998e-22,2.500178584899592e-19,1.505308870431353e-19,2.9012485984701395e-34
3.234657205298699e-23,0.10172235144988963,0.0,0.025257659865007578,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.873410022420814e-55,4.374361989194139e-18,1.6472215099497525e-52,0.0,5.781662539334574e-89,3.5548300170039522e-37,2.9730929969181853e-61,3.054869853150741e-42,8.942842320191376e-65,1.4980968331843613e-36,3.1735262777119633e-25,1.6360218060597028e-105,1.8112126949715834e-21,1.365021352098167e-66,3.41265097785968e-57,1.6018262795638931e-96,4.3743623065656086e-18,2.0334961502892272e-81,6.6920783028313586e-18,2.2873919650044523e-18,1.603826004992948e-18,1.817193009989262e-18,1.5051634538022427e-18,7.319654288038235e-19,3.6660489732462473e-19,2.859999228131038e-31,1.0256436409258133e-19,3.195587008861837e-43,7.2972777334621464e-31,3.16390550731718e-30,1.0096326090545752e-19,7.224784578268463e-19,2.1649217118456686e-45,3.765598388963196e-55,3.479339171861772e-32,7.786021603567245e-39,6.658669158084281e-45,5.302887444128572e-65,2.1010948904648898e-22,5.147426498322511e-19,3.099165321471773e-19,1.2112141786683997e-33
6.561733187891645e-23,0.10172235144988963,0.0,0.02525765986500756,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.5489716347364434e-54,8.873705749508109e-18,1.3619545985677303e-51,0.0,1.9255350197565642e-87,1.4522640816401798e-36,2.4375212741111311e-60,1.2480140129608886e-41,7.394114967948399e-64,6.12021438051776e-36,6.437724734787125e-25,5.4963497957154277e-104,3.674174324085211e-21,1.1286260508395307e-65,2.7978974553523895e-56,5.334750300424174e-95,8.873706393318798e-18,3.3786082660775645e-80,1.3575358842722177e-17,4.640137986145479e-18,3.2534756101415335e-18,3.68630582026144e-18,3.053331577705385e-18,1.4848441555763521e-18,7.4368422028124805e-19,1.1684030041699643e-30,2.0805913858781208e-19,2.6199352991013897e-42,2.9811760584294988e-30,1.2925586354249893e-29,2.048111864082138e-19,1.4655991573058156e-18,8.84441158760202e-45,3.0872650665420546e-54,1.42142325948626e-31,6.383449571127327e-38,5.467868502824045e-44,1.7688494248923725e-63,4.262221064326471e-22,1.0441922325167792e-18,6.286878223538591e-19,4.948205129315165e-33
1.3215885153077537e-22,0.10172235144988963,0.0,0.025257659865007526,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.2595980086978923e-53,1.787239327013604e-17,1.1075188607857648e-50,0.0,6.285267008700434e-86,5.870283845020191e-36,1.973967938588491e-59,5.044672180660929e-41,6.012771493581884e-63,2.4738885064140574e-35,1.296612164893745e-24,1.8017797146060344e-102,7.400097582312464e-21,9.177799607955983e-65,2.2658098997595413e-55,1.7413513500860482e-93,1.7872394566825163e-17,5.507922209433473e-79,2.7341919922003948e-17,9.345630028408027e-18,6.552774820478202e-18,7.424531440798214e-18,6.149667825488134e-18,2.990601609130176e-18,1.4978428661767022e-18,4.7228717544353346e-30,4.1904868757828637e-19,2.1216915316244165e-41,1.2050390277222182e-29,5.224728666663038e-29,4.125070374137263e-19,2.9518405562635314e-18,3.575052572189997e-44,2.500147292662957e-53,5.745617491678462e-31,5.169480776460996e-37,4.4420955303712036e-43,5.791880047252275e-62,8.58447341452004e-22,2.1030913978856135e-18,1.2662304027616148e-18,2.0001436282624657e-32
2.6524189083449322e-22,0.10172235144988963,0.0,0.025257659865007456,0.03107511026318443,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070594,0.0,1.0159114260864346e-52,3.586976831139188e-17,8.93254083849812e-50,0.0,2.0312896894260216e-84,2.3604155005865186e-35,1.5888211505308052e-58,2.0284404965694658e-40,4.849518037180107e-62,9.947396878719908e-35,2.6022915477238093e-24,5.835364700800543e-101,1.485194409876696e-20,7.402227872440421e-64,1.823720928372985e-54,5.6277466624750305e-92,3.58697709138378e-17,8.895258980407041e-78,5.4875042078568055e-17,1.87566141128551e-17,1.3151373241309522e-17,1.4900982681841438e-17,1.234234032095949e-17,6.002116516272891e-18,3.0061601578964418e-18,1.8990459605238983e-29,8.410277855592863e-19,1.7077219276468193e-40,4.845408930935128e-29,2.100840417617293e-28,8.278987394247514e-19,5.924323354178076e-18,1.4375129144240668e-43,2.0123360474646625e-52,2.3102854410390717e-30,4.1608443408043735e-36,3.5980407542198554e-42,1.883509526980492e-60,1.72289781247888e-21,4.220889728622392e-18,2.541315563554693e-18,8.042489559730748e-32
5.314079694419289e-22,0.10172235144988963,0.0,0.02525765986500732,0.031075110263184425,0.3194096818763551,0.3504847921395395,0.20701222018021492,0.09201819554070588,0.0,8.160353050660044e-52,7.18645183939034e-17,7.175102573891297e-49,0.0,6.532323224323792e-83,9.466323362453109e-35,1.274928948508803e-57,8.13495363342967e-40,3.8953966155674246e-61,3.989351056564782e-34,5.213650313383939e-24,1.8785405988342146e-99,2.9755637131675903e-20,5.945871977564598e-63,1.4634211911516585e-53,1.8097989870801398e-90,7.186452360786277e-17,1.429882872003124e-76,1.0994128638369852e-16,3.7578582281437176e-17,2.6348570083604108e-17,2.985388516380658e-17,2.472768531152563e-17,1.202514633069859e-17,6.022794741051247e-18,7.616023670846843e-29,1.6849859815214912e-18,1.3703392983724598e-39,1.943225697520985e-28,8.425309698035007e-28,1.6586821434468012e-18,1.1869288950003616e-17,5.765069720573805e-43,1.6147729430753503e-51,9.2652612177151e-30,3.3388098891006857e-35,2.923560800332074e-41,6.132167771886186e-59,3.4517987584852795e-21,8.456486390092396e-18,5.091485885051117e-18,3.2253980225892776e-31
