Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27)
0.0,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2133122229709767e-26,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.924567066491096e-63,1.5881715131108997e-20,1.867062088859024e-59,0.0,-1.2475710097458187e-129,7.583865246539278e-42,1.9587911249156914e-92,1.7437080582225814e-48,9.266499568756713e-71,1.2210616048225747e-66,2.068451693373435e-26,-2.741727224355047e-114,1.0181413399807991e-22,8.850844606372593e-72,4.572525769080203e-93,-1.5551769416242069e-130,1.5881735815628323e-20,4.401421599901083e-91,2.7329842013130487e-19,9.341501727283425e-20,2.995907139387884e-20,7.42125175803755e-20,6.146951295916678e-20,2.9892805527307166e-20,6.626586657163928e-23,1.383218578154854e-35,1.018141339956872e-22,1.0266657023133282e-50,1.3832185781548542e-35,3.327317583627847e-37
3.3972742243187345e-26,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1975605878421072e-61,4.44688023671052e-20,2.8215042439491375e-58,0.0,2.4084547932628626e-128,4.5806546089105297e-41,5.524104331810999e-91,1.0531996671664389e-47,1.4003534148305325e-69,1.8452682809165628e-65,5.791664741445619e-26,2.5910526409494733e-113,2.8507957519462374e-22,1.3375396369150444e-70,1.2895254164150559e-91,2.877438834972123e-129,4.446886028375931e-20,1.2412713139177202e-89,7.652355763676469e-19,2.6156204836393527e-19,8.38853999028613e-20,2.0779504922505123e-19,1.7211463628566657e-19,8.369985547646049e-20,1.8554442640063383e-22,8.354640212055348e-35,2.8507957518792413e-22,1.2188575217863872e-49,8.354640212055351e-35,2.009699820511616e-36
7.76519822701425e-26,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2882810334673223e-60,1.016429768390976e-19,3.035245514093641e-57,0.0,2.5430738911083774e-126,2.2053880136948084e-40,1.2016133526926304e-89,5.070703033311265e-47,1.5064363018936618e-68,1.9850554110760735e-64,1.3238090837589984e-25,1.4349522170236347e-111,6.516104575877115e-22,1.4388641059688001e-69,2.804999446020938e-90,3.044702585581214e-127,1.0164310922002128e-19,2.7000362353415984e-88,1.7491098888403044e-18,5.978561105461344e-19,1.9173805692082835e-19,4.749601125144018e-19,3.934048829386645e-19,1.9131395537476875e-19,4.2410154605879875e-22,4.022399625274361e-34,6.51610457572398e-22,1.196681542616428e-48,4.0223996252743634e-34,9.675839533195731e-36
1.6501046232405281e-25,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1841522211074173e-59,2.159913257830824e-19,2.789913554293527e-56,0.0,2.0100879659827904e-124,9.631508863117027e-40,2.2275886449067654e-88,2.2145092339426777e-46,1.384674497560197e-67,1.8246079176154085e-63,2.813094302987872e-25,5.647891519969127e-110,1.3846722223738869e-21,1.3225640078410624e-68,5.199996239460571e-89,2.406631629164607e-125,2.1599160709254523e-19,5.005412136710365e-87,3.7168585137855116e-18,1.2704442349105209e-18,4.074433709567712e-19,1.0092902390930986e-18,8.359853762446536e-19,4.065421551713917e-19,9.012157853758312e-22,1.756687594256711e-33,1.3846722223413456e-21,1.0584512724569753e-47,1.756687594256713e-33,4.2256933312135177e-35
3.3972742243187345e-25,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0130671558524988e-58,4.446880236710519e-19,2.3868297834799406e-55,0.0,1.4246791644238435e-122,4.0209653537260075e-39,3.828655729208504e-87,9.245140124696123e-46,1.1846181850703919e-66,1.560990488108985e-62,5.791664741445618e-25,1.9955311766327228e-108,2.8507957519462375e-21,1.1314813534651607e-67,8.937464931818273e-88,1.705735699061405e-123,4.446886028375931e-19,8.60302457467741e-86,7.6523557636755e-18,2.615620483639248e-18,8.3885399902869165e-19,2.0779504922504765e-18,1.721146362856605e-18,8.369985547646639e-19,1.8554442640127067e-21,7.333824901377456e-33,2.850795751879242e-21,8.896920709735414e-47,7.333824901377477e-33,1.7641437828450211e-34
6.891613426475147e-25,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.376235152574456e-58,9.02081419446991e-19,1.9734770217444037e-54,0.0,9.587437661795565e-121,1.6426955478705878e-38,6.345716090864035e-86,3.7769414024324393e-45,9.794652236857739e-66,1.2906571221639542e-61,1.174880561836111e-24,6.704150798899581e-107,5.783042811090937e-21,9.355306637489969e-67,1.4813192685304368e-86,1.147881933357537e-121,9.020825943276888e-19,1.4258882316558445e-84,1.552335026345376e-17,5.305972981096515e-18,1.7016752551726714e-18,4.215270998565169e-18,3.491468336080401e-18,1.6979113539513126e-18,3.7639012212977e-21,2.996106769026897e-32,5.783042810955035e-21,7.29423312714995e-46,2.9961067690269144e-32,7.207102978888141e-34
1.3880291830787972e-24,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,6.811415317081181e-57,1.8168682109988694e-18,1.6047987394056713e-53,0.0,6.290668530879867e-119,6.640038048952522e-38,1.0332353634545282e-84,1.5267001029606642e-44,7.964848533544907e-65,1.0495409370526035e-60,2.3663087372192096e-24,2.197713636586829e-105,1.1647536929380332e-20,7.607579988606101e-66,2.41194442298195e-85,7.531673224118551e-120,1.81687057730788e-18,2.321689347851481e-83,3.126533926300343e-17,1.0686677976010306e-17,3.4273177674611874e-18,8.489912011194298e-18,7.032112282527564e-18,3.419736952325027e-18,7.580815135912659e-21,1.2110742596666195e-31,1.1647536929106626e-20,5.907059102131484e-45,1.2110742596666342e-31,2.913226255748757e-33
2.7857648639413623e-24,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.493653213691781e-56,3.6464417941026264e-18,1.2943283211575375e-52,0.0,4.076259593120295e-117,2.669930095566387e-37,1.6676460423427505e-83,6.138793967294923e-44,6.423938888757559e-64,8.46492787964477e-60,4.749165087985406e-24,7.117662871293418e-104,2.3376525165959107e-20,6.135788864322537e-65,3.8928880265975343e-84,4.88041216195281e-118,3.6464465432682616e-18,3.747215967779127e-82,6.274931726207534e-17,2.1448087965834914e-17,6.878602792040443e-18,1.7039194036451535e-17,1.4113400175420187e-17,6.863388149074124e-18,1.5214642965322458e-20,4.8696763331396695e-31,2.3376525165409835e-20,4.754515067923953e-44,4.869676333139787e-31,1.171395464617797e-32
5.581236225666492e-24,0.12058130662282415,0.0,2.9940338434447233,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,4.412801018915216e-55,7.30558896031014e-18,1.0396748961473924e-51,0.0,2.6249970739595664e-115,1.0707613838890553e-36,2.679862420994325e-82,2.4619309451561113e-43,5.160057064233328e-63,6.799490415456697e-59,9.5148777895178e-24,2.291342419555884e-102,4.6834501639116585e-20,4.92859929433656e-64,6.255766563161745e-83,3.142848812620549e-116,7.305598475189023e-18,6.021675463495341e-81,1.257172732601095e-16,4.2970907945472226e-17,1.3781172841207849e-17,3.413775808696192e-17,2.827597596119858e-17,1.3750690542578997e-17,3.048229862486159e-20,1.9529580111872866e-30,4.683450163801636e-20,3.8151989131106836e-43,1.9529580111873805e-30,4.6978197326706103e-32
1.1172178949116753e-23,0.12058130662282415,0.0,2.994033843444723,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.2070122201802149,0.09201819554070573,0.0,3.5374062118618415e-54,1.4623883292725166e-17,8.334281152003261e-51,0.0,1.685197976786237e-113,4.2886305974769746e-36,4.297104160947651e-81,9.860565144248415e-43,4.1364244239292e-62,5.450633176078334e-58,1.9046303192582588e-23,7.354275364940959e-101,9.375045458543126e-20,3.950882372631862e-63,1.0030992791696443e-81,2.017648893466519e-114,1.4623902339030526e-17,9.655632500060055e-80,2.516531852557392e-16,8.601654790469922e-17,2.7586312939578244e-17,6.833488618796632e-17,5.6601127532728e-17,2.7525295329615438e-17,6.101760994681799e-20,7.82201861965383e-30,9.375045458322982e-20,3.056801822363039e-42,7.822018619654584e-30,1.8815782629310051e-31
2.2354064396017272e-23,0.12058130662282415,0.0,2.9940338434447225,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021484,0.09201819554070548,0.0,2.8327939321658055e-53,2.9260471957555213e-17,6.674184321040198e-50,0.0,1.0801936670146429e-111,1.7165698885387775e-35,6.88283460423258e-80,3.946795795138926e-42,3.3124943269666895e-61,4.3649271988838124e-57,3.810915399871215e-23,2.3568908773304233e-99,1.8758236047805946e-19,3.1639102047038245e-62,1.6067021469663925e-80,1.2932910978863498e-112,2.9260510066713487e-17,1.5465792542275143e-78,5.03525009245244e-16,1.7210782782296276e-16,5.5196593136461384e-17,1.367291423899097e-16,1.1325143067567734e-16,5.507450490379514e-17,1.2208823260224333e-19,3.130845924750708e-29,1.8758236047365835e-19,2.4473001242671377e-41,3.1308459247513113e-29,7.531216587005163e-31
4.4717835289818314e-23,0.12058130662282415,0.0,2.9940338434447216,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021473,0.09201819554070498,0.0,2.2673832916476178e-52,5.85336492872153e-17,5.342052537980753e-49,0.0,6.918578631247756e-110,6.868515491249015e-35,1.1018513133791916e-78,1.579232412014957e-41,2.651338032519544e-60,3.4937108864959525e-56,7.623485561097126e-23,7.547692044982301e-98,3.7524617226331134e-19,2.532410512802155e-61,2.5721188998227053e-79,8.283455365804924e-111,5.853372552207921e-17,2.4758700156515614e-77,1.0072686572172347e-15,3.442903876587279e-16,1.10417153530797e-16,2.7351765479353477e-16,2.26552036961138e-16,1.1017292405258175e-16,2.4422947795914413e-19,1.252746181472185e-28,3.7524617225452183e-19,1.9585838838896655e-40,1.2527461814726678e-28,3.013467621840049e-30
8.944537707742039e-23,0.12058130662282415,0.0,2.9940338434447193,0.031075110263184432,0.31940968187635427,0.3504847921395389,0.2070122201802145,0.09201819554070396,0.0,1.814366003857724e-51,1.170800039465354e-16,4.2747243271298693e-48,0.0,4.429599720109375e-108,2.747853448385455e-34,1.76344045995724e-77,6.317957982450059e-41,2.121607585563042e-59,2.79567653299572e-55,1.5248625883548943e-22,2.4161644382047565e-96,7.505737958337972e-19,2.0264414751426236e-60,4.1165070229247703e-78,5.303457904667606e-109,1.170801564328098e-16,3.962466898377251e-76,2.014755953133143e-15,6.886555073272105e-16,2.2085827432174565e-16,5.47094679599738e-16,4.531532495303077e-16,2.2036976235186392e-16,4.885119688571461e-19,5.011800465252551e-28,7.505737958162749e-19,1.5671646844943862e-39,5.011800465256419e-28,1.2055832744827466e-29
1.7890046065262456e-22,0.12058130662282415,0.0,2.9940338434447153,0.031075110263184432,0.3194096818763534,0.35048479213953826,0.20701222018021406,0.09201819554070195,0.0,1.4516765737372326e-50,2.341727132651754e-16,3.420212433260153e-47,0.0,2.835491071313905e-106,1.0992308367118783e-33,2.8218874801914994e-76,2.5273888745052035e-40,1.697500958503736e-58,2.236824390485544e-54,3.049890652845254e-22,7.733171285058915e-95,1.5012290429746974e-18,1.6213584311320388e-59,6.5873050891840956e-77,3.394868077109216e-107,2.3417301825426774e-16,6.340807058565178e-75,4.029730544852663e-15,1.3773857466519856e-15,4.4174051591275236e-16,1.0942487292079572e-15,9.06355674661639e-16,4.4076343895726394e-16,9.770769513899516e-19,2.004883345616537e-27,1.5012290429398847e-18,1.253850791279312e-38,2.0048833456196325e-27,4.8227255804912094e-29
3.5781062780303287e-22,0.12058130662282415,0.0,2.994033843444707,0.031075110263184432,0.31940968187635155,0.3504847921395369,0.20701222018021315,0.09201819554069793,0.0,1.1614147717372908e-49,4.683581319024544e-16,2.7363431458021477e-46,0.0,1.8148895796844166e-104,4.3971022728139893e-33,4.515326194817448e-75,1.0109966875718206e-39,1.358086728071228e-57,1.7895727849379283e-53,6.099946781825959e-22,2.474846049166469e-93,3.0025395372562088e-18,1.297168850324371e-58,1.0540404231383661e-75,2.172925198758857e-105,4.683587418971703e-16,1.014597935963182e-73,8.059679727842518e-15,2.7548462252527748e-15,8.835049991312039e-16,2.1885568284076452e-15,1.812760524896272e-15,8.815507921954065e-16,1.954206919402769e-18,8.019859713305967e-27,3.0025395371875182e-18,1.0031282530628522e-37,8.01985971333073e-27,1.929168733997316e-28
7.156309621038495e-22,0.12058130662282415,0.0,2.9940338434446905,0.031075110263184432,0.3194096818763479,0.35048479213953426,0.20701222018021134,0.09201819554068986,0.0,9.291612233862506e-49,9.367289691770092e-16,2.1891437984332948e-45,0.0,1.1615856256002374e-102,1.758876698860445e-32,7.224766931389979e-74,4.0440690272913817e-39,1.0865037680136592e-56,1.4317035383528564e-52,1.2200059039787317e-21,7.919877357809011e-92,6.005160525818082e-18,1.0377679234293028e-57,1.6865222720030373e-74,1.390739212394678e-103,9.367301891829224e-16,1.6234117447752362e-72,1.611957809202548e-14,5.50976718225931e-15,1.7670339657138589e-15,4.3771730267400255e-15,3.625570225253416e-15,1.7631254987810623e-15,3.90846686721723e-18,3.208009152804053e-26,6.005160525684444e-18,8.02521651010801e-37,3.208009152823863e-26,7.716831962336606e-28
1.4312716307054829e-21,0.12058130662282415,0.0,2.994033843444657,0.031075110263184432,0.3194096818763406,0.35048479213952893,0.2070122201802077,0.09201819554067374,0.0,7.433407412870413e-48,1.8734706437261044e-15,1.7513427518855028e-44,0.0,7.434330677735757e-101,7.0355784067846e-32,1.155982320466103e-72,1.6176440664637706e-38,8.692167688434625e-56,1.145380955119721e-51,2.4400283555709816e-21,2.5344199561558907e-90,1.201040250293722e-17,8.302274762118144e-57,2.6984826907258695e-73,8.900945637980544e-102,1.873473083754215e-15,2.5975028302116582e-71,3.223937481320444e-14,1.1019609095492207e-14,3.5340918994621778e-15,8.75440542313679e-15,7.251189625519222e-15,3.5262749123898564e-15,7.816986810001459e-18,1.2832167148555825e-25,1.2010402502684927e-17,6.420249403923284e-36,1.2832167148714423e-25,3.086764206444191e-27
2.8625529679087497e-21,0.12058130662282415,0.0,2.994033843444591,0.031075110263184432,0.31940968187632607,0.35048479213951833,0.20701222018020046,0.09201819554064149,0.0,5.946772980967281e-47,3.746953992824237e-15,1.4010852868475024e-43,0.0,4.7580333236366245e-99,2.8142457100349705e-31,1.8495874325050635e-71,6.470609177095397e-38,6.953789168897371e-55,9.163120139258552e-51,4.880073258755396e-21,8.110238583614375e-89,2.4020886457157087e-17,6.641872359968701e-56,4.317613081811916e-72,5.69667390645088e-100,3.746958872895954e-15,4.1560397595092203e-70,6.447896822681449e-14,2.2039292918837302e-14,7.068207769290849e-15,1.750887021485834e-14,1.4502428424256898e-14,7.0525737413573735e-15,1.5634026884191135e-17,5.132892967977911e-25,2.4020886456712425e-17,5.136230002600764e-35,5.132892968104703e-25,1.2347119796760022e-26
5.725115642315283e-21,0.12058130662282415,0.0,2.994033843444458,0.031075110263184432,0.3194096818762969,0.35048479213949707,0.20701222018018595,0.092018195540577,0.0,4.757437205113711e-46,7.493920691020276e-15,1.120872663628922e-42,0.0,3.04516520681283e-97,1.1257011734756739e-30,2.9593525653586375e-70,2.5882502531003964e-37,5.563053342461354e-54,7.330525110834447e-50,9.760163065123884e-21,2.5952915026840153e-87,4.804185436552315e-17,5.313518908164449e-55,6.908223574455184e-71,3.6458932836977735e-98,7.493930451176044e-15,6.649691800276476e-69,1.2895815493904304e-13,4.4078660553044697e-14,1.4136439518276324e-14,3.501779979401356e-14,2.9004906014556506e-14,1.4105171406292121e-14,3.1268107787055374e-17,2.0531624096911916e-24,4.804185436487354e-17,4.1089961953847216e-34,2.053162409792537e-24,4.938860615076348e-26
1.1450240991128349e-20,0.12058130662282415,0.0,2.994033843444193,0.031075110263184432,0.3194096818762387,0.35048479213945455,0.20701222018015694,0.092018195540448,0.0,3.805957292240823e-45,1.4987854087411448e-14,8.966999045642741e-42,0.0,1.9489186715348847e-95,4.5028106327611524e-30,4.734974555235851e-69,1.035301417693692e-36,4.4504514769226745e-53,5.864431688455393e-49,1.952034267785949e-20,8.304957058152076e-86,9.60837901819606e-17,4.2508235346227934e-54,1.1053223904762543e-69,2.333378736344489e-96,1.498787360772267e-14,1.063952942854138e-67,2.5791652790353415e-13,8.815739577152831e-14,2.8272903053559828e-14,7.003565893517244e-14,5.800986116645276e-14,2.821036676416048e-14,6.25362726107234e-17,8.21266008999441e-24,9.608379018162022e-17,3.2872018360032335e-33,8.212660090806367e-24,1.975546867025993e-25
2.2900491688754482e-20,0.12058130662282415,0.0,2.9940338434436624,0.031075110263184432,0.31940968187612223,0.3504847921393695,0.20701222018009893,0.09201819554019003,0.0,3.044768845054732e-44,2.997572088019015e-14,7.173606331123655e-41,0.0,1.247318871319505e-93,1.8011255688197634e-29,7.57596864718559e-68,4.1412083036802715e-36,3.560364702722003e-52,4.6915499906753414e-48,3.904070190332523e-20,2.6575901385442455e-84,1.9216766181365682e-16,3.4006621909369827e-53,1.7685313822507447e-68,1.4933646424074582e-94,2.9975759920761726e-14,1.702326512416378e-66,5.158332719926522e-13,1.7631486600877087e-13,5.654583027337699e-14,1.4007137714888385e-13,1.160197713554334e-13,5.642075759189263e-14,1.2507261432981755e-16,3.285066131215348e-23,1.9216766181681153e-16,2.629763424466628e-32,3.285066131869139e-23,7.902193363843204e-25
