Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210)
3.448476544962477e-21,0.08478463093452131,0.0,2.105202386104016,0.031075110263184432,0.3194096818763258,0.3504847921395219,0.20701222018019327,0.09201819554064085,0.0,5.431611038989319e-53,2.0663319666474385e-17,1.6421638932332317e-50,0.0,1.6551407356350686e-87,1.7498944776746183e-36,8.420901095476698e-58,3.4694498333309656e-44,2.910063451073524e-64,2.507455377216018e-32,3.648954006316006e-26,1.1510894543841753e-104,3.123925726825925e-22,6.055172184286305e-67,1.5877113578923994e-58,2.110051895577894e-96,2.0663319702952182e-17,1.0588068233532152e-76,6.513439726611429e-14,2.2263322446764876e-14,1.415796912925303e-14,1.7686847968744007e-14,1.464984568280746e-14,7.12426318340976e-15,1.7800168630723397e-18,1.1102339906627002e-25,3.1239257304795517e-22,3.741055787463225e-36,1.1102339906549512e-25,1.5456210174609984e-27,4.8655402598736997e-48,7.03192592875507e-15
6.896964783203756e-21,0.08478463093452131,0.0,2.1052023861038682,0.031075110263184432,0.3194096818762964,0.3504847921395042,0.2070122201801716,0.0920181955405757,0.0,4.345306021147505e-52,4.1326709399237436e-17,1.3137363117152852e-49,0.0,5.301154667090885e-86,7.045132914737464e-36,6.73677250232947e-57,1.387783462648818e-43,2.3280599706239693e-63,1.0029847016090764e-31,7.297920385700009e-26,3.6835077648984677e-103,6.247862046479441e-22,4.844156910830357e-66,1.2713638961476999e-57,6.758429726346335e-95,4.132670947216967e-17,1.6940986107807023e-75,1.3026901526275893e-13,4.452672038374405e-14,2.831598626719808e-14,3.537375591036219e-14,2.929974103689294e-14,1.42485505245781e-14,3.560039980898302e-18,4.4409472566214445e-25,6.247862061095135e-22,2.9928535097461494e-35,4.440947256559371e-25,6.182500118716472e-27,3.8938178231963932e-47,1.4063875701738569e-14
1.3793941259686316e-20,0.08478463093452131,0.0,2.105202386103572,0.031075110263184432,0.31940968187623764,0.35048479213946876,0.20701222018012824,0.09201819554044544,0.0,3.476251692913176e-51,8.265348886475935e-17,1.050991128240039e-48,0.0,1.6993680162818714e-84,2.8544865580834756e-35,5.38947661813028e-56,5.551140909232729e-43,1.8624516604118975e-62,4.011943907886477e-31,1.4595853144466486e-25,1.1787259265177355e-101,1.2495734685945685e-21,3.8753331940386725e-65,1.0189982945937114e-56,2.166690654762619e-93,8.265348901053003e-17,2.7105639319965324e-74,2.605382508640394e-13,8.905351625335e-14,5.663202054636622e-14,7.074757179168941e-14,5.859953173245582e-14,2.849712520819203e-14,7.120086873482911e-18,1.7763811614778317e-24,1.2495734744410835e-21,2.3942863597397064e-34,1.776381161428123e-24,2.4730034528395437e-26,3.1172530375209373e-46,2.812777524769867e-14
2.758789421265143e-20,0.08478463093452131,0.0,2.1052023861029796,0.031075110263184432,0.31940968187612007,0.3504847921393979,0.2070122201800415,0.0920181955401849,0.0,2.7810041047306503e-50,1.6530704779578648e-16,8.407937341597335e-48,0.0,5.457148617966553e-83,1.1709392147838753e-34,4.3116654864121615e-55,2.2204577754187582e-42,1.4899628018954295e-61,1.6047785834445176e-30,2.9191718661993323e-25,3.771928471664266e-100,2.4991479965515014e-21,3.1002696213824025e-64,8.182483127289238e-56,6.958941245461985e-92,1.6530704808695228e-16,4.336907214996158e-73,5.210767204985654e-13,1.7810710797515222e-13,1.1326408911781464e-13,1.4149520354670733e-13,1.1719911307314942e-13,5.699427458052883e-14,1.424018328638288e-17,7.105529163832376e-24,2.4991480199380363e-21,1.9154305086117478e-33,7.105529163433317e-24,9.892022186667279e-26,2.4973131941385845e-45,5.625557433959124e-14
5.517580011858167e-20,0.08478463093452131,0.0,2.105202386101795,0.031075110263184432,0.319409681875885,0.35048479213925626,0.20701222017986806,0.0920181955396638,0.0,2.2248043839441605e-49,3.3061416565777397e-16,6.726353199866825e-47,0.0,1.7585538430749022e-81,4.916909347311818e-34,3.4494632585311734e-54,8.881833925106278e-42,1.1919708309420582e-60,6.41911637435309e-30,5.838344969702253e-25,1.2070179920208766e-98,4.998297052720106e-21,2.480216923565154e-63,6.594774105779465e-55,2.2431971409699157e-90,3.3061416623860293e-16,6.939055483028649e-72,1.0421536534954773e-12,3.5621429134911813e-13,2.2652822631316013e-13,2.829904670261971e-13,2.3439827555280793e-13,1.1398857334563838e-13,2.8480386623105614e-17,2.84221256932503e-23,4.998297146267194e-21,1.5323449752861644e-32,2.8422125690073794e-23,3.956811801408828e-25,2.0034648650188221e-44,1.1251117252326596e-13
1.1035161193044216e-19,0.08478463093452131,0.0,2.1052023860994264,0.031075110263184432,0.3194096818754148,0.35048479213897293,0.20701222017952114,0.09201819553862162,0.0,1.7798439472178027e-48,6.612284013814816e-16,5.381083891035858e-46,0.0,5.7058715113956675e-80,2.1532848809012762e-33,2.759778462805998e-53,3.5527341347121406e-41,9.535769005224966e-60,2.5676469578519753e-29,1.1676691176698313e-24,3.8624589841997896e-97,9.996595166076268e-21,1.984174029432824e-62,5.353876559371901e-54,7.282774492649277e-89,6.612284025371287e-16,1.1102491924047945e-70,2.0843074944007415e-12,7.12428657818496e-13,4.530565009136458e-13,5.659809938629924e-13,4.687965997052101e-13,2.27977170957601e-13,5.696083534024159e-17,1.1368852086548305e-22,9.996595540266521e-21,1.2258762076961908e-31,1.1368852084008692e-22,1.5827263072557247e-24,1.6117536224051522e-43,2.2502236889017365e-13
2.207032355541631e-19,0.08478463093452131,0.0,2.105202386094689,0.031075110263184432,0.3194096818744744,0.3504847921384063,0.20701222017882734,0.09201819553653726,0.0,1.423875333796874e-47,1.3224568728278279e-15,4.304867646096105e-45,0.0,1.876117578315886e-78,1.0105306966788788e-32,2.208154725789835e-52,1.421093766805431e-40,7.62861614723163e-59,1.0270588647594878e-28,2.3353383590651303e-24,1.2359871004954137e-95,1.9993191396864402e-20,1.5873394197735934e-61,4.407991730463347e-53,2.3973947458410893e-87,1.3224568751150784e-15,1.7763989599352181e-69,4.1686150758570395e-12,1.4248573896430349e-12,9.061130509537955e-13,1.131962047047846e-12,9.375932447823556e-13,4.559543665085006e-13,1.1392190094926888e-16,4.547541197799829e-22,1.999319289362921e-20,9.80701057317621e-31,4.547541195768298e-22,6.3309164131572324e-24,1.303773200532146e-42,4.5004476162222197e-13
4.41406482801605e-19,0.08478463093452131,0.0,2.105202386085214,0.031075110263184432,0.31940968187259355,0.350484792137273,0.2070122201774397,0.09201819553236852,0.0,1.1391003374427505e-46,2.6449138157162442e-15,3.4438943314804976e-44,0.0,6.3251026132632386e-77,5.235856409937603e-32,1.767054663894001e-51,5.6843752929560085e-40,6.1028932949678036e-58,4.108235622247698e-28,4.670676841840073e-24,3.9551590824303027e-94,3.9986383874743905e-20,1.2698716143018586e-60,3.726217694451283e-52,8.09986576326689e-86,2.6449138201945693e-15,2.84223853753867e-68,8.337229837352742e-12,2.8497148488352464e-12,1.8122261543908088e-12,2.2639241514626055e-12,1.87518652202601e-12,9.119087589181965e-13,2.2784470486629154e-16,1.8190165528206924e-21,3.9986389861810733e-20,7.845608825963925e-30,1.819016551195483e-21,2.5323752106892197e-23,1.0660108583234912e-41,9.000895470792507e-13
6.621097300490469e-19,0.08478463093452131,0.0,2.1052023860757387,0.031075110263184432,0.3194096818707127,0.35048479213613976,0.20701222017605206,0.09201819552819979,0.0,3.3817041861833456e-46,3.967370758600385e-15,1.0224061479113245e-43,0.0,3.0251502035844926e-76,1.3140620249025138e-31,5.053683829847919e-51,1.2079297638468806e-39,1.811796478764045e-57,8.730000799251346e-28,7.006015324599361e-24,1.8922192096771837e-93,5.997957636892665e-20,3.7699314211697126e-60,1.1035568628579486e-51,3.877363371355278e-85,3.9673707651976525e-15,1.0836034551834155e-67,1.2505844197431586e-11,4.274572303570591e-12,2.718339261184536e-12,3.3958862539224168e-12,2.812779786359029e-12,1.3678631526357896e-12,3.417681814822304e-16,3.8654102220544476e-21,5.99795890914484e-20,2.2433538009478928e-29,3.865410217327306e-21,5.381309935778321e-23,3.195742822375629e-41,1.3501343325292115e-12
8.828129772964888e-19,0.08478463093452131,0.0,2.1052023860662636,0.031075110263184432,0.3194096818688319,0.3504847921350065,0.20701222017466442,0.09201819552403105,0.0,7.36855550802411e-46,5.289827701480249e-15,2.227769207522852e-43,0.0,1.0011162637359734e-75,2.5769339059139257e-31,1.0662035569135697e-50,2.0605860803223903e-39,3.94780920741947e-57,1.4892354395746235e-27,9.341353807342993e-24,6.26259291680268e-93,7.997276887941265e-20,8.214482228150935e-60,2.4162889400785687e-51,1.2844009389554907e-84,5.289827710124328e-15,2.9155150076951386e-67,1.667445815609362e-11,5.699429753849069e-12,3.624452371334977e-12,4.5278483544272805e-12,3.750373037781412e-12,1.8238175476612797e-12,4.556923307970312e-16,6.593935128359988e-21,7.99727905825422e-20,4.731882913032154e-29,6.5939351183978725e-21,9.179901424104309e-23,7.025418488539903e-41,1.8001791179721043e-12
