Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216)
0.0,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5585213002773086e-26,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3660888768857987e-71,8.105244837528983e-24,2.089614549253967e-69,0.0,-4.432117926253143e-150,3.014434837873009e-49,9.00470274963789e-110,1.8134337664918796e-57,2.07581360433134e-84,4.700791094481685e-77,8.834667743414603e-34,-3.843004529385588e-131,1.1576312122668601e-29,1.1783666996437692e-87,1.5783651408685817e-110,-5.236265091168046e-147,8.10524483841245e-24,1.3684027519357962e-109,2.7761474565976847e-19,9.489036288077053e-20,3.0367956342216856e-20,7.538458942773503e-20,6.24403287724467e-20,3.036491612184657e-20,3.040220370283823e-24,1.5557656495263245e-36,1.157631212266926e-29,2.584889747494591e-52,1.555765649526324e-36,1.749992875645013e-38,1.8142187951843906e-65
4.363859640776464e-26,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0644335107354316e-70,2.2694685545081155e-23,3.1578255068214475e-68,0.0,8.556273189699908e-149,1.8207208433251914e-48,2.5394702543912087e-108,1.095313994961095e-56,3.136969516499447e-83,7.10383550195597e-76,2.473706968156088e-33,-3.842961145040682e-131,3.241367394347209e-29,1.780747755128057e-86,4.451244680586001e-109,-5.236154775902254e-147,2.2694685547554863e-23,3.859114702875583e-108,7.773212878473469e-19,2.6569301606615744e-19,8.503027775820722e-20,2.1107685039765804e-19,1.7483292056285063e-19,8.50217651411704e-20,8.512617036799688e-24,9.396824523138999e-36,3.241367394347688e-29,3.068781108225577e-51,9.396824523138996e-36,1.056995696890104e-37,2.729902658297707e-64
9.974536321774775e-26,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.2208233653592334e-69,5.18735669601855e-23,3.3970445804184285e-67,0.0,9.034522587926235e-147,8.766008898354385e-48,5.523902496245961e-107,5.273465392958384e-56,3.374608657857205e-82,7.641982066448645e-75,5.654187355785345e-33,-3.840827618251617e-131,7.408839758507909e-29,1.915647174861342e-85,9.682431572606556e-108,-5.225185185092167e-147,5.187356696583969e-23,8.394417414954464e-107,1.776734372222484e-18,6.072983224369313e-19,1.94354920590188e-19,4.824613723375041e-19,3.99618104143658e-19,1.943354631798181e-19,1.9457410369851356e-23,4.5241665088225504e-35,7.408839758510395e-29,3.0129474896796937e-50,4.5241665088225493e-35,5.088979282383443e-37,2.932661695202913e-63
2.1195889683771397e-25,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0413192869376872e-68,1.1023132979039418e-22,3.122469228647425e-66,0.0,7.14103991211767e-145,3.8283654200790015e-47,1.0240384282636248e-105,2.3030608834446864e-55,3.1018467504541534e-81,7.024298116635899e-74,1.2015148131043858e-32,-3.757481773779823e-131,1.5743784486829312e-28,1.7608097906477808e-84,1.7949603615810426e-106,-4.36091484830033e-147,1.1023132980240933e-22,1.5561835155983304e-105,3.7755605409726776e-18,1.2905089351784786e-18,4.1300420625414985e-19,1.025230416217196e-18,8.491884713052709e-19,4.1296285925711344e-19,4.134699703603443e-23,1.9758223748984314e-34,1.5743784486840539e-28,2.6649179340770213e-49,1.9758223748984306e-34,2.22249095207717e-36,2.6941560545118677e-62
4.363859640776463e-25,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.74639162713125e-67,2.2694685545081155e-22,2.6713381643815873e-65,0.0,5.061320100874367e-143,1.598283083636789e-46,1.7600604190762405e-104,9.614825829939944e-55,2.6536952001103492e-80,6.00943492566983e-73,2.4737069681560886e-32,-8.214295811893582e-132,3.241367394347215e-28,1.506409847316001e-83,3.0850807457016834e-105,5.680508049549114e-146,2.269468554755486e-22,2.6746818567083076e-104,7.773212878472744e-18,2.6569301606615714e-18,8.503027775820748e-19,2.1107685039765792e-18,1.748329205628489e-18,8.502176514117043e-19,8.512617036871956e-23,8.248669473788567e-34,3.241367394351974e-28,2.2400240969428496e-48,8.248669473788558e-34,9.278462226741894e-36,2.304348402025211e-61
8.852400985575112e-25,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.4439503692148954e-66,4.603779067716463e-22,2.2087140529257406e-64,0.0,3.4060416585656064e-141,6.529637652295967e-46,2.917171080623577e-103,3.92797007557207e-54,2.1941265088848846e-79,4.968717007620933e-72,5.018091278259493e-32,9.766915091404396e-130,6.575345285675792e-28,1.2455287928710962e-82,5.113303368157655e-104,4.16986151604746e-144,4.603779068218271e-22,4.4330890256082133e-103,1.576851755347159e-17,5.3897726116277516e-18,1.724899920237929e-18,4.281844679495343e-18,3.546610674274894e-18,1.7247272357208869e-18,1.7268451703536575e-22,3.369850627499996e-33,6.575345285695379e-28,1.8365070912292777e-47,3.36985062749999e-33,3.7905545684231143e-35,1.9050616923993983e-60
1.782948367517241e-24,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1741964597246915e-65,9.272400094133158e-22,1.7960895864445172e-63,0.0,2.2348354131892305e-139,2.6394888275865482e-45,4.749856918996317e-102,1.5877483073844318e-53,1.7842272378942954e-78,4.040478152233557e-71,1.0106859898466304e-31,3.3238661437883256e-128,1.3243301068332988e-27,1.0128433291440648e-81,8.325715965131326e-103,2.7393819999369486e-142,9.27240009514384e-22,7.218136274874686e-102,3.1759126903464123e-17,1.085545751356009e-17,3.4740942055496555e-18,8.62399703053286e-18,7.143173611567583e-18,3.4737464043392545e-18,3.4780121037376186e-22,1.3621475029114717e-32,1.3243301068412456e-27,1.4872510571392125e-46,1.362147502911466e-32,1.5322027623354102e-34,1.549078830647408e-59
3.5783649054367e-24,0.07540679193649383,0.0,1.8723506437831416,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,9.47031982955959e-65,1.8609642146966545e-21,1.448611319281211e-62,0.0,1.4481490292006417e-137,1.0614111982517362e-44,7.666288351039307e-101,6.384266112285319e-53,1.4390439054323592e-77,3.2587920061495905e-70,2.0284397138879927e-31,1.0776957855731336e-126,2.6579212633647546e-27,8.168948377241045e-81,1.3437826185496848e-101,1.775112174700348e-140,1.8609642148994975e-21,1.1650101048982574e-100,6.374034560342864e-17,2.1786827317424673e-17,6.972482776173184e-18,1.7308301732607847e-17,1.4336299486152464e-17,6.971784741576e-18,6.980345970709687e-22,5.477135199783387e-32,2.6579212633967665e-27,1.1970690387033702e-45,5.477135199783342e-32,6.1609199188302345e-34,1.2493550416238157e-58
7.169197981275619e-24,0.07540679193649383,0.0,1.8723506437831414,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.607075905188021e-64,3.7284126252633325e-21,1.1636033905097122e-61,0.0,9.325789510009497e-136,4.257410189897821e-44,1.2319520003077221e-99,2.560376254307284e-52,1.1559183234077944e-76,2.617638960051121e-69,4.063947161970717e-31,3.4694750713738986e-125,5.325103576427731e-27,6.56174358306897e-80,2.1594505709054298e-100,1.1431228809208927e-138,3.728412625669723e-21,1.8721399630314136e-99,1.277027830032753e-16,4.364956692515347e-17,1.396925991742053e-17,3.467691113675766e-17,2.872255123532026e-17,1.396786141604954e-17,1.3985013705470406e-21,2.196576185972306e-31,5.32510357655623e-27,9.605725147846807e-45,2.1965761859722693e-31,2.4708044414937344e-33,1.0035381876385157e-57
