Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623)
1.9497451864863513e-23,0.045450764422602166,0.0,1.1285424806132112,0.031075110263184432,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,2.086447098357409e-80,1.429588073443083e-27,2.1018466312270543e-79,0.0,2.861014820537619e-129,1.4610471274296731e-47,1.0841386162093882e-89,2.3345697954208154e-68,-8.43344110639e-102,1.763738320710097e-46,9.85827013527535e-45,-1.0664415848294866e-160,5.1571090574713247e-39,-7.064781161143757e-108,3.989421985738819e-88,4.095630398866668e-146,1.4295880734430795e-27,1.5329179526000773e-114,2.6963297802813243e-16,9.216214747143549e-17,5.86015440562613e-17,7.32171891537835e-17,6.064509201763438e-17,2.9491887190859314e-17,1.2696936921758163e-23,1.690132710432146e-32,5.157221850303443e-39,1.9554346403284475e-46,1.6901327104321286e-32,6.004353124732669e-35,9.745549485326258e-63,2.910964416846501e-17,1.2969179115228616e-37,7.241168425990801e-42,5.782301524178205e-51,1.0945761779512549e-70,1.041855363309161e-58
3.901184330563047e-23,0.045450764422602166,0.0,1.1285424806132105,0.031075110263184432,0.31940968187635493,0.3504847921395394,0.20701222018021478,0.09201819554070545,0.0,1.6708498617412004e-79,2.860418186915221e-27,1.6831819779214043e-78,0.0,1.8307404974860661e-127,1.1700226627422423e-46,8.854970307331985e-89,9.344363246157038e-68,-9.091326341428114e-101,7.059549717557884e-46,1.9725105231571784e-44,-1.0666668388719927e-160,1.031869866404539e-38,-7.615898451945759e-107,6.379572750687621e-87,2.620898658811003e-144,2.8604181869152075e-27,2.4555230306828937e-113,5.395002158106838e-16,1.844043663133934e-16,1.1725400170423082e-16,1.4649799011395597e-16,1.2134287308132873e-16,5.900939722028572e-17,2.540490509957565e-23,6.764935454689683e-32,1.0319150129320468e-38,1.5655367002377748e-45,6.764935454689544e-32,2.4033060322106884e-34,1.5098857101063233e-61,5.824457907903985e-17,5.190761643605431e-37,5.797035534600788e-41,9.258221342790681e-50,7.013421407270009e-69,4.1701366163697614e-58
7.804062618716439e-23,0.045450764422602166,0.0,1.1285424806132092,0.031075110263184432,0.3194096818763547,0.35048479213953926,0.20701222018021462,0.09201819554070491,0.0,1.3373570934145827e-78,5.722078413859496e-27,1.3472277851309939e-77,0.0,1.171574033773688e-125,9.364923461540213e-46,7.367204942937324e-88,3.7389624581408136e-67,-5.19840471829749e-100,2.8247394359570654e-45,3.9458775424164637e-44,-1.071819952328413e-160,2.064187788491134e-38,-4.3547575963982277e-106,1.0204508389556222e-85,1.6772762444330652e-142,5.7220784138594415e-27,3.9311217911438426e-112,1.0792346913739816e-15,3.688888039973088e-16,2.345589170001696e-16,2.930595920343006e-16,2.427384352087105e-16,1.1804441727913816e-16,5.0820841556390584e-23,2.7068553555249233e-31,2.0643684334072403e-38,1.2529051587533221e-44,2.706855355524811e-31,9.616354601792764e-34,2.376234013355575e-60,1.165144489001893e-16,2.0767488517150708e-36,4.638906720074156e-40,1.481726641936956e-48,4.4908572332475545e-67,1.66859784734288e-57
1.560981919502322e-22,0.045450764422602166,0.0,1.1285424806132067,0.031075110263184432,0.3194096818763542,0.350484792139539,0.20701222018021426,0.09201819554070383,0.0,1.0701566225030214e-77,1.1445398867748042e-26,1.0780551764764303e-76,0.0,7.497752569889539e-124,7.493836096328105e-45,6.3438285201038925e-87,1.4958284498702416e-66,-4.874789476148144e-99,1.1300797103686471e-44,7.892611580935027e-44,-1.2651336393652452e-160,4.1288236357514505e-38,-4.0836617486471395e-105,1.6324964584467152e-84,1.0734249311136795e-140,1.1445398867747825e-26,6.291623418411813e-111,2.1587036424933593e-15,7.378576793651382e-16,4.691687475920463e-16,5.861827958749888e-16,4.855295594634469e-16,2.3611445739684164e-16,1.0165271487474038e-22,1.0829184020454549e-30,4.129546333044782e-38,1.0025144871021713e-43,1.0829184020453655e-30,3.8471680376270334e-33,3.7702833662416656e-59,2.330541885424876e-16,8.306492512634919e-36,3.71105660326601e-39,2.37073299334607e-47,2.874442997203308e-65,6.675478159611922e-57
3.122133234763679e-22,0.045450764422602166,0.0,1.1285424806132018,0.031075110263184432,0.3194096818763532,0.35048479213953837,0.20701222018021354,0.09201819554070166,0.0,8.562336903437792e-77,2.2892039775525112e-26,8.625533348251678e-76,0.0,4.798458587305151e-122,5.995827900479858e-44,5.7939252721300076e-86,5.983800767387052e-66,-3.786697636065932e-98,4.520686739645249e-44,1.5786079657972126e-43,-7.272040844413683e-160,8.25809534262059e-38,-3.172155918887737e-104,2.611814329196419e-83,6.869817240749287e-139,2.289203977552425e-26,1.0068060551141983e-109,4.317641544703241e-15,1.4757954301007905e-15,9.383884087757959e-16,1.1724292035563616e-15,9.711118079728103e-16,4.722545376322429e-16,2.0331646313031946e-22,4.3320261529584056e-30,8.260986367068481e-38,8.020877418563133e-43,4.332026152957689e-30,1.5389924738555503e-32,6.007090716234424e-58,4.661336678270812e-16,3.321384076800078e-35,2.9678900741040613e-38,3.792002027224409e-46,1.8391857553458982e-63,2.670408976208016e-56
6.244435865286392e-22,0.045450764422602166,0.0,1.128542480613192,0.031075110263184432,0.31940968187635127,0.3504847921395372,0.2070122201802121,0.09201819554069735,0.0,6.850303118581582e-76,4.5785321591079174e-26,6.900863495276771e-75,0.0,3.0709804761088297e-120,4.796965948148659e-43,5.784823745848356e-85,2.393617704003814e-65,-2.944148507994075e-97,1.808348278112117e-43,3.1573015812046218e-43,-1.9409135787114144e-158,1.6516638805752898e-37,-2.4663437679224553e-103,4.1787588843686913e-82,4.396650236287865e-137,4.5785321591075724e-26,1.6110067443028862e-108,8.635517349007513e-15,2.9516709315720707e-15,1.8768277311432805e-15,2.3449220189190912e-15,1.9422763049911e-15,9.445346981030226e-16,4.066439661169956e-22,1.7328809726491917e-29,1.6528203374110343e-37,6.417006559817498e-42,1.7328809726486186e-29,6.156220505980492e-32,9.59105107911847e-57,9.32292626396257e-16,1.3274224487643974e-34,2.3724477078493963e-37,6.06260103836789e-45,1.1762268100744077e-61,1.068207687145186e-55
1.2489041126331817e-21,0.045450764422602166,0.0,1.1285424806131725,0.031075110263184432,0.3194096818763474,0.3504847921395349,0.2070122201802092,0.09201819554068871,0.0,5.480415938490976e-75,9.1571885222187e-26,5.520865552924785e-74,0.0,1.965416931760827e-118,3.8376942131159156e-42,6.467154068723811e-84,9.574665613580626e-65,-2.3467941929088114e-96,7.233540279576254e-43,6.3146888120193955e-43,-6.150753310652434e-157,3.3033725929593622e-37,-1.9659338571275987e-102,6.685898965555503e-81,2.813845646983762e-135,9.157188522217317e-26,2.577704439615069e-107,1.7271268957154093e-14,5.903421934514534e-15,3.7537063758781906e-15,4.689907649644488e-15,3.884605299025932e-15,1.8890950190444906e-15,8.132989979924206e-22,6.931664916038549e-29,3.307998514417193e-37,5.133727101093208e-41,6.931664916033963e-29,2.4625383926195914e-31,1.5329444899838803e-55,1.8646105435345635e-15,5.300339331958648e-34,1.8948474666843892e-36,9.684782452409927e-44,7.516118247722804e-60,4.272927933586861e-55
2.4978251648422672e-21,0.045450764422602166,0.0,1.1285424806131332,0.031075110263184432,0.3194096818763396,0.3504847921395302,0.20701222018020346,0.09201819554067144,0.0,4.384402129301649e-74,1.8314501248440148e-25,4.4167623856090997e-73,0.0,1.2578634519233072e-116,3.0702039527299543e-41,8.11651593858154e-83,3.8299052052917475e-64,-1.9002252949813832e-95,2.893445545517929e-42,1.2629463273648768e-42,-1.9907907252076614e-155,6.606790096757952e-37,-1.5918384555672614e-101,1.0697346139116568e-79,1.800857851280783e-133,1.831450124843461e-25,4.1244020239020446e-106,3.454277217159939e-14,1.1806923940399065e-14,7.507463665347778e-15,9.379878911095032e-15,7.769263287088601e-15,3.7782156609270615e-15,1.62660916535156e-21,2.7726941717544763e-28,6.625293970820651e-37,4.107030422818622e-40,2.7726941717508074e-28,9.850254489615728e-31,2.4514121746689255e-54,3.729246377810995e-15,2.1126280559648174e-33,1.5108710013175935e-35,1.544612353163083e-42,4.7950958652260055e-58,1.7092054790098946e-54
4.995667269260438e-21,0.045450764422602166,0.0,1.1285424806130546,0.031075110263184432,0.319409681876324,0.35048479213952083,0.20701222018019197,0.0920181955406369,0.0,3.507549455056487e-73,3.662912670088254e-25,3.5334379492426246e-72,0.0,8.050315260519496e-115,2.456182594684593e-40,1.1201649271464093e-81,1.5319698741229883e-63,-1.51300110014432e-94,1.1573841049707596e-41,2.525901219690681e-42,-6.343650451101831e-154,1.3213625420476907e-36,-1.2674567278344216e-100,1.7115680055474595e-78,1.1525479484978694e-131,3.6629126700860416e-25,6.5991031752704535e-105,6.908577859309851e-14,2.361392795216655e-14,1.5014978244286014e-14,1.8759821433995113e-14,1.553857926318597e-14,7.556456944690738e-15,3.253229914502996e-21,1.109083309794421e-27,1.328764129319212e-36,3.28564383515881e-39,1.1090833097914865e-27,3.940122409995488e-30,3.921220246024716e-53,7.458518046363133e-15,8.39091624618756e-33,1.2007408850810195e-34,2.45563630232696e-41,3.04947615802288e-56,6.837143857696851e-54
9.99135147809678e-21,0.045450764422602166,0.0,1.1285424806128976,0.031075110263184432,0.3194096818762928,0.35048479213950207,0.20701222018016896,0.09201819554056781,0.0,2.806050664733436e-72,7.325837760576538e-25,2.826761676913847e-71,0.0,5.152198300285492e-113,1.9649538479286634e-39,1.649480514075705e-80,6.127895080536901e-63,-1.2134657508474368e-93,4.62954819343564e-41,5.051811004342009e-42,-2.034681485713086e-152,2.642729733240193e-36,-1.0165328562956927e-99,2.7385029074058724e-77,7.376303425785608e-130,7.3258377605676885e-25,1.0558613030297689e-103,1.3817179140653094e-13,4.722793597569525e-14,3.0030007402158725e-14,3.751970647979127e-14,3.107721121526883e-14,1.5112939512212247e-14,6.506473070538496e-21,4.436344521385764e-27,2.672336157619313e-36,2.6285228669084634e-38,4.436344521362289e-27,1.576053431022981e-29,6.2731209941855564e-52,1.4917061383464504e-14,3.3095952308530417e-32,9.480953190306829e-34,3.8795414233379544e-40,1.9272839686105099e-54,2.735375688568736e-53
