Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204)
0.0,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2605518713094597e-26,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.645161087275061e-67,5.3775002608621685e-22,1.7289214703333895e-66,0.0,-7.041467613471996e-139,4.130577100726855e-55,2.8882471323689177e-100,6.108228434275429e-53,7.917454048169703e-77,2.4043762186676416e-71,9.601247349984028e-30,-1.0249729786039361e-122,6.488912911822383e-38,5.461149933322383e-79,5.81713120099057e-101,-9.394786984471724e-139,5.377500356874641e-22,2.0959261687001164e-99,2.514687699868254e-19,8.595351367421589e-20,2.7505124375749115e-20,6.828480934722039e-20,5.655964936827786e-20,2.7505124375749115e-20
3.5295452396664874e-26,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3064567429716762e-65,1.5057000730414073e-21,2.6127461248930806e-65,0.0,1.3593660284545341e-137,6.242025511523448e-54,8.145319035104946e-99,3.6893699743023596e-52,1.1964856557593896e-75,3.633493342573978e-70,2.6883492579955276e-29,-9.006238183185847e-123,1.8169179310940274e-37,8.252889779236753e-78,1.640524080054205e-99,-7.267777470800723e-139,1.5057000999248997e-21,5.910847143921118e-98,7.04112555963106e-19,2.406698382878044e-19,7.701434825209764e-20,1.9119746617221704e-19,1.583670182311778e-19,7.701434825209764e-20
8.067531976380542e-26,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4054265470209419e-64,3.441600166951787e-21,2.8106730546611372e-64,0.0,1.435346958881143e-135,6.714845756196417e-53,1.7717848062264233e-97,1.776272828687295e-51,1.2871246697028286e-74,3.9087463322208545e-69,6.144798303989779e-29,5.214537427773507e-122,4.1530604740526455e-37,8.878082223603458e-77,3.568498215444612e-98,2.0423897860824154e-137,3.441600228399771e-21,1.2857383628548281e-96,1.6094001279156467e-18,5.501024875149809e-19,1.7603279600479498e-19,4.370227798222103e-19,3.619817559569769e-19,1.7603279600479498e-19
1.714350544980865e-25,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2918291303807534e-63,7.313400354772549e-21,2.5834927735525833e-63,0.0,1.1345221496359692e-133,6.172084316346776e-52,3.284590427674642e-96,7.757450111529796e-51,1.1830893235098798e-73,3.5928112970078323e-68,1.305769639597828e-28,2.4410222365104343e-120,8.825702612510041e-37,8.160487122364898e-76,6.615394304324704e-97,1.6868398879767627e-135,7.313400485349513e-21,2.3835422361483428e-95,3.419975271820645e-18,1.168967785969332e-18,3.740696915101909e-19,9.286734071221957e-19,7.692112314085717e-19,3.740696915101909e-19
3.5295452396664867e-25,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.1051870187172156e-62,1.5057000730414073e-20,2.2102324596431553e-62,0.0,8.041091259709057e-132,5.2803418131208894e-51,5.645371728986347e-95,3.238582715852833e-50,1.0121578245731379e-72,3.073725706266555e-67,2.6883492579955282e-28,8.65947937128837e-119,1.817241509958547e-36,6.981468540960073e-75,1.1370172638829212e-95,1.1962215289495855e-133,1.5057000999248997e-20,4.0967001062658526e-94,7.04112555963031e-18,2.406698382878026e-18,7.701434825209878e-19,1.9119746617221633e-18,1.5836701823117476e-18,7.701434825209878e-19
7.159934629037731e-25,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,9.137899992967899e-62,3.0544201481697114e-20,1.8274629393380103e-61,0.0,5.4112858526033425e-130,4.3658862257085e-50,9.356789629793493e-94,1.323066711777795e-49,8.3687166257027e-72,2.541415853968378e-66,5.453508494790928e-28,2.9095533993152343e-117,3.687155291437886e-36,5.772413198029979e-74,1.8845227532667662e-94,8.050084093646171e-132,3.054420202704796e-20,6.78997998836562e-93,1.4283426135248315e-17,4.882159576695382e-18,1.5622910645426016e-18,3.878577170922086e-18,3.212588084118045e-18,1.5622910645426016e-18
1.4420713407780218e-24,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.430788515878908e-61,6.151860298426321e-20,1.486062512533392e-60,0.0,3.5505426586433053e-128,3.550265174500222e-49,1.5235106325873342e-92,5.3480471891729824e-49,6.805301375892958e-71,2.0666371656807053e-65,1.0983826968381728e-27,9.537951873618935e-116,7.429267990653582e-36,4.694030546825643e-73,3.0684568488690345e-93,5.281955220759369e-130,6.15186040826459e-20,1.1055722223618203e-91,2.876802728647901e-17,9.833081964329967e-18,3.1465862285859093e-18,7.811782189321878e-18,6.4704238877304235e-18,3.1465862285859093e-18
2.8942270965265195e-24,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.993200136857119e-60,1.2346740598939537e-19,1.1985632526700903e-59,0.0,2.30069891075942e-126,2.863417081704496e-48,2.458952304349333e-91,2.1504262532004006e-48,5.488722098630682e-70,1.6668177431943296e-64,2.204446391556333e-27,3.0890254206434973e-114,1.492263393411304e-35,3.785905688949553e-72,4.9525019698904214e-92,3.4226283822769705e-128,1.2346740819384177e-19,1.7843980242236463e-90,5.773722958891918e-17,1.973492673959863e-17,6.3151765566728475e-18,1.567819222612125e-17,1.2986095494954312e-17,6.3151765566728475e-18
5.798538608023515e-24,0.0945796191447709,0.0,2.348411943364661,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,4.81406427412869e-59,2.473650119996597e-19,9.627511852108762e-59,0.0,1.4815858325214323e-124,2.300052159887993e-47,3.95147034401548e-90,8.624171076982864e-48,4.408840079132597e-69,1.338878656771101e-63,4.4165737809926536e-27,9.94429650840237e-113,2.9945928001144246e-35,3.0410453357478335e-71,7.95853849865836e-91,2.2040768669964783e-126,2.4736501641623354e-19,2.8674797214705002e-89,1.156756341937146e-16,3.953861629013389e-17,1.265235721284801e-17,3.1411012299719166e-17,2.6017438709398627e-17,1.265235721284801e-17
