Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33)
0.0,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.434196952246768e-26,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.325918476009221e-66,6.211731393102685e-22,7.624929334225824e-64,0.0,5.886468366884581e-110,3.478277566972509e-45,1.2864191337436437e-70,1.7763158001224304e-52,1.2410600576332692e-76,9.12190903392895e-42,1.1294398887776691e-29,-1.8472708614755654e-122,7.288466865217427e-26,8.646000506463273e-79,2.592379779496595e-71,5.1888133707508385e-118,6.211731506046673e-22,2.1433490000502766e-94,2.862397054923868e-19,9.783842519066046e-20,6.222765967864899e-20,7.772664461744566e-20,6.438023051043958e-20,3.130829606101139e-20,1.6852972626556688e-23,5.587056997106339e-36,7.288466865209711e-26,2.0938064642865913e-51,5.587056997106339e-36,9.363139577228712e-38,1.1803733034283093e-62,3.090251064501104e-20,3.815911840036734e-37,9.160753469297879e-47,3.084832018913855e-53
4.0157514662909505e-26,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0037280005707755e-65,1.7392847900687513e-21,1.1522793208802044e-62,0.0,3.5810260545276745e-108,2.1008796706309154e-44,1.5272367955909904e-69,1.0728947432739482e-51,1.8754899590953912e-75,5.509633056493086e-41,3.1624316885774737e-29,-1.5841572109229933e-122,2.0407707222608796e-25,1.3065835965367238e-77,3.077673276734782e-70,3.156608465028233e-116,1.7392848216930687e-21,6.73901995119658e-93,8.014711753786766e-19,2.739475905338492e-19,1.7423744710021732e-19,2.1763460492884785e-19,1.802646454292306e-19,8.766322897083197e-20,4.7188323354377776e-23,3.374582426252232e-35,2.040770722258722e-25,2.485767034401044e-50,3.374582426252232e-35,5.655336304648049e-37,1.64404929462079e-61,8.652702980603091e-20,2.3048107508479315e-36,1.0875646516431228e-45,3.662323154015053e-52
9.178860494379316e-26,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.1555191476500678e-64,3.975508091585718e-21,1.2395695118827726e-61,0.0,1.6166463407980736e-106,1.011483146682347e-43,1.4994501423230818e-68,5.165526346756028e-51,2.0175665144932396e-74,2.6526511470665382e-40,7.228415288177084e-29,1.1355072901163648e-121,4.664618793739153e-25,1.4055630103347092e-76,3.021677878502172e-69,1.4250439530506848e-114,3.975508163869871e-21,1.5034376800669674e-91,1.831934115151229e-18,6.26165921220226e-19,3.9825702194335455e-19,4.974505255516519e-19,4.120334752668114e-19,2.0037309479047342e-19,1.078590248100961e-22,1.6247161747585265e-34,4.664618793734233e-25,2.4405408147724556e-49,1.6247161747585265e-34,2.7228009890609667e-36,1.7204914835955597e-60,1.9777606812807064e-19,1.1096671622812992e-35,1.067777423662405e-44,3.5957130028436013e-51
1.9505078550556046e-25,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.9812934599349262e-63,8.447954694619651e-21,1.1393779404404127e-60,0.0,6.104148997967627e-105,4.4174128218995675e-43,1.3262466701895284e-67,2.2559210661554866e-50,1.854491222920229e-73,1.1584824473089768e-39,1.5360382487376303e-28,5.16823795408222e-120,9.9123149366957e-25,1.2919545636797821e-75,2.6726398730371415e-68,5.380694837131122e-113,8.447954848223477e-21,2.8157719392722783e-90,3.892859994696227e-18,1.3306025825929772e-18,8.462961716296307e-19,1.057082366797259e-18,8.755711349419688e-19,4.257928264297574e-19,2.2920042772183743e-22,7.095562386325079e-34,9.912314936685293e-25,2.1586307124209123e-48,7.095562386325078e-34,1.1891187263109981e-35,1.563993138046731e-59,4.2027414477215014e-19,4.846208028565696e-35,9.444370381609275e-44,3.1804073015743522e-50
4.0157514662909506e-25,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.6950382683693764e-62,1.739284790068752e-20,9.747618160743987e-60,0.0,2.1178128669244147e-103,1.8441830465437804e-42,1.1147902387136087e-66,9.418026372249129e-50,1.5865562849576692e-72,4.8364361697891296e-39,3.1624316885774743e-28,1.832314107982328e-118,2.0407707222608797e-24,1.105294329545647e-74,2.2465148668994546e-67,1.8668130096974405e-111,1.7392848216930686e-20,4.8635454222621154e-89,8.014711753785792e-18,2.739475905338469e-18,1.742374471002191e-18,2.1763460492884685e-18,1.802646454292266e-18,8.766322897083295e-19,4.71883233546539e-22,2.9622576198658047e-33,2.0407707222587568e-24,1.814459181047345e-47,2.962257619865804e-33,4.96433660387323e-35,1.3313772131413293e-58,8.65270298060309e-19,2.023196450134615e-34,7.938562357045827e-43,2.673391044365011e-49
8.146238688761642e-25,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.401490419113971e-61,3.528263431282325e-20,8.059519195756084e-59,0.0,7.0532011576570115e-102,7.534090715844103e-42,9.139723905895517e-66,3.84757107569719e-49,1.3117954173933214e-71,1.9758419843851453e-38,6.415218568257162e-28,6.156403584815179e-117,4.1398491794435e-24,9.13878725964953e-74,1.8418286411537266e-66,6.217266829746252e-110,3.5282634954345104e-20,8.080853154095842e-88,1.6258415271963205e-17,5.55722255082941e-18,3.534531069747343e-18,4.414873414270872e-18,3.6567970929927905e-18,1.7783112162654903e-18,9.572488452008167e-22,1.2101788938012406e-32,4.139849179439274e-24,1.4876032616289135e-46,1.2101788938012399e-32,2.0280934850085404e-34,1.0982077150260883e-57,1.7552626046366263e-18,8.26541761889227e-34,6.50851302393279e-42,2.1919174922937174e-48
1.6407213133703026e-24,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1396687334596237e-60,7.106220713709472e-20,6.553867160881335e-58,0.0,2.3022823888460884e-100,3.045400920362464e-41,7.401585384003922e-65,1.555249746165594e-48,1.0667302476772846e-70,7.986669210838419e-38,1.2920792327616537e-27,2.0181602919405167e-115,8.338006093808743e-24,7.431510026409085e-73,1.4915606260132349e-65,2.029419497097596e-108,7.106220842917394e-20,1.3173829894086919e-86,3.274582230831115e-17,1.1192715841811125e-17,7.118844267237769e-18,8.891928144235608e-18,7.365098370393556e-18,3.581669069379881e-18,1.927980068528871e-21,4.891736579702614e-32,8.338006093800554e-24,1.2046996899862052e-45,4.891736579702609e-32,8.197878130748458e-34,8.920156014522583e-57,3.53524721778926e-18,3.3410139278149045e-33,5.27076255232713e-41,1.7752497718625903e-47
3.2929162023585794e-24,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,9.191841208703975e-60,1.4262135278563765e-19,5.285931295393837e-57,0.0,7.440579224573754e-99,1.2245431147037742e-40,5.957439843102653e-64,6.253590826963019e-48,8.603565897088324e-70,3.2114045630308176e-37,2.5931939846335285e-27,6.536149931450159e-114,1.6734319922539236e-23,5.993782061238224e-72,1.20053781868509e-64,6.558733480286904e-107,1.4262135537883156e-19,2.1275770266669611e-85,6.572063638097951e-17,2.246370242377389e-17,1.4287470662219117e-17,1.7846037604164813e-17,1.4781700925193963e-17,7.188384775608934e-18,3.869442515262977e-21,1.966945764059398e-31,1.6734319922524102e-23,9.69647117005273e-45,1.9669457640593939e-31,3.2963307408717425e-33,7.190337864199189e-56,7.095216444094523e-18,1.343406984831102e-32,4.242368185231034e-40,1.4291622541879532e-46
6.5973059803351334e-24,0.09466578726852673,0.0,2.3505514978775186,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.383386732599722e-59,2.857396440827235e-19,4.245947477735794e-56,0.0,2.3927790106704e-97,4.910971987244062e-40,4.7804702919361214e-63,2.507969620298058e-47,6.910852010526191e-69,1.287916863355004e-36,5.1954234883772786e-27,2.1041397871435005e-112,3.3526947580000265e-23,4.814531707437999e-71,9.633560950204222e-64,2.1091906168770977e-105,2.857396492781467e-19,3.420017915896651e-84,1.3167026452620613e-16,4.500567558769675e-17,2.862472345218379e-17,3.5754256524022126e-17,2.9614906034790265e-17,1.4401816188068117e-17,7.752367409043178e-21,7.888332251873442e-31,3.3526947579975145e-23,7.780807451543598e-44,7.888332251873406e-31,1.3219760591460553e-32,5.77403990678451e-55,1.4215154896705028e-17,5.387662692346774e-32,3.404233192748547e-39,1.1472729732031563e-45
