Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29)
0.0,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6885211995959703e-26,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.357430946506376e-82,1.0026080869607802e-27,1.6714861444704038e-81,0.0,-1.3452166546251464e-173,2.6223550061983986e-56,1.8137500994021203e-129,1.651360205406743e-67,2.5717216303851187e-100,4.967588265644209e-89,6.349514796360091e-42,-1.704608337283364e-148,5.2701413548918924e-51,2.834098069509425e-105,2.5900084444131294e-130,-3.8757512731382715e-164,1.0026080869607865e-27,1.916023394804169e-130,2.5536865635335016e-19,8.728651791227883e-20,2.793179958863416e-20,6.934379968239347e-20,5.743680085503421e-20,2.793168573192922e-20,1.1385670494131913e-25
4.7278593588687164e-26,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2629749646360424e-80,2.8073026434901844e-27,2.5259498615239365e-80,0.0,2.602553972127743e-172,3.962902922329124e-55,5.115072945113559e-128,9.974215640656725e-67,3.959035932706419e-99,7.507019387041529e-88,1.7778641429808254e-41,-1.7046083372832284e-148,3.181342455210069e-50,4.3267803047267533e-104,7.338216768892178e-129,-3.875751273137695e-164,2.8073026434902016e-27,5.651789207133013e-129,7.150322377893782e-19,2.4440225015438065e-19,7.820903884817564e-20,1.941626391107017e-19,1.6082304239409575e-19,7.820872004940181e-20,3.1879877383569355e-25
1.080653567741421e-25,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3586508341116473e-79,6.4166917565489926e-27,2.7173015953435144e-79,0.0,2.7525939048029156e-170,4.263110128794449e-54,1.112640739659726e-126,4.802155477322807e-66,4.319408826385409e-98,8.075708891692477e-87,4.0636894696704583e-41,-1.704608337276436e-148,1.531281059801318e-49,4.718137003175074e-103,1.5991671529139808e-127,-3.875751273079461e-164,6.4166917565490335e-27,1.247329899622485e-127,1.6343594006614256e-18,5.586337146385844e-19,1.787635173672586e-19,4.438003179673181e-19,3.6759552547221877e-19,1.78762788684347e-19,7.286829116244424e-25
2.2963888314505195e-25,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2488341914745539e-78,1.3635469982666608e-26,2.4976683159611116e-78,0.0,2.1828302239704533e-168,3.9185326777740844e-53,2.0626506391485356e-125,2.097227460866563e-65,3.9753565462953153e-97,7.422967793586829e-86,8.635340123049723e-41,-1.704608337010778e-148,6.686699289706482e-49,4.342118835039362e-102,2.974708989629199e-126,-3.875751268482991e-164,1.3635469982666697e-26,2.3165503295178034e-126,3.4730137264054844e-18,1.187096643606992e-18,3.7987247440542453e-19,9.430756756805512e-19,7.811404916284646e-19,3.7987092595423736e-19,1.5484511872019402e-24
4.727859358868717e-25,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.0684039432842384e-77,2.807302643490184e-26,2.1368078292606834e-77,0.0,1.5572051199841897e-166,3.352387205144836e-52,3.5451770675199776e-124,8.755511809066549e-65,3.4014693487330247e-96,6.35050522774037e-85,1.7778641429808254e-40,-1.704608327651106e-148,2.791403415489497e-48,3.715266409479211e-101,5.147487746867156e-125,-3.875750943110025e-164,2.807302643490202e-26,3.9824438283445827e-125,7.150322377893458e-18,2.444022501543807e-18,7.820903884817565e-19,1.9416263911070172e-18,1.6082304239409549e-18,7.820872004940182e-19,3.1879877383569355e-24
9.590800413705112e-25,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,8.833770412138967e-77,5.69481393393723e-26,1.7667540350476567e-76,0.0,1.0615091152441541e-164,2.771818570027823e-51,5.8758962825654296e-123,3.5769122593192206e-64,2.8124456698897453e-95,5.250720529025804e-84,3.6065244043325316e-40,-1.7046080136738013e-148,1.1403469750678458e-47,3.0719014761220215e-100,8.64667296042389e-124,-3.8757290630763255e-164,5.694813933937266e-26,6.600789431981659e-124,1.450493968086883e-17,4.957874217417437e-18,1.5865262166344203e-18,3.938727821959949e-18,3.262410288565931e-18,1.5865197495735796e-18,6.4670608406669255e-24
1.93166825233779e-24,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,7.183475391605108e-76,1.1469836514831325e-25,1.4366950397972507e-75,0.0,7.143171904362572e-163,2.2539968279489563e-50,9.567456205740931e-122,1.4458451251234624e-63,2.287038529788072e-94,4.269798732444036e-83,7.263844927035944e-40,-1.704597728888033e-148,4.609399986966143e-47,2.4980239109319867e-99,1.4453647585345315e-122,-3.8742939842044104e-164,1.1469836514831394e-25,1.0747710959940012e-122,2.9214174286817274e-17,9.985577649164694e-18,3.1953978729397484e-18,7.932930683665813e-18,6.570770017815863e-18,3.1953848477327026e-18,1.3025207045286905e-23
3.876844674272347e-24,0.05435919745378708,0.0,1.3497388727775332,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,5.793733142597092e-75,2.301988167661951e-25,1.1587465974566174e-74,0.0,4.859639008429546e-161,1.8179300983835834e-49,1.544217867068317e-120,5.813679657542652e-63,1.844579865710959e-93,3.443747361797879e-82,1.4578485972442769e-39,-1.704264766572206e-148,1.8534064990204743e-46,2.0147472417058186e-98,2.4538042408582346e-121,-3.7813210741971205e-164,2.3019881676619643e-25,1.734685615661398e-121,5.863264349870496e-17,2.0040984512659214e-17,6.413141185550404e-18,1.5921336407077535e-17,1.3187489476315656e-17,6.41311504405095e-18,2.6141499454526864e-23
7.767197518141463e-24,0.05435919745378708,0.0,1.349738872777533,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,4.6538415368585516e-74,4.611997200019588e-25,9.307682824332566e-74,0.0,3.4269475352336047e-159,1.460260318301518e-48,2.481602077444239e-119,2.331545565852545e-62,1.4816669042696658e-92,2.7662051600115507e-81,2.920776806325642e-39,-1.6935479908248046e-148,7.432963091444991e-46,1.6183545970203123e-97,4.3320195656778995e-120,2.20528955639616e-164,4.611997200019614e-25,2.7875933625177254e-120,1.1746958192244361e-16,4.0151798239648236e-17,1.2848627810771719e-17,3.189814785390098e-17,2.642092839331494e-17,1.2848575436687447e-17,5.2374084273006746e-23
