Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2X(216),CH3OX(210),CH2X(34),CHX(35),CX(33),SX(655),CH2OX(623),CHOX(653),H2NX(201),H3NX(202)
1.3430428002994355e-23,0.10054149576763871,0.0,2.4964453399104687,0.031075110263184415,0.31940968187635504,0.3504847921395395,0.20701222018021487,0.09201819554070571,0.0,8.178064333874558e-57,1.521247123475265e-18,6.682793509328818e-54,0.0,5.889514441376048e-94,1.7995662762612853e-38,1.1096746777506844e-60,1.4305535570753094e-45,3.032303843787264e-66,1.991960051817206e-35,8.87665065897008e-26,5.638239821634414e-108,5.1311790178950225e-22,4.07593435078808e-68,2.3199000963826395e-61,1.309098455291145e-101,1.5212472122417709e-18,2.8092005076478013e-81,2.762403271557608e-16,9.442057850324305e-17,6.620207701587073e-17,7.501137447373463e-17,6.213119842351285e-17,3.021458512107512e-17,1.513119169796293e-17,4.566555657832215e-30,5.131179017883344e-22,1.9769320896980476e-42,1.1438806309386903e-29,5.330984262877324e-29,2.7034051574064496e-53,2.9822975243315164e-17,5.072810870205254e-31,4.874113344611605e-38,3.5991318245666765e-44,4.982242785524431e-65,2.646174298642488e-44,1.8719912578647282e-54,2.1247910074441245e-17,1.2792953153975925e-17
2.687252449252476e-23,0.10054149576763871,0.0,2.496445339910468,0.031075110263184397,0.3194096818763549,0.3504847921395394,0.20701222018021478,0.09201819554070544,0.0,6.549084169122912e-56,3.043815921254157e-18,5.35165479148627e-53,0.0,1.886971652437882e-92,7.202970016349015e-38,8.884144733685036e-60,5.72594235846531e-45,2.428302381660176e-65,7.973031404982412e-35,1.776101343840842e-25,1.8069375078290934e-106,1.0266816054050602e-21,3.2640532088457815e-67,1.8573309532179894e-60,4.194287521647952e-100,3.0438160988642863e-18,4.4999515436397e-80,5.5272065459308515e-16,1.889231905237684e-16,1.3246167104064761e-16,1.5008791955948498e-16,1.2431637703667108e-16,6.045542096775534e-17,3.02755295224131e-17,1.8278123418840498e-29,1.0266816054029605e-21,1.582747731103347e-41,4.5785035627126934e-29,2.133782999739257e-28,2.164668674707452e-52,5.967186097771816e-17,2.030446165614324e-30,3.902253993100278e-37,2.883640056096894e-43,1.5974560975248578e-63,1.0591593322966367e-43,1.4987312570058647e-53,4.2514280539910374e-17,2.559702095010783e-17
5.375671747158557e-23,0.10054149576763871,0.0,2.4964453399104665,0.03107511026318436,0.3194096818763546,0.35048479213953926,0.2070122201802146,0.09201819554070488,0.0,5.241921712713578e-55,6.0889535168119395e-18,4.283492886333838e-52,0.0,6.042036545765069e-91,2.8821383257567846e-37,7.110015883233644e-59,2.2911227819171925e-44,1.9436261087423606e-64,3.190251097426693e-34,3.552973899728508e-25,5.786524944705753e-105,2.053809012636177e-21,2.6125655045891043e-66,1.486429687594988e-59,1.3430005065520413e-98,6.088953872109302e-18,7.204109797981778e-79,1.1056813094597125e-15,3.779284145645287e-16,2.649808590908144e-16,3.0024100973087196e-16,2.4868673426261804e-16,1.209370926612472e-16,6.05642051710236e-17,7.313630203372326e-29,2.0538090126329255e-21,1.2666792142299824e-40,1.8319978027920668e-28,8.53791137997749e-28,1.732515437956399e-51,1.1936963244652097e-16,8.1244278794844e-30,3.122988605450538e-36,2.3112236179957743e-42,5.12250656431348e-62,4.238016947425892e-43,1.199440500450333e-52,8.504702147084516e-17,5.120515654228703e-17
1.0752510342970719e-22,0.10054149576763871,0.0,2.496445339910464,0.031075110263184283,0.31940968187635405,0.3504847921395389,0.20701222018021423,0.09201819554070377,0.0,4.1945993804691364e-54,1.21792287079275e-17,3.427662142241093e-51,0.0,1.934049087232155e-89,1.1530526765886457e-36,5.689093003932216e-58,9.16598301722912e-44,1.5552946645160643e-63,1.2763081756464736e-33,7.1067190115038335e-25,1.8523802652331918e-103,4.108063827098417e-21,2.09058170792702e-65,1.1893703016146547e-58,4.2989296047401714e-97,1.217922941859928e-17,1.1529926636891547e-77,2.211602619160882e-15,7.559388626448881e-16,5.300192351935999e-16,6.005471900731908e-16,4.974274487130339e-16,2.419004360487565e-16,1.211415564670852e-16,2.9259283163533074e-28,4.1080638270957064e-21,1.0135358242450166e-39,7.329184136499809e-28,3.415720507355051e-27,1.386328329482092e-50,2.38765175384114e-16,3.250298933299602e-29,2.4988644734590545e-35,1.8548273727238842e-41,1.6445047156791673e-60,1.695482741517425e-42,9.597346370217171e-52,1.7011250333270073e-16,1.0242142772630702e-16
2.1506187534595045e-22,0.10054149576763871,0.0,2.4964453399104585,0.03107511026318413,0.31940968187635294,0.3504847921395383,0.20701222018021348,0.09201819554070156,0.0,3.356104360362149e-53,2.4359779090158597e-17,2.742476889446605e-50,0.0,6.189918280159362e-88,4.612663471278656e-36,4.5517066130660604e-57,3.666691606053508e-43,1.244393261853424e-62,5.10564820552613e-33,1.421420923505446e-24,5.9287247381037586e-102,8.216573456022922e-21,1.6726771138946038e-64,9.515877247982455e-58,1.3758712040700828e-95,2.435978051157902e-17,1.845056382623532e-76,4.423445238434882e-15,1.5119597588009615e-15,1.0600959874089798e-15,1.2011595507560087e-15,9.94908877607954e-16,4.838271228258781e-16,2.42296259054571e-16,1.1704665803289316e-27,8.216573456032678e-21,8.10905648765712e-39,2.9319122566597204e-27,1.3663994019112945e-26,1.1091950017599806e-49,4.775562612592494e-16,1.300224387355258e-28,1.9992799520061087e-34,1.4927993352385212e-40,5.293932363869011e-59,6.782482927208946e-42,7.678606117250146e-51,3.402434670563561e-16,2.0485397009299326e-16
4.301354191784369e-22,0.10054149576763871,0.0,2.4964453399104474,0.03107511026318383,0.3194096818763507,0.3504847921395371,0.207012220180212,0.09201819554069714,0.0,2.685053441058063e-52,4.8720879854620714e-17,2.1941203902956976e-49,0.0,1.980930982234273e-86,1.8452023805550557e-35,3.6415382553631943e-56,1.4667363243787294e-42,9.95577625425343e-62,2.0423423857570386e-32,2.8429189682155608e-24,1.8973691974261946e-100,1.6433592713872025e-20,1.3382263953070632e-63,7.613081403554265e-57,4.4031376237452354e-94,4.8720882697537625e-17,2.9523047263399103e-75,8.847130476469525e-15,3.024001551094528e-15,2.1202494918789718e-15,2.4023842721143628e-15,1.989871735374148e-15,9.676804963885318e-16,4.846056642109928e-16,4.6820568357018115e-27,1.6433592713952252e-20,6.487553164069358e-38,1.1728126247765794e-26,5.465820013323922e-26,8.874184308573038e-49,9.55138433009317e-16,5.20110118663389e-28,1.599497582676086e-33,1.2083712694181508e-39,1.713842178740734e-57,2.713103564433243e-41,6.143176512293946e-50,6.805053945034433e-16,4.0971905482095096e-16
8.6028250684341e-22,0.10054149576763871,0.0,2.4964453399104256,0.03107511026318322,0.3194096818763462,0.35048479213953465,0.20701222018020907,0.09201819554068828,0.0,2.1481107360285076e-51,9.744308138354462e-17,1.755351865427329e-48,0.0,6.339251855391336e-85,7.381454998287257e-35,2.9132999068364448e-55,5.867064663554327e-42,7.964873074865857e-61,8.169535753077268e-32,5.68591505763575e-24,6.071865096885894e-99,3.286763122957062e-20,1.070614998956232e-62,6.090638811715393e-56,1.4090649786214681e-92,9.744308706945138e-17,4.723859180482708e-74,1.769450095048537e-14,6.048085135607337e-15,4.2405565009758914e-15,4.804833714801949e-15,3.9797974508119495e-15,1.9353872435474824e-15,9.692244744496368e-16,1.8728608378583402e-26,3.286763122997391e-20,5.190165724148853e-37,4.6913459450435004e-26,2.186372487114321e-25,7.099749030340491e-48,1.9103027765086422e-15,2.080476404159149e-27,1.279624743746355e-32,9.892405714719815e-39,5.610291337923133e-56,1.085263502790187e-40,4.914657851535181e-49,1.361029249396724e-15,8.194492242552069e-16
1.720576682173356e-21,0.10054149576763871,0.0,2.4964453399103816,0.031075110263182007,0.3194096818763373,0.35048479213952977,0.20701222018020318,0.09201819554067059,0.0,1.718515782510552e-50,1.9488748444139103e-16,1.404303713957271e-47,0.0,2.0286178534662944e-83,2.9530082833953505e-34,2.3306678304331506e-54,2.346849738841929e-41,6.371999290016328e-60,3.267847543534244e-31,1.1371907236475967e-23,1.94304221863493e-97,6.573570826096931e-20,8.565055524560052e-62,4.87261547440399e-55,4.509137264579892e-91,1.9488749581326491e-16,7.558311986248764e-73,3.5389241890303324e-14,1.2096252304335661e-14,8.481170519797466e-15,9.609732600060632e-15,7.959648881309206e-15,3.8708007379999556e-15,1.9384620946301275e-15,7.491519559443455e-26,6.573570826274732e-20,4.152181857176325e-36,1.8765574673848756e-25,8.745578911675712e-25,5.68020283241239e-47,3.820631463504051e-15,8.32193908726291e-27,1.0237060316301022e-31,8.274349510801031e-38,1.8758310955993577e-54,4.34109814891458e-40,3.9317729244534415e-48,2.7220769591797105e-15,1.6389095630370819e-15
3.441165032833248e-21,0.10054149576763871,0.0,2.496445339910294,0.031075110263179582,0.31940968187631935,0.35048479213951994,0.20701222018019141,0.0920181955406352,0.0,1.3748235035664909e-49,3.8977629055707846e-16,1.1234518598798297e-46,0.0,6.491755946655509e-82,1.1815263165277953e-33,1.8645457201281092e-53,9.387446702419159e-41,5.097639764369963e-59,1.3071456659020526e-30,2.2743891594155756e-23,6.217807720811224e-96,1.3147186232377278e-19,6.852098633225371e-61,3.898190067627566e-54,1.4429649883809936e-89,3.897763133008363e-16,1.2093409017086172e-71,7.07787237370843e-14,2.4192586640603132e-14,1.6962398559951562e-14,1.921953037011204e-14,1.591935174079034e-14,7.741627727443192e-15,3.876937333803918e-15,2.996623065588477e-25,1.314718623312144e-19,3.321765197082578e-35,7.506268048525468e-25,3.4982493564787695e-24,4.544712459957412e-46,7.6412888374819e-15,3.3287516184120996e-26,8.1896022481347e-31,7.196042268019248e-37,6.517934662689444e-53,1.7364480738430328e-39,3.1454369745294664e-47,5.4441723787313845e-15,3.2778302402542836e-15
6.882341734153031e-21,0.10054149576763871,0.0,2.496445339910119,0.03107511026317473,0.31940968187628355,0.35048479213950035,0.20701222018016785,0.09201819554056441,0.0,1.0998631538929479e-48,7.795539027884314e-16,8.98765043403086e-46,0.0,2.0774463210032214e-80,4.728653170247772e-33,1.4916416283853022e-52,3.754988230398039e-40,4.078127944499838e-58,5.228595960599297e-30,4.548786030951274e-23,1.989710090125577e-94,2.6294417044940397e-19,5.481700592093364e-60,3.118680598074342e-53,4.6176840346652207e-88,7.7955394827575585e-16,1.934954229900273e-70,1.4155768729922648e-13,4.8385255308381384e-14,3.392485465030355e-14,3.843912590835101e-14,3.183875745369907e-14,1.5483281708482823e-14,7.753887807402738e-15,1.1986522747174394e-24,2.629441704798297e-19,2.6574200423365187e-34,3.0025148552890464e-24,1.3993033002296756e-23,3.636612023433906e-45,1.5282603585385724e-14,1.3314712765060427e-25,6.55154987820465e-30,6.679260104182137e-36,2.4154788413072012e-51,6.94580981787437e-39,2.5163569979924405e-46,1.0888363217777537e-14,6.555671593302496e-15
1.3764695136792598e-20,0.10054149576763871,0.0,2.4964453399097692,0.031075110263165028,0.31940968187621194,0.3504847921394611,0.20701222018012072,0.09201819554042284,0.0,8.798922635334797e-48,1.5591091272510499e-15,7.190134569249562e-45,0.0,6.648320464339175e-79,1.8934922506045595e-32,1.1933160755529726e-51,1.5019972020464868e-39,3.2625088088130345e-57,2.091441043628725e-29,9.097579774021637e-23,6.3670908796076015e-93,5.258887867007636e-19,4.385369147895524e-59,2.4951390459740145e-52,1.4777736992535513e-86,1.5591092182247028e-15,3.095933797573888e-69,2.8311561389783184e-13,9.67705926249111e-14,6.784976687118268e-14,7.687831697737357e-14,6.367756885530243e-14,3.0966589679174727e-14,1.5507788735605324e-14,4.7946151967440555e-24,5.258887868237851e-19,2.1259391879144132e-33,1.2010074693447301e-23,5.597220310348682e-23,2.910621531672253e-44,3.0565233080985864e-14,5.32562983956679e-25,5.241005519132455e-29,6.819173951340849e-35,9.8396856611801e-50,2.7783273474499444e-38,2.0130885097862956e-45,2.1776744895641053e-14,1.311135429385415e-14
