Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205)
0.0,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5927536379110573e-26,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.449088209674631e-79,1.1253879084215303e-26,8.898175500996432e-79,0.0,-2.5389725571755465e-167,4.80510870031836e-75,3.322842497671471e-124,6.265641350511018e-65,4.791403144255297e-96,7.796287821365196e-86,9.504606742140217e-40,-6.987305947599797e-144,3.828254083487967e-51,1.4231532459813482e-100,4.991220024688941e-125,-1.3458080028704766e-159,1.1253879084216253e-26,7.238655236344017e-125,2.503544033816311e-19,8.557261657417948e-20
4.4597101861509606e-26,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.723462102460223e-78,3.1510861435802855e-26,1.3446922817105655e-77,0.0,4.90243835923237e-166,2.902285655104674e-74,9.370949591685817e-123,3.784447375708655e-64,7.241330175398356e-95,1.1781750155647126e-84,2.661289887799261e-39,-6.987305947514926e-144,1.071911143376631e-50,2.1505021585256207e-99,1.408169936205769e-123,-1.3458080028399719e-159,3.1510861435805506e-26,2.0429290291106916e-123,7.009923294685647e-19,2.396033264077026e-19
1.0193623282630767e-25,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.232793720703765e-77,7.202482613897796e-26,1.4465585948459708e-76,0.0,5.17720366355578e-164,1.3973256102179447e-73,2.0383864047623215e-121,1.8220485047286038e-63,7.7893934980451e-94,1.2674269185437018e-83,6.08294831496974e-39,-6.987305943341577e-144,2.4500826134322993e-50,2.313240797147137e-98,3.0635677382941457e-122,-1.3458079998067757e-159,7.202482613898403e-26,4.443618338276631e-122,1.6022681816424217e-18,5.4766474607474875e-19
2.166144947559038e-25,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.648183529952527e-76,1.5305275554532816e-25,1.329636568762879e-75,0.0,4.0933129543770094e-162,6.10248805109811e-73,3.778825483920151e-120,7.957364515148993e-63,7.159752721260828e-93,1.164983696570963e-82,1.2926265169310696e-38,-6.987305780311567e-144,5.206425553543636e-50,2.126252448446377e-97,5.6810245435732745e-121,-1.3458077608298335e-159,1.5305275554534106e-25,8.23765001880488e-121,3.4048198859900934e-18,1.163787585408841e-18
4.459710186150961e-25,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.687660978189462e-75,3.1510861435802856e-25,1.137532078236769e-74,0.0,2.9028432438983884e-160,2.547668634426787e-72,6.494837652095984e-119,3.322043044040942e-62,6.125315327512927e-92,9.96668079537945e-82,2.6612898877992613e-38,-6.987300037202569e-144,1.071911143376631e-49,1.8190524086482969e-96,9.770013998485346e-120,-1.345790848013023e-159,3.1510861435805514e-25,1.4158399517675277e-119,7.00992329468527e-18,2.3960332640770258e-18
9.046840663334807e-25,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,4.702668085346132e-74,6.392203319834294e-25,9.405335199997074e-74,0.0,1.955698147069218e-158,1.0408057662063369e-71,1.0764724190273121e-117,1.3571629790860887e-61,5.064528793029672e-91,8.240644418328734e-81,5.398616629535644e-38,-6.987107383239352e-144,2.1744483194211653e-49,1.5040275809030737e-95,1.6212253822524398e-118,-1.344653559892612e-159,6.392203319834833e-25,2.3466505449547706e-118,1.4220130112074958e-17,4.860524621413394e-18
1.82211016177025e-24,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,3.8241315870683726e-73,1.287443767234231e-24,7.648262384783539e-73,0.0,1.2861152841866286e-156,4.207103322885795e-71,1.752758586194057e-116,5.48586975315722e-61,4.118390668449271e-90,6.7011551838258435e-80,1.0873270113008408e-37,-6.980796732745616e-144,4.379522671510233e-49,1.2230502380126264e-94,2.645988546254171e-117,-1.2700607781552782e-159,1.2874437672343395e-24,3.82091201270666e-117,2.864054374685168e-17,9.789507336086134e-18
3.6569623526437885e-24,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,3.084300663651306e-72,2.583890637735834e-24,6.168600690660654e-72,0.0,8.371550772438224e-155,1.6916577469261994e-70,2.828966878387405e-115,2.2058441000128052e-60,3.3216312694386186e-89,5.404724421773647e-79,2.182257707995394e-37,-6.776494147615769e-144,8.789671375688367e-49,9.864343237545272e-94,4.2907895116356626e-116,3.56249941799686e-159,2.5838906377360522e-24,6.166967379027898e-116,5.748137101639443e-17,1.9647472765431608e-17
7.326666734390864e-24,0.058717038926530046,0.0,1.457944076545741,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,2.4774780245102214e-71,5.17678437873904e-24,4.954955537635e-71,0.0,5.43961928266319e-153,6.784304212135327e-70,4.546097783617089e-114,8.846421428938394e-60,2.668114873310915e-88,4.341368577091396e-78,4.3721191013845e-37,-2.007802513714509e-145,1.7609968784044626e-48,7.923576933159716e-93,6.959955241273806e-115,3.14735449749033e-157,5.176784378739477e-24,9.91015101852833e-115,1.1516302555543734e-16,3.936340362412254e-17
1.4666075497885015e-23,0.058717038926530046,0.0,1.4579440765457408,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021495,0.09201819554070576,0.0,1.9860052869114074e-70,1.0362571860745452e-23,3.972010163884085e-70,0.0,3.5545000006856185e-151,2.7172603868104927e-69,7.289650926740253e-113,3.5431828404915244e-59,2.138824317297863e-87,3.480144268177341e-77,8.751841888162713e-37,2.1083251143996278e-142,3.525056360075712e-48,6.351727653895241e-92,1.1367864883954559e-113,2.029046706539353e-155,1.0362571860746328e-23,1.5890722911194676e-113,2.305263346333526e-16,7.879526534150436e-17
2.9344893024873323e-23,0.058717038926530046,0.0,1.4579440765457405,0.031075110263184432,0.31940968187635504,0.35048479213953954,0.20701222018021495,0.09201819554070552,0.0,1.5904149506908757e-69,2.073414682475828e-23,3.1808295730982927e-69,0.0,2.3583508838164606e-149,1.0876123153677587e-68,1.1676356287998104e-111,1.4181965162937144e-58,1.712794116683712e-86,2.786937935738386e-76,1.7511287461719136e-36,6.973680605241295e-141,7.053175323418197e-48,5.086533600903684e-91,1.8873766334997831e-112,1.3006818918103555e-153,2.0734146824760028e-23,2.5452773175519605e-112,4.612529527885007e-16,1.5765898877626783e-16
5.870252807884993e-23,0.058717038926530046,0.0,1.4579440765457399,0.031075110263184432,0.3194096818763549,0.35048479213953954,0.20701222018021495,0.09201819554070506,0.0,1.2729765638921864e-68,4.1477296752783934e-23,2.5459528650245514e-68,0.0,1.6129314887510562e-147,4.351866119372552e-68,1.8693098982182236e-110,5.67463335168292e-58,1.3709294975899672e-85,2.2306799088350556e-75,3.503017860883198e-36,2.2354146870742986e-139,1.410941325010312e-47,4.071288478887733e-90,3.2344938010368652e-111,8.330801464036055e-152,4.1477296752787425e-23,4.0746542893393374e-111,9.227061890960678e-16,3.15386435645794e-16
1.1741779818680314e-22,0.058717038926530046,0.0,1.4579440765457385,0.031075110263184432,0.31940968187635455,0.35048479213953954,0.20701222018021495,0.09201819554070413,0.0,1.0186391554271701e-67,8.296359660883524e-23,2.0372781005932483e-67,0.0,1.163824459415606e-145,1.7410299660804482e-67,2.9919595974004608e-109,2.2702228506061536e-57,1.0970213475929053e-84,1.7849958615236096e-74,7.006796090305768e-36,7.15621807349466e-138,2.8221889103472745e-47,3.257855623794228e-89,5.858545674840324e-110,5.333771191327422e-150,8.296359660884222e-23,6.521215831917533e-110,1.845612661700286e-15,6.308413293848434e-16
2.348483384027096e-22,0.058717038926530046,0.0,1.457944076545736,0.031075110263184432,0.31940968187635393,0.35048479213953954,0.20701222018021495,0.09201819554070229,0.0,8.150144986628967e-67,1.6593619632093786e-22,1.630028829095623e-66,0.0,9.128955653828617e-144,6.964687792453257e-67,4.788591945660067e-108,9.081630474921856e-57,8.777281914477204e-84,1.428177485073147e-73,1.4014352549150906e-35,2.2904199559560083e-136,5.644684081021121e-47,2.6066144755934404e-88,1.155748504005413e-108,3.414272327744796e-148,1.6593619632095182e-22,1.043536070784171e-108,3.691425606865056e-15,1.2617511168629304e-15
4.697094188345225e-22,0.058717038926530046,0.0,1.4579440765457312,0.031075110263184432,0.31940968187635266,0.35048479213953954,0.20701222018021495,0.0920181955406986,0.0,6.520528711779666e-66,3.3188139574514305e-22,1.3041056077632778e-65,0.0,7.992476055368786e-142,2.7859893875284414e-66,7.664849987156775e-107,3.632800009731236e-56,7.022270012205675e-83,1.1426143108146744e-72,2.8029465466841183e-35,7.330028959016241e-135,1.128967442236849e-46,2.0854235791549464e-87,2.5477833197737e-107,2.185345120437315e-146,3.3188139574517102e-22,1.6697709514604504e-107,7.383051497019932e-15,2.523570691819057e-15
9.394315796981482e-22,0.058717038926530046,0.0,1.4579440765457212,0.031075110263184432,0.31940968187635016,0.35048479213953954,0.20701222018021495,0.09201819554069121,0.0,5.2165880634527285e-65,6.637717945935535e-22,1.0433175050130136e-64,0.0,7.866771484639381e-140,1.1144191542320769e-65,1.2272442502340931e-105,1.453149568371232e-55,5.617993807440196e-82,9.141203786370977e-72,5.605969130222175e-35,2.3457188562399538e-133,2.257965510506192e-46,1.6683916644074374e-86,6.311740287696796e-106,1.3986883496440607e-144,6.637717945936094e-22,2.6717241161269247e-106,1.476630327663103e-14,5.047209841731123e-15
1.8788759014253995e-21,0.058717038926530046,0.0,1.4579440765457015,0.031075110263184432,0.3194096818763451,0.35048479213953954,0.20701222018021495,0.09201819554067645,0.0,4.1733364893814636e-64,1.3275525922903745e-21,8.346672117329039e-64,0.0,8.556655396340629e-138,4.457727773434486e-65,1.9662694696177755e-104,5.812657402968117e-55,4.494466166107641e-81,7.313078750804011e-71,1.1212014297298286e-34,7.506475684368567e-132,4.5159616470443585e-46,1.3347344522816227e-85,1.725155293211102e-104,8.951821393762015e-143,1.3275525922904862e-21,4.2748310621254944e-105,2.9532806833058624e-14,1.0094488141554497e-14
3.757764544879903e-21,0.058717038926530046,0.0,1.457944076545662,0.031075110263184432,0.319409681876335,0.35048479213953954,0.20701222018021495,0.09201819554064691,0.0,3.3386956071544196e-63,2.6551141876840163e-21,6.677390525156275e-63,0.0,9.984284129331805e-136,1.7831048268443124e-64,3.154523100844263e-103,2.325074787136036e-54,3.59560138116535e-80,5.850509289679257e-70,2.2424104631450507e-34,2.4021002744441444e-130,9.031953920118613e-46,1.0677960101920236e-84,5.049122391736151e-103,5.729234847240629e-141,2.6551141876842398e-21,6.839787680974871e-104,5.906581393473536e-14,2.018904474119823e-14
7.51554183178891e-21,0.058717038926530046,0.0,1.4579440765455827,0.031075110263184432,0.3194096818763148,0.35048479213953954,0.20701222018021495,0.09201819554058785,0.0,2.670967052023542e-62,5.3102373784713e-21,5.341933552722852e-62,0.0,1.2160202217394505e-133,7.132474631390002e-64,5.074347365248559e-102,9.300322800490518e-54,2.8764924842873834e-79,4.680425947428458e-69,4.484828529975495e-34,7.686765767231608e-129,1.8063938466258812e-45,8.542401875132004e-84,1.5402982788291993e-101,3.666732493923336e-139,5.310237378471747e-21,1.0943706675025672e-102,1.18131828093375e-13,4.03781579404736e-14
1.5031096405606924e-20,0.058717038926530046,0.0,1.4579440765454241,0.031075110263184432,0.31940968187627444,0.35048479213953954,0.20701222018021495,0.09201819554046972,0.0,2.1367778681468984e-61,1.0620483760045868e-20,4.2735552952335384e-61,0.0,1.5168459111342474e-131,2.8530232285876694e-63,8.205658009116588e-101,3.7201338505876754e-53,2.301198539180631e-78,3.744348164230915e-68,8.969664663636386e-34,2.4597722277797128e-127,3.612790755850594e-45,6.833935017569714e-83,4.808280306543206e-100,2.346715976656152e-137,1.0620483760046761e-20,1.750996778849691e-101,2.3626385623179915e-13,8.075638433897604e-14
3.006220555324295e-20,0.058717038926530046,0.0,1.457944076545107,0.031075110263184432,0.3194096818761937,0.35048479213953954,0.20701222018021495,0.09201819554023345,0.0,1.7094239851303565e-60,2.1240976523195003e-20,3.418847617412158e-60,0.0,1.9161802689345213e-129,1.141233815621871e-62,1.3406459079377853e-99,1.4880544863114337e-52,1.8409606520465306e-77,2.995481493902816e-67,1.7939336930958163e-33,7.871282620539208e-126,7.225584574286713e-45,5.467153421046572e-82,1.5193417669985866e-98,1.5019006241884453e-135,2.124097652319679e-20,2.8015978148394525e-100,4.725279117932267e-13,1.6151283713578762e-13
6.0124423848515e-20,0.058717038926530046,0.0,1.457944076544473,0.031075110263184432,0.31940968187603214,0.35048479213953954,0.20701222018021495,0.09201819553976093,0.0,1.3675398643497429e-59,4.248196204949327e-20,2.7350794464205016e-59,0.0,2.4364659092188615e-127,4.565127102702024e-62,2.2338001890847057e-98,5.952219837379339e-52,1.472769249918382e-76,2.396386380130052e-66,3.5878681465601725e-33,2.518812277237142e-124,1.4451172211105734e-44,4.373724899634609e-81,4.831000915537748e-97,9.612172969304344e-134,4.248196204949685e-20,4.48255887868897e-99,9.450560200543987e-13,3.230257427286375e-13
1.202488604390591e-19,0.058717038926530046,0.0,1.457944076543205,0.031075110263184432,0.3194096818757091,0.35048479213953954,0.20701222018021495,0.09201819553881588,0.0,1.0940321619780418e-58,8.49639331020898e-20,2.18806409813284e-58,0.0,3.1082796576340865e-125,1.8262034425961804e-61,3.858131244284285e-97,2.38088831336279e-51,1.1782156912472378e-75,1.9171095781072737e-65,7.175737053488883e-33,8.06020222902343e-123,2.8902347484530895e-44,3.498980784826832e-80,1.540977450826412e-95,6.151795232714539e-132,8.496393310209696e-20,7.172096105861369e-98,1.8901122251300123e-12,6.460515539112446e-13
2.404977336201473e-19,0.058717038926530046,0.0,1.4579440765406688,0.031075110263184432,0.3194096818750631,0.35048479213953954,0.20701222018021495,0.09201819553692576,0.0,8.752258377817453e-58,1.6992787520728286e-19,1.7504514949048734e-57,0.0,3.971944066063756e-123,7.306032841194883e-61,7.081970912705732e-96,9.523554010147562e-51,9.425726695228174e-75,1.5336878520871346e-64,1.4351474867346305e-32,2.5792651839859296e-121,5.78046980305297e-44,2.7991849739091666e-79,4.923219292068703e-94,3.937152524757283e-130,1.699278752072972e-19,1.1475355289351428e-96,3.7802245894943135e-12,1.2921031762640872e-12
4.809954799823237e-19,0.058717038926530046,0.0,1.4579440765355964,0.031075110263184432,0.319409681873771,0.35048479213953954,0.20701222018021495,0.09201819553314554,0.0,7.001807135051234e-57,3.39855759417669e-19,1.400361282483345e-56,0.0,5.079829910104856e-121,2.9233880448634935e-60,1.4239826736856904e-94,3.809421755297707e-50,7.540581822282673e-74,1.2269503575102386e-63,2.8702950495061155e-32,8.253649341872541e-120,1.1560939911912123e-43,2.2393481175464213e-78,1.574164805118433e-92,2.5197814807018813e-128,3.3985575941769767e-19,1.836056967895954e-95,7.560449135075227e-12,2.584206420920288e-12
7.214932263445001e-19,0.058717038926530046,0.0,1.457944076530524,0.031075110263184432,0.3194096818724789,0.35048479213953954,0.20701222018021495,0.09201819552936531,0.0,2.078661529735606e-56,5.097836436280552e-19,4.157322630406964e-56,0.0,3.41497212214839e-120,6.213844629914036e-60,5.969518395362324e-94,8.095021324389282e-50,2.2386102678173682e-73,3.642508937848971e-63,4.3054426122776e-32,3.9486942267542624e-119,1.7341410020430667e-43,6.648064840757048e-78,7.529820678336508e-92,1.4306580858092621e-127,5.097836436280981e-19,6.946176570961922e-95,1.1340673497508463e-11,3.876309665527004e-12
9.619909727066764e-19,0.058717038926530046,0.0,1.4579440765254517,0.031075110263184432,0.31940968187118685,0.35048479213953954,0.20701222018021495,0.09201819552558509,0.0,4.529294113562996e-56,6.797115278384413e-19,9.058587292217568e-56,0.0,1.5710674283801765e-119,1.060282598255339e-59,1.7505345934561497e-93,1.3809154108172107e-49,4.877813998836334e-73,7.936835340815871e-63,5.740590175049084e-32,1.306881590081208e-118,2.3121880128608608e-43,1.4485783529007708e-77,2.4917725975926704e-91,5.502024375601652e-127,6.797115278384985e-19,1.8080858339350822e-94,1.5120897676794026e-11,5.168412910084236e-12
1.4429864654310293e-18,0.058717038926530046,0.0,1.457944076515307,0.031075110263184432,0.31940968186860264,0.35048479213953954,0.20701222018021495,0.09201819551802463,0.0,1.3147143706596792e-55,1.0195672962592137e-18,2.6294284699442813e-55,0.0,1.9135583281970683e-118,2.196230120590335e-59,8.418270213731176e-93,2.8590099668941e-49,1.415878942917733e-72,2.30381847998865e-62,8.610885300592054e-32,7.62523672093463e-118,3.46828203441651e-43,4.204776130307448e-77,1.453599947891581e-90,4.18748308887283e-126,1.0195672962592994e-18,6.635419957628776e-94,2.2681345605528808e-11,7.75261939908256e-12
1.923981958155382e-18,0.058717038926530046,0.0,1.4579440765051626,0.031075110263184432,0.3194096818660184,0.35048479213953954,0.20701222018021495,0.09201819551046418,0.0,2.875132062099632e-55,1.359423064679986e-18,5.750263530732575e-55,0.0,8.847832101297824e-118,3.73699185213643e-59,2.5774281551552276e-92,4.8624271355260604e-49,3.096367572822604e-72,5.038191203272097e-62,1.1481180426135023e-31,2.5370084642940777e-117,4.624376055846905e-43,9.195371204569836e-77,4.835967085575575e-90,1.5811945454425212e-125,1.3594230646801002e-18,1.7206140798743261e-93,3.0241792860764356e-11,1.0336825887898913e-11
2.4049774508797347e-18,0.058717038926530046,0.0,1.457944076495018,0.031075110263184432,0.3194096818634342,0.35048479213953954,0.20701222018021495,0.09201819550290373,0.0,5.394139050721369e-55,1.6992788331007583e-18,1.0788276988018461e-54,0.0,3.242590453871447e-117,5.712067968946233e-59,6.547237023175435e-92,7.428689960386542e-49,5.809206978740503e-72,9.452332389464044e-62,1.4351475551677992e-31,6.840701351707723e-117,5.7804700771430995e-43,1.7251767859395843e-76,1.3038928691001075e-89,4.836561394227345e-125,1.699278833100901e-18,3.7620827401760048e-93,3.780223939439364e-11,1.2921032376520293e-11
3.36696843632844e-18,0.058717038926530046,0.0,1.4579440764747287,0.031075110263184432,0.3194096818582658,0.35048479213953954,0.20701222018021495,0.09201819548778284,0.0,1.4759347202723792e-54,2.3789903699423028e-18,2.95186913589159e-54,0.0,5.0197326803221724e-116,1.099631816089254e-58,3.5062380257586976e-91,1.4285107271347993e-48,1.58950486751451e-71,2.586330354108958e-61,2.009206580276393e-31,4.032841222874903e-116,8.092658119324458e-43,4.720397996851097e-76,7.686389453135135e-89,4.2801243815251985e-124,2.3789903699425027e-18,1.4470646891463758e-92,5.2923130251506715e-11,1.8089445353165895e-11
5.290950407225851e-18,0.058717038926530046,0.0,1.45794407643415,0.031075110263184432,0.31940968184792895,0.35048479213953954,0.20701222018021495,0.09201819545754107,0.0,5.861649510240862e-54,3.738413443625392e-18,1.1723297810556872e-53,0.0,1.653211267696874e-114,2.6890635447503466e-58,3.5696460371239427e-90,3.4851334408675734e-48,6.312691408514631e-71,1.0271566787646333e-60,3.1573246304935804e-31,4.442937821069416e-115,1.2717034202053108e-42,1.8746979948596839e-75,8.467572176898571e-88,8.111903452227185e-123,3.738413443625706e-18,9.55188578177586e-92,8.316490317922323e-11,2.842627130408306e-11
7.214932378123262e-18,0.058717038926530046,0.0,1.4579440763935714,0.031075110263184432,0.3194096818375921,0.35048479213953954,0.20701222018021495,0.09201819542729932,0.0,1.467545236050347e-53,5.097836517308481e-18,2.93509016917923e-53,0.0,1.0654468431010442e-113,4.992207902455867e-58,1.4789714350060423e-89,6.456327482754919e-48,1.58046982970173e-70,2.5716291770170906e-60,4.305442680710768e-31,1.8933827449539535e-114,1.7341410282601133e-42,4.693566387043187e-75,3.6084396469164696e-87,4.301586427500951e-122,5.097836517308909e-18,3.149493017575758e-91,1.13406664381524e-10,3.876309725183213e-11
1.1062896319918083e-17,0.058717038926530046,0.0,1.4579440763124143,0.031075110263184432,0.3194096818169185,0.35048479213953954,0.20701222018021495,0.09201819536681582,0.0,5.364554939260326e-53,7.81668266467466e-18,1.0729108771202936e-52,0.0,2.767585577781239e-112,1.1761437731415347e-57,1.3198520849002968e-88,1.5141602688743352e-47,5.777346430626459e-70,9.400491149861709e-60,6.601678781145144e-31,1.7540336416559043e-113,2.6590162437157265e-42,1.7157150679813835e-74,3.3427903253593355e-86,6.610613993514255e-121,7.816682664675317e-18,1.8218354783783245e-90,1.7389015162050258e-10,5.943674913782882e-11
1.8758824203507726e-17,0.058717038926530046,0.0,1.4579440761501001,0.031075110263184432,0.31940968177557116,0.35048479213953954,0.20701222018021495,0.09201819524584898,0.0,2.689353825740375e-52,1.3254374959407015e-17,5.378707096361237e-52,0.0,1.4447565212792833e-110,3.4096253232321046e-57,2.0336360462287934e-87,4.348351782317839e-47,2.896294082501295e-69,4.712645713197778e-59,1.1194150982013894e-30,2.7782196823624272e-112,4.5087666720110355e-42,8.601207246825867e-74,5.294571177198047e-85,1.932783819540778e-119,1.3254374959408132e-17,1.645612672064893e-89,2.9485698543847403e-10,1.0078405287181707e-10
3.415067997068701e-17,0.058717038926530046,0.0,1.4579440758254725,0.031075110263184432,0.31940968169287653,0.35048479213953954,0.20701222018021495,0.09201819500391588,0.0,1.669139165775152e-51,2.4129759548871726e-17,3.3382779870170877e-51,0.0,1.1497108164192805e-108,1.1512078949045459e-56,4.4060861244478175e-86,1.4405203100239668e-46,1.7975759985299968e-68,2.924889041759044e-58,2.0379095383751397e-30,6.123709403440029e-111,8.208267518138192e-42,5.3383127765547054e-73,1.16700981171261e-83,8.26816106401186e-118,2.412975954887376e-17,1.9612442532761232e-88,5.367900904456384e-10,1.8347866018777581e-10
6.493439150504558e-17,0.058717038926530046,0.0,1.4579440751762194,0.031075110263184432,0.31940968152748733,0.35048479213953954,0.20701222018021495,0.09201819452005192,0.0,1.1699724037236693e-50,4.5880528727801155e-17,2.3399445659489883e-50,0.0,1.149787485062654e-106,4.319216521256698e-56,1.1511615262568766e-84,5.207274519837131e-46,1.2599993787213203e-67,2.0501822334404597e-57,3.87489841872264e-30,1.615672958674062e-109,1.5607269168538924e-41,3.741856137030953e-72,3.0790092101128487e-82,4.3112224892599676e-116,4.588052872780502e-17,2.703437910062564e-87,1.020654049958865e-09,3.4886787421162346e-10
1.2650181457376273e-16,0.058717038926530046,0.0,1.457944073877722,0.031075110263184432,0.31940968119670893,0.3504847921395395,0.20701222018021495,0.092018193552333,0.0,8.74967005986963e-50,8.938206708566001e-17,1.749933831368736e-49,0.0,1.2974965324793893e-104,1.7591939610912524e-55,3.321279810657468e-83,1.976231097939673e-45,9.422939211527006e-67,1.5332342923745948e-56,7.548876179417638e-30,4.6861133620424156e-108,3.040527230192767e-41,2.7983571669141564e-71,8.9303614909621e-81,2.4884762090558844e-114,8.938206708566753e-17,4.013060152113777e-86,1.988372967068379e-09,6.796462998270439e-10
1.8806923764247987e-16,0.058717038926530046,0.0,1.4579440725792367,0.031075110263184432,0.3194096808659305,0.3504847921395394,0.20701222018021495,0.09201819258462608,0.0,2.726152319527062e-49,1.3288360544351884e-16,5.452304076338896e-49,0.0,1.0849253111732933e-103,4.108834288221319e-55,1.8469003417370278e-82,4.3679383945330716e-45,2.935924144852807e-66,4.777128959074961e-56,1.1222853940112638e-29,2.609514235810063e-107,4.520327521210137e-41,8.718897774714377e-71,4.9729670190312355e-80,1.7006453961993804e-113,1.3288360544353004e-16,1.6698527416030126e-85,2.9560798817243294e-09,1.010424722199433e-09
2.49636660711197e-16,0.058717038926530046,0.0,1.4579440712807634,0.031075110263184432,0.3194096805351521,0.35048479213953937,0.20701222018021495,0.09201819161693117,0.0,6.1596614969225596e-49,1.7638514380137768e-16,1.2319321722406507e-48,0.0,5.669346730925892e-103,7.617029962836518e-55,6.583045600193357e-82,7.695849213241365e-45,6.633634805876291e-66,1.07937832762597e-55,1.4896831700807637e-29,9.30958529135196e-107,6.000127789906268e-41,1.9700094720983436e-70,1.774132401844151e-79,7.288900881493957e-113,1.7638514380139254e-16,4.6770606328856687e-85,3.923774794069794e-09,1.3412031413287945e-09
