Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511)
0.0,0.07659248437779444,0.0,0.0019017913871006357,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.50424081435249e-23,0.07659248437779444,0.0,0.0019017913871006353,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.0687114833745427e-62,1.1069113117680403e-20,5.138229084291863e-60,0.0,-2.9678957482459127e-131,5.7925222717371344e-43,4.600416350691394e-97,4.139778583295346e-51,7.738148392388829e-75,1.240585885353988e-67,1.7821357961617756e-30,-1.6102637695618e-118,2.189216152841503e-26,5.229998473817155e-78,8.139229716677667e-98,-2.0876501180398127e-131,1.1069113119462538e-20,7.845271691190085e-97,2.7004429212757087e-19,9.23027370650196e-20,2.9540236967840455e-20,7.332887898685641e-20,6.073760362972966e-20,2.9536875860809806e-20,3.36110702741881e-24,1.6163198893563487e-33,2.1892161529627405e-26,2.763569801405097e-46,1.6163198893562488e-33
4.211874280186972e-23,0.07659248437779444,0.0,0.001901791387100634,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.6374367802306345e-61,3.099351672950514e-20,7.764891780791363e-59,0.0,5.7305465041255955e-130,3.4986856243981315e-42,1.2973924293764818e-95,2.500426264310389e-50,1.169388985057467e-73,1.8747733872292494e-66,4.9899802292529706e-30,-1.573670418181242e-118,6.129805227956209e-26,7.903573693629837e-77,2.296244692628174e-96,-1.999115171659929e-131,3.09935167344951e-20,2.212492141263194e-95,7.561240179523452e-19,2.5844766378203044e-19,8.27126635099726e-20,2.0532086116318655e-19,1.7006529016312197e-19,8.270325241027107e-20,9.411099682009662e-24,9.762572131712181e-33,6.129805228688693e-26,3.280910068227958e-45,9.762572131711002e-33
9.627141211855937e-23,0.07659248437779444,0.0,0.001901791387100632,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.988742868899203e-60,7.084232395315459e-20,8.353116244710635e-58,0.0,6.051651874468931e-128,1.6844686729596987e-41,2.8221131445725273e-94,1.2038476120222866e-49,1.2579753078534373e-72,2.016795658990784e-65,1.1405669095435363e-29,2.2589335622219056e-119,1.4010983378185622e-25,8.502303918911711e-76,4.9955718756861853e-95,6.804672112026706e-131,7.084232396456021e-20,4.812653675983391e-94,1.728283469582481e-18,5.907375172159539e-19,1.8905751659431422e-19,4.69304825515801e-19,3.887206632294222e-19,1.8903600550920808e-19,2.1511085012139337e-23,4.7002582382480167e-32,1.4010983381712677e-25,3.221216960517244e-44,4.700258238246857e-32
2.0457675075193865e-22,0.07659248437779444,0.0,0.0019017913871006281,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,4.585514181149935e-59,1.5053993840045352e-19,7.67795294402264e-57,0.0,4.784574826835268e-126,7.35653602430193e-41,5.231726363810817e-93,5.25751880078509e-49,1.156296037977477e-71,1.8537826738909882e-64,2.4237046827800147e-29,7.052553207027462e-117,2.9773339678644454e-25,7.815082119452366e-75,9.263485617679515e-94,7.004360329023804e-129,1.5053993842469038e-19,8.921848827152195e-93,3.672602372765099e-18,1.2553172240834088e-18,4.0174722276330675e-19,9.972727542208472e-19,8.260314093600853e-19,4.017015117071401e-19,4.5711055756190594e-23,2.0527262594823096e-31,2.9773339694048968e-25,2.8491299224554724e-43,2.0527262594812845e-31
4.2118742801869723e-22,0.07659248437779444,0.0,0.0019017913871006201,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,3.9230039236295384e-58,3.0993516729505137e-19,6.568650392292009e-56,0.0,3.3929032174050327e-124,3.0712246496215844e-40,8.992015353584375e-92,2.1949106048631927e-48,9.892356047045732e-71,1.5859501063441763e-63,4.9899802292529713e-29,2.546994631312483e-115,6.129805227956214e-25,6.68596728894348e-74,1.5930268434089055e-92,4.978999838484371e-127,3.0993516734495044e-19,1.533437859164816e-91,7.561240178819722e-18,2.5844766378167495e-18,8.271266351025288e-19,2.0532086116302065e-18,1.7006529016136617e-18,8.270325241032354e-19,9.411099757946073e-23,8.569728053365078e-31,6.129805234387481e-25,2.39486537277879e-42,8.569728053356462e-31
8.544087825522144e-22,0.07659248437779444,0.0,0.001901791387100604,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,3.2436155075137813e-57,6.287256250842471e-19,5.431087169590383e-55,0.0,2.285644890302274e-122,1.2547082850111845e-39,1.4903653886869784e-90,8.96692600256105e-48,8.179191279106709e-70,1.3112942171931983e-62,1.0122531322198884e-28,8.56207491709632e-114,1.2434747748139761e-24,5.528087048428738e-73,2.643209937503991e-91,3.3507767515453095e-125,6.287256251854696e-19,2.541560794554214e-90,1.5338515789686512e-17,5.242795465277157e-18,1.677885459785921e-18,4.165080326445995e-18,3.4498958860898158e-18,1.677694548896353e-18,1.9091088256667138e-22,3.5010135331394944e-30,1.2434747774413954e-24,1.9634553242736295e-41,3.501013533132429e-30
1.7208514916192488e-21,0.07659248437779444,0.0,0.001901791387100572,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,2.6376542621070325e-56,1.2663065406626383e-18,4.4164698890977427e-54,0.0,1.5028138573213117e-120,5.0718350062847887e-39,2.4266892757934224e-89,3.6245748590470733e-47,6.651182511598404e-69,1.0663226799982491e-61,2.0387633508090712e-28,2.8068180020957472e-112,2.5044632788506904e-24,4.4953485796359225e-72,4.313176262952905e-90,2.198568534122755e-123,1.2663065408665038e-18,4.138272897295178e-89,3.089306700645026e-17,1.0559433120172872e-17,3.3794031091724983e-18,8.388823756065857e-18,6.948381854918126e-18,3.379018598486292e-18,3.845106579037743e-22,1.4151656464845833e-29,2.504463289471212e-24,1.5900570276108213e-40,1.4151656464788612e-29
3.4537369097533174e-21,0.07659248437779444,0.0,0.001901791387100508,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,2.1273637179770868e-55,2.5414683718194212e-18,3.5620429631666504e-53,0.0,9.77842667072337e-119,2.0394457883394692e-38,3.916736606846208e-88,1.4574256093634593e-46,5.364419651237838e-68,8.600278716105291e-61,4.091783787987437e-28,9.09035418931689e-111,5.026440286924135e-24,3.6256614846624885e-71,6.991807993230191e-89,1.4246397047007907e-121,2.5414683722285554e-18,6.679189140494949e-88,6.20021694200985e-17,2.1192708429863905e-17,6.782438408024826e-18,1.6836310615258703e-17,1.394535379207877e-17,6.7816666976809925e-18,7.717102300287066e-22,5.690318823261711e-29,5.026440329628933e-24,1.2798162276515259e-39,5.690318823215655e-29
6.919507746021456e-21,0.07659248437779444,0.0,0.00190179138710038,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070587,0.0,1.7088142292811323e-54,5.091792034132987e-18,2.8612266202217475e-52,0.0,6.349087218485165e-117,8.179757425474973e-38,6.294252343960058e-87,5.844928543083196e-46,4.308993593529585e-67,6.908211567995934e-60,8.197824662344167e-28,2.9263980180213433e-109,1.0070394303071093e-23,2.912328476410796e-70,1.1333107770114553e-87,9.174280902032664e-120,5.091792034952593e-18,1.0733277641107495e-86,1.2422037416787785e-16,4.2459259048844394e-17,1.3588509006046166e-17,3.3731284333456894e-17,2.793929766441611e-17,1.3586962896129677e-17,1.5461094600814783e-21,2.2820723538525114e-28,1.007039447433673e-23,1.0269719226721161e-38,2.282072353815554e-28
