Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539)
0.0,0.04692242069448014,0.0,0.0011650837058439418,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.898222515461733e-23,0.04692242069448014,0.0,0.0011650837058439414,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.679791149362365e-79,5.090387478929817e-27,1.1283420289422583e-77,0.0,5.141209426171741e-167,8.511552240203687e-51,6.648652582791499e-129,7.441882171937479e-67,-9.1438991302582e-100,5.741098693056575e-87,1.2925335988603636e-43,-1.8311777004474931e-146,4.821904954095041e-38,-1.7440603504673385e-105,-5.87156036803951e-127,-5.725134797349325e-159,5.090387478929818e-27,-7.213264545145106e-130,2.66723867941307e-19,9.116779642886036e-20,2.917371416917674e-20,7.242723806901688e-20,5.999078314865351e-20,2.917369485723532e-20,1.9311941349520142e-26,3.43030328429113e-35,4.821963779097776e-38,4.0334214366063465e-50
5.315023043292853e-23,0.04692242069448014,0.0,0.00116508370584394,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.4628100384916444e-77,1.4253084941003488e-26,1.705150474138254e-76,0.0,1.4449118228649072e-165,1.2862459063683001e-49,2.0357677836701486e-127,4.494896831850237e-66,4.060856220130843e-99,8.675948344947102e-86,3.619094076809017e-43,-1.8311777004474883e-146,1.3501333871467745e-37,5.0306112706447275e-105,5.836735884030598e-126,-5.725134797349301e-159,1.4253084941003488e-26,7.594536868369522e-129,7.468268302340722e-19,2.5526983000080894e-19,8.16863996736949e-20,2.0279626659324713e-19,1.679741928162229e-19,8.16863456002587e-20,5.407343577865632e-26,2.071903183711834e-34,1.3501689174484263e-37,4.788477929539032e-49
1.2148624098955092e-22,0.04692242069448014,0.0,0.0011650837058439381,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.573624287569546e-76,3.257847986515084e-26,1.834323069612011e-75,0.0,3.518136886286393e-163,1.3836767989647996e-48,4.567544576776702e-126,2.164099335599419e-65,2.265566396751752e-98,9.333189323328219e-85,8.272215032706326e-43,-1.8311777004473631e-146,3.0860191706219677e-37,3.0350708603463185e-104,3.2105000588014267e-124,-5.725134797347781e-159,3.2578479865150823e-26,1.0793715168016104e-127,1.707032754813254e-18,5.834738971447052e-19,1.867117706827314e-19,4.635343236417071e-19,3.839410121513343e-19,1.8671164708630479e-19,1.2359642463692845e-25,9.97532195071849e-34,3.0861902337299194e-37,4.701356026508294e-48
2.581582621027957e-22,0.04692242069448014,0.0,0.0011650837058439342,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.446431831866924e-75,6.922926971344553e-26,1.6860589270095605e-74,0.0,5.889983152829691e-161,1.2718342963163265e-47,8.946324796771681e-125,9.451190358360599e-65,2.3903839718612214e-97,8.578808955060577e-84,1.7578456944500943e-42,-1.8311777004416517e-146,6.5577907375749616e-37,3.2499381224116304e-103,1.2623594136538054e-122,-5.725134797212753e-159,6.922926971344545e-26,2.2568641730551844e-126,3.627444603946222e-18,1.2398820314324952e-18,3.9676251270080515e-19,9.850104377386248e-19,8.1587465082144735e-19,3.9676225005839416e-19,2.6264240235347176e-25,4.3564851710496164e-33,6.558537815109691e-37,4.158296164283549e-47
5.3150230432928525e-22,0.04692242069448014,0.0,0.0011650837058439264,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.2374528847851096e-74,1.4253084941003493e-25,1.4424589096980264e-73,0.0,8.573042052476934e-159,1.088079800529603e-46,1.70190792407101e-123,3.9456859275612515e-64,2.073424889869795e-96,7.339351676019202e-83,3.619094076809018e-42,-1.8311777002373782e-146,1.3501333871491382e-36,2.8228332721455406e-102,4.458290047572899e-121,-5.725134787460104e-159,1.425308494100346e-25,3.9587191501556333e-125,7.468268302110578e-18,2.552698300008062e-18,8.168639967369559e-19,2.0279626659324507e-18,1.6797419281612343e-18,8.168634560025619e-19,5.407343577865547e-25,1.8187468013310522e-32,1.3504452773136369e-36,3.495298482219844e-46
1.0781903887822644e-21,0.04692242069448014,0.0,0.0011650837058439106,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.0231499751328163e-73,2.891340088032137e-25,1.1926529209604782e-72,0.0,1.1688304954063498e-156,8.996449354480042e-46,3.3652382738357433e-122,1.6119414459703455e-63,1.7170800089246776e-95,6.068317894878114e-82,7.341590841526865e-42,-1.8311776933729866e-146,2.738842013936595e-36,2.3380561790313658e-101,1.4974910264689972e-119,-5.725134129804965e-159,2.891340088032124e-25,6.579758390841799e-124,1.5149915698032968e-17,5.178330837159146e-18,1.6570669648092692e-18,4.113867122320067e-18,3.4074764828390525e-18,1.657065867890852e-18,1.0969182686527054e-24,7.430174125905073e-32,2.7401161870258273e-36,2.865656872763099e-45
2.1715665576882226e-21,0.04692242069448014,0.0,0.001165083705843879,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,8.320085677332338e-73,5.823403275895713e-25,9.698455482496081e-72,0.0,1.5436371080395333e-154,7.315761268458856e-45,7.252389475271367e-121,6.515725051875515e-63,1.3965690421622957e-94,4.934655332041685e-81,1.478658437096256e-41,-1.8311774684728507e-146,5.516259267528201e-36,1.9016690992283506e-100,4.9084884503461365e-118,-5.725090979494444e-159,5.82340327589566e-25,1.0717362717535335e-122,3.0513210488252457e-17,1.0429595911461112e-17,3.3374729009539457e-18,8.285676035095152e-18,6.862945592187666e-18,3.3374706916672545e-18,2.209286090384946e-24,3.003395179953804e-31,5.521409678877627e-36,2.3206832327349293e-44
4.358318895500139e-21,0.04692242069448014,0.0,0.0011650837058438158,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,6.710450514571439e-72,1.1687529651622864e-24,7.822155697359854e-71,0.0,2.006861920891684e-152,5.900425720223803e-44,1.742853767003715e-119,2.6199443861592765e-62,1.126410086360634e-93,3.979978295457742e-80,2.967657142983395e-41,-1.831170187310894e-146,1.1071093774778183e-35,1.5338047121946018e-99,1.5896166659358684e-116,-5.722295316626838e-159,1.1687529651622649e-24,1.7298676071340898e-121,6.123980006219028e-17,2.0932126060064245e-17,6.698284773243495e-18,1.6629293860644742e-17,1.3773883810856798e-17,6.698280339219345e-18,4.434021733849185e-24,1.2076519924472412e-30,1.1091803352290903e-35,1.8678877605828677e-43
8.731823571123972e-21,0.04692242069448014,0.0,0.0011650837058436894,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,5.3901987832576545e-71,2.3415782403077163e-24,6.283180843272518e-70,0.0,2.588816513706534e-150,4.739542507718641e-43,4.640108468957783e-118,1.0507148787265488e-61,9.047964818031403e-93,3.1969350074162513e-79,5.945654554757672e-41,-1.830935833979708e-146,2.218076278954522e-35,1.232039307374092e-98,5.117221353425973e-115,-5.542278909553908e-159,2.3415782403076307e-24,2.779867221118245e-120,1.2269297918406128e-16,4.1937186357267314e-17,1.3419908517823383e-17,3.3316529511741575e-17,2.759576024808269e-17,1.3419899634320676e-17,8.8834930207767e-24,4.843224625266207e-30,2.2263817457956155e-35,1.4988622924047e-42
