Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88)
0.0,0.054791484931128634,0.0,0.0013604725708399239,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.732062452409558e-23,0.054791484931128634,0.0,0.0013604725708399232,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.797988652002446e-72,1.3405595371899556e-24,4.567124445494894e-71,0.0,-2.2755802215846755e-155,3.904807196000854e-50,7.501648641229312e-117,5.735055988035644e-61,8.328739688408258e-91,1.1988429598421723e-79,1.117940399996068e-38,-6.007278010930111e-136,1.0069305670084448e-33,1.0107666098587414e-95,-1.872745876446541e-117,-1.3859499299867372e-148,1.3405595371899661e-24,9.044438417130583e-118,2.6299327187256e-19,8.989265661645927e-20,2.876577847834777e-20,7.141421748080819e-20,5.915170796019e-20,2.876565011726695e-20,1.2836108054376487e-25,1.3971020939180244e-34,1.006930713031062e-33
4.849774866746762e-23,0.054791484931128634,0.0,0.0013604725708399226,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.7171204509066907e-71,3.7535667041318754e-24,6.901838462032937e-70,0.0,2.958790523361253e-153,5.119223514637679e-49,2.1181972301474798e-115,3.463973816773529e-60,1.258637066213438e-89,1.8116914809115038e-78,3.130233119988991e-38,-6.007278010071945e-136,2.819405587623671e-33,1.5274750942584076e-94,5.967649711931314e-116,-1.3859499296172574e-148,3.7535667041319056e-24,2.550866025902898e-116,7.36381161240741e-19,2.5169943852608536e-19,8.054417973937442e-20,1.9995980894626258e-19,1.6562478228851171e-19,8.054382032834722e-20,3.594110255225414e-25,8.43849664726484e-34,2.8194064696002788e-33
1.1085199695421172e-22,0.054791484931128634,0.0,0.0013604725708399206,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.9229541917880166e-70,8.579581038015715e-24,7.424682868553463e-69,0.0,5.1837092416746334e-151,5.197720135941856e-48,4.609805561267666e-114,1.6677542813207654e-59,1.3539784355762412e-88,1.948935022953947e-77,7.154818559974835e-38,-6.007277967869852e-136,6.444355628854226e-33,1.6431813530493637e-93,2.272986045605258e-114,-1.3859498928767291e-148,8.579581038015781e-24,5.54868383049835e-115,1.6831569399673943e-18,5.753130023453351e-19,1.8410098226143029e-19,4.570509918771698e-19,3.785709309450739e-19,1.841001607505067e-19,8.215109154800933e-25,4.0627728891135745e-33,6.444359875191935e-33
2.3556049352769985e-22,0.054791484931128634,0.0,0.0013604725708399167,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.686698482914844e-69,1.8231609705783395e-23,6.824562716415554e-68,0.0,7.311150268762665e-149,4.656709845589351e-47,8.553584910282801e-113,7.283521104805269e-59,1.2445389581450156e-87,1.791407058030857e-76,1.5203989439946525e-37,-6.0072763192531855e-136,1.3694255711315746e-32,1.5103662003274307e-92,7.564966329772324e-113,-1.3859469981711662e-148,1.8231609705783527e-23,1.0286320503464849e-113,3.5767084973818655e-18,1.2225401299838242e-18,3.9121458730555225e-19,9.71233357738978e-19,8.044632282578731e-19,3.9121284159482144e-19,1.745710695395192e-24,1.7743196592758485e-32,1.369427425618813e-32
4.849774866746761e-22,0.054791484931128634,0.0,0.001360472570839909,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.298527116856641e-68,3.753566704131875e-23,5.838557085628939e-67,0.0,9.728388321611355e-147,3.935976728927159e-46,1.4728122240134822e-111,3.0407266848564983e-58,1.0647292351705947e-86,1.5325864537449122e-75,3.1302331199889903e-37,-6.007218242879759e-136,2.8194055876240424e-32,1.2921500315570028e-91,2.4497808152178375e-111,-1.3857421345659552e-148,3.753566704131898e-23,1.7679555729337352e-112,7.363811612055466e-18,2.5169943852607612e-18,8.054417973938372e-19,1.99959808946257e-18,1.656247822882172e-18,8.054382032834338e-19,3.594110255225369e-24,7.407435301952975e-32,2.819413329743207e-32
9.838114729686289e-22,0.054791484931128634,0.0,0.0013604725708398933,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.9004666693733304e-67,7.614378171238947e-23,4.827431905022325e-66,0.0,1.2665064776871108e-144,3.235231587298037e-45,2.4499263857218207e-110,1.2422360672324724e-57,8.80338717099764e-86,1.2671721172724065e-74,6.349901471977665e-37,-6.005270056904162e-136,5.719365620609633e-32,1.0683746288689726e-90,7.87053732122056e-110,-1.3719662519995018e-148,7.614378171238977e-23,2.9302566835422745e-111,1.49380178407813e-17,5.10590289581447e-18,1.6338962175705708e-18,4.056327552909658e-18,3.3598170121255708e-18,1.6338889266605906e-18,7.29090937488564e-24,3.026179019509867e-31,5.719397249692611e-32
1.981479445556534e-21,0.054791484931128634,0.0,0.001360472570839862,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.5454279333826843e-66,1.5336001105453088e-22,3.92558745320499e-65,0.0,1.6338743606883464e-142,2.623203443299545e-44,4.017883443705493e-109,5.021316800212631e-57,7.158768240199436e-85,1.0304433211039664e-73,1.2789238175955017e-36,-5.941454495041196e-136,1.1519285686583435e-31,8.687845045933327e-90,2.5222836590728523e-108,-4.684296593084142e-149,1.5336001105453086e-22,4.771163384929563e-110,3.00864302957475e-17,1.0283719916921232e-17,3.290805057924694e-18,8.169786479803448e-18,6.766955390591572e-18,3.290790373414633e-18,1.4684507614205863e-23,1.2232299441254663e-30,1.1519413536393892e-31
3.976815390732345e-21,0.054791484931128634,0.0,0.0013604725708397998,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,1.2464436152448375e-65,3.0779246973881374e-22,3.166128495183287e-64,0.0,2.0992218191421682e-140,2.112657318301467e-43,6.577889823901485e-108,2.0190494008119003e-56,5.773805929484239e-84,8.310898688432529e-73,2.566791158390972e-36,-3.8754734541715666e-136,2.3119125818541523e-31,7.007061767864632e-89,8.076184032180852e-107,5.806799972312673e-147,3.0779246973881096e-22,7.7006769381921535e-109,6.038325519573804e-17,2.063935395913213e-17,6.6046227386355646e-18,1.6396704333589472e-17,1.3581232147440392e-17,6.604593266921635e-18,2.9471704092845005e-23,4.9185538057199544e-30,2.311963989700634e-31
7.967487281083965e-21,0.054791484931128634,0.0,0.0013604725708396752,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070587,0.0,1.0012112962762944e-64,6.166573871073794e-22,2.5432065887877195e-63,0.0,2.691938867175635e-138,1.695781106555214e-42,1.0869420526928574e-106,8.097291139171592e-56,4.637834915555553e-83,6.675765792608174e-72,5.1425258399819125e-36,6.2620504720507e-135,4.631880608249964e-31,5.628453072266736e-88,2.5850727431959387e-105,3.827282179884662e-145,6.166573871073633e-22,1.2374781109232064e-107,1.2097690495595167e-16,4.135062204354342e-17,1.3232258100067803e-17,3.285054004115533e-17,2.7209785660805294e-17,1.3232199053931303e-17,5.90460970501181e-23,1.9725600637885173e-29,4.632086776707075e-31
