Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211)
4.062902893236739e-18,0.05003979878925138,0.0,0.001242488203828737,0.031075110263184432,0.319409681876335,0.35048479213952355,0.2070122201802017,0.09201819554064702,0.0,3.3325244329849243e-60,1.2957802454652506e-20,6.665048828546001e-60,0.0,2.8292865230979017e-126,1.304272644888085e-65,2.783506537705037e-100,5.386043044003353e-54,1.7434707058458696e-80,5.639980345006623e-68,4.0523121202086433e-36,3.4247565204372698e-130,6.247272740856684e-49,6.0849032188714806e-86,2.3201546021067445e-97,1.1006313441994375e-137,1.2957802454652509e-20,4.90482186258432e-104,5.895472686680687e-14,2.015108118393998e-14,1.2785149749770682e-60,1.6008801478231258e-14,1.32599358408557e-14
8.125819563182023e-18,0.05003979878925138,0.0,0.0012424882037203621,0.031075110263184432,0.31940968187631485,0.35048479213950756,0.20701222018018844,0.09201819554058807,0.0,2.666030093157269e-59,2.591564884731418e-20,5.3320601563753425e-59,0.0,3.6215132304646945e-124,5.247148699508418e-65,8.892443147977596e-99,2.1544226965820682e-53,1.3947829710528925e-79,4.512002125408281e-67,8.104637981213726e-36,1.095929332066193e-128,1.2494566665266944e-48,4.8679449340499395e-85,7.4245360647105235e-96,7.04520740753134e-136,2.5915648847314185e-20,7.847755275292885e-103,1.1790961460020693e-13,4.0302230693313497e-14,5.114072905278387e-60,3.201765723640429e-14,2.6519916419663803e-14
1.6251652903072588e-17,0.05003979878925138,0.0,0.0012424882035036125,0.031075110263184432,0.31940968187627455,0.35048479213947553,0.20701222018016194,0.09201819554047017,0.0,2.1328282932414124e-58,5.183134163263516e-20,4.2656565625314195e-58,0.0,4.6355538828451033e-122,2.1228980609447877e-64,2.843217348677855e-97,8.617701744294344e-53,1.1158286728054054e-78,3.609608840101067e-66,1.6209289703222847e-35,3.5069844577415135e-127,2.4989154513988066e-48,3.8943639604019496e-84,2.3758581548031418e-94,4.510377515237012e-134,5.1831341632635167e-20,1.2556436691966226e-101,2.3581927294619307e-13,8.060452970026797e-14,2.0456317629518907e-59,6.40353687420735e-14,5.30398769036361e-14
2.4377486242963155e-17,0.05003979878925138,0.0,0.0012424882032868632,0.031075110263184432,0.31940968187623425,0.3504847921394435,0.20701222018013543,0.09201819554035226,0.0,6.331837555104374e-58,7.774703441795377e-20,1.2663675039102976e-57,0.0,3.11671075506478e-121,4.5517206820158756e-64,1.3600095743465813e-96,1.8312623055346736e-52,3.312612514232154e-78,1.0716032268239135e-65,2.4313941425230936e-35,1.6778036490340643e-126,3.7483742362609784e-48,1.1561379542047287e-83,1.136653880288482e-93,2.561157236586175e-133,7.77470344179538e-20,4.7503515071931995e-101,3.537288141714817e-13,1.209068286954299e-13,4.346969121465984e-59,9.605308023706587e-14,7.955983671396446e-14
4.0629152922744284e-17,0.05003979878925138,0.0,0.0012424882028533645,0.031075110263184432,0.31940968187615365,0.35048479213937944,0.2070122201800824,0.09201819554011643,0.0,2.9659677334475545e-57,1.2957841998858153e-19,5.931935433587649e-57,0.0,1.6902113597262672e-119,1.2858112344497274e-63,2.0501703918419607e-95,5.0629034730758974e-52,1.5517004625428691e-77,5.019618027401329e-65,4.052324486924296e-35,2.5300322096017055e-125,6.247291805945561e-48,5.415604120902378e-83,1.714008049696144e-92,6.890362004145759e-132,1.2957841998858157e-19,3.749030974649501e-100,5.895474281401986e-13,2.0151142663858353e-13,1.2018095381199664e-58,1.6008850318434326e-13,1.3259975364004576e-13
5.52556529345473e-17,0.05003979878925138,0.0,0.0012424882024632163,0.031075110263184432,0.3194096818760811,0.3504847921393218,0.20701222018003465,0.0920181955399042,0.0,6.844272841781303e-57,1.7622666700213886e-19,1.3688545606702249e-56,0.0,9.109088069827471e-119,2.324872222139491e-63,7.478536833218915e-95,9.015532195864453e-52,3.580708135641029e-77,1.1583280206869896e-64,5.511161796885042e-35,9.229696112911552e-125,8.496317618629568e-48,1.2497062547334575e-82,6.252794554328841e-92,2.992981596686328e-131,1.7622666700213888e-19,1.0521010408157176e-99,8.017838022935695e-13,2.740555647493198e-13,2.1400669871600226e-58,2.1772038380239583e-13,1.8033567669695888e-13
6.988215294635031e-17,0.05003979878925138,0.0,0.001242488202073068,0.031075110263184432,0.31940968187600854,0.3504847921392642,0.2070122201799869,0.09201819553969197,0.0,1.3178234753502256e-56,2.2287491401568807e-19,2.6356469359014526e-56,0.0,3.1522485252143917e-118,3.685375993957279e-63,2.0052276972850678e-94,1.4073374091935722e-51,6.8944338421448544e-77,2.2302907746441577e-64,6.969999106845432e-35,2.4748638603597943e-124,1.074534343127958e-47,2.406232725201431e-82,1.6766332980811523e-91,9.065200270344391e-131,2.228749140156881e-19,2.4088480231854403e-99,1.0140197758995416e-12,3.4659970281972586e-13,3.340675029629122e-58,2.7535226438393396e-13,2.280715974500279e-13
8.450865295815333e-17,0.05003979878925138,0.0,0.0012424882016829205,0.031075110263184432,0.319409681875936,0.3504847921392066,0.20701222017993917,0.09201819553947974,0.0,2.240624111645886e-56,2.695231610292297e-19,4.481248198129833e-56,0.0,9.325496448215182e-118,5.362463307621327e-63,4.6068411804698686e-94,2.017520697183675e-51,1.1722233044619373e-76,3.7920430005398734e-64,8.428836416805489e-35,5.685984589866739e-124,1.299436924389748e-47,4.0911873853917116e-82,3.852055529011954e-91,2.3541259673404868e-130,2.695231610292297e-19,4.69740073678148e-99,1.2262553711467031e-12,4.191438408520358e-13,4.789101013992866e-58,3.329841449309803e-13,2.758075160268721e-13
1.1376165298175937e-16,0.05003979878925138,0.0,0.0012424882009026263,0.031075110263184432,0.3194096818757909,0.35048479213909134,0.2070122201798437,0.09201819553905527,0.0,4.954043801698812e-56,3.628196550562953e-19,9.908087547764308e-56,0.0,5.628849727369972e-117,9.485445223163372e-63,1.6610659665792149e-93,3.4759675009176227e-51,2.591798942206334e-76,8.384247507182056e-64,1.1346511036724832e-34,2.0502718379975294e-123,1.7492420869060045e-47,9.045661434527842e-82,1.3889871975004737e-90,1.0422057998404617e-129,3.6281965505629547e-19,1.2471415439644469e-98,1.6507256988026186e-12,5.642321168297782e-13,8.251097250235894e-58,4.4824790594641526e-13,3.7127934821772e-13
1.430146530053654e-16,0.05003979878925138,0.0,0.0012424882001223333,0.031075110263184432,0.3194096818756458,0.3504847921389761,0.2070122201797482,0.0920181955386308,0.0,9.281335799293646e-56,4.561161490833328e-19,1.856267149435901e-55,0.0,2.0148004479389205e-116,1.4901286944659546e-62,4.43229480104274e-93,5.3203158698579865e-51,4.855701756712771e-76,1.5707777252970452e-63,1.426418565664294e-34,5.470975860205548e-123,2.199047249410391e-47,1.6946929564249e-81,3.706393524636758e-90,3.138048173143224e-129,4.56116149083333e-19,2.705220020799227e-98,2.075194627895945e-12,7.093203926667023e-13,1.2629129477017919e-57,5.635116668343549e-13,4.667511723643561e-13
1.7226765302897143e-16,0.05003979878925138,0.0,0.0012424881993420421,0.031075110263184432,0.3194096818755007,0.35048479213886086,0.20701222017965273,0.09201819553820634,0.0,1.5707783593260598e-55,5.494126431103401e-19,3.1415567010124678e-55,0.0,6.07985685180704e-116,2.1782385829271623e-62,1.0241161026190762e-92,7.576740629055465e-51,8.217816926606505e-76,2.658392834354379e-63,1.718186027655972e-34,1.2641353358511253e-122,2.6488524119021027e-47,2.8681078782189235e-81,8.564071367288408e-90,8.128509202274047e-129,5.494126431103402e-19,5.228163259679144e-98,2.4996620635699568e-12,8.544086683532565e-13,1.798533033004776e-57,6.787754275861513e-13,5.622229879211604e-13
2.307736530761835e-16,0.05003979878925138,0.0,0.0012424881977814643,0.031075110263184432,0.3194096818752105,0.3504847921386303,0.2070122201794618,0.0920181955373574,0.0,3.735506397103567e-55,7.360056311642624e-19,7.471012752257848e-55,0.0,5.862921275710799e-115,4.0559040608966575e-62,4.5956646281465534e-92,1.3349039475356333e-50,1.9542993056179723e-75,6.321988955211116e-63,2.301720951638924e-34,5.672901839107804e-122,3.5484627368467863e-47,6.820718062838719e-81,3.84319063751107e-89,5.042829348562556e-128,7.360056311642626e-19,1.6451463639314538e-97,3.3485923705365966e-12,1.1445852192667834e-12,3.168735688523881e-57,9.093029486736446e-13,7.53166592781249e-13
2.8927965312339556e-16,0.05003979878925138,0.0,0.0012424881962208923,0.031075110263184432,0.31940968187492036,0.3504847921383998,0.20701222017927087,0.09201819553650847,0.0,7.295302082330509e-55,9.225986192180618e-19,1.4590604082735653e-54,0.0,2.600348880882973e-114,6.651048837467039e-62,1.3779756207774067e-91,2.0795369127166634e-50,3.816672452009085e-75,1.2346604258308487e-62,2.8852558756213373e-34,1.701000095069634e-121,4.448073061739978e-47,1.3320603788029057e-80,1.1523674292639944e-88,1.827778998047803e-127,9.225986192180624e-19,3.9519649082623286e-97,4.197516610661623e-12,1.434761769569446e-12,4.936312337198538e-57,1.1398304692080683e-12,9.44110162745773e-13
4.062916532178197e-16,0.05003979878925138,0.0,0.0012424881930997668,0.031075110263184432,0.31940968187434,0.3504847921379387,0.20701222017888898,0.09201819553481065,0.0,2.040084658504977e-54,1.295784595325293e-18,4.080169294100049e-54,0.0,3.500125179896504e-113,1.4400451327486121e-61,8.121127883149086e-91,4.07134609636476e-50,1.0673081160640373e-74,3.4526490675428324e-62,4.052325723584551e-34,1.0025052075817204e-120,6.247293711371783e-47,3.7250219170243146e-80,6.79161804678813e-88,1.6093101751497345e-126,1.2957845953252936e-18,1.5904406797391396e-96,5.895346878505939e-12,2.0151148683409677e-12,9.664380470751147e-57,1.6008855086166097e-12,1.3259971979185401e-12
