Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659)
0.0,0.06662394546715897,0.0,0.0016542725659495568,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6693699924560542e-23,0.06662394546715897,0.0,0.0016542725659495561,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,6.103545894254811e-66,4.269445571452937e-22,4.5795949258862755e-64,0.0,1.8549737002981766e-107,7.282296288661275e-46,4.315285033234283e-75,9.617731486100495e-55,1.1556529495547064e-80,8.409418904235473e-43,1.6775731543847796e-33,-6.736813316540721e-125,4.023349541027608e-29,1.5917339674480544e-84,7.539019184131253e-72,1.015086032228335e-118,4.269445571469712e-22,1.7583839066786976e-97,2.795067704982906e-19,9.553706816727133e-20,6.074851233296442e-20,7.589835722273147e-20,6.28658776846878e-20,3.0571861813527125e-20,1.0292307754174638e-24,7.082116031169526e-34,1.1706114350513957e-27,7.478819507623186e-47,7.0821160311691065e-34,6.238877851882104e-36,1.1303779395928627e-27,3.017562128866045e-20,3.5919491241288704e-53
4.6742359788769516e-23,0.06662394546715897,0.0,0.001654272565949555,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.223678554317075e-65,1.1954447600068226e-21,6.920683851583094e-63,0.0,1.128471723931698e-105,4.403245114396952e-45,5.123120676624617e-74,5.809109817604698e-54,1.746422737285117e-79,5.079289018158226e-42,4.697204832277382e-33,-6.73666890313765e-125,1.1265378714877317e-28,2.405428371223234e-83,8.950325369723485e-71,6.175267522897371e-117,1.1954447600115195e-21,5.528639986831217e-96,7.826189573910243e-19,2.6750379086835347e-19,1.7009583453230606e-19,2.1251540022364492e-19,1.7602445751705605e-19,8.560121307787477e-20,2.881846173443293e-24,4.277598082826247e-33,3.277712018300367e-27,8.878854519449599e-46,4.277598082825748e-33,3.76828222501839e-35,3.165058230860016e-27,8.449173960824923e-20,2.1695372709778826e-52
1.0683967951718746e-22,0.06662394546715897,0.0,0.0016542725659495527,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.922412488134764e-64,2.7324451657298802e-21,7.444955878638262e-62,0.0,5.0944628757192116e-104,2.1246636190455816e-44,5.029938929418963e-73,2.7968363161580243e-53,1.8787218868659823e-78,2.445459017351672e-41,1.073646818806259e-32,-6.729567035752361e-125,2.574943706257679e-28,2.5876500756614497e-82,8.787486123791078e-70,2.787812089155094e-115,2.732445165740615e-21,1.2334091633690922e-94,1.788843331159733e-18,6.1143723627049185e-19,3.887904789310118e-19,4.857494862254587e-19,4.023416171815132e-19,1.9565991560656528e-19,6.5870769785925285e-24,2.059479341863877e-32,7.491913185424147e-27,8.717312018083576e-45,2.059479341863388e-32,1.8142656830497155e-34,7.234418813394322e-27,1.9312397624742647e-19,1.044538805303011e-51
2.2703431897402336e-22,0.06662394546715897,0.0,0.0016542725659495481,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.120406557723424e-63,5.8064459771759956e-21,6.843197105412937e-61,0.0,1.923573797106828e-102,9.319927068672299e-44,4.448974630082786e-72,1.221451898734763e-52,1.7268690892859235e-77,1.0679962008379001e-40,2.2814994899633002e-32,-6.452133849734977e-125,5.471755375797594e-28,2.378496232350509e-81,7.772438318276271e-69,1.0526256479990396e-113,5.806445977198804e-21,2.3100388568754165e-93,3.80129207863012e-18,1.2993041270746649e-18,8.261797677285135e-19,1.0322176582290333e-18,8.549759365093102e-19,4.157773206639272e-19,1.3997538625281303e-23,8.99428735958301e-32,1.592031552217505e-26,7.710363759574973e-44,8.994287359578684e-32,7.923374910355057e-34,1.5373139978462935e-26,4.1038844952577963e-19,4.5617753877164564e-51
4.674235978876952e-22,0.06662394546715897,0.0,0.001654272565949539,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.802699827685618e-62,1.1954447600068225e-20,5.854499197736955e-60,0.0,6.67378183061129e-101,3.925072444491424e-43,3.739716279219054e-71,5.0993212339304825e-52,1.4773728627238675e-76,4.458673903025599e-40,4.6972048322773827e-32,3.321098628315274e-125,1.1265378714877512e-27,2.0348536027235257e-80,6.533213411675095e-68,3.652053242826382e-112,1.1954447600115171e-20,3.990017657570486e-92,7.826189573302762e-18,2.6750379086825963e-18,1.7009583453238778e-18,2.125154002235973e-18,1.7602445751604352e-18,8.560121307785748e-19,2.8818462064220065e-23,3.754937919724022e-31,3.277712020569024e-26,6.4810253241864634e-43,3.754937919720386e-31,3.3078530716861967e-33,3.165058230860016e-26,8.449173960824813e-19,1.9044514256925304e-50
9.482021557150388e-22,0.06662394546715897,0.0,0.0016542725659495208,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,6.451423106950575e-61,2.4250450845852686e-20,4.840613151602893e-59,0.0,2.2226551426857498e-99,1.631448374199854e-42,3.066184761299936e-70,2.0832391108153118e-51,1.221520452489853e-75,1.821513772332977e-39,9.528615516905548e-32,3.311665444644014e-123,2.2852625393037682e-27,1.6824563089419687e-79,5.3563405861296474e-67,1.2162901225083472e-110,2.425045084594787e-20,6.629474012514044e-91,1.587598456157553e-17,5.426505471896802e-18,3.45051550051605e-18,4.311026690249011e-18,3.57078185244481e-18,1.736481751007565e-18,5.846030952434246e-23,1.5340146608136993e-30,6.64907296127741e-26,5.31353612781851e-42,1.534014660810718e-30,1.3513659275392362e-32,6.420546696887461e-26,1.7139752891958655e-18,7.7803054817384265e-50
1.909759271369726e-21,0.06662394546715897,0.0,0.0016542725659494841,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,5.246190128048677e-60,4.884245733742161e-20,3.936306224014825e-58,0.0,7.255163261550551e-98,6.82034626777601e-42,2.483301707885306e-69,8.420785567192317e-51,9.933201454664413e-75,7.3628499027652e-39,1.919143688616188e-31,1.1070203578925506e-121,4.602711874935941e-27,1.3681455289043133e-78,4.337731840297511e-66,3.9701990831454514e-109,4.884245733761309e-20,1.0807715832184478e-89,3.197557453383099e-17,1.0929440598318578e-17,6.949629810906164e-18,8.682772066271722e-18,7.191856406942051e-18,3.497420991464325e-18,1.1774400677356672e-22,6.200732526844062e-30,1.3391794858715596e-25,4.303039319023696e-41,6.200732526819922e-30,5.462437266559416e-32,1.2931523628942351e-25,3.452091075422557e-18,3.1449238728743605e-49
3.8328735026791004e-21,0.06662394546715897,0.0,0.0016542725659494109,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,4.231242394560459e-59,9.802647032055945e-20,3.1747735721541477e-57,0.0,2.344773574270019e-96,2.923992383260641e-41,1.999140728675098e-68,3.3859608406076233e-50,8.011486828121986e-74,2.960569562911421e-38,3.851707962467454e-31,3.587384879945708e-120,9.237610546200835e-27,1.1034589335368717e-77,3.491429613959104e-65,1.2831162516581257e-107,9.802647032094287e-20,1.7454489936994048e-88,6.417475446118165e-17,2.1935310851135587e-17,1.3947858431709488e-17,1.7426262818303682e-17,1.443400551565052e-17,7.019299472372962e-18,2.3631141058793317e-22,2.493287277225713e-29,2.6877238717677584e-25,3.4634603998927895e-40,2.4932872772062827e-29,2.1964220988251822e-31,2.5953477493052134e-25,6.928322647875633e-18,1.2645600585096038e-48
7.679101965297849e-21,0.06662394546715897,0.0,0.0016542725659492645,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,3.3987639961434944e-58,1.9639449628683515e-19,2.5501507847478993e-56,0.0,7.540634497305551e-95,1.3182796000416024e-40,1.6047678588752627e-67,1.357921737883637e-49,6.43526190369139e-73,1.1873208094374256e-37,7.716836510169987e-31,1.1548842460582982e-118,1.850740788873282e-26,8.86358224087894e-77,2.8017256526545107e-64,4.1264157725969647e-106,1.963944962875998e-19,2.805758279505786e-87,1.285731142472418e-16,4.394705135666347e-17,2.7944315673408484e-17,3.491324432231378e-17,2.891830373192338e-17,1.4063056434170708e-17,4.734462554803374e-22,9.999197131618274e-29,5.384812669194405e-25,2.7792088497685964e-39,9.999197131462355e-29,8.808635781053487e-31,5.199738522127169e-25,1.388078579278055e-17,5.0714514395308765e-48
