Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210)
0.0,0.08478463093452131,0.0,0.002105202386104164,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.360985525006275e-23,0.08478463093452131,0.0,0.002105202386104163,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,5.843114956264263e-60,8.15504429216179e-20,1.7665757366263655e-57,0.0,2.0098842281145361e-97,4.0618160180031727e-41,1.3588223820628798e-67,8.10594391317096e-49,3.130532484494454e-71,5.858361881247562e-40,1.4401065279868744e-28,-1.8082763901353802e-114,1.2328973794469978e-24,6.513917493834274e-74,6.675437679753669e-64,2.677322210455386e-106,8.155044306562889e-20,7.229779003346479e-89,2.570612581868306e-19,8.786505923561495e-20,5.587624215048725e-20,6.98034153778466e-20,5.781749610518669e-20,2.8116818955407185e-20,7.025064561676313e-24,2.593925518748609e-33,5.24620180853711e-23,6.036710384746984e-46,2.5939255187484843e-33,3.611153705756207e-35,5.1229120706259e-23,2.7752398130513144e-20
3.8107594700175696e-23,0.08478463093452131,0.0,0.0021052023861041626,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.830115092069284e-59,2.2834124018053015e-19,2.6696492182159724e-56,0.0,1.2227106148191189e-95,2.453336985976158e-40,1.6131939847925837e-66,4.8959901235552606e-48,4.7308606905680345e-70,3.538450576273529e-39,4.032298278363249e-28,1.0379548062079982e-114,3.4521126624515944e-24,9.843832116682364e-73,7.925079615391537e-63,1.628745707170174e-104,2.283412405837609e-19,2.2729893448271946e-87,7.197715229181828e-19,2.460221658596672e-19,1.5645347802140587e-19,1.9544956305794651e-19,1.6188898909436382e-19,7.872709307515632e-20,1.9670180780981857e-23,1.5667310133242894e-32,1.4689365063906698e-22,7.166782568771978e-45,1.566731013324141e-32,2.1811368390436294e-34,1.4344153797752523e-22,7.770671476543682e-20
8.71030736004016e-23,0.08478463093452131,0.0,0.0021052023861041604,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,9.49903485895947e-58,5.2192283469835475e-19,2.8718868034773282e-55,0.0,5.5199001827341e-94,1.181176261514337e-39,1.58384352636057e-65,2.3572084899501156e-47,5.089244049392955e-69,1.70361163506679e-38,9.216681779115997e-28,1.4100804120933893e-112,7.890543228460787e-24,1.05895453913765e-71,7.780890165462426e-62,7.352936679111108e-103,5.219228356200249e-19,5.070832317098336e-86,1.6451920523611133e-18,5.623363791075524e-19,3.576079497634087e-19,4.4674185841805e-19,3.7003197507208214e-19,1.7994764131471909e-19,4.4960413252745633e-23,7.543135408522881e-32,3.3575691574657016e-22,7.036389624462173e-44,7.543135408521422e-32,1.0501234987842234e-33,3.2786637252005767e-22,1.7761534803528394e-19
1.8509403140085338e-22,0.08478463093452131,0.0,0.002105202386104156,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,8.73124957364121e-57,1.109086023734004e-18,2.639758754718064e-54,0.0,2.0842092823098794e-92,5.1585080173335476e-39,1.4008918496943352e-64,1.0294548769727123e-46,4.677892080930385e-68,7.440119589184383e-38,1.9585448780621494e-27,5.608914566598712e-111,1.6767404360479174e-23,9.73361663268668e-71,6.882109242617037e-61,2.7763289863121763e-101,1.1090860256925522e-18,9.497046826821244e-85,3.496033111167879e-18,1.1949648056024457e-18,7.599168932480772e-19,9.493264491378727e-19,7.863179470249749e-19,3.8238873779410297e-19,9.554087832888391e-23,3.2942854088127187e-31,7.134834459620224e-22,6.223606938261024e-43,3.2942854088114295e-31,4.5861652181970006e-33,6.967160416051226e-22,3.774326145749773e-19
3.81075947001757e-22,0.08478463093452131,0.0,0.002105202386104148,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,7.469767834518412e-56,2.283412401805302e-18,2.258369191114476e-53,0.0,7.231090227601694e-91,2.153576353419151e-38,1.1775343240685235e-63,4.297771462763246e-46,4.0020351617879084e-67,3.1061034694374336e-37,4.03229827836325e-27,1.9822870316538212e-109,3.4521126624515955e-23,8.327313957107812e-70,5.784827508442348e-60,9.632375007596151e-100,2.2834124058376055e-18,1.6403736248000978e-83,7.197715228465035e-18,2.460221658588725e-18,1.5645347802200657e-18,1.954495630575979e-18,1.618889890920585e-18,7.872709307539044e-19,1.967018090116035e-22,1.3752993100422984e-30,1.4689365063947103e-21,5.231316632059702e-42,1.3752993100412147e-30,1.9146337054898952e-32,1.4344153797752523e-21,7.770671476543609e-19
7.730397782035642e-22,0.08478463093452131,0.0,0.002105202386104131,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,6.1761484967146604e-55,4.6320651579478986e-18,1.8672633197897656e-52,0.0,2.4082549656832204e-89,8.798068647099726e-38,9.654142978565669e-63,1.7557798753684838e-45,3.3089600635381104e-66,1.2689446169257258e-36,8.179805078965447e-27,6.659706071258205e-108,7.002857115258952e-23,6.885184214199454e-69,4.742751115378873e-59,3.207983058322217e-98,4.632065166127703e-18,2.7255011486544667e-82,1.4601079461793832e-17,4.990735364547251e-18,3.173770554174648e-18,3.964833993446037e-18,3.284033778671103e-18,1.5970353166776408e-18,3.9902367249881456e-22,5.618546430645354e-30,2.979842627267219e-21,4.288949437804438e-41,5.6185464306364684e-30,7.821903463392177e-32,2.909814056115512e-21,1.5763362138131153e-18
1.5569674406071786e-21,0.08478463093452131,0.0,0.002105202386104097,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,5.0223413866487093e-54,9.329370670233091e-18,1.5184275209284284e-51,0.0,7.860945374025093e-88,3.5563253101466176e-37,7.81818363138248e-62,7.097142981289012e-45,2.690791369851162e-65,5.129277028402362e-36,1.6474818680169848e-26,2.183144526434453e-106,1.4104346020873668e-22,5.598917456741305e-68,3.8408028487822145e-58,1.0471391086727954e-96,9.32937068670787e-18,4.4432513583922025e-81,2.940780792338938e-17,1.0051762776408183e-17,6.392242102126234e-18,7.985510719161535e-18,6.614321554009334e-18,3.216564088541648e-18,8.036674079603245e-22,2.2711063001017396e-29,6.00165486904077e-21,3.4733024532632864e-40,2.2711063000945448e-29,3.1617384792734986e-31,5.8606114087960306e-21,3.174874346130573e-18
3.1248227654144073e-21,0.08478463093452131,0.0,0.00210520238610403,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,4.050700275143706e-53,1.8723981694803477e-17,1.224666804443349e-50,0.0,2.5405217506473118e-86,1.4299870232437508e-36,6.292767789487573e-61,2.8537299784074914e-44,2.1702207203966593e-64,2.062459733740582e-35,3.306484588257864e-26,7.070478421633166e-105,2.830732383210311e-22,4.515729763576081e-67,3.0914123255779857e-57,3.384172710724429e-95,1.8723981727868083e-17,7.175860068187523e-80,5.90212648263323e-17,2.0173817599905548e-17,1.2829185198199092e-17,1.6026864170494053e-17,1.327489710403457e-17,6.455621632335802e-18,1.6129549128316949e-21,9.13201854587606e-29,1.2045279352702001e-20,2.7956159848799624e-39,9.13201854581815e-29,1.2713211671589897e-30,1.1762206114157069e-20,6.371950610765283e-18
6.260533415028865e-21,0.08478463093452131,0.0,0.0021052023861038954,0.031075110263184432,0.31940968187635516,0.3504847921395395,0.20701222018021492,0.09201819554070587,0.0,3.2537427475263046e-52,3.751320374394425e-17,9.837189775667627e-50,0.0,8.169937480554117e-85,5.734921687961359e-36,5.049571410003969e-60,1.1444733575342613e-43,1.7432393042883068e-63,8.271385989960949e-35,6.624490028739624e-26,2.2761526403270905e-103,5.671327945456203e-22,3.6272797220236536e-66,2.480663782106129e-56,1.0882992622587308e-93,3.751320381018805e-17,1.1534983273486877e-78,1.1824817855122537e-16,4.041792724600231e-17,2.5703071391023554e-17,3.210957107276521e-17,2.6596048201480148e-17,1.2933736720188667e-17,3.23153005836784e-21,3.6623478764492695e-28,2.4132528320480996e-20,2.24330576613635e-38,3.6623478764027997e-28,5.098566737027436e-30,2.3565395524879145e-20,1.2766103140033887e-17
