Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231),CH3OX(210),CH2OX(659),CHOX(675),HNOH(93),H2NX(201),H3NX(202),HNO2(94),HONO(92),H2X(216),HNO(87),N2O2(378),NO3(95),H3NO3(626),HNO(549),NO(1009),S(567),H2NOX(203),H2N2X(602),CX(33),SX(1186)
0.0,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5670171707034593e-26,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,2.0113105036695532e-129,6.0668054618780115e-61,7.498960822666454e-20,3.7504738732794294e-57,1.362962501135223e-97,3.383643919589696e-98,8.907830996318329e-40,3.53954017292879e-66,9.986279296955485e-45,4.17969430267131e-68,9.755246699451779e-42,5.70379010423137e-25,-1.2785451730786936e-109,2.899985614419664e-21,1.4551043998864415e-68,1.7043631585314757e-61,2.6218579461326395e-104,7.499018189528316e-20,2.255634110954812e-87,3.750493944274285e-22,1.2819410240927014e-22,1.1052485147861185e-22,1.0184237349078847e-22,8.435505627880424e-23,4.1022112770967093e-23,2.067524192668477e-23,3.912858655478581e-38,2.6186559670954917e-19,1.0736849026324352e-52,1.5614249093485003e-37,1.392520318190651e-37,2.601336286184158e-19,4.049042701382616e-23,9.548720016040709e-50,1.3783818434316036e-62,1.1548179641529975e-21,2.884812615261646e-23,1.7368895348193792e-23,3.789745720247624e-38,1.8674147494325366e-39,1.4590813082607075e-60,6.32211031060879e-41,5.8093702083636256e-102,1.3196269525099533e-23,5.415782011473268e-38,8.544159696436624e-41,2.600331187291556e-61,-3.1617774840896983e-94,2.051105638548337e-23,9.443378476031384e-89,3.227211704067527e-78,4.82379536855128e-105
4.387648077969686e-26,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,3.157081870593675e-128,9.168156324759041e-60,2.0997090303466067e-19,5.397004594122066e-56,2.195165183611271e-89,2.0584357129227863e-96,5.38032992177627e-39,4.202142093301664e-65,6.031712695361114e-44,6.316354030201e-67,5.892169006468874e-41,1.5970612291847839e-24,1.2612107805128999e-108,8.11995972037506e-21,2.1989537691098224e-67,2.023419941808568e-60,1.5950041353768105e-102,2.0997250930679285e-19,6.40053652280881e-86,1.0501383043967871e-21,3.5894348674595376e-22,3.0946958414011626e-22,2.851586457742069e-22,2.3619415758065095e-22,1.148619157587091e-22,5.789067739471703e-23,2.3633666279090817e-37,7.332236707867376e-19,1.2746787164052313e-51,9.431006452464957e-37,8.410822721871488e-37,7.283741601315642e-19,1.1337319563871324e-22,5.76742688968779e-49,1.6364149245217925e-61,3.2334902996283938e-21,8.077475322732609e-23,4.8632906974942026e-23,2.2890064150295643e-37,1.1279185086572524e-38,1.7360870031075573e-59,3.818554627607827e-40,4.479352441769776e-101,3.6949554670278823e-23,3.2711323349298524e-37,5.160672456647774e-40,3.087113185552566e-60,4.078673382118625e-93,5.743095787935347e-23,5.744867963857859e-87,7.219143493530022e-77,5.486719146890515e-103
1.0028909892502138e-25,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.2477334351750216e-126,9.862684201105445e-59,4.799334926506529e-19,5.71266000739974e-55,1.97564865434994e-88,9.292762760572456e-95,2.59039725372937e-38,4.125688025567602e-64,2.9040100195546556e-43,6.794845433971409e-66,2.836825740200576e-40,3.650425666708078e-24,6.957175069918081e-107,1.8559907932285848e-20,2.3655341208090304e-66,1.9866056975842877e-59,7.200611094997395e-101,4.799371641298122e-19,1.3943810906508846e-84,2.400316124335454e-21,8.204422554193105e-22,7.073590494631379e-22,6.517911903410404e-22,5.398723601843407e-22,2.6254152173419814e-22,1.3232154833078027e-22,1.1378592970132001e-36,1.6759398189411146e-18,1.2514871225083807e-50,4.5406236363854646e-36,4.0494490852983536e-36,1.6648552231578612e-18,2.591387328884874e-22,2.776767780663444e-48,1.6066418767032352e-60,7.390834970579188e-21,1.8462800737674534e-22,1.1116093022843618e-22,1.1020580554480086e-36,5.430442091349823e-38,1.7061944299040563e-58,1.8384696783252104e-39,7.924948842901512e-100,8.445612496063793e-23,1.574909408936426e-36,2.4846416397238503e-39,3.030946031907135e-59,2.1673665941892757e-91,1.3127076086709387e-22,2.593508009309791e-85,1.4263811013487586e-75,4.9671059916095555e-101
2.1311433521567047e-25,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.3171561383438947e-125,9.065505971154097e-58,1.0198586718826375e-18,5.2171406266254105e-54,1.6024705742386942e-87,3.5087704022596576e-93,1.1312945365324278e-37,3.649124336686403e-63,1.2682574707133472e-42,6.245633602600041e-65,1.2389163308303756e-39,7.757154541754664e-24,2.73811084053289e-105,3.943980435610743e-20,2.174333402663827e-65,1.75713024191961e-58,2.718813741326626e-99,1.019866473775851e-18,2.5865685183415216e-83,5.100671764212588e-21,1.743439792765982e-21,1.5031379801092326e-21,1.3850562794746945e-21,1.1472287653917052e-21,5.5790073368519605e-22,2.811832902029016e-22,4.9693304924580955e-36,3.561372115249868e-18,1.1069261872179655e-49,1.9830096348726214e-35,1.7685008041020658e-35,3.537817349210455e-18,5.506698073880356e-22,1.2126874420359364e-47,1.4210565453028977e-59,1.5705524312480783e-20,3.923345156755838e-22,2.3621697673541517e-22,4.812977064714482e-36,2.3716167317793282e-37,1.50978237929922e-57,8.029080094474947e-39,1.3747355780188284e-98,1.7946926554135826e-22,6.878043154571051e-36,1.0851082814475335e-38,2.680837440850304e-58,8.47074288868348e-90,2.7895036684257527e-22,9.792592768759505e-84,2.5381689585989326e-74,3.764624316012959e-99
4.387648077969686e-25,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.4265565367361093e-123,7.7557312199724e-57,2.0997090303466065e-18,4.450486453264063e-53,1.2841716245097246e-86,1.2173554513429083e-91,4.722931994247979e-37,3.0673088812240617e-62,5.294725283245802e-42,5.343271040207098e-64,5.1722318000493314e-39,1.5970612291847838e-23,9.674363799514268e-104,8.119959720375058e-20,1.8601880035633252e-64,1.4769738433728403e-57,9.43282788482986e-98,2.099725093067928e-18,4.4470055432374875e-82,1.050138304396605e-20,3.589434867459158e-21,3.094695841401627e-21,2.8515864577419505e-21,2.3619415758063748e-21,1.1486191575872718e-21,5.7890677394712335e-22,2.0745976591350112e-35,7.332236707867377e-18,9.304381576628814e-49,8.278674869365988e-35,7.383142727046283e-35,7.283741601315641e-18,1.1337319563871323e-21,5.062731352493683e-47,1.1944836514058867e-58,3.2334902996283997e-20,8.077475322732609e-22,4.863290697493359e-22,2.009323180875289e-35,9.901033001491373e-37,1.2693297880160306e-56,3.3519828866863804e-38,2.2895824321437008e-97,3.694955467028073e-22,2.871447622483127e-35,4.530113471051435e-38,2.2534054016082291e-57,2.9839786936549837e-88,5.743095787935411e-22,3.397505343226193e-82,4.280992935246668e-73,2.6176863365535483e-97
8.900657529595648e-25,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,4.6336874485873047e-122,6.4125885538049285e-56,4.259409747274544e-18,3.674709612744068e-52,1.027556816260795e-85,4.054301919373812e-90,1.9294718251265373e-36,2.514765139830312e-61,2.1630680408377475e-41,4.417919824773902e-63,2.1130254560880528e-38,3.2397527792034185e-23,3.2501817691643053e-102,1.647191828990369e-19,1.53803941385509e-63,1.2109123917980736e-56,3.1415255220979823e-96,4.259442331652083e-18,7.371710454301689e-81,2.1302805603469766e-20,7.28142501684484e-21,6.277811563987233e-21,5.7846468142762536e-21,4.791367196635479e-21,2.3300560053917417e-21,1.174353741435484e-21,8.475408362115093e-35,1.487396589310239e-17,7.62829416357789e-48,3.3821088106454284e-34,3.016254710013214e-34,1.4775590105526018e-17,2.2998562543853256e-21,2.0682909503450847e-46,9.793098650828938e-58,6.559366036389054e-20,1.6385735654686146e-21,9.865532557770284e-22,8.208740819885155e-35,4.044895043860905e-36,1.0407793912831933e-55,1.369394381720458e-37,3.735797346841514e-96,7.495481090257393e-22,1.1730800468131564e-34,1.8506991668875824e-37,1.8474778932586528e-56,1.0010756114692381e-86,1.1650280026954838e-21,1.1315111308640594e-80,7.031543751144622e-72,1.7454818671046644e-95
1.792667643284757e-24,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,1.4936263316644118e-120,5.2146105143781305e-55,8.57881118113042e-18,2.9862197529792256e-51,8.220674051317934e-85,1.323391672206289e-88,7.79923361316454e-36,2.03652200993331e-60,8.743466865890792e-41,3.592579030550471e-62,8.541186737211603e-38,6.525135879240687e-23,1.0654546711358738e-100,3.3175835428960955e-19,1.250708108234788e-62,9.80628249901936e-56,1.0254462535464319e-94,8.578876808820392e-18,1.2003839128056744e-79,4.290565072246435e-20,1.4665405315613524e-20,1.2644043009161722e-20,1.1650767527344022e-20,9.650218438292742e-21,4.6929297010019564e-21,2.3652476764118732e-21,3.4258955700888256e-34,2.995742426357243e-17,6.177590390548179e-47,1.367102456530428e-33,1.2192183795508062e-33,2.9759287113946764e-17,4.6321048503817115e-21,8.360362712527114e-46,7.930705190634958e-57,1.3211117509910415e-19,3.3002256318593222e-21,1.9870016278318178e-21,3.3181042858713615e-34,1.635011249036203e-35,8.42892476478094e-55,5.5353110382440134e-37,6.035294223853366e-95,1.509653233671738e-21,4.741777108581404e-34,7.480821933900823e-37,1.4961354970603716e-55,3.2794046763703955e-85,2.346464850499415e-21,3.693440788015219e-79,1.1398435430346835e-70,1.1401327134126772e-93
3.5978714239351425e-24,0.13613829752637924,0.0,0.003380313927579996,0.031075110263184432,0.3194096818763551,0.3504847921395395,0.20701222018021495,0.09201819554070598,4.796897868196827e-119,4.2057722920850474e-54,1.7217614048842168e-17,2.407701574929716e-50,6.576561207928356e-84,4.276973205824523e-87,3.1360375335778684e-35,1.639170087020362e-59,3.5157095716103736e-40,2.8975451382521873e-61,3.4343736215287963e-37,1.3095902079315226e-22,3.45065300009616e-99,6.658366970707547e-19,1.00874139930417e-61,7.892949282507089e-55,3.3140650969334293e-93,1.7217745763157008e-17,1.9374989030584507e-78,8.611134096040211e-20,2.9433365913140164e-20,2.5376505899523804e-20,2.3383008953476212e-20,1.936792092160349e-20,9.418677092227489e-21,4.7470355463633216e-21,1.3775375410973692e-33,6.012434100451249e-17,4.972262184532041e-46,5.497058850359127e-33,4.902423480999818e-33,5.972668113078826e-17,9.296602042374485e-21,3.3616650764645015e-45,6.383321493125121e-56,2.651462045695332e-19,6.623529764640734e-21,3.987898371939014e-21,1.3341951397960534e-33,6.574308321967583e-35,6.784501081533213e-54,2.2257242233000733e-36,9.702890142537808e-94,3.0298634829642744e-21,1.9066477202672156e-33,3.0080055977734576e-36,1.2042200088815607e-54,1.0617288654071675e-83,4.709338546107456e-21,1.1936562409606261e-77,1.8356828866230818e-69,7.371453074986139e-92
7.208278985235913e-24,0.13613829752637924,0.0,0.0033803139275799957,0.031075110263184432,0.31940968187635504,0.3504847921395394,0.20701222018021495,0.09201819554070598,1.5377718497379588e-117,3.3783050247116543e-53,3.449521978426567e-17,1.933680575538222e-49,5.261251210391942e-83,1.3754104865711198e-85,1.2576913136716e-34,1.3153307635322612e-58,1.409956782169572e-39,2.327465830308495e-60,1.3773374283475765e-36,2.6237434479464306e-22,1.1108460371402895e-97,1.3339933826330448e-18,8.102759496317091e-61,6.333594718628911e-54,1.0657536692757548e-91,3.4495483671830244e-17,3.1135686223019814e-77,1.7252272143607204e-19,5.896928710815056e-20,5.0841431680300355e-20,4.6847491805727203e-20,3.8803325888209856e-20,1.887017187469895e-20,9.510611286260901e-21,5.524541658530463e-33,1.2045817448639258e-16,3.989927260954516e-45,2.2045664609607852e-32,1.9660910821289758e-32,1.1966146916447123e-16,1.8625596426360025e-20,1.348178049782277e-44,5.122213490597123e-55,5.312162635103987e-19,1.3270138030203542e-20,7.989691860143875e-21,5.350719243943273e-33,2.6365916802355934e-34,5.444202450060084e-53,8.926149614959225e-36,1.5561760192608265e-92,6.0702839815515056e-21,7.646510127307087e-33,1.206344781047418e-35,9.663107180016514e-54,3.417376481936168e-82,9.435085937324255e-21,3.83861958485766e-76,2.9466775754142945e-68,4.741752123048318e-90
