Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204),HOX(29),HNOX(512),H2NO(88),NX(539),HNX(511),OX(27),H2NO3(231)
0.0,0.07540679193649383,0.0,0.0018723506437831417,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5574722305028795e-23,0.07540679193649383,0.0,0.0018723506437831412,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.3633321198621592e-62,8.099789045957905e-21,2.0853977181611147e-60,0.0,-7.085304395535094e-128,3.0103780573508894e-43,8.980472480217899e-98,1.810993275912378e-51,2.0716246171585997e-75,4.6913049228094436e-68,8.828720963672103e-31,-3.8366376987575173e-119,1.1568519890926189e-26,1.1759887582793718e-78,2.6305587482049926e-94,-5.224079415063373e-132,8.099789046840777e-21,1.3647220798933688e-97,2.774278779916998e-19,9.482649040653757e-20,3.034751510404093e-20,7.533384665365978e-20,6.239829902176788e-20,3.034447693009504e-20,3.0381739427466056e-24,1.5536719246372195e-33,4.091823855391995e-25,2.5796734476642043e-46,1.5536719246371206e-33,1.747637763699246e-35,3.9761386564758533e-25
4.3609222454080626e-23,0.07540679193649383,0.0,0.00187235064378314,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0602674906717183e-61,2.267940932868214e-20,3.151453024817112e-59,0.0,1.3678288038661313e-126,1.8182705434476795e-42,2.5326406669598063e-96,1.0938399386510768e-50,3.1306391214513596e-74,7.089499984098904e-67,2.4720418698281893e-30,-3.793399171473647e-119,3.2391855694593335e-26,1.7771542115126496e-77,7.418596787616144e-93,-5.114042439221992e-132,2.2679409331154178e-20,3.8487346208380794e-96,7.767980583717434e-19,2.6551417313828283e-19,8.497304229133244e-20,2.109347706302369e-19,1.7471523726083009e-19,8.496453540426878e-20,8.506887044667857e-24,9.384178424808582e-33,1.1457106795127101e-24,3.062588317066756e-45,9.38417842480741e-33,1.0555732097897042e-34,1.113318823813239e-24
9.967822275218429e-23,0.07540679193649383,0.0,0.001872350643783138,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.2163417504691675e-60,5.1838649894130607e-20,3.3901893545970434e-58,0.0,1.4442827711260759e-124,8.754211715233301e-42,5.509049893202693e-95,5.266368446353198e-50,3.367798707623862e-73,7.626560569452329e-66,5.650381416750147e-30,-1.6670433056384983e-119,7.403852730192764e-26,1.9117814045605972e-76,1.6137068645176195e-91,5.827875619830916e-132,5.183864989978097e-20,8.37183846912475e-95,1.7755384191117647e-18,6.06889538601684e-19,1.9422409666598676e-19,4.82136618583349e-19,3.993491137384744e-19,1.9420465235262693e-19,1.94443132684198e-23,4.5180779568447006e-32,2.618767267471537e-24,3.0068673705968165e-44,4.518077956843549e-32,5.082130624567797e-34,2.544728740144546e-24
2.118162233483916e-22,0.07540679193649383,0.0,0.0018723506437831338,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,2.0371999106880934e-59,1.1015713102502754e-19,3.116168095026365e-57,0.0,1.1415851886212367e-122,3.8232132418667897e-41,1.0212861205806065e-93,2.2999614604087213e-49,3.095587232929111e-72,7.010123103917933e-65,1.2007060510594062e-29,8.139867032558447e-118,1.5733187051659627e-25,1.7572564817226128e-75,2.991540637438038e-90,8.679179362323156e-130,1.101571310370345e-19,1.5519977595646774e-93,3.773019140511543e-18,1.289640269528129e-18,4.127262054155806e-19,1.024540314489405e-18,8.486168666918423e-19,4.1268488624938593e-19,4.131916579556145e-23,1.9731633442889237e-31,5.564880443436415e-24,2.6595401376026697e-43,1.9731633442879047e-31,2.2194999678861105e-33,5.40754857280716e-24
4.360922245408063e-22,0.07540679193649383,0.0,0.0018723506437831256,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070598,0.0,1.7428674140172125e-58,2.267940932868214e-19,2.66594741190344e-56,0.0,8.09115192050434e-121,1.5961321186036315e-40,1.7553337288352606e-92,9.601886348887432e-49,2.648340051081311e-71,5.9973079038461515e-64,2.4720418698281893e-29,3.0075825992496196e-116,3.239185569459337e-25,1.503369916720031e-74,5.141694262817566e-89,6.187961114431163e-128,2.2679409331154136e-19,2.6674876115504664e-92,7.767980582990042e-18,2.655141731379591e-18,8.497304229159093e-19,2.1093477063008435e-18,1.7471523725908964e-18,8.496453540430748e-19,8.506887116839585e-23,8.237568544423439e-31,1.1457106795555066e-23,2.235503734968428e-42,8.237568544414871e-31,9.265975495026015e-33,1.1133188238132389e-23
8.846442269256357e-22,0.07540679193649383,0.0,0.0018723506437831091,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070596,0.0,1.441036481660154e-57,4.600680178104091e-19,2.2042568745295217e-55,0.0,5.444974842378227e-119,6.520849996460395e-40,2.909349611023524e-91,3.9226838753572484e-48,2.1896987681091636e-70,4.958690151462713e-63,5.014713507365755e-29,1.0116712980445824e-114,6.570919298046092e-25,1.2430153194678083e-73,8.521981991946313e-88,4.164560128638875e-126,4.600680178605543e-19,4.421165091859813e-91,1.575790346666281e-17,5.386144655076798e-18,1.7237388579211306e-18,4.278962489921027e-18,3.544223384358278e-18,1.7235662896311356e-18,1.725682831882689e-22,3.365315535638578e-30,2.3241559500547942e-23,1.832801025371937e-41,3.365315535631555e-30,3.7854533625521904e-32,2.2584467568782848e-23
1.7817482316952943e-21,0.07540679193649383,0.0,0.0018723506437830762,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070595,0.0,1.1718269347577503e-56,9.266158668575845e-19,1.7924650829956204e-54,0.0,3.572647840700948e-117,2.6359365049303905e-39,4.7371629516732984e-90,1.585611540738531e-47,1.7806266726295285e-69,4.0323244793274115e-62,1.0100056782440889e-28,3.316520663340291e-113,1.323438675521963e-24,1.0107994143152167e-72,1.387584118191594e-86,2.7325235996201363e-124,9.266158669585772e-19,7.198721239843525e-90,3.173774922887145e-17,1.0848150502448355e-17,3.471755727949828e-18,8.618192057150622e-18,7.138365407770127e-18,3.47140816080999e-18,3.475671123248324e-22,1.3603143462701098e-29,4.681046491355602e-23,1.4842497889185468e-40,1.360314346264422e-29,1.5301407988010711e-31,4.5487026230083765e-23
3.575956241234612e-21,0.07540679193649383,0.0,0.0018723506437830105,0.031075110263184432,0.31940968187635516,0.35048479213953954,0.20701222018021495,0.09201819554070592,0.0,9.451208752281796e-56,1.8597115649519354e-18,1.4456880259430138e-53,0.0,2.3150235220436794e-115,1.0599826547181946e-38,7.645933450802763e-89,6.375674267580565e-47,1.4361399191068893e-68,3.252215773563665e-61,2.0270743332591153e-28,1.0741118419853177e-111,2.656132166956681e-24,8.152463463687381e-72,2.2395672286635563e-85,1.7706346611282532e-122,1.85971156515461e-18,1.1618765104166987e-88,6.369744073274109e-17,2.1772162197100024e-17,6.96778946808024e-18,1.7296651191566716e-17,1.4326649454102185e-17,6.96709190317863e-18,6.975647909852282e-22,5.469764157544812e-29,9.394827575166143e-23,1.1946533569298807e-39,5.46976415749903e-29,6.152629058734835e-31,9.129214355268559e-23
7.164372260313246e-21,0.07540679193649383,0.0,0.001872350643782879,0.031075110263184432,0.3194096818763551,0.35048479213953954,0.20701222018021492,0.09201819554070585,0.0,7.591724848613528e-55,3.7259029611406375e-18,1.161255242324954e-52,0.0,1.4908114887285974e-113,4.251679726106378e-38,1.228723836789328e-87,2.556930540301031e-46,1.1535856836658424e-67,2.6123565724071925e-60,4.061211643289168e-28,3.457817764736142e-110,5.321519149826159e-24,6.54850200401584e-71,3.5989272020263787e-84,1.1402391572133964e-120,3.725902961546626e-18,1.8671043608235701e-87,1.2761682365828986e-16,4.362018558603759e-17,1.3959856948633147e-17,3.4653569460226533e-17,2.8703217544799734e-17,1.3958459387959638e-17,1.397560229855096e-21,2.1936200683496426e-28,1.8822389747622927e-22,9.586340822876533e-39,2.1936200683129053e-28,2.4674795998757193e-30,1.8290237819788926e-22
