Time (s),Volume (m^3),Ne,X(1),NH3(2),NH2OH(3),HNO3(4),CH3OH(5),H2O(6),N2(7),O2(8),NO2(9),NO(10),N2O(11),CO2(12),H2(13),CO(14),CH4(15),C2H6(16),CH2O(17),CH3(18),C3H8(19),H(20),C2H5(21),HCO(22),CH3CHO(23),OH(24),C2H4(25),H2OX(30),H3NOX(205),HX(26),HNO3X(208),CH4OX(211),H2NOX(204)
4.046157025340434e-21,0.0945796191447709,0.0,0.002348411943364495,0.031075110263184432,0.31940968187635516,0.35048479213953937,0.20701222018021495,0.09201819554070591,0.0,1.634679351087896e-50,1.7260860861405938e-16,3.269149294821225e-50,0.0,1.7068903446917933e-107,7.810132295753536e-42,9.355982801863179e-79,4.1973646868837106e-42,1.4970801030510131e-60,4.5463399930034024e-55,3.081837035140306e-24,1.6428861258176826e-98,2.087541442058443e-32,1.0326272631598535e-62,1.8846174894521615e-79,2.5389201733289723e-109,1.7260861169589644e-16,6.789386641380774e-78,8.071719634145635e-17,2.7589615396861673e-17,8.828676929507384e-18,2.191826194059229e-17,1.8154685086296484e-17,8.828676929507384e-18
8.095829391276299e-21,0.0945796191447709,0.0,0.002348411943364329,0.031075110263184432,0.3194096818763551,0.35048479213953915,0.20701222018021492,0.09201819554070582,0.0,1.309069264160433e-49,3.453671812668798e-16,2.6179708326020303e-49,0.0,1.094240867916977e-105,6.254439824893953e-41,1.4985849613795662e-77,1.680039739559972e-41,1.1988782678303003e-59,3.6407592383811226e-54,6.166351600285078e-24,5.265105167113267e-97,4.186370609789501e-32,8.269393080894108e-62,3.0190791952684467e-78,1.6274203451876286e-107,3.4536718743323145e-16,1.0874817914232187e-76,1.6150452034856525e-16,5.5203200914741454e-17,1.7665024302770412e-17,4.385556667827145e-17,3.63251431306652e-17,1.7665024302770412e-17
1.6195174123148027e-20,0.0945796191447709,0.0,0.0023484119433639966,0.031075110263184432,0.31940968187635504,0.35048479213953876,0.2070122201802149,0.09201819554070566,0.0,1.0477859838175742e-48,6.908843265725202e-16,2.0954377430947933e-48,0.0,7.010377195211977e-104,5.006086696025955e-40,2.39904301905014e-76,6.722347311340653e-41,9.595885257772985e-59,2.9140830091039205e-53,1.233538073057462e-23,1.686093860689367e-95,8.412463436368073e-32,6.618866092158888e-61,4.834480496340589e-77,1.0423534048096311e-105,6.908843389079009e-16,1.7409153475920322e-75,3.230791677026128e-16,1.1043037193458186e-16,3.533771905929186e-17,8.773017614712754e-17,7.266605919242708e-17,3.533771905929186e-17
3.2393863586891486e-20,0.0945796191447709,0.0,0.002348411943363332,0.031075110263184432,0.3194096818763549,0.350484792139538,0.2070122201802148,0.09201819554070534,0.0,8.384410678865826e-48,1.3819186171837993e-15,1.676774728951308e-47,0.0,4.490713003533719e-102,4.005883543135959e-39,3.839528131465978e-75,2.689376657505188e-40,7.67865232700526e-58,2.3318567988103865e-52,2.46734389911537e-23,5.397517547607575e-94,1.6978387054119696e-31,5.296433852157916e-60,7.741530243683065e-76,6.673636980989483e-104,1.3819186418572383e-15,2.786220356522481e-74,6.46228459770027e-16,2.2088471391058592e-16,7.068310861231633e-17,1.7547939505883083e-16,1.4534789120804847e-16,7.068310861231633e-17
6.47912425143784e-20,0.0945796191447709,0.0,0.002348411943362002,0.031075110263184432,0.3194096818763546,0.3504847921395364,0.20701222018021467,0.09201819554070469,0.0,6.708377770098591e-47,2.7639871984063514e-15,1.3415896176901637e-46,0.0,2.8776062882311746e-100,3.2051125653325044e-38,6.144135256515612e-74,1.075838215830733e-39,6.143699604867897e-57,1.865721624493344e-51,4.9349555512311843e-23,1.7275284351413484e-92,3.4565186149030095e-31,4.2376835385907e-59,1.2401770827913258e-74,4.271951916411937e-102,2.7639872477559067e-15,4.458557296869627e-73,1.2925270333421322e-15,4.4179339760788714e-16,1.413738878782916e-16,3.5097783277820184e-16,2.90711554807682e-16,1.4137388787829162e-16
1.2958600036935224e-19,0.0945796191447709,0.0,0.0023484119433593432,0.031075110263184432,0.319409681876354,0.3504847921395333,0.2070122201802144,0.0920181955407034,0.0,5.36704192761659e-46,5.528124360851432e-15,1.0733396321187247e-45,0.0,1.8456801034554024e-98,2.5642523653310268e-37,9.831465252244208e-73,4.3035279752150855e-39,4.915270800189777e-56,1.4926717795395715e-50,9.870178855462808e-23,5.528607559479019e-91,7.1558591784713405e-31,3.3903614267168285e-58,1.9887837096574334e-73,2.734313018379758e-100,5.52812445955322e-15,7.134175490596779e-72,2.58512413823545e-15,8.836107639836617e-16,2.8275544704994737e-16,7.019747078008014e-16,5.814388802805117e-16,2.8275544704994737e-16
2.591755160792999e-19,0.0945796191447709,0.0,0.0023484119433540254,0.031075110263184432,0.3194096818763528,0.3504847921395271,0.2070122201802138,0.09201819554070081,0.0,4.293769430855391e-45,1.1056398685741494e-14,8.586988817239989e-45,0.0,1.1862005041632639e-96,2.051466836799375e-36,1.573146060773507e-71,1.7214462130879194e-38,3.9323410904680115e-55,1.194175216762988e-49,1.974062546392602e-22,1.769237074171799e-89,1.5282463290540111e-30,2.712374982330843e-57,3.1961328733094465e-72,1.750044753272843e-98,1.1056398883147748e-14,1.1415067851237053e-70,5.170318179018529e-15,1.7672454926599006e-15,5.655185679520799e-16,1.403968456181431e-15,1.162893524320422e-15,5.655185679520801e-16
5.183545474991952e-19,0.0945796191447709,0.0,0.00234841194334339,0.031075110263184432,0.3194096818763505,0.35048479213951467,0.20701222018021265,0.09201819554069564,0.0,3.43506990101847e-44,2.211294733552123e-14,6.86969975977504e-44,0.0,7.654693522552063e-95,1.6411994753733177e-35,2.5172628700720928e-70,6.885854898978671e-38,3.145922653260475e-54,9.553552908935822e-49,3.9481518680852343e-22,5.66169088910267e-88,3.444736350710298e-30,2.1699343227714928e-56,5.158607372405677e-71,1.1200556620336792e-96,2.211294773033642e-14,1.82644182205704e-69,1.0340705584570546e-14,3.5345149337111344e-15,1.1310448199916293e-15,2.8079559462844126e-15,2.3258027847772465e-15,1.1310448199916304e-15
1.036712610338986e-18,0.0945796191447709,0.0,0.0023484119433221187,0.031075110263184432,0.31940968187634583,0.35048479213948974,0.20701222018021032,0.0920181955406853,0.0,2.7480776635141403e-43,4.422604463507912e-14,5.495803290878168e-43,0.0,4.979482707507753e-93,1.3129700271094379e-34,4.028251533065297e-69,2.754355968979003e-37,2.5167580351147e-53,7.642902797542483e-48,7.896330511470453e-22,1.8117622450757065e-86,8.442393233150513e-30,1.735961193084584e-55,8.396908811091985e-70,7.168442757017473e-95,4.422604542471217e-14,2.922331688215941e-68,2.0681477691618715e-14,7.0690537506086315e-15,2.2620973650118648e-15,5.615930899857264e-15,4.6516211951989186e-15,2.262097365011868e-15
2.0734287360185674e-18,0.0945796191447709,0.0,0.0023484119432795763,0.031075110263184432,0.3194096818763365,0.3504847921394399,0.20701222018020565,0.09201819554066462,0.0,2.1984708279239434e-42,8.845223923418862e-14,4.396660026525211e-42,0.0,3.289826079603972e-91,1.0503802714005278e-33,6.447139533397201e-68,1.1017451894751731e-36,2.0134143931246298e-52,6.114346426283316e-47,1.5792687798240708e-21,5.797673041367906e-85,2.309641469180157e-29,1.3887744484353748e-54,1.389292753272185e-68,4.587831121460566e-93,8.845224081345739e-14,4.675750519627465e-67,4.13630110894973e-14,1.4138131123583753e-14,4.524202618816875e-15,1.1231880700470526e-14,9.303257574074392e-15,4.5242026188168885e-15
